year, TaiESM1, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5, MIROC-ES2L, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR
1.879000000000000000e+03, 4.712633550515264780e+00, 6.348943128798933522e+00, 4.328236237559906385e+00, 8.538610981099214570e+00, 6.967683979492616864e+00, 7.735962402035080565e+00, 8.764256990642984135e+00, 4.340249974143964629e+00, 8.617681373134352896e+00, 4.843649938118455900e+00, 5.390656691210985230e+00, 5.840890369745305399e+00, 5.698232247402962081e+00, 4.630234407537615837e+00
1.880000000000000000e+03, 4.844334973233282327e+00, 6.352284990434153400e+00, 4.408766289466334420e+00, 8.903138686601767660e+00, 6.867033205328366918e+00, 7.849926357847365033e+00, 9.171353592223493223e+00, 4.246742613153545065e+00, 9.009753242831079589e+00, 4.604199813099794980e+00, 6.095101441471977743e+00, 5.960678641689163726e+00, 5.755173888632731050e+00, 4.577783428324780246e+00
1.881000000000000000e+03, 4.677532269007376620e+00, 6.497410244972617654e+00, 4.213915807874340835e+00, 8.746288439526226810e+00, 6.894960362189811676e+00, 7.957877251534358543e+00, 8.935315847589954785e+00, 4.585409976225389705e+00, 8.372758546024620330e+00, 4.488925585116978034e+00, 5.544823457128450706e+00, 5.714998630859084550e+00, 6.223126835636671572e+00, 4.653938095340160785e+00
1.882000000000000000e+03, 4.717964414771108395e+00, 6.334634888582239221e+00, 4.142160238125160099e+00, 8.352700099238029807e+00, 6.820345694317792251e+00, 7.709967428565948744e+00, 8.978314221236539439e+00, 4.450967647866728605e+00, 8.481846364255067883e+00, 4.765058516164589086e+00, 5.902765974042585739e+00, 5.814090623456397822e+00, 5.832268286469222573e+00, 4.664798509857511100e+00
1.883000000000000000e+03, 4.680800121967648053e+00, 6.572965006380756314e+00, 4.410809870747891104e+00, 8.638045650239572382e+00, 7.172084003082276560e+00, 7.799360067108507266e+00, 9.085132954357685975e+00, 4.308899911873150579e+00, 9.013596210634059247e+00, 4.693512962712596881e+00, 5.537717345282609394e+00, 5.869254714272439166e+00, 5.959002640688201957e+00, 4.635465405267454209e+00
1.884000000000000000e+03, 4.615235345145260126e+00, 6.284759369462669554e+00, 4.340574884393072708e+00, 8.460752949446970206e+00, 6.763226236167125371e+00, 7.880992308290670323e+00, 8.573522928808634092e+00, 4.348709905866577685e+00, 8.635906767832203457e+00, 4.590853624183493409e+00, 5.226246109755844138e+00, 5.880741013390755612e+00, 5.797596868065674869e+00, 4.548943773928852963e+00
1.885000000000000000e+03, 4.828055954845489772e+00, 6.306236754713612669e+00, 4.264365653147208945e+00, 8.483324333506514492e+00, 6.892728490203698044e+00, 7.716526370193472317e+00, 8.795728297935133000e+00, 4.381188585477245212e+00, 8.793451521660740511e+00, 4.669662841345125770e+00, 5.561074804087797752e+00, 5.745247832635888230e+00, 5.802356566090781875e+00, 4.481649444391447190e+00
1.886000000000000000e+03, 4.553735803769814794e+00, 6.210427908096228578e+00, 4.396527419133162695e+00, 8.788158950066502939e+00, 6.861719830247697161e+00, 7.983428099028804681e+00, 8.659131749538106604e+00, 4.447190176889237456e+00, 8.720095301955455014e+00, 4.543284044237590358e+00, 5.465133220724855079e+00, 5.883989476460918411e+00, 6.009851726402764882e+00, 4.663361278803646925e+00
1.887000000000000000e+03, 4.662549324316509924e+00, 6.150693222287196171e+00, 4.260460739780181250e+00, 8.733220203628100364e+00, 6.934811711349194496e+00, 7.838821019532666412e+00, 9.125665024475877019e+00, 4.580101248944786541e+00, 8.892341208900701233e+00, 4.846482063182578237e+00, 5.603056635609212854e+00, 6.025384527261818057e+00, 6.061338064289110150e+00, 4.562638001902012519e+00
1.888000000000000000e+03, 4.642975149926723333e+00, 6.284521210430254357e+00, 4.344264776524981997e+00, 8.555751438247778395e+00, 6.855430921757059259e+00, 7.984190383167071303e+00, 8.979361943409518432e+00, 4.527524018563033437e+00, 9.180586910657972055e+00, 4.396983868415694552e+00, 5.809864422657905259e+00, 6.050614277550946163e+00, 5.856742088876329966e+00, 4.656272332508816447e+00
1.889000000000000000e+03, 4.684691085429856017e+00, 6.306741903654488723e+00, 4.460808930218842505e+00, 9.001786060369573406e+00, 6.945438875366855669e+00, 7.974763920353017177e+00, 8.835263614253710429e+00, 4.697347858433889023e+00, 8.530841824873384382e+00, 4.693708634684928604e+00, 5.416076510035876979e+00, 6.043327584632172567e+00, 6.047909516906061711e+00, 4.542590252902762415e+00
1.890000000000000000e+03, 4.606874445341501811e+00, 6.298638254008856130e+00, 4.278466497014974834e+00, 8.624593996193668843e+00, 6.925801667833798803e+00, 7.960452730960214218e+00, 8.765961038094543412e+00, 4.600153729098726885e+00, 8.837451973219360823e+00, 4.615897593477141569e+00, 5.699812631629694870e+00, 6.124287096651685580e+00, 5.911712558889893110e+00, 4.623423668775686224e+00
1.891000000000000000e+03, 4.835512354593826778e+00, 6.315594616722729704e+00, 4.408124361545971759e+00, 8.401041181762114007e+00, 6.921171932386531722e+00, 7.878328297837139615e+00, 8.685082613013289432e+00, 4.537241060905297552e+00, 9.168051043328144800e+00, 4.631624062349569471e+00, 5.603417182850238376e+00, 6.066422898891247861e+00, 5.726818995296623527e+00, 4.524892531005731300e+00
1.892000000000000000e+03, 4.771765812008220031e+00, 6.173659578776436341e+00, 4.466417605422352999e+00, 8.343037937486370126e+00, 6.868782490530852769e+00, 8.106357461956161359e+00, 8.940258988320072930e+00, 4.344628619327935759e+00, 9.341170998205084786e+00, 4.136760071642659575e+00, 4.965364212024487856e+00, 5.974763488339922546e+00, 5.847937014607249573e+00, 4.538039175044430884e+00
1.893000000000000000e+03, 4.686593070562721230e+00, 6.306883753434451734e+00, 4.421011378644091216e+00, 8.835830472729542251e+00, 7.079118755309968591e+00, 7.701519417519378408e+00, 8.977444556254365438e+00, 4.442722643870153476e+00, 8.626111295835707793e+00, 4.509934087002068992e+00, 5.340678076044691025e+00, 5.934868170836483436e+00, 6.040252851538540746e+00, 4.523815780133788600e+00
1.894000000000000000e+03, 4.282727216033509698e+00, 6.442868822956733688e+00, 4.361198029795141373e+00, 8.549182187222163165e+00, 6.967458657538235123e+00, 8.130850672600187679e+00, 8.995117165941209691e+00, 4.447939799754170309e+00, 8.406959620931093724e+00, 4.534699206783718850e+00, 6.663473363293369367e+00, 5.952221247180855102e+00, 6.144679267270943157e+00, 4.638949317383819881e+00
1.895000000000000000e+03, 4.659547165642685229e+00, 6.510189918847067325e+00, 4.569479957781982904e+00, 8.599729481048163038e+00, 6.809105615742047313e+00, 8.057560313750917302e+00, 8.763401859313924902e+00, 4.469164350983547251e+00, 8.553024441623131580e+00, 4.498874840376444695e+00, 5.669731363789628276e+00, 5.914893110420083033e+00, 5.946540206062518763e+00, 4.611116969563083146e+00
1.896000000000000000e+03, 4.859395075137172171e+00, 6.419450676618346563e+00, 4.517382770363219890e+00, 8.835458076423542195e+00, 7.155369893988691388e+00, 8.276356193853068532e+00, 8.772021730911061965e+00, 4.482376344886796815e+00, 8.785810751390760842e+00, 4.598410087224431564e+00, 5.597129859290686404e+00, 6.065128151434423742e+00, 6.000915346215917268e+00, 4.680726458986661065e+00
1.897000000000000000e+03, 4.629148514946067827e+00, 6.510469583324594467e+00, 4.172410479979484776e+00, 8.714403840389692846e+00, 6.961848889101970528e+00, 7.868580450231786649e+00, 8.723181820490781391e+00, 4.587545472152818604e+00, 8.668897759156457994e+00, 4.575307112291298495e+00, 5.522314820527546075e+00, 5.925557467434520831e+00, 5.896539048512251746e+00, 4.658305572053068389e+00
