year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, UKESM1-0-LL, TaiESM1, INM-CM4-8, CanESM5, NorESM2-MM
1.876000000000000000e+03, 1.126225992518800325e+02, 5.964187010900656816e+01, 8.249531292219508316e+01, 6.242410237007044316e+01, 4.349230879041282094e+01, 9.842991928813948732e+01, 4.407082858917097923e+01, 6.265479651218996793e+01, 6.854441271229687516e+01, 9.332563404400502804e+01, 8.647072432312636181e+01, 7.652738183800609306e+01, 4.806273381260235311e+01, 1.119866126292006783e+02, 7.143484028651916162e+01, 6.538948261684984686e+01
1.877000000000000000e+03, 1.126851213803967937e+02, 5.900906576906601941e+01, 8.236602069737456588e+01, 6.242599046634899196e+01, 4.346077592333821116e+01, 9.812796724025001538e+01, 4.393572207854177236e+01, 6.243151482302643274e+01, 6.837223397039598183e+01, 9.304230059871619574e+01, 8.596058905581006115e+01, 7.652666724218258310e+01, 4.838384727998059276e+01, 1.117954777709997671e+02, 7.135386401400621992e+01, 6.526923319012155389e+01
1.878000000000000000e+03, 1.129385427053355642e+02, 5.962634886724974592e+01, 8.208847841247603583e+01, 6.206577729794976506e+01, 4.344253746019174400e+01, 9.776870535436829357e+01, 4.377490592888167242e+01, 6.240233122431384061e+01, 6.829854859711653603e+01, 9.277353489631848049e+01, 8.565983908864144780e+01, 7.650416328247938225e+01, 4.819105024214632493e+01, 1.118220137464316082e+02, 7.114703518942272353e+01, 6.525824225410786994e+01
1.879000000000000000e+03, 1.130787999543692024e+02, 5.933055405529786697e+01, 8.174195142432098748e+01, 6.173801697948655942e+01, 4.314284424538874418e+01, 9.766410443013273834e+01, 4.360957688760831985e+01, 6.247624360886671724e+01, 6.840456258664977440e+01, 9.237668963102227337e+01, 8.559575486057504179e+01, 7.637248928897746225e+01, 4.804015395030429403e+01, 1.119740580272896864e+02, 7.092984784116451635e+01, 6.514486370560685202e+01
1.880000000000000000e+03, 1.132657792652227613e+02, 5.841805028998818727e+01, 8.168242450118445674e+01, 6.086130819285540383e+01, 4.332175115843298840e+01, 9.750108889251369249e+01, 4.340866295650906181e+01, 6.234031492253614459e+01, 6.832008895399981441e+01, 9.194555183620734340e+01, 8.550273840771700407e+01, 7.637163953297846319e+01, 4.777880961647575475e+01, 1.120230067647844834e+02, 7.084505958331071440e+01, 6.490185975924313766e+01
1.881000000000000000e+03, 1.130530105434685879e+02, 5.804343229826360329e+01, 8.163181455786011043e+01, 6.073050835679762827e+01, 4.340288233431005693e+01, 9.730944763140939813e+01, 4.331409409584060199e+01, 6.226854953635975676e+01, 6.798580275867621481e+01, 9.186373462130835321e+01, 8.540321469325320436e+01, 7.621847308384103314e+01, 4.774875229599080484e+01, 1.119611600205344644e+02, 7.094261867425665002e+01, 6.475623669262816406e+01
1.882000000000000000e+03, 1.131153061676165237e+02, 5.930640453310321902e+01, 8.169238586700787152e+01, 6.068880807253267307e+01, 4.285672463040927482e+01, 9.731821285969998314e+01, 4.331571850867743478e+01, 6.211615561207458569e+01, 6.787880146650249458e+01, 9.161465538562082145e+01, 8.534356418049596016e+01, 7.579503453763371112e+01, 4.782937231131550959e+01, 1.119092190739726220e+02, 7.095074258855248672e+01, 6.457382218044874378e+01
1.883000000000000000e+03, 1.130065660199452111e+02, 5.904779273871195500e+01, 8.190625905991446132e+01, 6.041906704383399074e+01, 4.261518759955775693e+01, 9.745909976751771353e+01, 4.322275471602194585e+01, 6.193229857586477038e+01, 6.799048001562772470e+01, 9.135153670904921341e+01, 8.497651501915312622e+01, 7.566150785291898728e+01, 4.712752539741155999e+01, 1.120201298887521091e+02, 7.054954095898057176e+01, 6.429242669779858943e+01
1.884000000000000000e+03, 1.132060383654222164e+02, 5.915599821998900154e+01, 8.163895928722929796e+01, 6.074074731189357834e+01, 4.259262075120559388e+01, 9.773786600205407638e+01, 4.300689648828300449e+01, 6.202776898581061005e+01, 6.790016080995971492e+01, 9.128426545200298392e+01, 8.494132154563396853e+01, 7.556556062296232312e+01, 4.682932360015527706e+01, 1.124536003230751646e+02, 7.054251549660571641e+01, 6.402651042749390342e+01
1.885000000000000000e+03, 1.133094000871039100e+02, 5.939322869179852660e+01, 8.124468923485788707e+01, 6.079452700945365251e+01, 4.261940785937136411e+01, 9.785279876099959040e+01, 4.280656546717761302e+01, 6.208121743825552130e+01, 6.772035550881420818e+01, 9.109514712223391086e+01, 8.475142658141001561e+01, 7.556951218158907579e+01, 4.672276137659901707e+01, 1.127014089298820068e+02, 7.060324112237687189e+01, 6.392401709544598276e+01
1.886000000000000000e+03, 1.134171357122446580e+02, 5.960666947231256785e+01, 8.104426208810389198e+01, 6.025273707713798643e+01, 4.230720606716624133e+01, 9.785902991165553999e+01, 4.281180311091413415e+01, 6.199984983917230608e+01, 6.759909507475734358e+01, 9.096169969513158549e+01, 8.457281229951622947e+01, 7.547937418917523189e+01, 4.705463968887364246e+01, 1.125762821616560814e+02, 7.042137634597304441e+01, 6.382692388859221211e+01
1.887000000000000000e+03, 1.132893192819959864e+02, 5.949085748419754793e+01, 8.114415740953289458e+01, 5.992340880602636588e+01, 4.192348972679430830e+01, 9.784644489619707031e+01, 4.268524832728815710e+01, 6.189766091380599988e+01, 6.737571460279579583e+01, 9.050493670777233035e+01, 8.447851658045227907e+01, 7.538892586228504911e+01, 4.680084946162530457e+01, 1.124510907248596254e+02, 7.035589271266242406e+01, 6.382141924119897425e+01
1.888000000000000000e+03, 1.133600067174530039e+02, 5.923788181686551013e+01, 8.102434779208088855e+01, 5.917763727093288395e+01, 4.161665676398904168e+01, 9.787927723516357048e+01, 4.254021608369671270e+01, 6.185917375520934058e+01, 6.722114267726401238e+01, 9.027554780023440628e+01, 8.441130682741669489e+01, 7.540680112824310299e+01, 4.697045733749035179e+01, 1.124529473637462615e+02, 7.037492753749057783e+01, 6.386597229191215774e+01
