year, EC-Earth3-Veg, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, UKESM1-0-LL, INM-CM5-0, INM-CM4-8
2.025000000000000000e+03, 2.694593943751837628e+02, 2.705432852538569364e+02, 2.681266774654720848e+02, 2.698938061912706985e+02, 2.729046562693722535e+02, 2.713012558201382376e+02, 2.724834955669706460e+02, 2.714614592409852776e+02, 2.701336821372521513e+02, 2.693893728669433472e+02, 2.708108320238577562e+02, 2.686522958685648064e+02, 2.718660898409522702e+02, 2.697949232482423554e+02, 2.709043756418724911e+02, 2.697788307432810484e+02
2.026000000000000000e+03, 2.691699685987429689e+02, 2.717393388531362461e+02, 2.686163849392694942e+02, 2.707536564379199149e+02, 2.718509690684466023e+02, 2.711732988380722986e+02, 2.733657116663464990e+02, 2.712077825135646094e+02, 2.718757825523756537e+02, 2.699347953926961168e+02, 2.712230279746456176e+02, 2.692969356063090345e+02, 2.709324094952008863e+02, 2.704457645338601424e+02, 2.703485414110428451e+02, 2.700500245128428105e+02
2.027000000000000000e+03, 2.694150121466246901e+02, 2.725620108703505480e+02, 2.690358823615087545e+02, 2.702625208781946071e+02, 2.716504188468732650e+02, 2.702458703223676366e+02, 2.720631958556027143e+02, 2.711539852203098349e+02, 2.715807813219105356e+02, 2.694550264465959231e+02, 2.712129194408434500e+02, 2.687815168360601774e+02, 2.711414914473955378e+02, 2.699473592129845656e+02, 2.701815575192572396e+02, 2.697590233290072206e+02
2.028000000000000000e+03, 2.690174528786926658e+02, 2.723875735820056434e+02, 2.692353141169224386e+02, 2.698390376962823325e+02, 2.715112087400070777e+02, 2.711356059096153217e+02, 2.730393480345861121e+02, 2.718316118238528816e+02, 2.709947968597837189e+02, 2.689378905209059667e+02, 2.707424803920079057e+02, 2.687731172402472453e+02, 2.716802371656140167e+02, 2.699335704543411794e+02, 2.696843181751999623e+02, 2.696545110510232917e+02
2.029000000000000000e+03, 2.700642837551706066e+02, 2.705020658862226810e+02, 2.708491958444317902e+02, 2.696410808102369856e+02, 2.721825607366504300e+02, 2.710228819216581542e+02, 2.723404194036143622e+02, 2.721565527851239494e+02, 2.718625095544779811e+02, 2.697869152420826140e+02, 2.717024529112323989e+02, 2.694449315542238992e+02, 2.719357784957591662e+02, 2.699385726593509958e+02, 2.716948020566121045e+02, 2.699739604420912542e+02
2.030000000000000000e+03, 2.695481808558113812e+02, 2.721680120012235875e+02, 2.708109352389585069e+02, 2.702279874186896791e+02, 2.727421599725047940e+02, 2.705101720672182068e+02, 2.737413406889263570e+02, 2.716586482303836760e+02, 2.703748454927064131e+02, 2.701883655819015075e+02, 2.716835132521417790e+02, 2.695400168562323415e+02, 2.714877743465760886e+02, 2.707951634358313413e+02, 2.711969014278016061e+02, 2.701733640039484499e+02
2.031000000000000000e+03, 2.690910660040062226e+02, 2.719566790210539011e+02, 2.711105921384352087e+02, 2.694611732195309060e+02, 2.724807800210139135e+02, 2.710609143878903069e+02, 2.735175978853306447e+02, 2.712339609116155543e+02, 2.705468205159081094e+02, 2.693701088940745194e+02, 2.719920922278085982e+02, 2.704643403897543408e+02, 2.716106930174486251e+02, 2.702900414373281137e+02, 2.718073442794883476e+02, 2.700053184554478776e+02
2.032000000000000000e+03, 2.693748333763400638e+02, 2.710446537065414532e+02, 2.695117838580091529e+02, 2.704324454551382928e+02, 2.728143403819486821e+02, 2.724659387407330655e+02, 2.737971695846587181e+02, 2.717407673008239044e+02, 2.716464109576699002e+02, 2.698621866517193553e+02, 2.713395255687669874e+02, 2.698091869781614491e+02, 2.724206655637527774e+02, 2.712390869053259621e+02, 2.706168976998806102e+02, 2.694032728924291291e+02
2.033000000000000000e+03, 2.693735332335124895e+02, 2.722598975819548173e+02, 2.697855955116814926e+02, 2.692898596102442639e+02, 2.717878662474048497e+02, 2.721949152224106570e+02, 2.732006269556690654e+02, 2.715790733211208021e+02, 2.717167097047889115e+02, 2.702028454660535886e+02, 2.714662492284210771e+02, 2.689892218455387365e+02, 2.714423697121463306e+02, 2.692050666414567672e+02, 2.708535074072580642e+02, 2.711195150911505038e+02
2.034000000000000000e+03, 2.689715982468694619e+02, 2.716761752949663560e+02, 2.707399220266597126e+02, 2.707825032495866822e+02, 2.719967024260800486e+02, 2.716203476119499101e+02, 2.729311227362910586e+02, 2.705202951770458526e+02, 2.716239016666885391e+02, 2.696522067879359952e+02, 2.719374154828338419e+02, 2.687478532597248204e+02, 2.727825579440456067e+02, 2.704624191013862173e+02, 2.708506828666994579e+02, 2.691060632143180555e+02
2.035000000000000000e+03, 2.689573405531111803e+02, 2.710998647501613732e+02, 2.703745763396091775e+02, 2.705972204846049749e+02, 2.725593987316922266e+02, 2.727696045785161232e+02, 2.719819256500539950e+02, 2.703276032245894385e+02, 2.720749373512316538e+02, 2.701453622284833500e+02, 2.718389702473848502e+02, 2.693783756550642465e+02, 2.725270845548272973e+02, 2.717363045832203738e+02, 2.712090799331793960e+02, 2.702333959053425474e+02
2.036000000000000000e+03, 2.687274486561074127e+02, 2.719077315344997601e+02, 2.715856319759247413e+02, 2.696175315486615887e+02, 2.714673914385268745e+02, 2.729480388162081113e+02, 2.735267287793902256e+02, 2.725060685891854177e+02, 2.707190453938314931e+02, 2.700350196254031516e+02, 2.715230709513801344e+02, 2.690332608916893946e+02, 2.723882467518308772e+02, 2.718117670457514237e+02, 2.714431307364451413e+02, 2.712003716286741337e+02
2.037000000000000000e+03, 2.698399282267083663e+02, 2.716283877783345702e+02, 2.690524840792143095e+02, 2.711738706439115276e+02, 2.716529806001763063e+02, 2.724320252091991961e+02, 2.735899210794618170e+02, 2.711345878683008550e+02, 2.724003955677304702e+02, 2.710287435495663431e+02, 2.711837690237416041e+02, 2.707612413324490603e+02, 2.724761487958033399e+02, 2.713410496739717246e+02, 2.721484469391135690e+02, 2.710483604660914239e+02
2.038000000000000000e+03, 2.707654582741252511e+02, 2.716867940283006533e+02, 2.688336868451911528e+02, 2.706479095749510293e+02, 2.725808484685461508e+02, 2.715233208567153156e+02, 2.733532594209744389e+02, 2.723699223385366395e+02, 2.726177317414842491e+02, 2.690321469259241667e+02, 2.715945541606817528e+02, 2.699791087391411111e+02, 2.717105063620500687e+02, 2.700700320805719343e+02, 2.714087158198300926e+02, 2.708734053700625850e+02
2.039000000000000000e+03, 2.706401503348586175e+02, 2.727750104662043213e+02, 2.705607263832141030e+02, 2.696565630843138592e+02, 2.718746199800914951e+02, 2.706824393628925236e+02, 2.740743180160312704e+02, 2.723057708548624873e+02, 2.720195487110806312e+02, 2.700147938802358567e+02, 2.719969248649562701e+02, 2.698287934302313147e+02, 2.716030352964457961e+02, 2.712229834944450317e+02, 2.714839953716322611e+02, 2.703061376819010775e+02
2.040000000000000000e+03, 2.705239294249061004e+02, 2.713590151526812519e+02, 2.696337543635919474e+02, 2.704202531868778010e+02, 2.715129845476128594e+02, 2.717460852030178557e+02, 2.734004255581670009e+02, 2.725344574805002935e+02, 2.729601270746315436e+02, 2.722982200036202585e+02, 2.721566040666190816e+02, 2.702673673442264430e+02, 2.720517764828316558e+02, 2.719174287740090676e+02, 2.705122382567699333e+02, 2.706755631115307779e+02
2.041000000000000000e+03, 2.699399462587317657e+02, 2.716652380756573848e+02, 2.709225738437787072e+02, 2.705520333154231594e+02, 2.729856365084895629e+02, 2.731778012399595355e+02, 2.745555858538461393e+02, 2.717156356337578131e+02, 2.728316765480024060e+02, 2.705610709243429142e+02, 2.719813968307795449e+02, 2.701928340006912208e+02, 2.721153248318321971e+02, 2.710976206910069664e+02, 2.709149447181005712e+02, 2.700901559041970472e+02
2.042000000000000000e+03, 2.689614228898716988e+02, 2.717391776972152115e+02, 2.726720063967451324e+02, 2.702949855283570741e+02, 2.724460614162674688e+02, 2.729526694230124804e+02, 2.743249474336024605e+02, 2.719490382586129158e+02, 2.722622881769843275e+02, 2.701100943988124072e+02, 2.710809983456539953e+02, 2.699758496763692506e+02, 2.716969630997057834e+02, 2.701522705223425760e+02, 2.712992193452138849e+02, 2.705289329621890033e+02
2.043000000000000000e+03, 2.688550411757283882e+02, 2.733483128731051579e+02, 2.717932224280718856e+02, 2.706824261362580160e+02, 2.718703884942497666e+02, 2.720123325096343478e+02, 2.736536050622212883e+02, 2.715030383618063752e+02, 2.723599025022687670e+02, 2.707204111162789104e+02, 2.718570082814256921e+02, 2.705523088919401857e+02, 2.714959504642023944e+02, 2.711425130724819610e+02, 2.717786423382333965e+02, 2.710041999523199934e+02
2.044000000000000000e+03, 2.700653360641987888e+02, 2.722302771596835100e+02, 2.706762749356752238e+02, 2.703472989333928354e+02, 2.722551155077419480e+02, 2.728109321919391732e+02, 2.739400550983419862e+02, 2.720713295076038207e+02, 2.714613405099121906e+02, 2.707012233864016366e+02, 2.725771228404033195e+02, 2.703018244855190915e+02, 2.729999952072265614e+02, 2.711122962380948138e+02, 2.717388353976206190e+02, 2.703272832865774262e+02
2.045000000000000000e+03, 2.702985408031851762e+02, 2.723917113462617294e+02, 2.714365631323425418e+02, 2.714393600897101919e+02, 2.728849751172501783e+02, 2.729797567354588068e+02, 2.744012708454619656e+02, 2.722499015008872902e+02, 2.723432662126922992e+02, 2.702257800641213521e+02, 2.722926707178394281e+02, 2.689139686276737962e+02, 2.717758419883516012e+02, 2.716416158159977385e+02, 2.713975037942323070e+02, 2.713823806816774322e+02
2.046000000000000000e+03, 2.704260540715544039e+02, 2.707416305411523467e+02, 2.714356005114134405e+02, 2.698422377654721345e+02, 2.719446038784176949e+02, 2.746305369336138256e+02, 2.734516862061190068e+02, 2.720108794510533698e+02, 2.729622027757865226e+02, 2.719146362687473015e+02, 2.721787400736760105e+02, 2.697960406932244837e+02, 2.717107157711736818e+02, 2.715507356131086567e+02, 2.718136796726846569e+02, 2.709283952266944766e+02
2.047000000000000000e+03, 2.713845191899890210e+02, 2.715453396823107255e+02, 2.723758296585921244e+02, 2.702114302575041052e+02, 2.728489415611185223e+02, 2.731278519201297286e+02, 2.755182605287384945e+02, 2.720756937645591620e+02, 2.729573546957495296e+02, 2.693711150212116650e+02, 2.719004519276709857e+02, 2.703114622097188544e+02, 2.727452168028508481e+02, 2.710448941210940461e+02, 2.713963319053623309e+02, 2.710619482448918802e+02
2.048000000000000000e+03, 2.710692471347533683e+02, 2.737262251183556145e+02, 2.705470849287225974e+02, 2.705361455144779939e+02, 2.727257255360037220e+02, 2.740077888455474522e+02, 2.750907077878022733e+02, 2.729721470795946630e+02, 2.717358814496265040e+02, 2.697407786556301517e+02, 2.727250466571686047e+02, 2.704455354989879083e+02, 2.732775510014833458e+02, 2.708922255462145472e+02, 2.713865542914690536e+02, 2.707412157682723546e+02
2.049000000000000000e+03, 2.699674347265693655e+02, 2.726749537495284130e+02, 2.717208244677843823e+02, 2.702083052618518195e+02, 2.713839875822167187e+02, 2.729826983516175574e+02, 2.758539360757618510e+02, 2.723458334264531118e+02, 2.734069512553851382e+02, 2.716569089377027808e+02, 2.723596024706039316e+02, 2.716486220672468335e+02, 2.730239269412608678e+02, 2.715793217656078014e+02, 2.711483716328673950e+02, 2.710831029249488893e+02
2.050000000000000000e+03, 2.694685856205624646e+02, 2.725865599170580822e+02, 2.714268500664167050e+02, 2.708043938233459471e+02, 2.721874912669834998e+02, 2.741896051593322454e+02, 2.747560753045660249e+02, 2.731243661761680528e+02, 2.727054931269379381e+02, 2.713997360425272518e+02, 2.713874863744945287e+02, 2.702986724458679078e+02, 2.730260524957596999e+02, 2.718678761446660133e+02, 2.714656863356016174e+02, 2.708297480845232599e+02
2.051000000000000000e+03, 2.719411535438500209e+02, 2.724164711193624271e+02, 2.726637124719443364e+02, 2.714095274308850776e+02, 2.733192296548667741e+02, 2.738320168054218016e+02, 2.750441584406626703e+02, 2.727586842722537881e+02, 2.740157302990664334e+02, 2.704101361575514488e+02, 2.721038391779725885e+02, 2.707066415398946333e+02, 2.735301022730538421e+02, 2.723074932661890557e+02, 2.715486933411835366e+02, 2.717819436299307654e+02
2.052000000000000000e+03, 2.719664527887362624e+02, 2.727555528019905751e+02, 2.704704866330172877e+02, 2.725639442292880972e+02, 2.736964374224076550e+02, 2.734888166046753781e+02, 2.760079950704391081e+02, 2.722381174243535611e+02, 2.737946806730553249e+02, 2.717456728452978041e+02, 2.729761772225044751e+02, 2.712587277767855767e+02, 2.737395142617858141e+02, 2.718176355671231477e+02, 2.723885197763809174e+02, 2.706011917548539145e+02
2.053000000000000000e+03, 2.719213105315212147e+02, 2.731232971183716245e+02, 2.718160027545778235e+02, 2.724949002534905844e+02, 2.723375836031049175e+02, 2.731157047665308824e+02, 2.751196583004315812e+02, 2.731115609359526957e+02, 2.738497883084195337e+02, 2.717336951975134411e+02, 2.728513048060711412e+02, 2.707196835594319282e+02, 2.732992627473486777e+02, 2.710243749213205433e+02, 2.724401220795856489e+02, 2.702484972486602146e+02
2.054000000000000000e+03, 2.716988306235933806e+02, 2.722213165307337590e+02, 2.722114363813037698e+02, 2.716839617795262143e+02, 2.715980322827099940e+02, 2.735971050561340121e+02, 2.742312707982868005e+02, 2.736267290844047579e+02, 2.736639269224896793e+02, 2.717673283856745456e+02, 2.726568346117980468e+02, 2.703562333901013517e+02, 2.731566424863025304e+02, 2.730708289846298840e+02, 2.713113151473622793e+02, 2.711781879412811804e+02
2.055000000000000000e+03, 2.716303139426548228e+02, 2.723013875849173360e+02, 2.713023869544358604e+02, 2.712465951427800519e+02, 2.729501702116610886e+02, 2.739437402671867403e+02, 2.756547446753186819e+02, 2.734955258629324817e+02, 2.740386931113454807e+02, 2.713857091668839416e+02, 2.725583096363122877e+02, 2.704984887929390993e+02, 2.743512746534802886e+02, 2.735873858745854363e+02, 2.714171045966674569e+02, 2.710674372000752896e+02
2.056000000000000000e+03, 2.718379768524434326e+02, 2.728413607269390013e+02, 2.729079449244972579e+02, 2.711753372991777269e+02, 2.735623779017058155e+02, 2.739632424211343960e+02, 2.753545331655685686e+02, 2.729484676043034597e+02, 2.736777080673279556e+02, 2.709646511341476298e+02, 2.726669285021761198e+02, 2.708781746145868397e+02, 2.745486995174081244e+02, 2.733555291767299309e+02, 2.711568682452021903e+02, 2.710957932260274674e+02
2.057000000000000000e+03, 2.720632411649499431e+02, 2.736795912969476490e+02, 2.734900443844123856e+02, 2.711696527787438527e+02, 2.718520774611839670e+02, 2.741162532743285851e+02, 2.756479245965144287e+02, 2.736349070017508325e+02, 2.733277225719817238e+02, 2.702435768941232368e+02, 2.733023529442182280e+02, 2.715863378499387863e+02, 2.741863642343056995e+02, 2.729875044173132324e+02, 2.723217290238148962e+02, 2.716309217472528417e+02
2.058000000000000000e+03, 2.722100032126527367e+02, 2.718432591739883151e+02, 2.733689393508621492e+02, 2.713957163707732434e+02, 2.719568643483603410e+02, 2.729018539554458016e+02, 2.759699423031490255e+02, 2.727376876647657014e+02, 2.735991921943163447e+02, 2.707449781024972708e+02, 2.729180203087154837e+02, 2.710557000686436027e+02, 2.743254062147173045e+02, 2.731171739638387521e+02, 2.722001621882407107e+02, 2.719617227527536443e+02
2.059000000000000000e+03, 2.715991741019678329e+02, 2.725298844435091610e+02, 2.728390955630461008e+02, 2.714771417827279265e+02, 2.734199645086598025e+02, 2.736723850482314333e+02, 2.756300285155983829e+02, 2.731146497997971210e+02, 2.739158613529625654e+02, 2.719487200200628649e+02, 2.728590990821824107e+02, 2.708786577870336600e+02, 2.734703105172048367e+02, 2.726929538276214089e+02, 2.732291095074475606e+02, 2.716448205439625099e+02
2.060000000000000000e+03, 2.714136882315516459e+02, 2.726640573055956338e+02, 2.744654741754418978e+02, 2.720328867602493688e+02, 2.730148561419076145e+02, 2.739472507873890663e+02, 2.761138056216049677e+02, 2.740179460086552581e+02, 2.736950425480931131e+02, 2.707328076655753080e+02, 2.728194158129109042e+02, 2.713211976132436121e+02, 2.733027697243285843e+02, 2.728553797563189960e+02, 2.724703019289709118e+02, 2.718130922575541035e+02
2.061000000000000000e+03, 2.718541205090971857e+02, 2.732485056265005596e+02, 2.733843934882212352e+02, 2.717901131443175586e+02, 2.723599739364045718e+02, 2.742115837562154752e+02, 2.756494168692075846e+02, 2.743955385709173811e+02, 2.739573895459431583e+02, 2.718180171858600715e+02, 2.739609560941663631e+02, 2.709387167552092137e+02, 2.743466257381041373e+02, 2.724646565503513784e+02, 2.711754564070335505e+02, 2.720523139540219404e+02
2.062000000000000000e+03, 2.726011176436908841e+02, 2.733467315868079481e+02, 2.735887779348572053e+02, 2.718994477894848956e+02, 2.733567711847860551e+02, 2.753138720327322631e+02, 2.768802094815005148e+02, 2.742296837688476785e+02, 2.750626737970527529e+02, 2.716739948870497869e+02, 2.733071297976763958e+02, 2.706773048961981090e+02, 2.743330078254213049e+02, 2.718048041683367160e+02, 2.727977915717032715e+02, 2.723152375010263881e+02
2.063000000000000000e+03, 2.712259841974168921e+02, 2.728362027845631133e+02, 2.722942173900010516e+02, 2.717046944633842145e+02, 2.736067389157244065e+02, 2.731809885069626489e+02, 2.769256805274154658e+02, 2.737071922062517615e+02, 2.747646898951057324e+02, 2.718446778639538479e+02, 2.725905901266789897e+02, 2.705835817619944805e+02, 2.742786453424536148e+02, 2.725482878850894508e+02, 2.721013627072006216e+02, 2.717891289046530119e+02
2.064000000000000000e+03, 2.725540321163696831e+02, 2.725689561273761115e+02, 2.735792355974373322e+02, 2.715517512919133765e+02, 2.736074201791442420e+02, 2.732231166342625670e+02, 2.763094241040199677e+02, 2.743674977361313267e+02, 2.741690545343626582e+02, 2.712596393453928840e+02, 2.726830113365605257e+02, 2.711195457860494571e+02, 2.743020151326362566e+02, 2.734950141490642181e+02, 2.717112764734463894e+02, 2.724050199608430489e+02
2.065000000000000000e+03, 2.722887305470572414e+02, 2.735702247193387961e+02, 2.737598609483163159e+02, 2.723109184909278611e+02, 2.725443031723112313e+02, 2.736564051788186021e+02, 2.769599227583942707e+02, 2.737601233223838335e+02, 2.753959666062138467e+02, 2.718726581003897991e+02, 2.736492552902592479e+02, 2.717559660740643608e+02, 2.753890990929148188e+02, 2.732577389936309942e+02, 2.717961115698560093e+02, 2.720579317059147684e+02
2.066000000000000000e+03, 2.725400964610186065e+02, 2.741269805164998843e+02, 2.737425410377916251e+02, 2.720416963496887206e+02, 2.743497759803647114e+02, 2.743323283563973405e+02, 2.774761164291351179e+02, 2.741127319810302652e+02, 2.752244760149840204e+02, 2.714155880093713904e+02, 2.739621586814413945e+02, 2.720757953481559639e+02, 2.753562003874419020e+02, 2.725077423782122992e+02, 2.722306209505812831e+02, 2.722709404091496026e+02
2.067000000000000000e+03, 2.735360533872337214e+02, 2.728638268761648078e+02, 2.744055362655450949e+02, 2.718828625470565044e+02, 2.734562754395713569e+02, 2.743034743831173614e+02, 2.777194763963240689e+02, 2.740469013171579036e+02, 2.748546399143765484e+02, 2.725351550908437162e+02, 2.730730696225858196e+02, 2.725493363227756731e+02, 2.747993123456687385e+02, 2.737535009974239983e+02, 2.731376131738305730e+02, 2.724412792668257453e+02
2.068000000000000000e+03, 2.725795796633123018e+02, 2.744105607032070111e+02, 2.746839687447636038e+02, 2.729722466709258697e+02, 2.740376389446858525e+02, 2.758081630166736886e+02, 2.767840831575436482e+02, 2.740757257135421696e+02, 2.740204520559422008e+02, 2.711341570732770947e+02, 2.740128505167480171e+02, 2.717866277200332092e+02, 2.747211224666838234e+02, 2.738613640580809374e+02, 2.724263143460772767e+02, 2.726337521583686794e+02
2.069000000000000000e+03, 2.721909933962210175e+02, 2.743192934227580508e+02, 2.744418523941448029e+02, 2.733373355953085593e+02, 2.734123299680162518e+02, 2.737334823882414412e+02, 2.771971201847638895e+02, 2.749283734085483388e+02, 2.749535757147991148e+02, 2.720591822177588028e+02, 2.736283548784437016e+02, 2.720741938596576688e+02, 2.747859313912089192e+02, 2.726834224187625182e+02, 2.734153145411142987e+02, 2.731687258825355684e+02
2.070000000000000000e+03, 2.721557261546137170e+02, 2.739811262015040825e+02, 2.737483285036513507e+02, 2.720234180633189567e+02, 2.741348929910330412e+02, 2.752353040368511756e+02, 2.759327743770210759e+02, 2.749338599469424480e+02, 2.743923631592487027e+02, 2.731172067893389794e+02, 2.738378636290742065e+02, 2.720400397386063105e+02, 2.751028223849901337e+02, 2.733289129591896085e+02, 2.723805204134430369e+02, 2.728362069247792192e+02
2.071000000000000000e+03, 2.734299924292707260e+02, 2.741964643732590616e+02, 2.738128438524898911e+02, 2.724944185713387128e+02, 2.746501442562252464e+02, 2.754411940394581393e+02, 2.764750543936045233e+02, 2.734049996253644395e+02, 2.752222446352822089e+02, 2.714124351178728602e+02, 2.739204277796697511e+02, 2.722273371108082074e+02, 2.748943708442026832e+02, 2.739364338283637039e+02, 2.729466488962647759e+02, 2.725809564178346136e+02
2.072000000000000000e+03, 2.727023218783892844e+02, 2.741138045967351786e+02, 2.737612221894809750e+02, 2.725436906757799420e+02, 2.735627679188547177e+02, 2.753383738758105324e+02, 2.761729209576948847e+02, 2.749850665663296923e+02, 2.754476093512282091e+02, 2.729519549043179723e+02, 2.728910371390423393e+02, 2.718481148990891825e+02, 2.756024282522850513e+02, 2.735622968525558463e+02, 2.731018860465187004e+02, 2.726881740585646412e+02
2.073000000000000000e+03, 2.738335415607928098e+02, 2.740751148369539010e+02, 2.739761848339263679e+02, 2.732281445789095642e+02, 2.746522561537518072e+02, 2.751088775859510065e+02, 2.768724877888384981e+02, 2.742875422809076440e+02, 2.760113343019578451e+02, 2.731223260907021881e+02, 2.741666850448646073e+02, 2.728650636753697540e+02, 2.749808213155631051e+02, 2.738866233573932618e+02, 2.723407993504981732e+02, 2.726473063239863563e+02
2.074000000000000000e+03, 2.725573470799700431e+02, 2.756887462849579151e+02, 2.757191367713338650e+02, 2.726571221666418410e+02, 2.751243628190263735e+02, 2.741072621266425244e+02, 2.769352689242150518e+02, 2.752124276411507822e+02, 2.756748456290774811e+02, 2.730698932895690518e+02, 2.743059769695467480e+02, 2.723842870932794540e+02, 2.754520797226062427e+02, 2.738067416865298469e+02, 2.737598754805560475e+02, 2.725387717664204388e+02
2.075000000000000000e+03, 2.735574748991338652e+02, 2.736627801826690529e+02, 2.744917425111321450e+02, 2.731229865396265382e+02, 2.733653508761724993e+02, 2.742481040926493279e+02, 2.777510536975547666e+02, 2.745064704284772006e+02, 2.755355104348431041e+02, 2.727980169860269939e+02, 2.741983851251717397e+02, 2.723397377991548183e+02, 2.746325492790332419e+02, 2.750475627168729602e+02, 2.741294947937481083e+02, 2.720881707189611802e+02
2.076000000000000000e+03, 2.730283652087339874e+02, 2.746624176541528186e+02, 2.736172401837341113e+02, 2.731765152646634078e+02, 2.729191374792214333e+02, 2.750065142698699105e+02, 2.776771284084981630e+02, 2.755208560881475819e+02, 2.758961400334868017e+02, 2.720628582471022696e+02, 2.738656182438044198e+02, 2.717919142543606768e+02, 2.753384269134757574e+02, 2.745158176298691046e+02, 2.728968617961592145e+02, 2.727106051586180797e+02
