year, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L, GFDL-ESM4, CanESM5, UKESM1-0-LL, TaiESM1, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-ESM2, EC-Earth3-Veg, INM-CM5-0
2.040000000000000000e+03, 1.455245050899364401e+00, 1.515134498327761703e+00, 1.614892706890725949e+00, 1.370448153933938817e+00, 1.074269506193600288e+00, 1.011553342544224021e+00, 8.307355357915540139e-01, 2.611454812991010233e+00, 1.141016522699171309e+00, 2.080956781068110217e+00, 1.231199492529007733e+00, 1.305890024930263182e+00, 1.189758307798838732e+00, 2.046008464673918947e+00, 1.155616438274554847e+00, 9.978071749914317889e-01
2.041000000000000000e+03, 1.509913865631656638e+00, 1.493813219503832723e+00, 1.654765930151805842e+00, 1.321820897860391808e+00, 1.074864929338364972e+00, 9.913983521562340639e-01, 7.991678427664773432e-01, 2.615092747256111405e+00, 1.160139595694396064e+00, 2.066041614077884336e+00, 1.259948098979678077e+00, 1.305972671044952182e+00, 1.238885547110647245e+00, 2.095804776013444393e+00, 1.165575460343360348e+00, 1.027817689148420977e+00
2.042000000000000000e+03, 1.498136980463418366e+00, 1.490080090526324508e+00, 1.658318020898901013e+00, 1.320217027191366022e+00, 1.053020580931507855e+00, 9.782901731037177973e-01, 8.150092159134889602e-01, 2.613958579742508448e+00, 1.179144042441221174e+00, 2.044402875291223776e+00, 1.314494757259228042e+00, 1.301094589863892370e+00, 1.208100126608096403e+00, 2.140639227086531093e+00, 1.170160806582088320e+00, 1.063928456802528455e+00
2.043000000000000000e+03, 1.478164066227191764e+00, 1.524816155720751354e+00, 1.630169042631816945e+00, 1.363395283027654115e+00, 1.067026683480134963e+00, 1.033832815839847319e+00, 8.429375983395682725e-01, 2.658510851407912323e+00, 1.156112307405868567e+00, 2.058692039775599447e+00, 1.292262597253760470e+00, 1.313032274399255073e+00, 1.285060769726461105e+00, 2.129588881267072242e+00, 1.126226490199712993e+00, 1.093118013610236972e+00
2.044000000000000000e+03, 1.527881636090657747e+00, 1.515086881246957562e+00, 1.587232177412262857e+00, 1.423071597772307850e+00, 1.073630693353988086e+00, 9.819214427933390388e-01, 8.263279007629059647e-01, 2.644540438638534052e+00, 1.179733681994960204e+00, 2.066874803610874611e+00, 1.270063782745276981e+00, 1.326275737519816644e+00, 1.327153360453459108e+00, 2.197506319589219270e+00, 1.152197800946388462e+00, 1.088898472568252451e+00
2.045000000000000000e+03, 1.562190860094828659e+00, 1.509804092733646019e+00, 1.568237496692557187e+00, 1.417400944756253889e+00, 1.084037642745413255e+00, 1.017329244331748095e+00, 8.450340914219671706e-01, 2.652351198904491891e+00, 1.195346622604517517e+00, 2.109928414299725219e+00, 1.284180768069309142e+00, 1.329399557008183796e+00, 1.288852535801436883e+00, 2.246692327966693270e+00, 1.161214743724417353e+00, 1.080752156432488453e+00
2.046000000000000000e+03, 1.530092152139111539e+00, 1.516279103311215293e+00, 1.604007767725863731e+00, 1.476062526013240506e+00, 1.120696757313695668e+00, 1.027830709246968954e+00, 8.548926356178909725e-01, 2.684568004440303302e+00, 1.199466586182207362e+00, 2.101530295887287902e+00, 1.300929159435130211e+00, 1.342160382035352928e+00, 1.287213137734598778e+00, 2.253263626869149050e+00, 1.183217158138716751e+00, 1.031309577518442433e+00
2.047000000000000000e+03, 1.514982114198302865e+00, 1.525474183009022600e+00, 1.653393969753507609e+00, 1.437381691725665434e+00, 1.138390305496223442e+00, 1.051391899407654762e+00, 7.993751518958721602e-01, 2.715958763412764654e+00, 1.267359352221607116e+00, 2.091087642639904765e+00, 1.332674438847562870e+00, 1.324737215423198888e+00, 1.258678584733643691e+00, 2.207092648726203254e+00, 1.223020759128408574e+00, 1.031980435732033019e+00
2.048000000000000000e+03, 1.494249190491173884e+00, 1.526082671077553909e+00, 1.685417111863718009e+00, 1.500391869497327946e+00, 1.092519835618367186e+00, 1.007415238942777291e+00, 8.708863454432639317e-01, 2.717426596167825004e+00, 1.233620303292589204e+00, 2.111394532789902634e+00, 1.295520668405550468e+00, 1.341523083843032982e+00, 1.371670096758464297e+00, 2.229489122869889428e+00, 1.290906030893779199e+00, 1.062069667875209289e+00
2.049000000000000000e+03, 1.387075137033087602e+00, 1.536411835473341148e+00, 1.615618032933557879e+00, 1.540173448458695082e+00, 1.116332713417008016e+00, 1.044865430223890446e+00, 8.377915424136126443e-01, 2.740456125843210966e+00, 1.277521238679104831e+00, 2.131806963108748842e+00, 1.303685369944354910e+00, 1.378967788842139663e+00, 1.326456619986448704e+00, 2.259764461151113402e+00, 1.283739478974864179e+00, 1.032818384487065755e+00
