year, NorESM2-LM, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4
2.055000000000000000e+03, 2.000505765054919784e-10, 2.014177509229801161e-10, 7.244952449931724971e-10, 5.068032260061551398e-10, 3.633353475308611410e-10
2.056000000000000000e+03, 1.707984889218433691e-10, 1.960650040275229221e-10, 6.884202530389502774e-10, 5.809806494333172712e-10, 3.976595361747362598e-10
2.057000000000000000e+03, 1.833357806045177351e-10, 2.252810466997384136e-10, 9.774962226582862429e-10, 4.838794671177295887e-10, 3.065522319701890180e-10
2.058000000000000000e+03, 1.888169556462028072e-10, 2.073046472214610895e-10, 8.089869377398093490e-10, 3.812892686381394953e-10, 2.734131868796663144e-10
2.059000000000000000e+03, 1.336440221472093514e-10, 1.836177403086623122e-10, 7.206399528279560721e-10, 4.095722171981306892e-10, 3.024557006922781896e-10
2.060000000000000000e+03, 1.330567180065693483e-10, 2.416452445668017413e-10, 9.878226051594536732e-10, 2.832003882665051400e-10, 3.655174833628864315e-10
2.061000000000000000e+03, 1.262753970112516479e-10, 2.012069347475044271e-10, 9.164143766019624261e-10, 3.073450199131470937e-10, 4.429016208490690216e-10
2.062000000000000000e+03, 2.598124007116899607e-10, 2.127771916664613596e-10, 7.011858415826737338e-10, 1.942368607608050969e-10, 3.817674139263169583e-10
2.063000000000000000e+03, 1.070574566906878836e-10, 2.021070632396632053e-10, 1.104429798537336247e-09, 2.708689884619432279e-10, 3.522508787551301323e-10
2.064000000000000000e+03, 2.526070649101482551e-10, 2.369801019612428267e-10, 7.873924868141428582e-10, 4.199077265623958525e-10, 4.285743750090796498e-10
2.065000000000000000e+03, 6.875635061545759872e-11, 2.328935226046295951e-10, 9.185070804169725291e-10, 4.729691287178085529e-10, 3.301645444459563970e-10
2.066000000000000000e+03, 3.177704055086687977e-10, 2.401999204457578229e-10, 9.321644719645463788e-10, 3.271137295076267793e-10, 4.167659908024736301e-10
2.067000000000000000e+03, 2.274675954998077601e-10, 2.073111172845763399e-10, 9.953248367531064923e-10, 4.971962618900567107e-10, 3.854851385331143403e-10
2.068000000000000000e+03, 2.890330614372727058e-10, 2.122012875447973601e-10, 9.348422060272237485e-10, 2.890586837494665583e-10, 4.633082776542095286e-10
2.069000000000000000e+03, 7.456050666992526131e-11, 2.251171209629680603e-10, 1.021224004003227168e-09, 2.155958075793002258e-10, 5.101032921635679240e-10
2.070000000000000000e+03, 1.709954862892403702e-10, 2.508741317789251401e-10, 1.097879702980506329e-09, 4.244854112073577585e-10, 5.168907561990347078e-10
2.071000000000000000e+03, 4.211723653699376522e-10, 2.172489414541899871e-10, 9.344003862064668682e-10, 3.095043677253470388e-10, 5.206587606805136285e-10
2.072000000000000000e+03, 1.525926714941446025e-10, 2.169634339514259879e-10, 8.565699820652376387e-10, 3.389743894682369988e-10, 4.958557990932950572e-10
2.073000000000000000e+03, 8.626811173181372362e-11, 2.126256525375133786e-10, 9.966599162548374180e-10, 2.682895082524877947e-10, 5.283280507703968073e-10
2.074000000000000000e+03, 2.823735645402050257e-10, 2.450459514561750555e-10, 1.258871425471223760e-09, 3.087932147318284351e-10, 6.421297630767865904e-10
2.075000000000000000e+03, 2.412969349586170630e-10, 2.349004541270139982e-10, 1.052944622200000566e-09, 4.135410654910060769e-10, 5.524572209515713050e-10
2.076000000000000000e+03, 1.474675438778526040e-10, 2.350342947923142506e-10, 1.108633300107229433e-09, 2.346002447452518964e-10, 5.413021752374841254e-10
