year, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM4-8, MPI-ESM1-2-LR, MIROC-ES2L, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, GFDL-ESM4
2.040000000000000000e+03, 1.098799980098223017e+01, 1.391150273157657757e+01, 1.073324801774446158e+01, 1.081967656041780579e+01, 1.069991081849829584e+01, 7.518430298805092171e+00, 1.210234674775127495e+01, 9.759783883994449738e+00, 1.313080440473949650e+01, 1.346541041292065621e+01, 1.146968145307624098e+01, 1.270756391312356826e+01, 1.025580832225140604e+01, 1.074165170903530075e+01, 9.239474917496043105e+00, 1.149276603036622646e+01
2.041000000000000000e+03, 1.090912653726354264e+01, 1.267264323749609822e+01, 1.059730109952305988e+01, 9.366191291169265298e+00, 1.094706219197274244e+01, 7.784725113249714390e+00, 1.257972133704026874e+01, 9.887905310545825444e+00, 1.241904537618482607e+01, 1.300466414599485176e+01, 1.213392404538607217e+01, 1.229849855436375350e+01, 1.131082921227461036e+01, 1.146936428733687130e+01, 9.411809390172749090e+00, 1.136639539070462135e+01
2.042000000000000000e+03, 1.042816948153940260e+01, 1.331348633516685354e+01, 1.096521173657102644e+01, 9.515428858221991248e+00, 1.022266364986489684e+01, 8.276704539459204923e+00, 1.298628557812769380e+01, 9.964578375271125665e+00, 1.239283877400341183e+01, 1.353720830481902127e+01, 1.217095343828153098e+01, 1.242189333817061936e+01, 1.047926263258078095e+01, 1.093373457326456943e+01, 9.143999359273957239e+00, 1.145058165897274272e+01
2.043000000000000000e+03, 1.096307067094347687e+01, 1.393013860216209565e+01, 1.078353722004866455e+01, 1.072536676284559398e+01, 9.886700102884871555e+00, 7.934680071390324940e+00, 1.245618014851429045e+01, 1.052132258695237255e+01, 1.313503799186594456e+01, 1.356015578512248254e+01, 1.159151734230817077e+01, 1.174462361288408552e+01, 1.025835689350389401e+01, 1.211740497599741495e+01, 9.271579140532427488e+00, 1.245136798384606891e+01
2.044000000000000000e+03, 1.076744110230810136e+01, 1.347418698424048600e+01, 1.076866049266281600e+01, 1.084235571206271942e+01, 1.061371239621978191e+01, 7.691477888090654247e+00, 1.266207767869923195e+01, 1.044748284147991768e+01, 1.281495978035689731e+01, 1.331354389091770862e+01, 1.189190209243294305e+01, 1.172302861125473683e+01, 1.104169595117427249e+01, 1.247681454628965092e+01, 9.677188023356702473e+00, 1.180444021943337241e+01
2.045000000000000000e+03, 1.106593485565263890e+01, 1.462428073053884781e+01, 1.142560991628828049e+01, 1.056928123472686742e+01, 1.091430634027302027e+01, 7.947650018616728929e+00, 1.310325023974860059e+01, 1.052409540633739482e+01, 1.255446132522062186e+01, 1.374936017516034070e+01, 1.257441792579688844e+01, 1.179606235736055098e+01, 1.184909410890395343e+01, 1.204744406863148498e+01, 9.553202220558736357e+00, 1.208614804972929946e+01
2.046000000000000000e+03, 1.219634285280083752e+01, 1.401528919413476792e+01, 1.075988135110188892e+01, 1.168930188191404973e+01, 1.113640934556677564e+01, 8.199644821828574237e+00, 1.292121123426298013e+01, 1.049054897940945352e+01, 1.286281605868202682e+01, 1.440325126283945778e+01, 1.296103495963857455e+01, 1.224977515049656596e+01, 1.074510571125176916e+01, 1.193859042881659249e+01, 9.504121428488119250e+00, 1.252208211066546006e+01
2.047000000000000000e+03, 1.214760792725815719e+01, 1.394395117474020118e+01, 1.059677852519013719e+01, 1.080810936534046540e+01, 1.160255757282248013e+01, 8.275628617330447412e+00, 1.397907305305078296e+01, 1.113493208865626016e+01, 1.272549960558828275e+01, 1.311435000338387269e+01, 1.218033023558198380e+01, 1.192842202317431877e+01, 1.080649467712303924e+01, 1.191520442593974671e+01, 9.594351611505992139e+00, 1.256483947011320801e+01
2.048000000000000000e+03, 1.132508167465943139e+01, 1.442919339238371812e+01, 1.099322157207546802e+01, 1.140501118428547045e+01, 1.251649376309279660e+01, 7.770361294328533397e+00, 1.356034920593148208e+01, 1.057700346939770242e+01, 1.330410529691029353e+01, 1.408483953701102287e+01, 1.248861370880046273e+01, 1.282684914226997996e+01, 1.048854570479036852e+01, 1.302863931162364253e+01, 9.913256242016798225e+00, 1.219077661291722592e+01
2.049000000000000000e+03, 1.154548325233407091e+01, 1.433744493133509934e+01, 1.028968002460220177e+01, 1.203256120882485369e+01, 1.114403912914466943e+01, 8.131995205055261522e+00, 1.372658302971882271e+01, 1.059771828377138192e+01, 1.294996938296342748e+01, 1.401676426409595244e+01, 1.185229219220373942e+01, 1.197645347474064259e+01, 9.228278084203278553e+00, 1.241186549115645832e+01, 1.011315734819092427e+01, 1.312042197382372777e+01
2.050000000000000000e+03, 1.147058712261431701e+01, 1.466140392760386391e+01, 1.122222848912877957e+01, 1.218256253127633038e+01, 1.080807190051135080e+01, 8.504513041019942321e+00, 1.337577361482942528e+01, 1.060620391738741120e+01, 1.322989116832200374e+01, 1.309225709803212290e+01, 1.280357301734238540e+01, 1.269400064269059669e+01, 1.014027078449617214e+01, 1.313588285013697643e+01, 1.011504174362827513e+01, 1.229595077544466442e+01
2.051000000000000000e+03, 1.170513054643211959e+01, 1.430724831362547000e+01, 1.107887508611235639e+01, 1.186528219581780697e+01, 1.290537006305631351e+01, 8.654282519736709034e+00, 1.384946783246931545e+01, 1.078221955827225997e+01, 1.366634329914018764e+01, 1.419020716820545935e+01, 1.249650061070243368e+01, 1.280929051882505121e+01, 1.117309990845007839e+01, 1.257976229892857312e+01, 1.012724567211231985e+01, 1.278195206311670873e+01
2.052000000000000000e+03, 1.211709775216406371e+01, 1.411244542143575131e+01, 1.138001170764804115e+01, 1.219875229197782041e+01, 1.265160116190564388e+01, 7.893889447828891903e+00, 1.372011930332446639e+01, 1.053746257700909617e+01, 1.387151743164396045e+01, 1.454772612193500692e+01, 1.172009198744319569e+01, 1.222062137613513322e+01, 1.144578910343225076e+01, 1.148262102665970552e+01, 1.041111821548583016e+01, 1.353131475277624496e+01
