year, NorESM2-MM, NorESM2-LM, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, TaiESM1
2.080000000000000000e+03, 7.634664821862121591e-11, 8.411334552479940778e-11, 2.096271593226082961e-10, 5.860539427423467484e-10, 1.146864714115190124e-10, 4.171107065063405708e-10, 2.435142819424871638e-10, 4.284511034438189767e-10, 4.231539782613697668e-11
2.081000000000000000e+03, 7.606370918643801436e-11, 8.291111532013815987e-11, 2.481474526155930528e-10, 6.411976289157827396e-10, 1.106350964980132045e-10, 4.014716110347815394e-10, 4.190118061258752837e-10, 3.915190299164926837e-10, 4.121216397847079677e-11
2.082000000000000000e+03, 7.503637881910369456e-11, 8.210648795540775614e-11, 2.936307815647641839e-10, 6.656501208904733596e-10, 1.138960140985356951e-10, 4.024851199671914819e-10, 3.092464634991158431e-10, 4.217538626058947906e-10, 4.118054009512886766e-11
2.083000000000000000e+03, 7.454248473623195672e-11, 8.134644995247642019e-11, 2.327236314391921741e-10, 5.851318481401526301e-10, 1.317214659800184618e-10, 4.036791402007226555e-10, 2.748300637027288208e-10, 3.950987051838467137e-10, 4.098263765083401717e-11
2.084000000000000000e+03, 7.396787487085630933e-11, 8.029604355573327491e-11, 2.727181711132819458e-10, 7.119448606128945765e-10, 1.613132918438558012e-10, 3.976801287947683543e-10, 4.457934885637169860e-10, 4.126006941352908196e-10, 4.093696917061434870e-11
2.085000000000000000e+03, 7.287497696096798356e-11, 7.911323258670443887e-11, 2.839350038896383790e-10, 6.342233494217473373e-10, 1.904483888948016184e-10, 3.982896986510543136e-10, 2.148775225544986784e-10, 4.405719498052623079e-10, 4.090467370132157829e-11
2.086000000000000000e+03, 7.254537271965855980e-11, 7.880846753808571650e-11, 2.640935858970607896e-10, 6.759785607944014843e-10, 2.159878148621102399e-10, 3.913203944170416208e-10, 3.787712781426557256e-10, 4.242906731886279502e-10, 4.051962729266548073e-11
2.087000000000000000e+03, 7.204617008365127463e-11, 7.806915377427347225e-11, 2.788551163907191811e-10, 6.802486027860656624e-10, 1.804894540255129610e-10, 3.959857490527246369e-10, 3.633898922807309738e-10, 4.550965535513145645e-10, 4.304601788176057821e-11
2.088000000000000000e+03, 7.795429574198058687e-11, 7.997190654667201965e-11, 2.604105371459588386e-10, 6.543930246498946519e-10, 1.691905727860818660e-10, 3.954090368890175014e-10, 4.353389959724937967e-10, 4.238361984045687088e-10, 3.691730149875491534e-11
2.089000000000000000e+03, 6.900793223357146568e-11, 7.344266893748485903e-11, 2.923816820334585294e-10, 7.274797088357607672e-10, 1.670115425616132932e-10, 4.016267297407231316e-10, 3.328175140634591708e-10, 4.394438922034755039e-10, 3.962366875437402871e-11
