year, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, MPI-ESM1-2-LR
2.025000000000000000e+03, 6.189862042529324648e-03, 1.554892727197428742e-02, 6.680064540233231485e-01, 1.230846991433157955e-01, 9.301224622273557285e-01, 1.320841932120254469e+00, 7.568314699592370021e-01, 5.568095085949440609e-03, 1.205321367629492713e+00
2.026000000000000000e+03, 5.929310647559658809e-03, 1.490949463932322687e-02, 6.690506066666705998e-01, 1.244517306715342414e-01, 9.266010546574804385e-01, 1.303592210810596619e+00, 7.583233262378924477e-01, 5.517326541291832885e-03, 1.208238159093856456e+00
2.027000000000000000e+03, 5.643151047962677129e-03, 1.430020534305195996e-02, 6.696170779231186421e-01, 1.257030619322627440e-01, 9.258258578425164753e-01, 1.287784736172099320e+00, 7.602745290289737445e-01, 5.460672160948819125e-03, 1.206474445481653834e+00
2.028000000000000000e+03, 5.369005980634548002e-03, 1.372258501483002852e-02, 6.699358502797418957e-01, 1.269294313547808251e-01, 9.267736210534118779e-01, 1.275909179352005651e+00, 7.633616529201208145e-01, 5.408793352397331215e-03, 1.203814808537494674e+00
2.029000000000000000e+03, 5.097424175839582183e-03, 1.318783963254169418e-02, 6.701237065970669926e-01, 1.282096416433311514e-01, 9.239241653222755035e-01, 1.261011280052895200e+00, 7.645558809120572841e-01, 5.358616428815372174e-03, 1.201234200714574429e+00
2.030000000000000000e+03, 4.839913456304728752e-03, 1.268395846337927284e-02, 6.703077242021961979e-01, 1.295842632998555066e-01, 9.229360445508151267e-01, 1.249778788758507453e+00, 7.654709641363955930e-01, 5.299777025485643417e-03, 1.205767629888731873e+00
2.031000000000000000e+03, 4.549489170989535342e-03, 1.217389693571391956e-02, 6.703858475284867335e-01, 1.309438306533180496e-01, 9.250482158243255038e-01, 1.235816455619772603e+00, 7.679688400738177156e-01, 5.244751005445942929e-03, 1.202585944459817036e+00
2.032000000000000000e+03, 4.260415253618764914e-03, 1.168700334824992505e-02, 6.703293949294173437e-01, 1.321760250579964713e-01, 9.225100079984597246e-01, 1.222171551556629598e+00, 7.690349241260382440e-01, 5.196660693646968504e-03, 1.199437504946130106e+00
2.033000000000000000e+03, 3.974707552057630579e-03, 1.122703952856507308e-02, 6.702567841980112684e-01, 1.332610113747560165e-01, 9.243986417309086878e-01, 1.209566541980306997e+00, 7.689800425225820080e-01, 5.144046849513055596e-03, 1.194233158716413001e+00
2.034000000000000000e+03, 3.683612793649697348e-03, 1.079327089780136167e-02, 6.701903908085974360e-01, 1.341471002426284365e-01, 9.281612780779132654e-01, 1.196976761373605092e+00, 7.677746894188609561e-01, 5.077177985679097796e-03, 1.202007515668341631e+00
2.035000000000000000e+03, 3.402859143246306142e-03, 1.038302270567911974e-02, 6.699365440852639297e-01, 1.351058727503700041e-01, 9.285187654973154903e-01, 1.186948854821409993e+00, 7.670467822975525207e-01, 5.016380259774882132e-03, 1.203955037111722248e+00
2.036000000000000000e+03, 3.122402784723858626e-03, 9.942381971033982524e-03, 6.694689822602433171e-01, 1.363420069787910360e-01, 9.285845419117725319e-01, 1.174973969027532261e+00, 7.674449053389169606e-01, 4.964838742040132528e-03, 1.198271868314891631e+00
2.037000000000000000e+03, 2.862158715448641800e-03, 9.524590492731190364e-03, 6.690453496495886165e-01, 1.375932065934103721e-01, 9.250833578446763239e-01, 1.163214252426264972e+00, 7.683923155892923296e-01, 4.916626767771176826e-03, 1.199024401237193560e+00
2.038000000000000000e+03, 2.583191605261117140e-03, 9.131548801921724953e-03, 6.687716002353472078e-01, 1.388264053002180032e-01, 9.251439087827540986e-01, 1.151912420257939829e+00, 7.691447120372474355e-01, 4.869392709338015574e-03, 1.193125814481750036e+00
2.039000000000000000e+03, 2.325096731205563566e-03, 8.764884573272100493e-03, 6.684619804423216349e-01, 1.403814161724427356e-01, 9.265711867756679654e-01, 1.140904097998714395e+00, 7.705868036360558060e-01, 4.822251698567702437e-03, 1.189019508481455212e+00
2.040000000000000000e+03, 2.052738838776525365e-03, 8.416316267717268568e-03, 6.681760857322670555e-01, 1.416874301007340076e-01, 9.271216446050828397e-01, 1.131861232360345193e+00, 7.700205545684873920e-01, 4.772871145928327292e-03, 1.192195033929863479e+00
2.041000000000000000e+03, 1.775637669828852589e-03, 8.077842574967079164e-03, 6.677897798802365781e-01, 1.427357409606525018e-01, 9.291925535119910373e-01, 1.121360239858793406e+00, 7.684511494597249248e-01, 4.718339745731607755e-03, 1.193706136320310751e+00
2.042000000000000000e+03, 1.494883315416821587e-03, 7.754803894480100449e-03, 6.674829116491654002e-01, 1.437849534200449919e-01, 9.270126179523232590e-01, 1.111150248069840085e+00, 7.680839112875363917e-01, 4.665157173135903688e-03, 1.186261724026970610e+00
2.043000000000000000e+03, 1.218042938253342767e-03, 7.446108456550940176e-03, 6.670768473718861058e-01, 1.447258446051959413e-01, 9.192008106916507160e-01, 1.101254407791791401e+00, 7.689342671224752568e-01, 4.616367685651985402e-03, 1.190656755637651054e+00
2.044000000000000000e+03, 7.496029595132941599e-04, 7.151016434523767284e-03, 6.666020158454643019e-01, 1.451474692390407328e-01, 9.190590768327366877e-01, 1.091649507400429764e+00, 7.646491750958076539e-01, 4.570700388631957801e-03, 1.188521844843205999e+00
2.045000000000000000e+03, 6.756095279828463291e-04, 6.866358795902734700e-03, 6.662259786288732277e-01, 1.462021592592228358e-01, 9.148673001142195726e-01, 1.082987310355615129e+00, 7.630672662780475513e-01, 4.530226023389581982e-03, 1.185113145754378872e+00
2.046000000000000000e+03, 6.793691764534782193e-04, 6.611280706563719620e-03, 6.657346001453592343e-01, 1.472609148203202489e-01, 9.174787169789117014e-01, 1.074062566264119223e+00, 7.622182214740783612e-01, 4.488791787945561884e-03, 1.179118246942869375e+00
2.047000000000000000e+03, 6.888704769742169144e-04, 6.368281943030699478e-03, 6.649103334137962396e-01, 1.486946880127351100e-01, 9.127750718884137804e-01, 1.065284389321426550e+00, 7.618348779825460104e-01, 4.439987974284081637e-03, 1.179738015072535395e+00
2.048000000000000000e+03, 6.878856897769086102e-04, 6.137648732513352814e-03, 6.639309101048488371e-01, 1.498748715634092288e-01, 9.092247183958058754e-01, 1.056693230959714791e+00, 7.590590375888905950e-01, 4.392971162212505436e-03, 1.178798110158191248e+00
2.049000000000000000e+03, 6.782344027168388245e-04, 5.918225813545762923e-03, 6.628959726822252208e-01, 1.509656556357823476e-01, 9.115234670012760665e-01, 1.048261246242351730e+00, 7.552529782987125184e-01, 4.348870754159830411e-03, 1.175469080383414466e+00
2.050000000000000000e+03, 6.415726348445358572e-04, 5.703836102706472989e-03, 6.616499500857333516e-01, 1.534341320285168564e-01, 9.095955668118216320e-01, 1.042000790490738904e+00, 7.657216570330299676e-01, 4.304520922057607397e-03, 1.175459021416528582e+00
2.051000000000000000e+03, 5.827359699985179466e-04, 5.538283636245621040e-03, 6.605555514104004544e-01, 1.555249539850397100e-01, 9.136672736323819821e-01, 1.032990317805266622e+00, 7.748728174520524981e-01, 4.257413298714051580e-03, 1.175276184094509180e+00
2.052000000000000000e+03, 5.171235228024480095e-04, 5.387408075715959324e-03, 6.592904274912907425e-01, 1.569558510359916059e-01, 9.131302657858404448e-01, 1.024346456277528850e+00, 7.852928369174159151e-01, 4.213110522010825136e-03, 1.169743170241112518e+00
2.053000000000000000e+03, 4.571511348160359808e-04, 5.243878206379444344e-03, 6.576801611471893017e-01, 1.586148004006058543e-01, 9.154013566063533558e-01, 1.015923268973589977e+00, 7.932314326862688336e-01, 4.171251895883998882e-03, 1.168011329165913548e+00
2.054000000000000000e+03, 4.030744711544708629e-04, 5.109547233400728306e-03, 6.561406039740482754e-01, 1.601721290347326576e-01, 9.182696456319263678e-01, 1.007649905066332785e+00, 7.998775254855846617e-01, 4.129862162160100221e-03, 1.166134532162165227e+00
2.055000000000000000e+03, 3.434103897763722503e-04, 4.983177222458005234e-03, 6.545621531888358158e-01, 1.617631537868967628e-01, 9.237656967243735862e-01, 9.995633741319096544e-01, 8.061840909150749246e-01, 4.089012460681276488e-03, 1.166813959545537793e+00
2.056000000000000000e+03, 4.160502001430057412e-04, 4.848717388750181136e-03, 6.529716203542754727e-01, 1.635882586311963593e-01, 9.234270336740988405e-01, 9.953060104425024424e-01, 8.107910077010219707e-01, 4.046721900935734521e-03, 1.167343849463835737e+00
2.057000000000000000e+03, 4.864673574131649580e-04, 4.717869936987232130e-03, 6.514164789200622696e-01, 1.652867499133281182e-01, 9.315143937842859101e-01, 9.877249165929743446e-01, 8.151543633794156030e-01, 4.005282033785840211e-03, 1.168223552109904695e+00
2.058000000000000000e+03, 5.558865259152264175e-04, 4.599412192323763457e-03, 6.498727536014450301e-01, 1.673428374470918856e-01, 9.273844710726106833e-01, 9.803064310330424913e-01, 8.198522929710247986e-01, 3.965237073293698296e-03, 1.160184569827823031e+00
2.059000000000000000e+03, 6.254198574740418544e-04, 4.486324024765789981e-03, 6.483846250874230055e-01, 1.693604463699304730e-01, 9.263233519353629708e-01, 9.730392130229663650e-01, 8.224007276297822244e-01, 3.925834106529091545e-03, 1.156409554973814480e+00
2.060000000000000000e+03, 6.993945146869655653e-04, 4.373384125074907154e-03, 6.474194555223417025e-01, 1.711652811742690183e-01, 9.308061771803377571e-01, 9.658597982181107433e-01, 8.271647420832086706e-01, 3.886912403613374672e-03, 1.153381375924767749e+00
2.061000000000000000e+03, 9.539609620899887387e-04, 4.278710332472887568e-03, 6.467271463815359445e-01, 1.726555808312035256e-01, 9.300697969696838374e-01, 9.598337889048140781e-01, 8.284749480314816950e-01, 3.848408402201534875e-03, 1.157553491579586202e+00
2.062000000000000000e+03, 1.187579873105832013e-03, 4.188514610087447528e-03, 6.463100194880218030e-01, 1.739135439008598627e-01, 9.281707249350108491e-01, 9.532091351659031098e-01, 8.296917964619160424e-01, 3.810389312372763904e-03, 1.157007046516869808e+00
2.063000000000000000e+03, 1.396987891811655481e-03, 4.102529180791105769e-03, 6.460787772036225007e-01, 1.751797112682236535e-01, 9.273114006710511115e-01, 9.464185331581834726e-01, 8.312351428634988659e-01, 3.772736797328225204e-03, 1.155123918444393105e+00
2.064000000000000000e+03, 1.574929465105026410e-03, 4.034795425416651433e-03, 6.455854707473350773e-01, 1.761610927437162188e-01, 9.342094058622103514e-01, 9.399228712662079932e-01, 8.342285760080709878e-01, 3.735364002613779117e-03, 1.151198067594783270e+00
2.065000000000000000e+03, 1.716416995863840516e-03, 3.973936350345185116e-03, 6.448468443409732798e-01, 1.775108477028098375e-01, 9.410426757739436265e-01, 9.344153626491774611e-01, 8.381994731770499030e-01, 3.698618707952565799e-03, 1.148069153788636054e+00
2.066000000000000000e+03, 1.831792240835257825e-03, 3.920008415111703691e-03, 6.438456837224427742e-01, 1.784435288496891425e-01, 9.360213911872310444e-01, 9.312704548295942519e-01, 8.408363888728938029e-01, 3.662295912940097525e-03, 1.149285163740709104e+00
2.067000000000000000e+03, 1.930909637173423800e-03, 3.874406398121520070e-03, 6.427796233723984676e-01, 1.792890796445553991e-01, 9.349557389923679462e-01, 9.275138651179845040e-01, 8.427837199352927744e-01, 3.626244607884640016e-03, 1.144859648244727746e+00
2.068000000000000000e+03, 2.014335517653462974e-03, 3.830067616604101045e-03, 6.417400372626620442e-01, 1.804251384012365567e-01, 9.357106124997150998e-01, 9.237296068152751616e-01, 8.443638485458881959e-01, 3.590187486261470651e-03, 1.147173850818219654e+00
2.069000000000000000e+03, 2.078068186199375118e-03, 3.784001400229814079e-03, 6.403604244000146162e-01, 1.810340515469279488e-01, 9.230246600576441640e-01, 9.198316637470291823e-01, 8.459644473491256811e-01, 3.554696797132674089e-03, 1.140421698882339241e+00
2.070000000000000000e+03, 2.110706344503093541e-03, 3.741688788062520147e-03, 6.385096240469917417e-01, 1.818996675712580002e-01, 9.116113452329962508e-01, 9.156642154739264017e-01, 8.479186622673687834e-01, 3.519462487622979432e-03, 1.142020249117926545e+00
2.071000000000000000e+03, 2.006439530252881586e-03, 3.693736014984648486e-03, 6.365367310619689523e-01, 1.828307472307307002e-01, 9.011129661783510159e-01, 9.114401624205843433e-01, 8.486684622196779548e-01, 3.485496102015696925e-03, 1.138891049946311185e+00
2.072000000000000000e+03, 1.911868953671043122e-03, 3.655436515134322974e-03, 6.345106598820338117e-01, 1.836947831216447502e-01, 8.957739901016520401e-01, 9.070907379041863727e-01, 8.473707863889977654e-01, 3.452280054732643176e-03, 1.134409972443309877e+00
2.073000000000000000e+03, 1.828087533014901038e-03, 3.628923146367792930e-03, 6.324196432018965863e-01, 1.837202842510851364e-01, 8.953135018607688567e-01, 9.029615955536777205e-01, 8.151288410127670581e-01, 3.418487016584719710e-03, 1.133998619312899914e+00
2.074000000000000000e+03, 1.755285117235314430e-03, 3.741479014815035729e-03, 6.345629828571505149e-01, 1.811935929203607187e-01, 8.878910254432965665e-01, 8.986235179152036734e-01, 8.053769281090017440e-01, 3.384751189006567421e-03, 1.130233270105233334e+00
2.075000000000000000e+03, 1.693702350115669801e-03, 3.690339881541381071e-03, 6.375296771913070426e-01, 1.805401116927876359e-01, 8.809668862482387119e-01, 8.943852552055709948e-01, 7.959851711613574743e-01, 3.351591849254817630e-03, 1.134185869179298756e+00
2.076000000000000000e+03, 1.630183711069006737e-03, 3.625526236699124719e-03, 6.378705443738531544e-01, 1.798777248184625643e-01, 8.888421770022260082e-01, 8.897759312437362178e-01, 7.843817060074183001e-01, 3.318878458612212375e-03, 1.130857092416932552e+00
2.077000000000000000e+03, 1.575366203870237885e-03, 3.562951537197737214e-03, 6.371251781539174486e-01, 1.791527955488633195e-01, 8.880137946620341172e-01, 8.850980641631727153e-01, 7.747328980858407821e-01, 3.286211138933415807e-03, 1.126653227767758558e+00
2.078000000000000000e+03, 1.529145376265419846e-03, 3.505508991753866592e-03, 6.338081921159955945e-01, 1.786357818691043930e-01, 8.885061868733709067e-01, 8.804664026160954338e-01, 7.741054956949666721e-01, 3.253978231832838769e-03, 1.127108636934794905e+00
2.079000000000000000e+03, 1.493624749493401190e-03, 3.460836487632782798e-03, 6.294777186059402618e-01, 1.776202499025648640e-01, 8.824122961760167971e-01, 8.758584894697465373e-01, 7.650951401457510848e-01, 3.221034818463354172e-03, 1.127195707422255389e+00
2.080000000000000000e+03, 1.492198932123260224e-03, 3.400224116135315208e-03, 6.245748377615594205e-01, 1.768338689669174679e-01, 8.724979244832529179e-01, 8.711955215939248820e-01, 7.614149554876219472e-01, 3.189937694531214118e-03, 1.127454618977677292e+00
2.081000000000000000e+03, 1.569101457374818620e-03, 3.326500335907264707e-03, 6.196703775987890683e-01, 1.761362776532129359e-01, 8.663586040137067901e-01, 8.670642166219485469e-01, 7.592142019398926411e-01, 3.159657523697297944e-03, 1.117070614886350288e+00
2.082000000000000000e+03, 1.641814152504497215e-03, 3.257109451649954201e-03, 6.138390784793374966e-01, 1.756729766855908426e-01, 8.681387181932863628e-01, 8.629082991280921933e-01, 7.594349656667512827e-01, 3.129830239514857278e-03, 1.115117993610082792e+00
2.083000000000000000e+03, 1.824682696326026350e-03, 3.200619610575468690e-03, 6.077714516268720724e-01, 1.747963540060211707e-01, 8.667409361287249370e-01, 8.587454068696613874e-01, 7.599246742280962863e-01, 3.099252693334473424e-03, 1.113156973340538203e+00
2.084000000000000000e+03, 2.160303296544175203e-03, 3.146831339197637967e-03, 6.016243151887537000e-01, 1.741352761813725336e-01, 8.679328423032545148e-01, 8.545829398832400781e-01, 7.599901775857220709e-01, 3.068780532526994842e-03, 1.107463546182287040e+00
2.085000000000000000e+03, 2.463946423836784524e-03, 3.097911174676110883e-03, 5.954491250150191206e-01, 1.728002739381217234e-01, 8.690303716952345603e-01, 8.501804336825139474e-01, 7.603559359934969342e-01, 3.039416684209757073e-03, 1.105253677123338774e+00
2.086000000000000000e+03, 2.918089626329916329e-03, 3.108819145673975565e-03, 5.895177213437370334e-01, 1.720725576439572080e-01, 8.634390707269696819e-01, 8.472613111258421315e-01, 7.605074832280920294e-01, 3.012546362495979041e-03, 1.099149348373110069e+00
2.087000000000000000e+03, 3.331114844118104011e-03, 3.152208507572614241e-03, 5.837799413690643036e-01, 1.717719642787361722e-01, 8.448029381668871185e-01, 8.441861158566322798e-01, 7.677642923829796073e-01, 2.984367281875972572e-03, 1.098878360033618051e+00
2.088000000000000000e+03, 3.681519438577092462e-03, 3.216497358962005539e-03, 5.775766924318783690e-01, 1.711038537722575914e-01, 8.328720447266999560e-01, 8.411206987927531964e-01, 7.671820855409419160e-01, 2.956499811617545759e-03, 1.095910755543495263e+00
2.089000000000000000e+03, 3.982290219543551182e-03, 3.300829646181818906e-03, 5.711972204020714372e-01, 1.697128715920185882e-01, 8.240393481337221493e-01, 8.379695247914655809e-01, 7.635618898509693997e-01, 2.928742582021781268e-03, 1.096885332774135247e+00
2.090000000000000000e+03, 4.236487633668796840e-03, 3.387764914692177175e-03, 5.656228672326611973e-01, 1.680283189559329260e-01, 8.154985667066253496e-01, 8.348492628707980812e-01, 7.620684339432320931e-01, 2.900097538310548399e-03, 1.095494411204666729e+00
2.091000000000000000e+03, 4.349651018313188157e-03, 3.446933644345301622e-03, 5.598112554239761396e-01, 1.664313136772538615e-01, 8.064987608800439078e-01, 8.306863826109056603e-01, 7.612276390659109548e-01, 2.869994169297863766e-03, 1.093609376781638387e+00
2.092000000000000000e+03, 4.494736547782891140e-03, 3.486652419839521028e-03, 5.540426812848341376e-01, 1.648809764328529603e-01, 8.039727588744279840e-01, 8.266985698263291660e-01, 7.587405182726807418e-01, 2.840649953604569653e-03, 1.086716821335311556e+00
2.093000000000000000e+03, 4.719108955581895366e-03, 3.533432585090284361e-03, 5.484805803613902464e-01, 1.634649123516087876e-01, 7.957865655498534974e-01, 8.227589701525007682e-01, 7.566276119882414664e-01, 2.813992269740881510e-03, 1.084011004308140347e+00
2.094000000000000000e+03, 4.917013989456750500e-03, 3.579482042853319567e-03, 5.432962228490797463e-01, 1.620096642680826649e-01, 7.930678830720002681e-01, 8.188473768033721623e-01, 7.576770191782604691e-01, 2.787700319171345330e-03, 1.083281258740883102e+00
2.095000000000000000e+03, 5.076493878624457542e-03, 3.630793780401947272e-03, 5.385478635462659369e-01, 1.605432159862323904e-01, 7.879178511827343856e-01, 8.149742784780334981e-01, 7.561458907744288416e-01, 2.760866211713770488e-03, 1.078279526911269492e+00
2.096000000000000000e+03, 5.097783799844611378e-03, 3.721278832288976626e-03, 5.340455150435395870e-01, 1.584202091860887340e-01, 7.746430016560525988e-01, 8.091623857962464417e-01, 7.521253259953467607e-01, 2.733102257098852898e-03, 1.073746882278412862e+00
2.097000000000000000e+03, 5.117945870501513367e-03, 3.794317909055619584e-03, 5.290286374384125523e-01, 1.567344564474595914e-01, 7.662477164290009135e-01, 8.036704306923457830e-01, 7.486619534375892338e-01, 2.705699145557236614e-03, 1.068232100512666927e+00
2.098000000000000000e+03, 5.140150011040315811e-03, 3.853035463602577215e-03, 5.241121392219388886e-01, 1.553639395179087779e-01, 7.586499157089500178e-01, 7.983546934289371677e-01, 7.481429721545083122e-01, 2.679226153594705794e-03, 1.065016972610403290e+00
2.099000000000000000e+03, 5.161507099583284401e-03, 3.962359325471380249e-03, 5.193436953510069953e-01, 1.536892133449621889e-01, 7.504824002336326627e-01, 7.931547954792338428e-01, 7.489974506819104816e-01, 2.652942273279550178e-03, 1.066040613171583828e+00
2.100000000000000000e+03, 5.189154937134069639e-03, 4.062725791139228451e-03, 5.027974957174844439e-01, 1.522957829440889366e-01, 7.384879294652230142e-01, 7.880488073328151266e-01, 7.488694236178806696e-01, 2.627220487245486569e-03, 1.056066865454115877e+00
