year, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
2.035000000000000000e+03, 6.078498591873212398e+00, 4.196768260859270683e+00, 4.325627071573276972e+00, 5.964132632820875024e+00, 4.864920254075691730e+00, 2.523808874625675269e+00, 3.571642482938804264e+00, 5.425183748843219966e+00, 3.609272341231509085e+00, 6.931421410698578534e+00, 5.051674136303949680e+00, 6.127512665847443252e+00, 6.202251259426349250e+00, 4.662837321786384770e+00
2.036000000000000000e+03, 5.929296965170607336e+00, 4.363773983116807642e+00, 4.121992621159298764e+00, 5.900581335411535733e+00, 4.953411859601888345e+00, 2.582339067368331076e+00, 3.646358919874919557e+00, 5.288143430857486393e+00, 3.598819456077468004e+00, 6.951662748459369823e+00, 4.924061703478392893e+00, 6.011046243991523319e+00, 6.382640962073164559e+00, 4.837761795471696047e+00
2.037000000000000000e+03, 5.897544222158774829e+00, 4.394577642789395888e+00, 4.288560797639332733e+00, 5.929538280210223888e+00, 4.918891366246382013e+00, 2.508381167783365839e+00, 4.223349558600447473e+00, 5.303330255113704261e+00, 3.704984146346262275e+00, 6.950062586978270396e+00, 5.224511814186806546e+00, 6.217239258347051489e+00, 6.677581856260039750e+00, 4.836745215323169589e+00
2.038000000000000000e+03, 6.056739180265703126e+00, 4.212577771565296558e+00, 4.259069304988226001e+00, 6.095735840407424000e+00, 4.741567163176910071e+00, 2.563962126496367233e+00, 4.038933732645780594e+00, 5.237389388098690368e+00, 3.677114197149480290e+00, 6.824261464600229310e+00, 5.068035932712272817e+00, 6.028713027225686361e+00, 6.538284106868851531e+00, 5.014445189320849927e+00
2.039000000000000000e+03, 6.065301309911180994e+00, 4.004547464710173088e+00, 4.301678240473290060e+00, 6.054402007969997612e+00, 4.749725187113095437e+00, 2.636269165915898771e+00, 3.905065285658658514e+00, 5.035514339878988110e+00, 3.642611236081012560e+00, 7.014253668412224307e+00, 5.194184300628178264e+00, 6.061600510675407172e+00, 6.686886809211217475e+00, 4.981490771315163713e+00
2.040000000000000000e+03, 6.152581889298601503e+00, 4.588855887606917427e+00, 4.106263142966466440e+00, 6.013515356894723496e+00, 4.857402902305722137e+00, 2.622677241844469709e+00, 3.969593058314609735e+00, 5.026889045949977763e+00, 3.769061834206422823e+00, 7.029166008064196447e+00, 5.054430419160375720e+00, 6.443790602476125784e+00, 6.323916257437891986e+00, 4.960103582861830951e+00
2.041000000000000000e+03, 5.817959186495744284e+00, 4.112613410673557901e+00, 4.352631953130518205e+00, 6.017168381117257603e+00, 4.850639640355423055e+00, 2.658884278897157838e+00, 4.054779403179604280e+00, 5.414614010661161103e+00, 3.775683842658070777e+00, 7.038627474109408588e+00, 5.012541362358375885e+00, 6.216876999744228804e+00, 6.582504691212994530e+00, 5.067023401772026148e+00
2.042000000000000000e+03, 6.178682413161830311e+00, 4.334516652575213236e+00, 4.407098579059253396e+00, 6.060781248209743843e+00, 4.790088371097421138e+00, 2.780298849089498869e+00, 3.592234571457859627e+00, 5.404554590346531739e+00, 3.727570690090554972e+00, 6.884441011552515199e+00, 5.191580749925125637e+00, 6.118478297842920632e+00, 6.700284057709735563e+00, 5.094275150043368505e+00
2.043000000000000000e+03, 6.369794604823585615e+00, 4.346881814164312630e+00, 4.430517143111736722e+00, 6.524108960644715793e+00, 4.789946322188336048e+00, 2.755342745794169268e+00, 3.471457465331388104e+00, 5.322597959763796460e+00, 3.777976953522219628e+00, 7.017074516815552165e+00, 5.341453075408353790e+00, 6.434907824588037784e+00, 6.360450061021528434e+00, 4.999422907671242200e+00
2.044000000000000000e+03, 6.374083670944898472e+00, 4.353489680840401554e+00, 4.387559293292325080e+00, 6.547169389168949749e+00, 5.013570458292653242e+00, 2.691518238201341617e+00, 4.121114319187027419e+00, 5.442757652807245883e+00, 3.738233043631351560e+00, 7.096971710643442677e+00, 5.254027713578284242e+00, 6.020434523156524165e+00, 6.648692186287027184e+00, 4.879582364360336655e+00
