year, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, CanESM5
2.065000000000000000e+03, 2.455230566676180537e-09, 2.155073027183423273e-09, 6.571428015868819303e-10, 1.339514193563455316e-09, 3.152608960182936218e-10, 1.418133259755243448e-09, 2.470266420969388436e-09
2.066000000000000000e+03, 2.116906786405967502e-09, 2.997931390397201372e-09, 1.162952626640931752e-09, 1.474648107491862938e-10, 1.955916733888704237e-10, 1.240868241948128106e-09, 2.505872323399224847e-09
2.067000000000000000e+03, 1.311634215082689739e-09, 2.970582897858450887e-09, 5.254324565597726992e-10, 1.126272525820962756e-09, 6.984146515192797401e-10, 1.503139537378471141e-09, 2.606834141028402243e-09
2.068000000000000000e+03, 2.424919493230308148e-09, 2.135110294363250275e-09, 6.536303715797219682e-10, 8.027951646617403375e-10, 6.642544671760531736e-10, 1.254552808151655493e-09, 2.344601691887391063e-09
2.069000000000000000e+03, 2.517932733036887503e-09, 2.780376646389145318e-09, 9.509636319848197052e-10, 1.212630930896370741e-09, -4.282690517971776986e-11, 1.125536960574363328e-09, 2.013650726610126701e-09
2.070000000000000000e+03, 1.683384157021356275e-09, 2.630242892908387360e-09, 9.004768162722735286e-10, 1.247345968921440106e-09, -2.681616516346417471e-10, 8.092989590647104036e-10, 1.436830403812840451e-09
2.071000000000000000e+03, 1.876962414963724619e-09, 2.712687187983061691e-09, 1.415892345823291635e-10, 1.019905852842622064e-09, -5.570273232228613533e-10, 8.149898602931877492e-10, 1.355229253205680408e-09
2.072000000000000000e+03, 1.173377754286567850e-09, 2.056957706883074504e-09, 1.044152516828618291e-09, 8.952268717414065103e-10, 3.534634342659606343e-10, 1.217275578204115737e-09, 2.171063022332478058e-09
2.073000000000000000e+03, 2.230585208010682130e-09, 2.645780398095514310e-09, 8.055938703783349169e-10, 6.531996581099196114e-10, 2.250911895778028248e-10, 5.295331138244403309e-10, 2.749815114595524993e-09
2.074000000000000000e+03, 2.068798299957123513e-09, 2.000077502680815451e-09, 4.899461140530577081e-10, 3.912892583011403478e-10, -6.437913951993128051e-10, 8.291145740339416091e-10, 1.136348403347404742e-09
2.075000000000000000e+03, 1.583262455186188478e-09, 2.603999089109550392e-09, 4.361867335568679301e-10, 8.148646277212952190e-10, -3.740750426751479532e-10, 1.345626157111222352e-09, 1.478093597385893081e-09
2.076000000000000000e+03, 9.321461100489690639e-10, 2.967560878364671196e-09, 7.423830649282044240e-10, 1.150797926244268194e-09, -1.063369366534592616e-10, 1.270484623370730437e-09, 2.724564103681321007e-09
2.077000000000000000e+03, 2.491510450670668891e-09, 2.013471901292378988e-09, 3.937829102016014887e-10, -2.835577423324732560e-11, 5.523693447098635094e-10, 1.251551695117630550e-09, 3.080494655301454946e-09
2.078000000000000000e+03, 2.225136152787351796e-09, 1.826540833126388638e-09, 1.557292098181265325e-09, 1.270953706523012495e-09, -5.238907054848043270e-10, 9.564604435980968216e-10, 3.151098312627711399e-09
2.079000000000000000e+03, 1.988437090028779965e-09, 2.764463137662154855e-09, 1.243188595243224985e-09, 1.016948443884046799e-09, -4.948795187928387434e-11, 4.390281523261860611e-10, 2.596097051517067080e-09
2.080000000000000000e+03, 2.094184126153434679e-09, 1.678797792928778658e-09, 8.837280270746093000e-10, 9.274077294201352504e-10, -7.793653556618326169e-11, 1.370099832022017697e-09, 2.101135529034837582e-09
2.081000000000000000e+03, 2.263703796878347673e-09, 2.649587568707822990e-09, 7.008606933842572440e-10, 1.155802098141459092e-09, -7.024317804624614726e-10, 3.735843441737922148e-11, 2.558721806805530661e-09
2.082000000000000000e+03, 2.470104115542493800e-09, 2.460227891584879503e-09, 1.030055197562514606e-09, 1.239670817284436828e-09, -2.445210668083492069e-10, 1.125505983396387728e-09, 2.153741890508333497e-09
2.083000000000000000e+03, 1.887460331751433389e-09, 2.670436994986052584e-09, 6.231358526864972392e-10, -3.498304133504800393e-11, 3.388608798602033333e-11, 3.070139942076936005e-10, 3.277115730327042145e-09
