year, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L, INM-CM5-0, CanESM5, GFDL-ESM4, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL
2.037000000000000000e+03, 5.068546301158220579e+00, 4.661285912192928649e+00, 2.643017258955024040e+00, 5.549958991007703624e+00, 8.044663446303420784e+00, 5.901116498638751651e+00, 7.114757323300864300e+00, 6.189325048961643816e+00, 5.154633131930564716e+00, 5.228021084602024082e+00, 5.296727635349730789e+00, 5.079768847350327299e+00, 5.333492440121696987e+00, 7.193657491588554720e+00, 7.221810651400557113e+00, 6.823847633198921514e+00
2.038000000000000000e+03, 4.939616063305240168e+00, 4.603740055542409948e+00, 2.733410027136002896e+00, 5.538328118753634399e+00, 8.270960966754586252e+00, 5.413770919396466930e+00, 7.027554588576522931e+00, 6.164761520520269045e+00, 5.419647540029751021e+00, 4.659408301402106822e+00, 5.292343857319449896e+00, 5.116466273716720359e+00, 5.580530135645536127e+00, 6.991115721195377830e+00, 7.385108204413789679e+00, 6.604780890697182549e+00
2.039000000000000000e+03, 4.635838735944901146e+00, 4.505206022299375945e+00, 2.877122472564624722e+00, 5.457981601431432850e+00, 7.956942282708641123e+00, 5.755076205762818198e+00, 7.325419875476540277e+00, 6.249142743628312680e+00, 4.933289113812646676e+00, 4.641128308257656876e+00, 5.029228983019045529e+00, 5.147427592827098053e+00, 5.736499527611659488e+00, 6.791819202318918336e+00, 7.420360138999502198e+00, 6.892308589976900990e+00
2.040000000000000000e+03, 4.689865117969594266e+00, 4.740043819949573134e+00, 2.850050425448956926e+00, 5.563882865570692893e+00, 8.312380511890872015e+00, 5.457501901188615889e+00, 6.918754417303714987e+00, 5.999992347279903271e+00, 4.999737044393806507e+00, 5.082828682959013911e+00, 5.033690844103933415e+00, 5.252291640698365072e+00, 6.077117488923663657e+00, 7.184996793197835352e+00, 7.235888231345584565e+00, 7.134540453557693951e+00
2.041000000000000000e+03, 5.204358033560588126e+00, 4.701725045616734988e+00, 2.958815978701470062e+00, 5.910299974172726678e+00, 8.023210714450407011e+00, 5.406934151217889450e+00, 7.151095710438491793e+00, 6.009848369906981347e+00, 5.115930574988179380e+00, 4.446390620208846123e+00, 5.256127619365985382e+00, 5.441618898751523048e+00, 5.812947463637432755e+00, 6.816830537096055131e+00, 7.648404606656194815e+00, 6.526300065288069163e+00
2.042000000000000000e+03, 4.785036273777820703e+00, 4.521896472368138298e+00, 3.146751149786088941e+00, 5.836361998745223545e+00, 8.387701831384051232e+00, 5.599801699312901171e+00, 7.448385246563089979e+00, 6.000736018856847487e+00, 5.127831704009564895e+00, 4.518422867443837809e+00, 5.105744660653414257e+00, 5.064664501944649899e+00, 5.879492839642350255e+00, 6.874784244291516799e+00, 7.291605455608600295e+00, 6.951573389484081211e+00
2.043000000000000000e+03, 4.690136495548110851e+00, 4.821902303298404746e+00, 2.957653533654935440e+00, 5.568263528424495235e+00, 8.393983644857033966e+00, 5.481352512514234832e+00, 7.128388638014753198e+00, 6.474891228420180056e+00, 5.346569696645316228e+00, 5.215704877308987797e+00, 5.171633597394636794e+00, 4.903597042424103769e+00, 5.541216026575117581e+00, 7.115201549615068011e+00, 7.921152008992037530e+00, 7.048798736343671933e+00
2.044000000000000000e+03, 5.148359902126580678e+00, 4.730249610724872156e+00, 2.879035819494096149e+00, 5.767002024119451065e+00, 8.209659535107103778e+00, 5.435950428760801145e+00, 7.242057527482653079e+00, 6.178243083750176723e+00, 5.417392742391676563e+00, 5.234187268882369182e+00, 5.358057983229306487e+00, 5.189111998895346467e+00, 5.482093829582610489e+00, 7.040945202677341364e+00, 8.274071070365998537e+00, 7.018220639073025957e+00
2.045000000000000000e+03, 5.418428977379328160e+00, 4.875933362348220612e+00, 2.970511945947983623e+00, 6.075451058392866699e+00, 8.498450977582725940e+00, 5.860810538353621979e+00, 7.556448839460101929e+00, 6.416781629709865875e+00, 5.358523488505353427e+00, 5.074454643587591463e+00, 5.301176924012868774e+00, 5.369093169970200030e+00, 5.601211935090250726e+00, 6.930946972215589419e+00, 8.056631921861427514e+00, 7.602123093386486730e+00
2.046000000000000000e+03, 4.710051453535965216e+00, 5.433174792719828616e+00, 3.156165919652586638e+00, 6.279320916388288154e+00, 8.903759941552353396e+00, 5.465818954110769567e+00, 7.458427150226124347e+00, 6.700271993676971682e+00, 5.344533509765580170e+00, 5.471841200219012435e+00, 5.298003436721569592e+00, 5.522525285354141111e+00, 5.908826701049642693e+00, 7.255900100832697319e+00, 7.970120329778226598e+00, 7.183228494662899699e+00
2.047000000000000000e+03, 4.710219894579887878e+00, 5.280717715981134042e+00, 3.106694189169036946e+00, 5.883552121692467551e+00, 8.066790140263462305e+00, 5.293417263216413815e+00, 8.054971148117326507e+00, 6.624412400191799222e+00, 5.700005742465702241e+00, 5.009123881847478366e+00, 5.213242661439829284e+00, 5.768429901741333410e+00, 5.642184529271256466e+00, 7.051488746031706611e+00, 7.882984151227824476e+00, 7.109811169819484356e+00
2.048000000000000000e+03, 4.777047869072239550e+00, 4.949912269416651966e+00, 2.903310455495224041e+00, 6.014013504032223345e+00, 8.685787763760229652e+00, 5.560775793624421759e+00, 7.772578056772780464e+00, 6.429721138166115679e+00, 5.474455146557268392e+00, 5.342541124939218733e+00, 5.469309404848645251e+00, 6.162658530005492352e+00, 6.118498622554677802e+00, 7.331722733412791904e+00, 8.529041723842871292e+00, 7.303005341506772830e+00
2.049000000000000000e+03, 4.182843166889982811e+00, 4.940659036995505460e+00, 3.028062370908430445e+00, 5.661534835368797758e+00, 8.653048895902383464e+00, 5.208218663800085579e+00, 7.856044950847214992e+00, 6.853871202675407837e+00, 5.375608104379989705e+00, 5.577436873305932075e+00, 5.655272646590120189e+00, 5.532970811694017499e+00, 5.675325076804106139e+00, 7.216092848233884638e+00, 8.248509312737811072e+00, 7.149358929111441441e+00
2.050000000000000000e+03, 4.721739204304250315e+00, 5.065753023791438103e+00, 3.217624497819809637e+00, 6.290416659923190323e+00, 8.036496678059357635e+00, 5.754167942584262896e+00, 7.645608021326359527e+00, 6.505049244084736060e+00, 5.395518888695694848e+00, 5.632929158758900989e+00, 5.575985940821386322e+00, 5.367379223710855740e+00, 6.075757052529159097e+00, 7.284003900025793676e+00, 8.527214131969607536e+00, 7.254274775255167285e+00
2.051000000000000000e+03, 5.254694140651998246e+00, 5.024215784811025820e+00, 3.178693481068188831e+00, 5.976426800175077325e+00, 8.758819015163707533e+00, 5.621972716713655061e+00, 7.979799917925427977e+00, 6.729934605568297812e+00, 5.498197799390132978e+00, 5.383221150479282180e+00, 5.469569660783411003e+00, 6.352828919949095265e+00, 6.157443825281495364e+00, 7.372027449553716139e+00, 8.270657020681619898e+00, 7.127476606135575210e+00
2.052000000000000000e+03, 5.264825080378257915e+00, 5.250086074013848858e+00, 2.912202608783975410e+00, 5.617953151354512897e+00, 8.978930894190849443e+00, 5.749739506682190360e+00, 7.819880043793260960e+00, 7.145178918344937458e+00, 5.385338010250482199e+00, 5.559264140534950549e+00, 5.739318927395168579e+00, 6.130853705749567339e+00, 5.707066343191155688e+00, 7.484664544291572241e+00, 7.564790528930163127e+00, 7.121186284883283868e+00
2.053000000000000000e+03, 4.721137435684870098e+00, 5.001686010567915730e+00, 3.078705136673534959e+00, 6.233906236580902593e+00, 8.854861981089808154e+00, 5.923223746383494692e+00, 8.273770871693976403e+00, 6.888154795296491884e+00, 5.532611902510106816e+00, 5.499284796181338919e+00, 5.437211379758681851e+00, 6.505707188711326694e+00, 6.335820038304477819e+00, 7.819839395396026127e+00, 8.115367019121336511e+00, 7.215768527131640298e+00
2.054000000000000000e+03, 4.446404962856072451e+00, 5.239824290283626063e+00, 3.118802405597373983e+00, 6.045319968858789750e+00, 8.620195263844058431e+00, 5.324266298038748069e+00, 7.704842090144547129e+00, 6.896219409790647958e+00, 5.558326002368596086e+00, 5.414421280429832173e+00, 5.519956548087650461e+00, 6.457130742289449721e+00, 6.582118661722653030e+00, 7.138146975978343356e+00, 8.418755829661847656e+00, 7.223956289654903884e+00
2.055000000000000000e+03, 5.749722183163841649e+00, 5.358833260490652783e+00, 3.191117029938183691e+00, 6.312339007036707805e+00, 8.374382535938396543e+00, 5.548640550306298103e+00, 8.264690813356741828e+00, 6.843739528392575266e+00, 5.566616307311672784e+00, 5.436179146669611661e+00, 5.657963303444231151e+00, 5.966978012694079681e+00, 6.144680034847264771e+00, 7.553242882697110971e+00, 8.335481444139302809e+00, 7.524900010918467608e+00
2.056000000000000000e+03, 5.462141991156138410e+00, 5.222345349108862500e+00, 3.232214280854101673e+00, 5.876781870723297274e+00, 8.945715338468373190e+00, 5.445315363723199020e+00, 8.018260717590273146e+00, 7.070954463653293054e+00, 5.335697334533579195e+00, 5.357017130006457073e+00, 5.865967875460095904e+00, 6.011993020845543434e+00, 5.978548287871028322e+00, 7.785014376524099333e+00, 8.643195434249069109e+00, 7.770977421969297083e+00
2.057000000000000000e+03, 4.895971492638858003e+00, 5.189119615072749880e+00, 3.201725364909798976e+00, 6.343577622609022804e+00, 9.327798323650512202e+00, 5.708092937769196240e+00, 8.527780104037374187e+00, 7.067038886225960326e+00, 6.040541451513537829e+00, 5.090508749232530938e+00, 5.970208465997749236e+00, 6.019457218416561339e+00, 6.722810436495927355e+00, 7.291500683603636901e+00, 8.529082322563613872e+00, 7.601468450015159029e+00
2.058000000000000000e+03, 4.985143954375541142e+00, 5.374791732117286891e+00, 3.108193358704687270e+00, 5.601324198547183109e+00, 9.447463406936245534e+00, 5.534469968013829622e+00, 8.388732797906760297e+00, 7.367669782652768617e+00, 5.635070884251897283e+00, 5.285410536709982843e+00, 5.865800218742095673e+00, 6.211472309348074816e+00, 5.988832586871867036e+00, 7.363022778201951724e+00, 8.331220742590744521e+00, 7.599463858864361931e+00
2.059000000000000000e+03, 5.247793540663484357e+00, 5.452796997247062016e+00, 3.274490258444187507e+00, 5.943442115477404641e+00, 9.048095505127353277e+00, 5.892981609444064794e+00, 8.391741905449769945e+00, 7.080797410200549535e+00, 5.673680083121943163e+00, 5.721369544364228510e+00, 5.310909871855757913e+00, 5.855424610051912282e+00, 6.126455760121506167e+00, 7.609006084910697965e+00, 8.577617097938453838e+00, 7.298857294398283457e+00
2.060000000000000000e+03, 5.473219479912148522e+00, 5.438970899025349581e+00, 3.359198010847121108e+00, 6.335046724983298461e+00, 8.767638670809898116e+00, 6.061829671324884927e+00, 8.802212137688599114e+00, 7.780293751727272777e+00, 5.718666056977915524e+00, 5.182046592480130442e+00, 5.058743810859426482e+00, 6.100572235779177177e+00, 6.583789169040462852e+00, 7.572778564587912875e+00, 8.548578825792120028e+00, 7.803176661592207353e+00
