year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.068000000000000000e+03, 6.146976972053875141e-10, 1.259274845971503890e-10, 1.044288077157248342e-10
2.069000000000000000e+03, 6.183368276546150893e-10, 1.201969340389847734e-10, 1.298757983872319239e-10
2.070000000000000000e+03, 6.306171401919312533e-10, 1.186425963462245777e-10, 1.019844613973805547e-10
2.071000000000000000e+03, 6.117136663789105360e-10, 1.185416846516104173e-10, 9.820744974456611383e-11
2.072000000000000000e+03, 6.176059214430929093e-10, 1.178999084731190569e-10, 9.469121660487454560e-11
2.073000000000000000e+03, 6.355489082892714272e-10, 1.108877152643076353e-10, 1.032844326209569414e-10
2.074000000000000000e+03, 6.480851162450366236e-10, 1.255042485775912213e-10, 1.076300842993153733e-10
2.075000000000000000e+03, 6.365627095573611760e-10, 1.202645590917518898e-10, 9.914256721438013599e-11
2.076000000000000000e+03, 6.508381289943719639e-10, 1.261812743613319007e-10, 1.275187858057471795e-10
2.077000000000000000e+03, 6.140733212318569452e-10, 1.208781773550056801e-10, 1.389267160893182094e-10
2.078000000000000000e+03, 6.949848480511572120e-10, 1.229588233977691913e-10, 1.131701882179587444e-10
2.079000000000000000e+03, 6.588005614755046683e-10, 1.225797656127761652e-10, 1.129686220778206525e-10
2.080000000000000000e+03, 6.588643069797767507e-10, 1.273865083374312310e-10, 1.088509174242572885e-10
2.081000000000000000e+03, 6.736954102741481121e-10, 1.224146396164991740e-10, 1.299011186774529578e-10
2.082000000000000000e+03, 6.871924980838517785e-10, 1.254675558956906817e-10, 1.206752958478764599e-10
2.083000000000000000e+03, 6.606131834431717222e-10, 1.272063275020212633e-10, 1.080976471304137209e-10
2.084000000000000000e+03, 6.767492808798953470e-10, 1.115263405401664097e-10, 1.422261085369109013e-10
2.085000000000000000e+03, 6.778172228058531602e-10, 1.353417011766331375e-10, 9.525927092862137168e-11
2.086000000000000000e+03, 6.870805456998663673e-10, 1.215422727492939525e-10, 1.309499477419649046e-10
2.087000000000000000e+03, 6.936592020161250623e-10, 1.332709940594117185e-10, 1.231959485256813043e-10
2.088000000000000000e+03, 6.638799985494061231e-10, 1.413220593867277087e-10, 1.348152105141683798e-10
2.089000000000000000e+03, 6.844942699292507018e-10, 1.257859368167106959e-10, 1.205813433994114404e-10
2.090000000000000000e+03, 6.771862625423978279e-10, 1.423470981543049049e-10, 1.524416801884925990e-10
2.091000000000000000e+03, 6.911880011718793387e-10, 1.257767805863165589e-10, 1.871019034851990463e-10
2.092000000000000000e+03, 7.152102354456098131e-10, 1.273311685914769868e-10, 1.627068460262180078e-10
2.093000000000000000e+03, 6.982304561730960028e-10, 1.244170610430737485e-10, 1.236155038973928183e-10
2.094000000000000000e+03, 7.106918659103920751e-10, 1.246221512447425931e-10, 1.426043035831307050e-10
2.095000000000000000e+03, 7.141041426019720778e-10, 1.325267737053358211e-10, 1.392321329224978074e-10
2.096000000000000000e+03, 7.128694333886510356e-10, 1.345812123034923767e-10, 1.452201937382345456e-10
2.097000000000000000e+03, 7.279651830696659646e-10, 1.315342444340788505e-10, 1.424016364591726707e-10
2.098000000000000000e+03, 7.211939174182215085e-10, 1.420847080214543436e-10, 1.446736621738442168e-10
2.099000000000000000e+03, 7.314695870982778029e-10, 1.227480665527392470e-10, 1.408599112865574904e-10
2.100000000000000000e+03, 7.272660499836257471e-10, 1.274491069779091254e-10, 1.908806120930140385e-10
