year, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L
2.050000000000000000e+03, 1.010032757398277308e-13, 3.115824290844665383e-11, 8.704269488556659553e-11, 4.102744158509208429e-10, 2.297628257859468342e-10, 5.656331521094866595e-10, 7.444469160916857294e-13, 4.411869185786671691e-10
2.051000000000000000e+03, 9.207560812500217257e-14, 2.984922132599721255e-11, 8.675975759533026343e-11, 4.121765478767579626e-10, 2.259999481717774351e-10, 5.608557231810358785e-10, 4.343243500543844980e-13, 4.524188210834029002e-10
2.052000000000000000e+03, 8.739258698345107570e-14, 2.917793069922785987e-11, 8.641156392126816098e-11, 4.038681167204908523e-10, 2.073933659796485767e-10, 5.555607630411752929e-10, 4.314544310992326288e-13, 4.630434620985030774e-10
2.053000000000000000e+03, 8.667988722522460149e-14, 2.874287668962758377e-11, 8.593608939662523282e-11, 4.027842562166169457e-10, 2.046423161267536121e-10, 4.803609388429216992e-10, 3.998644645263436254e-13, 4.681319403976672590e-10
2.054000000000000000e+03, 8.614775849350035462e-14, 2.839213254265899498e-11, 8.552389587968875695e-11, 4.014928654295609092e-10, 2.071999776594437119e-10, 5.737156360598683327e-10, 3.823848078520193121e-13, 4.723510210077311053e-10
2.055000000000000000e+03, 8.587520019403062836e-14, 2.811495407072567485e-11, 8.510885207002939534e-11, 4.051583808088788749e-10, 2.228464603261259440e-10, 6.231635532373965698e-10, 3.700167661204614197e-13, 4.777661714320029733e-10
2.056000000000000000e+03, 8.222811340803261000e-14, 3.009579407822281933e-11, 8.471367394976738808e-11, 4.088504607079669512e-10, 2.159496519959335486e-10, 6.003315467822446820e-10, 3.303078639796798660e-13, 4.796465527754256981e-10
2.057000000000000000e+03, 7.932028462656197135e-14, 2.907610858107337470e-11, 8.434240619758666432e-11, 4.137854725384290217e-10, 2.470871460314729980e-10, 5.253090765376720280e-10, 3.358846350903473771e-13, 4.823954037609928497e-10
2.058000000000000000e+03, 7.831280652568088639e-14, 2.851886881917629403e-11, 8.397894128109577903e-11, 4.013596036665973593e-10, 2.270714682327099641e-10, 6.370160628907384333e-10, 3.444728020980277519e-13, 4.856335539208344508e-10
2.059000000000000000e+03, 7.782006642060895078e-14, 2.817929221592923520e-11, 8.363578844622647810e-11, 3.973418708008708422e-10, 2.207218391453075579e-10, 6.500500162211975597e-10, 3.549641843081716686e-13, 4.855131522087138723e-10
2.060000000000000000e+03, 7.739563764275697416e-14, 2.791175180631942433e-11, 8.346311755052668150e-11, 3.950794249822236997e-10, 2.367068962379586342e-10, 5.906406609464416344e-10, 3.668453675075035829e-13, 4.908672364703736843e-10
2.061000000000000000e+03, 7.677338489607695394e-14, 2.832874953249475249e-11, 8.338942993642757972e-11, 4.068535595425183879e-10, 2.311834847828131953e-10, 4.936203326263541960e-10, 4.164800569704330561e-13, 4.874011667141382710e-10
2.062000000000000000e+03, 7.623696217620152726e-14, 2.808620235630921689e-11, 8.338866456490836870e-11, 4.095919034535110743e-10, 2.218682826538136461e-10, 6.159261826715077988e-10, 5.846868608504958477e-13, 4.873298778667559952e-10
2.063000000000000000e+03, 7.569007796595747346e-14, 2.775054577337123322e-11, 8.344642045710633453e-11, 4.096839235846720370e-10, 2.130993170877786289e-10, 6.669248902437315346e-10, 7.592316386208689315e-13, 4.877595651116389889e-10
2.064000000000000000e+03, 7.496449402301265222e-14, 2.763544977254752784e-11, 8.340848013956700613e-11, 4.057133124479896844e-10, 2.372473873965913363e-10, 5.695511815835012597e-10, 9.360752962924178629e-13, 4.918926176065964610e-10
2.065000000000000000e+03, 7.469400067198641087e-14, 2.806293948889623612e-11, 8.326530783305573943e-11, 4.031403538839519375e-10, 2.642216957282923037e-10, 5.816880296542410857e-10, 1.112306070934953448e-12, 4.955435362841740749e-10
2.066000000000000000e+03, 7.454696424893068718e-14, 2.964795072251386456e-11, 8.304936232232791539e-11, 4.090362649913210395e-10, 2.477474695181320321e-10, 5.178120286858574779e-10, 1.241025182981675409e-12, 4.955916100771019993e-10
