year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CMCC-ESM2, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL
2.026000000000000000e+03, 5.217879550275055850e-12, 1.190310838316386377e-10, 5.013950531753045124e-12, 2.031761389494837089e-10, 7.859243371501402877e-11, 3.900038604725808461e-12, 9.745529732795247643e-11, 2.276471998584782017e-11, 2.058565615297894068e-10, 1.894909937943557696e-13
2.027000000000000000e+03, 5.203659531313374228e-12, 1.193193963250758496e-10, 4.666704279670490284e-12, 1.896204655865125592e-10, 7.566719568268333786e-11, 3.742640282402818613e-12, 9.660087329298096337e-11, 2.254143944501542196e-11, 1.967614885656027677e-10, 1.866181776918062098e-13
2.028000000000000000e+03, 5.243777860781998047e-12, 1.195206850202936800e-10, 4.683128784271783635e-12, 1.965997724519108400e-10, 7.347707950905968140e-11, 3.569204499913507474e-12, 9.697231758817565586e-11, 2.283974640079028488e-11, 1.972929312879128430e-10, 1.907228075246575040e-13
2.029000000000000000e+03, 5.268938956519153148e-12, 1.190967181636720693e-10, 4.635730731203432616e-12, 1.938854766535205712e-10, 7.224950638969354477e-11, 3.480682397379246492e-12, 9.742329984101091338e-11, 2.358914273250088162e-11, 2.024601628556916617e-10, 1.982105527693060124e-13
2.030000000000000000e+03, 5.354802111492922721e-12, 1.191179742793645402e-10, 4.618519058837846315e-12, 1.774832826938349217e-10, 7.075430854652520370e-11, 3.648444107261149033e-12, 9.961821555293245852e-11, 2.431855912645010338e-11, 1.984397000667673532e-10, 1.869343004538426602e-13
2.031000000000000000e+03, 5.331607344294886669e-12, 1.221664341278165941e-10, 3.904236714117865973e-12, 1.804600643392544550e-10, 7.060436695090984318e-11, 3.561767787460523546e-12, 9.973687287892402986e-11, 2.421774959140960135e-11, 1.952445444429418558e-10, 1.818252857213196979e-13
2.032000000000000000e+03, 5.384567484055105072e-12, 1.234969986595098348e-10, 3.846907813213232205e-12, 1.830953120672703870e-10, 6.877229022153349780e-11, 3.401148357317596500e-12, 9.726369806546551412e-11, 2.434167224705882131e-11, 1.686361666390656748e-10, 1.897572422155008661e-13
2.033000000000000000e+03, 5.440547748128067444e-12, 1.245354768068380082e-10, 3.806856959725623766e-12, 1.753023840941093314e-10, 6.823500801826045361e-11, 3.167142351584864237e-12, 9.859743383795541427e-11, 2.468014695138750325e-11, 1.615983261249210676e-10, 1.881602023423831564e-13
2.034000000000000000e+03, 5.486478827263443221e-12, 1.250175192714991279e-10, 3.727716999004194983e-12, 1.814317608161680424e-10, 6.809198991430922544e-11, 3.262939611519694046e-12, 9.778528435221215805e-11, 2.490732527376929656e-11, 1.799794489540104320e-10, 1.579512464110699033e-13
2.035000000000000000e+03, 5.547158853862671035e-12, 1.236497292450082344e-10, 3.735821201842061365e-12, 1.781471888725587898e-10, 6.678687877443130844e-11, 2.988857169360498905e-12, 9.699963226219404499e-11, 2.542841552293639303e-11, 1.936755832300826525e-10, 1.374288903000581380e-13
2.036000000000000000e+03, 5.563015044822587112e-12, 1.248273757079836152e-10, 3.407611922994846096e-12, 1.798418112910790039e-10, 6.706148320915875271e-11, 2.706678011465235018e-12, 9.795520223330169020e-11, 2.502560367970440800e-11, 1.974626622805526845e-10, 1.336087192846448524e-13
2.037000000000000000e+03, 5.588018527124466597e-12, 1.248135640342611705e-10, 3.462729328379480464e-12, 1.886421378402216255e-10, 6.678684596242074334e-11, 2.595955023041611664e-12, 9.808528700654520298e-11, 2.507111203565957459e-11, 2.224198085432845863e-10, 1.354718364702708837e-13
2.038000000000000000e+03, 5.668452716729147174e-12, 1.249099818797893708e-10, 3.278253052297654735e-12, 1.763590992789363167e-10, 6.659548778273475763e-11, 2.528524576032554886e-12, 9.564646557756683832e-11, 2.528118628624672516e-11, 2.191808975938150549e-10, 1.381787629068014985e-13
2.039000000000000000e+03, 5.710794350726301162e-12, 1.250845384466891809e-10, 3.338248030974134975e-12, 1.685220561883712312e-10, 6.676428253888361284e-11, 2.481614915262923371e-12, 9.541910721295848882e-11, 2.556379510603176890e-11, 1.961660149027590639e-10, 1.403133281536499514e-13
2.040000000000000000e+03, 5.770054084393544185e-12, 1.245286496668345951e-10, 3.086621641686253002e-12, 1.662239446008027833e-10, 6.497464767545247253e-11, 2.338931713903524955e-12, 9.434559696971212319e-11, 2.567828218786835504e-11, 1.936817823110249815e-10, 1.370078308736708875e-13
2.041000000000000000e+03, 5.574002093904635191e-12, 1.251226649536054141e-10, 2.948773293891570920e-12, 1.586493749109795436e-10, 6.485696301890005035e-11, 2.208025127761047950e-12, 9.331171421654007052e-11, 2.563245356341706576e-11, 1.983603842582957695e-10, 1.232862126726369028e-13
2.042000000000000000e+03, 5.622891922569402861e-12, 1.253411311444799578e-10, 2.930138931275649730e-12, 1.605989272376457338e-10, 6.513053208224757229e-11, 2.101513119707581498e-12, 9.351343227301212364e-11, 2.607663254836530854e-11, 1.891562968721148763e-10, 1.106279817781488258e-13
2.043000000000000000e+03, 5.656190968887643084e-12, 1.249266484594508593e-10, 2.860703578628056739e-12, 1.590688293115167251e-10, 6.487163796154017935e-11, 2.159182113654230078e-12, 9.372722681873884382e-11, 2.626772668737446413e-11, 1.988464420323986142e-10, 1.054145606018562039e-13
2.044000000000000000e+03, 5.763641278324248843e-12, 1.247540110958491181e-10, 2.881292704266535882e-12, 1.577593212465241942e-10, 6.431244951380003913e-11, 2.132322009231256360e-12, 9.306351539404955331e-11, 2.616475088745601854e-11, 2.097540460472851809e-10, 1.053948057665303535e-13
2.045000000000000000e+03, 5.816678641484893155e-12, 1.238887989856045334e-10, 1.026707032853766365e-12, 1.561047834360999176e-10, 6.373685471491233581e-11, 2.159299417137804555e-12, 9.361398589739212318e-11, 2.682564390122816471e-11, 2.103889790573189073e-10, 1.142021009386195051e-13
2.046000000000000000e+03, 5.925356954258581020e-12, 1.237903978572823964e-10, 1.518792384786320908e-12, 1.658902833592537912e-10, 6.333071370084222271e-11, 2.168147787366270725e-12, 9.324462715871323285e-11, 2.754161080019649606e-11, 1.944526312455891078e-10, 1.205213305599758552e-13
2.047000000000000000e+03, 6.143725055532818141e-12, 1.233912670167842582e-10, 1.620035466240345372e-12, 1.648642440357671158e-10, 6.335649420042536508e-11, 2.177904090302263123e-12, 9.316797495211951675e-11, 2.785668313498044965e-11, 1.838959348335276710e-10, 1.120313473593020542e-13
2.048000000000000000e+03, 6.253655041338470033e-12, 1.230092836708830554e-10, 1.594455603147627752e-12, 1.610409856379754167e-10, 6.297463481254178047e-11, 2.159972559647472907e-12, 9.282049193841209501e-11, 2.838315402347677011e-11, 1.705819574004086462e-10, 1.054097685304781804e-13
2.049000000000000000e+03, 6.384947852071360160e-12, 1.226719205066350436e-10, 1.556744977070500658e-12, 1.593806774186724713e-10, 6.280405858865516870e-11, 2.162126999006923309e-12, 9.210975907384951109e-11, 2.910671366471459128e-11, 1.867674520593884089e-10, 1.037862136720785795e-13
2.050000000000000000e+03, 6.494806431689103284e-12, 1.225108712942058786e-10, 1.541513415200957062e-12, 1.590687726568295267e-10, 6.216838970041507790e-11, 1.718999974296500491e-12, 8.815910539452758282e-11, 2.957438435182392712e-11, 2.137257823022133348e-10, 1.010032757735293580e-13
2.051000000000000000e+03, 6.899937135382435145e-12, 1.316698366088585473e-10, 6.371938691348943949e-13, 1.749037531003919123e-10, 6.371492288302042535e-11, 1.424019578813923395e-12, 8.806043449022000410e-11, 2.710948631793925468e-11, 2.127233655760569155e-10, 9.207560698674242834e-14
2.052000000000000000e+03, 7.047451650186630978e-12, 1.331274006709421778e-10, 6.084618669413547300e-13, 1.755186684893365907e-10, 6.499747432760902801e-11, 1.367519942873459748e-12, 8.764297543372879272e-11, 2.884346647496189402e-11, 1.878006461427803031e-10, 8.739258650831607565e-14
2.053000000000000000e+03, 7.180355997107377696e-12, 1.342797754660163736e-10, 5.584078185531115197e-13, 1.804426421546332336e-10, 6.636804128485793174e-11, 1.351061140420548309e-12, 8.729299565928168263e-11, 2.973144949400046893e-11, 1.895309308899599481e-10, 8.667988726527484246e-14
2.054000000000000000e+03, 7.309046985255765011e-12, 1.348505240710365362e-10, 5.635714337983375900e-13, 1.754356061015778055e-10, 6.734000323311834602e-11, 1.343364447265417420e-12, 8.707620244405437589e-11, 3.068358001120868141e-11, 2.117384700182416777e-10, 8.614775773828483402e-14
2.055000000000000000e+03, 7.440748465105902563e-12, 1.353232880558052641e-10, 5.422224066755265281e-13, 1.673589115982815673e-10, 6.741751239424101039e-11, 1.211662966526294768e-12, 8.629156106236658412e-11, 3.125652428928770475e-11, 1.943135519618698504e-10, 8.587520063676235262e-14
2.056000000000000000e+03, 7.722592070062733105e-12, 1.345008476969415989e-10, 1.454980012721222885e-12, 1.548853331941341022e-10, 6.790222470670556641e-11, 1.110396130948366633e-12, 8.598198177800995611e-11, 3.085215004164572218e-11, 1.823085207871163138e-10, 8.222811315258230852e-14
2.057000000000000000e+03, 7.864614074601414741e-12, 1.348436831482711778e-10, 1.471635808390139580e-12, 1.579425308202424796e-10, 6.804967947401147089e-11, 1.089837649722650930e-12, 8.562228832207197381e-11, 3.047437238218597050e-11, 1.879687645266900995e-10, 7.932028463534069318e-14
2.058000000000000000e+03, 7.999889166702465329e-12, 1.351615712052595543e-10, 1.491389047178854907e-12, 1.755198210419752271e-10, 6.798920472298114438e-11, 1.068441847773475660e-12, 8.525545459920417917e-11, 3.105667979254967145e-11, 1.792776580751023698e-10, 7.831280674809251933e-14
2.059000000000000000e+03, 8.137307326364907241e-12, 1.349777992110306908e-10, 1.527008636299789198e-12, 1.738110205963005315e-10, 6.785528365706827946e-11, 1.056892298103688918e-12, 8.484288363246933202e-11, 3.149764359189811924e-11, 1.701448776425072524e-10, 7.782006556952062738e-14
2.060000000000000000e+03, 8.282618950766015192e-12, 1.366855986879276261e-10, 1.533552474683484951e-12, 1.669456968373475665e-10, 6.780735671649399321e-11, 1.157281850750515904e-12, 8.441939503687377046e-11, 3.094936101581860771e-11, 1.883237558456093226e-10, 7.739563689210515903e-14
2.061000000000000000e+03, 8.980573900764251274e-12, 1.369629140205417380e-10, 3.737978267345316662e-12, 1.613379004296457638e-10, 6.789320219715496842e-11, 1.232982752524346652e-12, 8.445680841246997166e-11, 3.205510962446858866e-11, 2.061085395398453029e-10, 7.677338489965366191e-14
2.062000000000000000e+03, 9.135138316840799521e-12, 1.374610105769787538e-10, 3.999030434590995239e-12, 1.710360986761999053e-10, 6.812434818488954519e-11, 1.252925745448515383e-12, 8.437517480789566208e-11, 3.153572299999371351e-11, 1.926722467005377708e-10, 7.623696253922482715e-14
2.063000000000000000e+03, 9.301180297651240772e-12, 1.375990414217508864e-10, 4.244843067206139956e-12, 1.751122869354126379e-10, 6.825582660909412062e-11, 1.249002427209965695e-12, 8.442092098457869038e-11, 3.209845999776155932e-11, 1.927109805898339535e-10, 7.569007846103193632e-14
2.064000000000000000e+03, 9.485745696674602255e-12, 1.380202404857486977e-10, 4.400545377426518596e-12, 1.865309968519812266e-10, 6.865589403115271408e-11, 1.230967751242876905e-12, 8.446229223102137649e-11, 3.290043108977294976e-11, 1.888974272854711021e-10, 7.496449379154041535e-14
2.065000000000000000e+03, 9.650642625087773702e-12, 1.385608375851031522e-10, 4.613375461594827407e-12, 1.813442001737307652e-10, 6.907260046600160922e-11, 1.246167135815156375e-12, 8.402679199942224262e-11, 3.295616145102220220e-11, 2.045993436267347025e-10, 7.469400083438440915e-14
2.066000000000000000e+03, 9.813715440624307321e-12, 1.334675559664383520e-10, 4.426076287479734010e-12, 1.893414883118986557e-10, 6.941814094547497858e-11, 1.259803006261517382e-12, 8.381234844761466590e-11, 3.368785805974101934e-11, 2.037473165985361257e-10, 7.454696329534638581e-14
2.067000000000000000e+03, 9.975751999103282217e-12, 1.324070235330904579e-10, 4.578341850939125771e-12, 1.681730420507839371e-10, 6.964425428440199240e-11, 1.246803322408112955e-12, 8.355081393501761175e-11, 3.424123092831728670e-11, 1.782857581377682811e-10, 7.423476046305452705e-14
2.068000000000000000e+03, 1.014410299266303729e-11, 1.329173637936047839e-10, 4.732870183281178456e-12, 1.652052997979371391e-10, 6.968281274792867714e-11, 1.240186222911040415e-12, 8.332821350035626041e-11, 3.432510613453828177e-11, 1.694544532202991599e-10, 7.326732239375370063e-14
2.069000000000000000e+03, 1.031951919170981493e-11, 1.296812244195420458e-10, 4.846725070472465159e-12, 1.651762323807521290e-10, 6.969731923059770093e-11, 1.236399292987914684e-12, 8.302241621151915585e-11, 3.350138715742027706e-11, 1.846965526571482539e-10, 7.266539939699877820e-14
