year, CNRM-ESM2-1, ACCESS-ESM1-5, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, MIROC-ES2L, CanESM5, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, INM-CM4-8
2.025000000000000000e+03, 6.821717768672264981e+01, 9.016134327519837655e+01, 2.365624414585674273e+01, 2.683888120962728152e+01, 6.154660163265972272e+01, 5.147449649165886143e+01, 5.683564978803395462e+01, 6.564630440421866808e+01, 2.379966701651137839e+01, 4.357914964986928652e+01, 6.172949393001208307e+01, 3.526587446171291162e+01, 5.568454443235804519e+01, 4.051493723881822007e+01, 5.762256632756709251e+01, 6.058180138130654058e+01
2.026000000000000000e+03, 6.861340705998877354e+01, 9.037048544628268587e+01, 2.390154557396311930e+01, 2.688230522559771529e+01, 6.211280830934096997e+01, 5.201187079464149576e+01, 5.756919498300128168e+01, 6.614087824437248742e+01, 2.410705751040502065e+01, 4.413071924014653291e+01, 6.177478431016199067e+01, 3.559786888312125797e+01, 5.613690437948135781e+01, 4.102837761262548355e+01, 5.821058524286878821e+01, 6.073749383914527300e+01
2.027000000000000000e+03, 6.905475858907803399e+01, 9.051613880349903241e+01, 2.414477832531048662e+01, 2.695414744242468785e+01, 6.248494244687795884e+01, 5.266248885367581067e+01, 5.792333496041428020e+01, 6.650533820451244083e+01, 2.441701375200860014e+01, 4.468292467736520734e+01, 6.176399729855652510e+01, 3.580503348705602917e+01, 5.659925476645888409e+01, 4.160644733420045327e+01, 5.836694786576179439e+01, 6.091381570850619909e+01
2.028000000000000000e+03, 6.955645117812559874e+01, 9.065946857100421141e+01, 2.454120089572762708e+01, 2.707205943731185016e+01, 6.276637387180861083e+01, 5.293569418383114566e+01, 5.829538594318165678e+01, 6.686343339870293789e+01, 2.471320677954098244e+01, 4.509677714045992758e+01, 6.198719778307508932e+01, 3.603419024621632616e+01, 5.693390679918065445e+01, 4.167713532803843890e+01, 5.860869863615364039e+01, 6.099431554209168382e+01
2.029000000000000000e+03, 6.984141061313076193e+01, 9.084933262977571644e+01, 2.485938952324110929e+01, 2.723770693575073665e+01, 6.319614738880623861e+01, 5.328544743134816031e+01, 5.883652960181883174e+01, 6.710655844887156718e+01, 2.515771324227543460e+01, 4.548406270419905439e+01, 6.234393612199608725e+01, 3.626403303865147620e+01, 5.711359419872982102e+01, 4.112509169103851292e+01, 5.905307725484117753e+01, 6.112908772483206121e+01
2.030000000000000000e+03, 7.040556219026969131e+01, 9.104473941549139226e+01, 2.532669888560277727e+01, 2.738937667762014172e+01, 6.369535315658040275e+01, 5.391993246292182818e+01, 5.948302451099240784e+01, 6.723523454120491749e+01, 2.552128334398668486e+01, 4.598092228411984195e+01, 6.263753567040441794e+01, 3.654180005064566217e+01, 5.729563360245870740e+01, 4.104918858157314787e+01, 5.923942389312687595e+01, 6.132618277084036151e+01
2.031000000000000000e+03, 7.098036056794842352e+01, 9.123750138660234654e+01, 2.555991438556539563e+01, 2.768102972077100077e+01, 6.403710105098154770e+01, 5.466394134115260783e+01, 6.021037525158313741e+01, 6.746159643490167923e+01, 2.591746287972280172e+01, 4.655906868724802194e+01, 6.280838631508042624e+01, 3.663472272137293118e+01, 5.754844105705033286e+01, 4.141305289663881695e+01, 5.932040999422054028e+01, 6.147270240339354785e+01
2.032000000000000000e+03, 7.142082075270367625e+01, 9.168258408594668651e+01, 2.568568195048604963e+01, 2.772951788715711174e+01, 6.438402169100048411e+01, 5.521670590826710878e+01, 6.102267646929172429e+01, 6.789758741226462746e+01, 2.626544045162662400e+01, 4.710386445202720296e+01, 6.285816582492691396e+01, 3.690010235677442552e+01, 5.793762221651721944e+01, 4.208161469488862139e+01, 5.940344531796701943e+01, 6.155334434095216523e+01
2.033000000000000000e+03, 7.191566403222357451e+01, 9.198415641852115243e+01, 2.603996304712774901e+01, 2.778648962535367062e+01, 6.467237809979928898e+01, 5.548589466928822844e+01, 6.169194393007164479e+01, 6.825174699216445617e+01, 2.667520549789138329e+01, 4.752319650404717777e+01, 6.297007787465966544e+01, 3.702730329737546100e+01, 5.841280285399832195e+01, 4.243239897366360225e+01, 5.946361618059434306e+01, 6.169508243891630883e+01
2.034000000000000000e+03, 7.236118812301680236e+01, 9.229777210349897132e+01, 2.625233085839333924e+01, 2.792759808276132816e+01, 6.468418561977961190e+01, 5.607997688386990376e+01, 6.203962356854176363e+01, 6.848382954453346372e+01, 2.708084820335696463e+01, 4.796837464484799796e+01, 6.320094617292211581e+01, 3.737988232616854134e+01, 5.865880162839331291e+01, 4.236313680887862887e+01, 5.984062963819921066e+01, 6.179505943397111167e+01
2.035000000000000000e+03, 7.279737153012287365e+01, 9.265847786581231560e+01, 2.663187801375178765e+01, 2.809365524940285397e+01, 6.490580033036174257e+01, 5.659025156187461647e+01, 6.227293839549950860e+01, 6.890215756588609963e+01, 2.752597497973685137e+01, 4.852536716464855715e+01, 6.335544320436894594e+01, 3.766544638530149314e+01, 5.907516987201019987e+01, 4.284135676746402055e+01, 6.036275182470417633e+01, 6.186483128457479097e+01
2.036000000000000000e+03, 7.307235696637799549e+01, 9.298295746648572901e+01, 2.678737346422506604e+01, 2.834683196045176956e+01, 6.542502274813193708e+01, 5.699606480675948461e+01, 6.274901578886139220e+01, 6.926554426523549068e+01, 2.789201995896912578e+01, 4.889651366277741573e+01, 6.349496738400176099e+01, 3.785434627187382972e+01, 5.938988938216876790e+01, 4.322883473222294981e+01, 6.074086941015939090e+01, 6.213501403119554567e+01
2.037000000000000000e+03, 7.348521333882905537e+01, 9.324350404309143414e+01, 2.713003000186151681e+01, 2.825686293376276481e+01, 6.590756848708889493e+01, 5.736418020929752259e+01, 6.340620692747146592e+01, 6.966298220131017160e+01, 2.837155128397902004e+01, 4.930439184186626278e+01, 6.395234272763703132e+01, 3.817420927681494192e+01, 5.978881550767569308e+01, 4.316986814926475091e+01, 6.119989042539516788e+01, 6.237912491098914103e+01
2.038000000000000000e+03, 7.392801325334401952e+01, 9.353891469505815337e+01, 2.741951091889144365e+01, 2.812884157790171358e+01, 6.627543146452161693e+01, 5.792273334533277307e+01, 6.401395669969312507e+01, 7.008499525630145399e+01, 2.880715090589517402e+01, 4.952007549267951703e+01, 6.421169632888165779e+01, 3.831675406581341292e+01, 5.993568033328687505e+01, 4.333247853266392013e+01, 6.166776684051682622e+01, 6.261837071131544974e+01
2.039000000000000000e+03, 7.445765384095142281e+01, 9.365747993787950065e+01, 2.775313240779595247e+01, 2.835377579543731130e+01, 6.680083573449130085e+01, 5.825006086344836120e+01, 6.470777935228490207e+01, 7.056587826868916125e+01, 2.920989895863449703e+01, 4.982489349914698806e+01, 6.447622805798106072e+01, 3.835251791573621460e+01, 5.998787275116914230e+01, 4.364109324807657231e+01, 6.189275860781498295e+01, 6.270597384661878948e+01
2.040000000000000000e+03, 7.474199262178385084e+01, 9.368508820201702747e+01, 2.803633987780690617e+01, 2.849003114499051748e+01, 6.737418987126875436e+01, 5.868841313090479872e+01, 6.532157610768632594e+01, 7.092564172077541684e+01, 2.969154412024606060e+01, 5.025881368567204532e+01, 6.467848544534092525e+01, 3.862161255686397254e+01, 6.021449488551942153e+01, 4.379375312864063119e+01, 6.200646590026041594e+01, 6.269442739483781679e+01
2.041000000000000000e+03, 7.526661797918016816e+01, 9.385246183958761890e+01, 2.848159988824244948e+01, 2.866543820776955442e+01, 6.792289768141039019e+01, 5.906703660235075404e+01, 6.592532575159621899e+01, 7.118062615282661909e+01, 3.014857036565351578e+01, 5.059585545743012602e+01, 6.476540453495958616e+01, 3.875880288846362731e+01, 6.045633406397266896e+01, 4.409121685457468942e+01, 6.247396667859966612e+01, 6.276649047153615157e+01
2.042000000000000000e+03, 7.555606794708162965e+01, 9.404833157127669097e+01, 2.891122819747482353e+01, 2.903172005846057147e+01, 6.824345893732491675e+01, 5.951756639099389190e+01, 6.657619872583613585e+01, 7.150410231259652960e+01, 3.050988570496046748e+01, 5.080930592040552085e+01, 6.500215787061711126e+01, 3.893680627447219678e+01, 6.049109213991853551e+01, 4.441601618054282596e+01, 6.281024449836133527e+01, 6.290589715841888818e+01
2.043000000000000000e+03, 7.618482550432331379e+01, 9.422179904953850382e+01, 2.907998909750467575e+01, 2.922217044298848521e+01, 6.844195028783484247e+01, 6.004970993530317003e+01, 6.711908899508918580e+01, 7.196284107531081986e+01, 3.094895997291138912e+01, 5.117256800891590984e+01, 6.520873277998074968e+01, 3.928046721080008297e+01, 6.096306937715381480e+01, 4.416295457164324745e+01, 6.303761687377548384e+01, 6.313485017176741110e+01
2.044000000000000000e+03, 7.689987221379283255e+01, 9.450822776275207104e+01, 2.934426168364962706e+01, 2.926278555676378090e+01, 6.851156957431153671e+01, 6.042816778079336615e+01, 6.765478664632564687e+01, 7.232114450010082862e+01, 3.139367552296172548e+01, 5.154354199118013469e+01, 6.536106186151707220e+01, 3.947931586192056130e+01, 6.160812732966339667e+01, 4.438734409237352452e+01, 6.347636014588248798e+01, 6.340608452894895208e+01
2.045000000000000000e+03, 7.750203347152155686e+01, 9.477126729474525746e+01, 2.965595319681236219e+01, 2.933572298980632453e+01, 6.869898775270957003e+01, 6.087878763587823983e+01, 6.827226697051682436e+01, 7.273935845012098866e+01, 3.185593451832625078e+01, 5.205580775135350535e+01, 6.567980774555917378e+01, 3.962593776340391827e+01, 6.207045930349858764e+01, 4.488183351076835947e+01, 6.407747514692738378e+01, 6.366241918295452251e+01
2.046000000000000000e+03, 7.795863704106758973e+01, 9.502190991878698867e+01, 2.995329546378174257e+01, 2.955697159289963238e+01, 6.918787338655631913e+01, 6.159128675251643159e+01, 6.896073156345363486e+01, 7.338302404174800131e+01, 3.251784015972727104e+01, 5.246939930434504618e+01, 6.594603726709435421e+01, 3.984058087039908003e+01, 6.255567071936662416e+01, 4.536590145121622442e+01, 6.432655018459924179e+01, 6.384592194503718332e+01
2.047000000000000000e+03, 7.847084208240052305e+01, 9.516528037596368961e+01, 3.039590057665634149e+01, 2.988444029873107866e+01, 6.966983817329713702e+01, 6.202160932290239259e+01, 6.991385605052791163e+01, 7.402749141680344280e+01, 3.317286169271891794e+01, 5.279516529534718217e+01, 6.594770338988237768e+01, 4.013740710914523646e+01, 6.292934476787158360e+01, 4.508593196801363945e+01, 6.436883373021878185e+01, 6.420092190878460769e+01
2.048000000000000000e+03, 7.924946715245684459e+01, 9.547592875075461905e+01, 3.095626124809241730e+01, 2.991449848779602760e+01, 7.017518909713409414e+01, 6.245717753693478613e+01, 7.074496835520332638e+01, 7.447225948113843685e+01, 3.361976897589872237e+01, 5.317086511049377151e+01, 6.607650115543188463e+01, 4.038896615061184292e+01, 6.332444574815360738e+01, 4.559655034179971977e+01, 6.444931454856983066e+01, 6.449851682379102158e+01
2.049000000000000000e+03, 7.987105402919735297e+01, 9.592260786150114882e+01, 3.148791141410727334e+01, 3.005158407754177929e+01, 7.056499269311711942e+01, 6.298968568816746938e+01, 7.160271318512256755e+01, 7.502090305418127514e+01, 3.410111111832920727e+01, 5.355204125265797899e+01, 6.610173061145582096e+01, 4.061485292426060312e+01, 6.385692642663775587e+01, 4.540927542967054364e+01, 6.432938800126335366e+01, 6.464656953926727567e+01
2.050000000000000000e+03, 8.053741387447495015e+01, 9.638839832507565575e+01, 3.163891216528761774e+01, 3.032913159764667554e+01, 7.107206535983988260e+01, 6.312452660150356110e+01, 7.222181013258303039e+01, 7.548173959859011006e+01, 3.456816763499752909e+01, 5.386267326016377410e+01, 6.624952626153753954e+01, 4.087000893649523903e+01, 6.441091612649668718e+01, 4.561962887493202601e+01, 6.451370861829499859e+01, 6.478913972585155534e+01
2.051000000000000000e+03, 8.110008006664430980e+01, 9.673729890189673597e+01, 3.195752642251444442e+01, 3.053225441722006295e+01, 7.159172716000317394e+01, 6.345328299585946752e+01, 7.292305456571227751e+01, 7.589617211728111101e+01, 3.509748042539268198e+01, 5.412023433890953328e+01, 6.655125025287395601e+01, 4.116728328563134198e+01, 6.471267199275354187e+01, 4.601311199304917210e+01, 6.514450015085000700e+01, 6.501698088725562741e+01
2.052000000000000000e+03, 8.135121555165572715e+01, 9.718136703182481995e+01, 3.264144037336390625e+01, 3.048634430042234200e+01, 7.187626390202530047e+01, 6.405221221603592596e+01, 7.377338038947389975e+01, 7.655269835525140820e+01, 3.566591420564229509e+01, 5.448786540723204297e+01, 6.678472576718938569e+01, 4.138257119496810077e+01, 6.499403712113499409e+01, 4.571536960926680138e+01, 6.583172730670230521e+01, 6.519553850929403893e+01
2.053000000000000000e+03, 8.175345321855016323e+01, 9.749372544536977614e+01, 3.298718853558435171e+01, 3.059500241543540611e+01, 7.235736487615174894e+01, 6.464582934550378468e+01, 7.459989424725419838e+01, 7.700925766044845489e+01, 3.618654675780068430e+01, 5.471689382595032924e+01, 6.714054638860314128e+01, 4.174138449225876712e+01, 6.533835158801993259e+01, 4.595804805805667570e+01, 6.611621855669679348e+01, 6.542361051686084750e+01
2.054000000000000000e+03, 8.232098438291852460e+01, 9.776188348096138725e+01, 3.354145661273537371e+01, 3.081971379123154620e+01, 7.307516132561455890e+01, 6.504909474628165356e+01, 7.528227006226519791e+01, 7.749255580813635902e+01, 3.673613422884263002e+01, 5.510703650865337266e+01, 6.720347679210057379e+01, 4.188097921416865432e+01, 6.563985222299845645e+01, 4.623210454276554060e+01, 6.612853983609413433e+01, 6.567739449006076313e+01
2.055000000000000000e+03, 8.292471312219882407e+01, 9.813565539045043806e+01, 3.399561053849124193e+01, 3.104789653801487503e+01, 7.358580216994910472e+01, 6.516332321903082914e+01, 7.592174317208171885e+01, 7.790889321451004434e+01, 3.731935922614962919e+01, 5.549292320942737433e+01, 6.726721589298867343e+01, 4.206495920646954545e+01, 6.591183163526869748e+01, 4.650505961268392952e+01, 6.674796451171592082e+01, 6.589731791938289973e+01
2.056000000000000000e+03, 8.354084407211749408e+01, 9.860685162703380513e+01, 3.431544333986258977e+01, 3.128602698115740921e+01, 7.368452598749442473e+01, 6.543201823564639596e+01, 7.664389101578284169e+01, 7.839917710801732653e+01, 3.784505879025007857e+01, 5.600588101830196308e+01, 6.736228634329079057e+01, 4.238151289161006474e+01, 6.607016474390530902e+01, 4.661270070329414494e+01, 6.757127273737653184e+01, 6.597937662959589034e+01
2.057000000000000000e+03, 8.421084109773879334e+01, 9.919188399292519875e+01, 3.466548539862260725e+01, 3.148049034209520869e+01, 7.427138936020330107e+01, 6.615342201138609823e+01, 7.757344844181469057e+01, 7.899678213681413297e+01, 3.833492343749818332e+01, 5.641345728986090080e+01, 6.752186904698527314e+01, 4.241967328432567541e+01, 6.604104244356223319e+01, 4.636177792516888019e+01, 6.777607825842815714e+01, 6.630545703010849934e+01
2.058000000000000000e+03, 8.458922297643779586e+01, 9.973884184277693521e+01, 3.513933130345702693e+01, 3.147211059752350337e+01, 7.460062007932957329e+01, 6.698918677640159558e+01, 7.846101129174938649e+01, 7.958146360736533609e+01, 3.889939005569339514e+01, 5.677509907316251514e+01, 6.773734251197548417e+01, 4.250146623199317020e+01, 6.610733803667713460e+01, 4.655240581203467087e+01, 6.772967298880432452e+01, 6.669033905884229796e+01
2.059000000000000000e+03, 8.519335234992837513e+01, 9.990507084473887289e+01, 3.558370639078890463e+01, 3.172407773852185642e+01, 7.482190403096066689e+01, 6.761832635089857035e+01, 7.919930874534023246e+01, 8.009747401689864432e+01, 3.949518414057218507e+01, 5.700289771763238633e+01, 6.796028766467617288e+01, 4.271215822468501244e+01, 6.654828229014059104e+01, 4.649042041293543548e+01, 6.804253547683413217e+01, 6.685955991894299189e+01
2.060000000000000000e+03, 8.572948904045911434e+01, 9.978826964061423155e+01, 3.586120394146226431e+01, 3.203417326238895413e+01, 7.535236154699697408e+01, 6.779980844356643388e+01, 8.012104883395760169e+01, 8.080655915936797840e+01, 4.003581243763499486e+01, 5.735971371508939853e+01, 6.833646766241582782e+01, 4.291812695749647588e+01, 6.686424096597822597e+01, 4.687679182148923474e+01, 6.857829829188261783e+01, 6.707555631676788721e+01
2.061000000000000000e+03, 8.659944379101632705e+01, 9.985857789672390084e+01, 3.644052317278931952e+01, 3.233540178388487618e+01, 7.587151002579390990e+01, 6.821557008352945672e+01, 8.125965379355201890e+01, 8.139438360953045049e+01, 4.045690116653585733e+01, 5.774269248982432856e+01, 6.847066521659826321e+01, 4.323261122245486376e+01, 6.733343942431019968e+01, 4.697042958494918707e+01, 6.890012231483024152e+01, 6.724262432998554573e+01
2.062000000000000000e+03, 8.740091594747474346e+01, 1.001705414450901372e+02, 3.695768987064221989e+01, 3.251216883028147464e+01, 7.652673940761421534e+01, 6.875666583507768337e+01, 8.252925925564909448e+01, 8.186352383754440609e+01, 4.102021860143211285e+01, 5.808979908408741721e+01, 6.870877693491807747e+01, 4.360929224667219728e+01, 6.807687276552418609e+01, 4.774656813847573034e+01, 6.922529405677380510e+01, 6.752389189635489686e+01
2.063000000000000000e+03, 8.785076849253566422e+01, 1.006219840979034359e+02, 3.743274887892759040e+01, 3.250624638100071451e+01, 7.718130957697506744e+01, 6.892487279240577891e+01, 8.380908184713393894e+01, 8.229280679432601175e+01, 4.173538699058615720e+01, 5.835392592062599704e+01, 6.901902892659818178e+01, 4.363922944403098825e+01, 6.884702536914528537e+01, 4.780562674230344555e+01, 6.965300186746389954e+01, 6.776277839349877752e+01
2.064000000000000000e+03, 8.849427067046893569e+01, 1.011253072314694208e+02, 3.771112676497752147e+01, 3.281827656183462949e+01, 7.788588470282108744e+01, 6.926479314468330983e+01, 8.476866169692273445e+01, 8.274228116867450922e+01, 4.221749054653523814e+01, 5.873493040999968429e+01, 6.917332966015612783e+01, 4.377167743676889700e+01, 6.938129018663725844e+01, 4.743686905849450852e+01, 6.999941301316934528e+01, 6.793560091432350134e+01
2.065000000000000000e+03, 8.912629739202198209e+01, 1.015469443703928505e+02, 3.825109219183710252e+01, 3.314972616425051655e+01, 7.851287807826919618e+01, 6.985267218084020158e+01, 8.574432732688103442e+01, 8.322086195237596939e+01, 4.283722574669529592e+01, 5.916806184101554322e+01, 6.935511164515740745e+01, 4.401500314646285261e+01, 6.958976535732909952e+01, 4.747313741083431182e+01, 6.981823910038212944e+01, 6.824636277717522148e+01
2.066000000000000000e+03, 9.009070747328388507e+01, 1.020164253376565000e+02, 3.877192898501699148e+01, 3.317510319904346261e+01, 7.866403145384040840e+01, 7.050517326726514966e+01, 8.689394106643763394e+01, 8.387667894572345517e+01, 4.330303138669256668e+01, 5.949604371877636311e+01, 6.955978510550011151e+01, 4.433294176830021627e+01, 6.977861254156286464e+01, 4.799424810040134304e+01, 7.044006420216588538e+01, 6.862304827684933173e+01
2.067000000000000000e+03, 9.071955523863242377e+01, 1.024470196480209552e+02, 3.937666381332380183e+01, 3.325428485538427736e+01, 7.911264451580845503e+01, 7.086265032794005947e+01, 8.796120449517307804e+01, 8.432097043142660198e+01, 4.385087001468655643e+01, 5.986287675759632521e+01, 6.987753009365377466e+01, 4.454411345055523697e+01, 7.003667073131326504e+01, 4.830065079939833339e+01, 7.102627581888735619e+01, 6.888233011473978706e+01
2.068000000000000000e+03, 9.150633278154478489e+01, 1.028686831418406911e+02, 3.980960517979080038e+01, 3.357001898375344950e+01, 7.958412765499029717e+01, 7.116856713326008332e+01, 8.876633408214820520e+01, 8.493374361453003019e+01, 4.440036449398987628e+01, 6.019583375105897005e+01, 7.006302362565126884e+01, 4.480612764794286562e+01, 7.024524360150611813e+01, 4.885222241198811588e+01, 7.130193356583356490e+01, 6.895217469968297053e+01
2.069000000000000000e+03, 9.233862536658439524e+01, 1.032971675858780003e+02, 3.999458010378146611e+01, 3.391454531285516083e+01, 8.015338009264227992e+01, 7.192779391316398119e+01, 8.959188312632556972e+01, 8.546286665890129086e+01, 4.504625543781682495e+01, 6.048343993801324103e+01, 7.016365469158465373e+01, 4.507637012941457755e+01, 7.078991747158261205e+01, 4.841469314535142132e+01, 7.136919645736919904e+01, 6.929378649735814122e+01
2.070000000000000000e+03, 9.297141650483941078e+01, 1.036881956383771097e+02, 4.050749164307444516e+01, 3.406946778599579773e+01, 8.077639658031608860e+01, 7.251203195242622712e+01, 9.011846964940629334e+01, 8.607582219003218427e+01, 4.565174737550157147e+01, 6.070258817023929510e+01, 7.040239063674825104e+01, 4.535526506220100629e+01, 7.154310101919395493e+01, 4.787816404514782676e+01, 7.172002896342054612e+01, 6.972397082257319312e+01
2.071000000000000000e+03, 9.377462398480818706e+01, 1.039321240083139770e+02, 4.091476379783333073e+01, 3.411140316022729735e+01, 8.102654998894146843e+01, 7.287774491541060229e+01, 9.057611535504884159e+01, 8.659727623507315286e+01, 4.630357437220560968e+01, 6.102086450160300046e+01, 7.072847988353179005e+01, 4.546401050405644639e+01, 7.209070039391940554e+01, 4.768073609214843600e+01, 7.193897620077143529e+01, 6.990541688846127499e+01
2.072000000000000000e+03, 9.442976323075004075e+01, 1.043598225186593424e+02, 4.130968900215307116e+01, 3.427424228005811813e+01, 8.150528475060524158e+01, 7.299198466827051845e+01, 9.123777460779405146e+01, 8.715517840529302873e+01, 4.701901449275239031e+01, 6.130580767329608705e+01, 7.083221312416922899e+01, 4.555336595484513396e+01, 7.264916951365934494e+01, 4.852262157298734735e+01, 7.227268364316184091e+01, 7.001337465944610017e+01
2.073000000000000000e+03, 9.522690753459298207e+01, 1.049538176295129972e+02, 4.154507154288413773e+01, 3.465713327137775934e+01, 8.186564229151177585e+01, 7.322820238318823272e+01, 9.219593463418760848e+01, 8.777095324650724706e+01, 4.752528427537432520e+01, 6.157019795987633159e+01, 7.084295523487432433e+01, 4.582241791844850098e+01, 7.317536857965686181e+01, 4.887945057178192343e+01, 7.302640008394196514e+01, 7.030949536039234715e+01
2.074000000000000000e+03, 9.597089002589872564e+01, 1.054509412739231919e+02, 4.222625230929562434e+01, 3.508687769920328492e+01, 8.225502095292472404e+01, 7.379648069526653842e+01, 9.266148342346221511e+01, 8.833251406942488870e+01, 4.812891809217536832e+01, 6.183434337186067609e+01, 7.116252927223270319e+01, 4.599269165585194230e+01, 7.364874731670887797e+01, 4.882992874309200459e+01, 7.376640896451728224e+01, 7.067619534816323323e+01
2.075000000000000000e+03, 9.663643686768016039e+01, 1.056680260997575544e+02, 4.284748599251727796e+01, 3.530041949086672304e+01, 8.265661166924530789e+01, 7.430397844834888588e+01, 9.340353048401317437e+01, 8.872083962425868719e+01, 4.870383681401415998e+01, 6.228330375584490497e+01, 7.146817949925005564e+01, 4.622213483931309241e+01, 7.404549895643079083e+01, 4.880925160792686057e+01, 7.408188631966349647e+01, 7.086067929035941404e+01
2.076000000000000000e+03, 9.751077859107388690e+01, 1.057671441827425554e+02, 4.350574389824464561e+01, 3.530839473820486774e+01, 8.330806138215990586e+01, 7.465334386281843138e+01, 9.448789797870443863e+01, 8.919726519901585959e+01, 4.937205985153113375e+01, 6.277136998717244154e+01, 7.156885581360366189e+01, 4.645046652839986479e+01, 7.438434753366807684e+01, 4.913170330964339172e+01, 7.388960579852177091e+01, 7.089816814296953851e+01
