year, TaiESM1, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, EC-Earth3-Veg, CanESM5, ACCESS-ESM1-5, CNRM-ESM2-1
2.028000000000000000e+03, 6.535960136164456458e+01, 5.962711902319047113e+02, 8.578347748267905217e+02, 9.930169212605984512e+02, 6.836330462401758723e+01, 6.095357561599084875e+02, 2.501908265147528709e+02, 1.289007262098187709e+02, 3.542150445357238482e+02, 3.218044843366638474e+02, 2.350889025845881406e+02, 1.974464492305599777e+02, 3.983070532290142864e+02
2.029000000000000000e+03, 6.535248102903959477e+01, 5.962978582123348588e+02, 8.578063594895545521e+02, 9.929990783486368855e+02, 6.851081674973808333e+01, 6.095166842998735319e+02, 2.504031281604939352e+02, 1.289763737928977605e+02, 3.543940521246030357e+02, 3.217804925984468696e+02, 2.350654057192201947e+02, 1.975299054971506223e+02, 3.985574312408882065e+02
2.030000000000000000e+03, 6.535176198591540242e+01, 5.963500113122112225e+02, 8.577940357746507516e+02, 9.930206101409717121e+02, 6.867543020348294647e+01, 6.094658214522779645e+02, 2.507052261995696654e+02, 1.290168154715292985e+02, 3.545660655089468491e+02, 3.217379013107051264e+02, 2.350308544762169731e+02, 1.975977587288111010e+02, 3.988810637450296781e+02
2.031000000000000000e+03, 6.529752003874521904e+01, 5.963815067125649421e+02, 8.577447243114813773e+02, 9.930635675668137310e+02, 6.885089959997583264e+01, 6.094284776644672093e+02, 2.509866733161027810e+02, 1.291062530612391868e+02, 3.547192015926900694e+02, 3.217450175637861207e+02, 2.350333954456468462e+02, 1.976761260318867812e+02, 3.991626010736332546e+02
2.032000000000000000e+03, 6.530322297773314233e+01, 5.964049785698397272e+02, 8.576403097548277401e+02, 9.931134134315115034e+02, 6.903436569994049421e+01, 6.094150014949840397e+02, 2.512635567684998819e+02, 1.292411124053471951e+02, 3.548446481424131775e+02, 3.217716858702091827e+02, 2.350276170054268903e+02, 1.977661793610815266e+02, 3.994290860638686809e+02
2.033000000000000000e+03, 6.532921541073821459e+01, 5.963972832588618758e+02, 8.575083760115492169e+02, 9.931236242386481763e+02, 6.918680253949663950e+01, 6.094199368013794356e+02, 2.517159670328221068e+02, 1.294183429470709257e+02, 3.550060089909323437e+02, 3.218186897606393018e+02, 2.350059499294447107e+02, 1.978620240554532472e+02, 3.997288465587370183e+02
2.034000000000000000e+03, 6.537119107119676187e+01, 5.964138476289886057e+02, 8.574200081075510980e+02, 9.930989376600067544e+02, 6.934089757207276250e+01, 6.094638254983805155e+02, 2.520732222618104004e+02, 1.295177059679317040e+02, 3.552237285611648190e+02, 3.218870281807168681e+02, 2.350043112462314241e+02, 1.979500391234647054e+02, 4.000387110069799519e+02
2.035000000000000000e+03, 6.536264054613381802e+01, 5.964455474321296151e+02, 8.573199833240039425e+02, 9.930353426517235675e+02, 6.952017833138103242e+01, 6.094929953925876589e+02, 2.523141193337332027e+02, 1.295975229942648355e+02, 3.553814924376771955e+02, 3.219667260561147373e+02, 2.350505580022873460e+02, 1.980134864615694141e+02, 4.003872952229666566e+02
2.036000000000000000e+03, 6.535396168078534629e+01, 5.964724739650951051e+02, 8.571619807069453145e+02, 9.929714634023849840e+02, 6.968926796962249171e+01, 6.094575930294298587e+02, 2.526918678782773782e+02, 1.297314042637235900e+02, 3.555289559846027032e+02, 3.220657167993465464e+02, 2.350935731155623216e+02, 1.980774401171599948e+02, 4.007478598602046418e+02
2.037000000000000000e+03, 6.539114379825959134e+01, 5.964870892884681552e+02, 8.570584507331356008e+02, 9.929261108735485095e+02, 6.987065455660486180e+01, 6.093867968086404971e+02, 2.529481144724110493e+02, 1.298738401601200962e+02, 3.557059959262031725e+02, 3.221455463040138625e+02, 2.351550710886343722e+02, 1.981295744975243167e+02, 4.010857442362541860e+02
