year, INM-CM5-0, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, GFDL-ESM4, TaiESM1, MIROC-ES2L, INM-CM4-8, NorESM2-MM, CNRM-ESM2-1
2.061000000000000000e+03, 2.948151534714689319e+02, 2.982516820693962245e+02, 2.958340109058879079e+02, 2.976509011622861181e+02, 2.981921799485917290e+02, 2.965354709181139015e+02, 2.955627401685428026e+02, 2.954632755578718957e+02, 2.978746602286126972e+02, 2.969935564571443365e+02, 2.959008608009722820e+02, 2.970528664876372318e+02, 2.969764915085403914e+02, 2.946401991030147087e+02, 2.966469775079976898e+02, 2.958864807856476205e+02
2.062000000000000000e+03, 2.949085265138598970e+02, 2.983974490108560076e+02, 2.945063643473384332e+02, 2.972400497517915596e+02, 2.982619631171176025e+02, 2.968605568022444459e+02, 2.956769117370629942e+02, 2.958393275244872598e+02, 2.972754169542409386e+02, 2.968386085506971881e+02, 2.953979259987002024e+02, 2.974250212984272252e+02, 2.972797597268779555e+02, 2.949452651068399973e+02, 2.965532146623213521e+02, 2.960165484642010938e+02
2.063000000000000000e+03, 2.947118195498092064e+02, 2.983517014527592437e+02, 2.944869187065560254e+02, 2.973399598165518114e+02, 2.980160586308590496e+02, 2.977387905495695009e+02, 2.957851847165615595e+02, 2.957816933466976934e+02, 2.975247777316837983e+02, 2.971489464637431865e+02, 2.952619515323497694e+02, 2.967221022725648822e+02, 2.978718121241928998e+02, 2.949631902026496277e+02, 2.969592909664129365e+02, 2.962562458233513780e+02
2.064000000000000000e+03, 2.949384607627158630e+02, 2.980858464247291408e+02, 2.950201784545179180e+02, 2.974877302189611328e+02, 2.980502096493263480e+02, 2.973568875280872135e+02, 2.963878584895103359e+02, 2.957643206937065656e+02, 2.978562897633634066e+02, 2.969457978448048152e+02, 2.949865792946665692e+02, 2.968154658964950841e+02, 2.977225080534761901e+02, 2.947476277090235044e+02, 2.970341532496253194e+02, 2.955583048959730945e+02
2.065000000000000000e+03, 2.948571870470482850e+02, 2.978461563246584092e+02, 2.947950714199807862e+02, 2.978993507562310583e+02, 2.974921255230023007e+02, 2.964928030495836992e+02, 2.967461410316969932e+02, 2.959076957509304293e+02, 2.976318558218777639e+02, 2.971421058804533004e+02, 2.951200554885399470e+02, 2.974677613399030633e+02, 2.966772239855623639e+02, 2.949765138741185524e+02, 2.961454955150864521e+02, 2.961148467574620327e+02
2.066000000000000000e+03, 2.949870081406469922e+02, 2.983918753197526144e+02, 2.950526628470032620e+02, 2.984566912305224946e+02, 2.981308585400183233e+02, 2.973972768689384907e+02, 2.961161465924188860e+02, 2.955021166496742921e+02, 2.973312793774704801e+02, 2.972690410986620009e+02, 2.958371296913411470e+02, 2.969327857928917069e+02, 2.966964518009771155e+02, 2.949561727161265594e+02, 2.961457666055111417e+02, 2.960902790143263132e+02
2.067000000000000000e+03, 2.948568256110756352e+02, 2.976116296756486577e+02, 2.948627228664931295e+02, 2.975661539347968301e+02, 2.982625433126387406e+02, 2.979169061721815410e+02, 2.959147649089413790e+02, 2.956151299967227715e+02, 2.977838168665841181e+02, 2.967350564909025366e+02, 2.955097046164122503e+02, 2.966677439018271798e+02, 2.974119705071707358e+02, 2.948485010450660297e+02, 2.966408465430184265e+02, 2.950065273572040496e+02
2.068000000000000000e+03, 2.948542595611473303e+02, 2.977113624858811818e+02, 2.955666195804109293e+02, 2.973350004472386559e+02, 2.978739487561140891e+02, 2.975108798212486363e+02, 2.964099387698604460e+02, 2.955016364400199222e+02, 2.979415766958666154e+02, 2.969890853841031912e+02, 2.956659741561891224e+02, 2.969797202619424752e+02, 2.982575151135690135e+02, 2.950926432567378583e+02, 2.965011306553298596e+02, 2.953089532746940336e+02
2.069000000000000000e+03, 2.946582824078698764e+02, 2.979361802920426499e+02, 2.947343135357739925e+02, 2.973437288473435842e+02, 2.983326390477010932e+02, 2.972955707254380400e+02, 2.958578281466295152e+02, 2.955366710050450365e+02, 2.978811809500051595e+02, 2.974226886741196836e+02, 2.957653684566345760e+02, 2.975652490724472727e+02, 2.968581968646396376e+02, 2.947829007227628040e+02, 2.965793718061814843e+02, 2.957222803874933561e+02
2.070000000000000000e+03, 2.946127742102568732e+02, 2.984164073815899201e+02, 2.947141489775941636e+02, 2.975497564450713526e+02, 2.986861536185903105e+02, 2.977803405763695537e+02, 2.957285600398523115e+02, 2.960783351915404751e+02, 2.973593624988294550e+02, 2.974786743250252812e+02, 2.953637526341819353e+02, 2.968000694586476129e+02, 2.965046769856266451e+02, 2.946406737188519287e+02, 2.967159218333198965e+02, 2.958749530452486738e+02
