year, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-LM
2.054000000000000000e+03, 1.054845005186807897e-09, 1.128473264896043972e-09, 3.522052685361882957e-09, 1.732903441988009595e-09, 3.511103404580610510e-09, 1.054845005186807897e-09, 1.984694772588902074e-09, 6.171373514256368769e-10, 8.822741019769762001e-10, 6.171373514256368769e-10, 1.984694772588902074e-09, 4.986573431916264034e-10
2.055000000000000000e+03, 1.052259434515716677e-09, 9.455354370752717249e-10, 4.680193440863517175e-09, 2.581678838242308949e-09, 4.669376204159802263e-09, 1.052259434515716677e-09, 1.819837818727934773e-09, 6.566375890394884565e-10, 8.824782081072771945e-10, 6.566375890394884565e-10, 1.819837818727934773e-09, 4.618878316451778095e-10
2.056000000000000000e+03, 1.302507520843169598e-09, 1.378997562456435854e-09, 2.867925752603060802e-09, 2.693564354490553538e-09, 2.857038843569874219e-09, 1.302507520843169598e-09, 1.677920418137565567e-09, 7.462840873128484133e-10, 8.635594031288406305e-10, 7.462840873128484133e-10, 1.677920418137565567e-09, 5.007770143845940037e-10
2.057000000000000000e+03, 9.516905840783413707e-10, 8.503154349159355459e-10, 2.180479235822959413e-09, 1.874444547305346859e-09, 2.169596490247301683e-09, 9.516905840783413707e-10, 2.092904206654277366e-09, 7.473844750334626999e-10, 9.286338028263843351e-10, 7.473844750334626999e-10, 2.092904206654277366e-09, 4.547700824349143560e-10
2.058000000000000000e+03, 8.162577247346603434e-10, 9.761653262801133964e-10, 2.925557009866827742e-09, 1.503230529967692054e-09, 2.914710570993317372e-09, 8.162577247346603434e-10, 1.929396407387237031e-09, 6.893208161151332112e-10, 8.970703009911468118e-10, 6.893208161151332112e-10, 1.929396407387237031e-09, 6.697058461757393805e-10
2.059000000000000000e+03, 9.177846103253490257e-10, 9.495490558544255869e-10, 3.166773087482963560e-09, 4.428906986031518080e-09, 3.155793981460364070e-09, 9.177846103253490257e-10, 2.169949309575430076e-09, 9.324613977933184258e-10, 9.914441750468390277e-10, 9.324613977933184258e-10, 2.169949309575430076e-09, 7.998522683140996846e-10
2.060000000000000000e+03, 1.053477501069262251e-09, 1.124823303111835956e-09, 5.120115973228700929e-09, 2.287829804930842539e-09, 5.109255348845549473e-09, 1.053477501069262251e-09, 1.744363141556297609e-09, 6.785480355975102273e-10, 1.154410476228457192e-09, 6.785480355975102273e-10, 1.744363141556297609e-09, 4.629136326424091791e-10
2.061000000000000000e+03, 1.338380937360042047e-09, 1.476795770443418526e-09, 3.170600171856272211e-09, 1.766028798856417200e-09, 3.159286473230318909e-09, 1.338380937360042047e-09, 1.795107301735094865e-09, 7.036984684387916866e-10, 9.375406705094468261e-10, 7.036984684387916866e-10, 1.795107301735094865e-09, 1.557498235283380440e-09
2.062000000000000000e+03, 1.836150874898321907e-09, 1.552184838265610459e-09, 3.219541064133827663e-09, 2.320731190654300935e-09, 3.208015516795983055e-09, 1.836150874898321907e-09, 1.736554679151351288e-09, 7.788194750539520728e-10, 7.315550315691109495e-10, 7.788194750539520728e-10, 1.736554679151351288e-09, 1.415615040572634545e-09
2.063000000000000000e+03, 1.336596198792275716e-09, 1.171982232938664310e-09, 2.509568268248238254e-09, 2.489223379780031556e-09, 2.497889214345915888e-09, 1.336596198792275716e-09, 1.445750694705444903e-09, 5.565483613603621489e-10, 9.566358073798734240e-10, 5.565483613603621489e-10, 1.445750694705444903e-09, 9.271009643777276291e-10
