year, CESM2-WACCM, MPI-ESM1-2-LR, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, INM-CM4-8, GFDL-ESM4, UKESM1-0-LL, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-LM, INM-CM5-0, CanESM5
2.061000000000000000e+03, 1.202801861156668473e+01, 2.124488667732509839e+01, 1.560387569687364184e+01, 1.147693993309990290e+01, 1.385475507039244292e+01, 1.288576893577950777e+01, 1.069222741562525592e+01, 1.044594705961141479e+01, 2.057151256514281101e+01, 1.408297413504345208e+01, 2.238352826409158780e+01, 1.124996339581267435e+01, 1.391155583247386573e+01, 1.294171149172676039e+01, 2.142652472576675748e+01, 1.540396195375041088e+01
2.062000000000000000e+03, 1.254278849827525733e+01, 2.329992790953332715e+01, 1.578913676367396235e+01, 1.231971402208968236e+01, 1.426233947479467190e+01, 1.210600660691491903e+01, 1.016508043223996616e+01, 9.789032658019618083e+00, 1.994276489585081436e+01, 1.512650456773692653e+01, 2.210455838400459427e+01, 1.119493519848558272e+01, 1.402332222605286560e+01, 1.292205559301698159e+01, 2.078220742452617387e+01, 1.497507425092767264e+01
2.063000000000000000e+03, 1.256257148035196991e+01, 2.312124401380573602e+01, 1.541503355259715669e+01, 1.301689762826525154e+01, 1.367126693454124897e+01, 1.237182167168520763e+01, 1.001797459355512565e+01, 9.574173558745313173e+00, 2.019084719552131801e+01, 1.561117126132529798e+01, 1.927431656497029877e+01, 1.235622077137580987e+01, 1.364072171663007182e+01, 1.351162537295633115e+01, 2.040215821379461048e+01, 1.527620083263527917e+01
2.064000000000000000e+03, 1.222159305059163081e+01, 2.225136758117069391e+01, 1.501169055470058034e+01, 1.151370187657448874e+01, 1.438905720635838037e+01, 1.227023534030550600e+01, 1.059460735341298943e+01, 1.021052064733252251e+01, 2.033286851486029079e+01, 1.612057335850099449e+01, 1.983335580958264188e+01, 1.193070577627591256e+01, 1.366626515422692378e+01, 1.335595927655868564e+01, 1.989218841987421627e+01, 1.588398144275315182e+01
2.065000000000000000e+03, 1.253092276399992322e+01, 2.238611149816860646e+01, 1.430926910841343158e+01, 1.161637049856661008e+01, 1.450887150492240529e+01, 1.295003095052071806e+01, 1.031381526199757204e+01, 1.001237343269122526e+01, 2.026691106638937967e+01, 1.599152677249413479e+01, 2.191025446687617162e+01, 1.327626405630419981e+01, 1.386696560135768230e+01, 1.283319731501673111e+01, 1.984442654028373809e+01, 1.599597634664833734e+01
2.066000000000000000e+03, 1.285602543795631370e+01, 2.146458349261608234e+01, 1.502284607087364776e+01, 1.300116816702861833e+01, 1.394606224206483525e+01, 1.329535764572705681e+01, 9.331428776076712950e+00, 1.096119108317235913e+01, 2.019650140694593077e+01, 1.468872955321250551e+01, 1.993224871677499621e+01, 1.177049574847468882e+01, 1.406522035196481824e+01, 1.313392930189959351e+01, 2.054195555867467249e+01, 1.517361985193013751e+01
2.067000000000000000e+03, 1.196190055367802785e+01, 2.265445089150210833e+01, 1.580597017580721797e+01, 1.255299106802339004e+01, 1.428501575989532490e+01, 1.274463091341786836e+01, 1.043399222754906397e+01, 1.137324066308975645e+01, 2.097828532771538335e+01, 1.570616025087258905e+01, 1.871483011626909487e+01, 1.143443448146032360e+01, 1.399539392425201001e+01, 1.299025355345577282e+01, 2.031530819960279644e+01, 1.717961609935984058e+01
2.068000000000000000e+03, 1.168760462414114620e+01, 2.137037754212216001e+01, 1.536697011430115900e+01, 1.150857766188800291e+01, 1.354052520540938431e+01, 1.215615443190481848e+01, 1.061856755084308190e+01, 1.056208259145622286e+01, 2.010585518575609854e+01, 1.505327022169930551e+01, 1.966585771035185104e+01, 1.258722371916248051e+01, 1.356118354120101621e+01, 1.260419881896513239e+01, 2.148273060877378526e+01, 1.659263497727547687e+01
2.069000000000000000e+03, 1.218476038201443501e+01, 2.242008590798889500e+01, 1.572689912269701118e+01, 1.216915677402484697e+01, 1.448618645778887526e+01, 1.220520900068629544e+01, 1.030622684876682627e+01, 1.069925352337062741e+01, 2.059657716486279000e+01, 1.492620985721934623e+01, 2.040516518531950751e+01, 1.188994720019457851e+01, 1.379161467688541620e+01, 1.299983552058976599e+01, 2.142002139623194878e+01, 1.642523093927063016e+01
2.070000000000000000e+03, 1.271302243348102223e+01, 2.304305372334810187e+01, 1.534680928361271768e+01, 1.277401893493883378e+01, 1.318220823935709696e+01, 1.212667672468429103e+01, 9.730194191745098919e+00, 1.026589092463719410e+01, 2.093441097728190670e+01, 1.642131447642947606e+01, 1.985383002498591054e+01, 1.005646720816822182e+01, 1.380919498703589809e+01, 1.319678445547884849e+01, 2.100991363464740758e+01, 1.528792082551665565e+01
