year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR
2.071000000000000000e+03, 5.762622893731349241e-10, 1.502136562747526442e-09, 2.874978681748822610e-09
2.072000000000000000e+03, 5.800699281094590046e-10, 1.459213884852504812e-09, 2.772690287840266282e-09
2.073000000000000000e+03, 5.911257957506795254e-10, 1.475409945484179044e-09, 2.742329461548280744e-09
2.074000000000000000e+03, 5.666157777051462842e-10, 1.465591852086638650e-09, 2.912270226301433020e-09
2.075000000000000000e+03, 6.039732985712704345e-10, 1.463650032667956022e-09, 2.957198361385458268e-09
2.076000000000000000e+03, 5.466964208167600605e-10, 1.427509634664789496e-09, 2.393482119976459085e-09
2.077000000000000000e+03, 5.926674167769013582e-10, 1.424100228176609447e-09, 2.415085641499196822e-09
2.078000000000000000e+03, 5.330690529454902873e-10, 1.341673731040567413e-09, 2.367729339141668601e-09
2.079000000000000000e+03, 5.640350493442488700e-10, 1.393158233767542527e-09, 2.385127285552776076e-09
2.080000000000000000e+03, 5.341793203378195078e-10, 1.454082860073683108e-09, 2.630635714808078346e-09
2.081000000000000000e+03, 5.480949220614368775e-10, 1.396909501427336888e-09, 2.720244481737136991e-09
2.082000000000000000e+03, 5.451395513549377693e-10, 1.314620571967630871e-09, 2.867434659207012107e-09
2.083000000000000000e+03, 5.464990721794671806e-10, 1.372230287800683890e-09, 2.732518560889268982e-09
2.084000000000000000e+03, 5.460566424169847319e-10, 1.282657502970552015e-09, 2.729084871554387588e-09
2.085000000000000000e+03, 5.457706840091857116e-10, 1.274620498565410989e-09, 2.786869023738434601e-09
2.086000000000000000e+03, 5.311955293658753062e-10, 1.412530983121072293e-09, 2.770656974520919211e-09
2.087000000000000000e+03, 5.553722446257020015e-10, 1.271627891118119257e-09, 2.688367555446064857e-09
2.088000000000000000e+03, 5.347950888873612194e-10, 1.338337516872448785e-09, 2.628670500380100179e-09
2.089000000000000000e+03, 5.644834374057970101e-10, 1.253525092461390021e-09, 2.705481029913845299e-09
2.090000000000000000e+03, 5.157839417099685722e-10, 1.244353414262878224e-09, 2.857024154092388610e-09
2.091000000000000000e+03, 5.249105785881395915e-10, 1.190692213449848636e-09, 2.738409102387195664e-09
2.092000000000000000e+03, 5.343260974742012617e-10, 1.155358031838332130e-09, 2.754056841300723611e-09
2.093000000000000000e+03, 5.374619465416010007e-10, 1.279837394644980569e-09, 2.774441335163949304e-09
2.094000000000000000e+03, 5.069394779122979481e-10, 1.279957249284514770e-09, 2.806688908307956001e-09
2.095000000000000000e+03, 5.292995495271311223e-10, 1.283497711060382160e-09, 2.892033856318856664e-09
2.096000000000000000e+03, 4.842868008565492498e-10, 1.262373951784731789e-09, 2.928513293883859297e-09
2.097000000000000000e+03, 5.263938697256083214e-10, 1.190496688651558614e-09, 2.767224937182466049e-09
2.098000000000000000e+03, 5.039362013295206234e-10, 1.211440036569430618e-09, 2.568766743747997094e-09
2.099000000000000000e+03, 5.000566418108099807e-10, 1.294231331293815237e-09, 2.519638188850953691e-09
2.100000000000000000e+03, 5.146467891643670973e-10, 1.147632966305459928e-09, 2.674250051627486085e-09
