year, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM
2.051000000000000000e+03, 1.868908288382702676e-01, 1.916169508340947569e+00, 1.561615221267498743e+00, 2.474879665046767485e+00, 1.536622731209295878e-01, 2.376324827531412498e-01, 3.657247124471693644e-02, 4.249501528965393127e-01, 6.970812896729106090e-01
2.052000000000000000e+03, 1.843600796574799972e-01, 1.917057378780980370e+00, 1.571271041946508573e+00, 2.452251243156399418e+00, 1.478918780442740333e-01, 2.367203082844158146e-01, 3.820958886067695598e-02, 4.193160316263437326e-01, 7.122923821156029733e-01
2.053000000000000000e+03, 1.818532817996929285e-01, 1.919551835447766086e+00, 1.575133996827692506e+00, 2.430775061025632233e+00, 1.424727692741529772e-01, 2.356061004138974568e-01, 3.909385386188580364e-02, 4.148876976586047816e-01, 6.932367367762366506e-01
2.054000000000000000e+03, 1.809632273269691227e-01, 1.922741602046960097e+00, 1.570159257689306642e+00, 2.410039660956430740e+00, 1.374076396139694012e-01, 2.343481116124054575e-01, 3.919178630529075030e-02, 4.108811896331002744e-01, 6.910104873562235017e-01
2.055000000000000000e+03, 1.838717425635114644e-01, 1.940176395280245103e+00, 1.597330421688542890e+00, 2.390087384626359057e+00, 1.326175695812042976e-01, 2.326352464750470750e-01, 3.861988192867515934e-02, 4.079950443005072036e-01, 6.943323272119005241e-01
2.056000000000000000e+03, 1.833403694911359960e-01, 1.949238738224198686e+00, 1.614944623280580638e+00, 2.382107020141834397e+00, 1.280767320391386077e-01, 2.348954892663913663e-01, 3.900947950863659086e-02, 4.059446353915136529e-01, 6.948661838751238884e-01
2.057000000000000000e+03, 1.931988138731727256e-01, 1.955581371812727065e+00, 1.620059602722014436e+00, 2.372349043455126871e+00, 1.239854081589045476e-01, 2.359450853614184773e-01, 3.860947518614969015e-02, 4.038764566807396261e-01, 6.939556793083888619e-01
2.058000000000000000e+03, 2.197210990896008020e-01, 1.962827439342153202e+00, 1.625578780098503318e+00, 2.362768571847156274e+00, 1.202812438051658744e-01, 2.374773401655571048e-01, 3.749355331346045095e-02, 4.018568991950313141e-01, 7.218436595805927114e-01
2.059000000000000000e+03, 2.453861385827639796e-01, 1.968048498929477086e+00, 1.639621079416314187e+00, 2.353075679813437127e+00, 1.170434028324155162e-01, 2.386881794157102443e-01, 3.644296608120186493e-02, 4.000291621610010395e-01, 7.085998706146579007e-01
2.060000000000000000e+03, 2.674604588764588620e-01, 1.997320600672157109e+00, 1.653871492621265649e+00, 2.343263565495462331e+00, 1.139291561132743102e-01, 2.391168809026184283e-01, 3.471371284489024878e-02, 4.012461151882328325e-01, 7.098940209717297112e-01
2.061000000000000000e+03, 2.560695400803381094e-01, 2.013142399727609444e+00, 1.672693990992825785e+00, 2.359545632048344110e+00, 1.106865123429457559e-01, 2.442174113664385138e-01, 3.561814611476529085e-02, 4.044536138845058471e-01, 7.236767822030405473e-01
2.062000000000000000e+03, 2.490835205201748781e-01, 2.025588594278146637e+00, 1.691127524940603921e+00, 2.357666260635027822e+00, 1.076197488778007361e-01, 2.485844875660903064e-01, 3.610194386058732802e-02, 4.063232724880049829e-01, 7.323166533032836600e-01
2.063000000000000000e+03, 2.463189543294707629e-01, 2.038915835417467015e+00, 1.695735040355890177e+00, 2.356379562884852952e+00, 1.048940460281918285e-01, 2.520857316603949960e-01, 3.615527895077465942e-02, 4.070759060284382946e-01, 7.316064259121297653e-01
2.064000000000000000e+03, 2.451395100983156106e-01, 2.047243623961045866e+00, 1.700198375970742637e+00, 2.355571616637291754e+00, 1.024627384602454783e-01, 2.547473528336348103e-01, 3.609274035606235137e-02, 4.067397257583016401e-01, 7.611375615073153744e-01
2.065000000000000000e+03, 2.453622508715591621e-01, 2.036755803757531957e+00, 1.696093540569867608e+00, 2.354037876309151844e+00, 1.003254671151094790e-01, 2.563789225361144397e-01, 3.593445883711039734e-02, 4.048227930186977797e-01, 7.483688381881842266e-01
2.066000000000000000e+03, 2.453950501332000655e-01, 2.030785671873534426e+00, 1.671886271076734376e+00, 2.348064250336313830e+00, 9.737282703805463790e-02, 2.530733009407785672e-01, 3.471248840409446590e-02, 4.019524357795313807e-01, 7.574726767254491566e-01
2.067000000000000000e+03, 2.453025669505230488e-01, 2.026089417096034850e+00, 1.663134484174935590e+00, 2.342113569765195358e+00, 9.486754119288633158e-02, 2.495539354578857061e-01, 3.353062143108574006e-02, 3.995302920223146037e-01, 7.353858890040423368e-01
2.068000000000000000e+03, 2.468379867825865603e-01, 2.022168891786577216e+00, 1.669645488533294975e+00, 2.335933654196831188e+00, 9.267536558357862553e-02, 2.457717945681805460e-01, 3.228733376311982567e-02, 3.971588443972806082e-01, 7.068299695300626073e-01
