year, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, CESM2-WACCM
2.046000000000000000e+03, 5.232629348944798317e-10, 5.710561839960860247e-11, 2.011235987132619919e-10, 1.639469435937505921e-10, 6.904353766047624076e-12, 7.825529059663791524e-10, 1.218286828847453871e-10, 7.550483601530560491e-10, 1.922903247120770300e-10, 2.025698275510655932e-10
2.047000000000000000e+03, 5.246879632518834435e-10, 5.574845911387411989e-11, 2.033800889170826329e-10, 1.616791032311360123e-10, 6.637612324891480766e-12, 7.828965636890825691e-10, 1.199241417335682633e-10, 7.274271355981641790e-10, 1.932226037873134696e-10, 2.010269445550717916e-10
2.048000000000000000e+03, 5.214540187617529259e-10, 5.180347644836419226e-11, 2.022288240164651615e-10, 1.616450943920127868e-10, 6.383250744983285210e-12, 8.081516254669177583e-10, 1.180671315874068708e-10, 7.160223238706653969e-10, 1.946663268883391388e-10, 2.001714871347604696e-10
2.049000000000000000e+03, 5.206561581872667699e-10, 4.928991319580547069e-11, 2.058869414384215293e-10, 1.629111057696892279e-10, 6.099935586096642687e-12, 7.328167381441535149e-10, 1.168520149603282586e-10, 7.346471227944290395e-10, 1.931067583137540737e-10, 1.993448418165288297e-10
2.050000000000000000e+03, 5.393317194809628269e-10, 4.100827712729244280e-11, 2.014631991305164473e-10, 1.620084242053031903e-10, 5.912362290977292176e-12, 7.400413219495015914e-10, 1.146291890040098869e-10, 6.531617668407535039e-10, 2.027126408750748766e-10, 1.965985438004502878e-10
2.051000000000000000e+03, 5.529140433684249470e-10, 6.937494844502734606e-11, 1.914790196071767065e-10, 1.580500810147429188e-10, 6.025523725206184548e-12, 7.347389410631464155e-10, 1.153693364095747476e-10, 6.516925536031993032e-10, 1.967027566002917345e-10, 2.074304377487227527e-10
2.052000000000000000e+03, 5.520464498443507443e-10, 6.748227290260630338e-11, 1.963749924700642296e-10, 1.598837781658582088e-10, 6.093015385114144122e-12, 8.188945959024290765e-10, 1.154753443227241659e-10, 6.799446552332357604e-10, 1.911498889790159668e-10, 2.080693465713424208e-10
2.053000000000000000e+03, 5.527898476960511149e-10, 6.582761079804521480e-11, 1.927832814725661185e-10, 1.558952096948767372e-10, 6.014746220869398724e-12, 7.639126446480848976e-10, 1.159935631093526696e-10, 7.091174272041068394e-10, 1.844416778537184960e-10, 2.076620014522674833e-10
2.054000000000000000e+03, 5.529965478135585573e-10, 6.202855546462784519e-11, 1.943629331835483743e-10, 1.529886197195404693e-10, 7.561816079534557205e-12, 7.503222756219018381e-10, 1.167379687719059407e-10, 8.130142030203938232e-10, 1.842686290508457106e-10, 2.066704342170746047e-10
2.055000000000000000e+03, 5.728081474152534632e-10, 6.145468543691593529e-11, 1.884055538060382222e-10, 1.605301945707408798e-10, 1.229931079443254465e-11, 7.905393604207071454e-10, 1.170373295741639702e-10, 7.428708111910998911e-10, 1.950789404004390865e-10, 2.045971278245847119e-10
2.056000000000000000e+03, 5.853830891132707705e-10, 8.032130384745792056e-11, 1.918368302270496000e-10, 1.546619134115937748e-10, 1.243207162624257764e-11, 7.647123759658711644e-10, 1.513101703024566006e-10, 8.300575841441835540e-10, 1.895326931815176647e-10, 2.260229444017629209e-10
2.057000000000000000e+03, 5.866611769248997237e-10, 8.124903293641016214e-11, 1.960617676149389000e-10, 1.544810277742815053e-10, 2.288698355646013833e-11, 8.075032161466925703e-10, 1.513753795015885714e-10, 7.935426877307986527e-10, 1.851465879482373862e-10, 2.252836921176497774e-10
2.058000000000000000e+03, 5.876801615431224629e-10, 8.172647756399554936e-11, 1.978117887957486391e-10, 1.541652563352161815e-10, 4.725905675749175554e-11, 8.745505613550324342e-10, 1.519358114820368261e-10, 8.094813512964698458e-10, 1.858889672875159565e-10, 2.252665247106351015e-10
2.059000000000000000e+03, 5.867232815338964803e-10, 9.655277593536963082e-11, 2.073159278702947611e-10, 1.554181817181120358e-10, 6.504455070813706207e-11, 8.481303972155417990e-10, 1.529618255299674269e-10, 7.918372276819741851e-10, 1.844603305379878517e-10, 2.261217123884587722e-10
2.060000000000000000e+03, 6.132311268388865129e-10, 1.018215124532938358e-10, 1.901520117137734412e-10, 1.723251779038991479e-10, 7.576533090531497466e-11, 8.262979090357845382e-10, 1.528799476380609598e-10, 7.660876942724464244e-10, 1.938014201873358435e-10, 2.244391957707488356e-10
2.061000000000000000e+03, 6.286341531655425619e-10, 8.447102188848385455e-11, 2.267011818098372521e-10, 1.719693712549145569e-10, 5.241163621743365621e-11, 8.774022455790990778e-10, 2.144749722352462739e-10, 9.224017642634810125e-10, 1.914203735329782909e-10, 2.611536574294412667e-10
2.062000000000000000e+03, 6.325424843285863637e-10, 8.422996110175513157e-11, 2.269401046493633045e-10, 1.737399930062037270e-10, 4.058979086054611271e-11, 9.514377895478670612e-10, 2.161846517005190206e-10, 8.105590264301065023e-10, 1.906806544266428129e-10, 2.624664907668795619e-10
2.063000000000000000e+03, 6.381613450668652393e-10, 8.283314273400699253e-11, 2.299718216912831287e-10, 1.719702295399502081e-10, 3.637312259481184474e-11, 8.732065535412684214e-10, 2.181842200109637066e-10, 8.926749857557105083e-10, 1.936234311271994620e-10, 2.618544545530104918e-10
2.064000000000000000e+03, 6.374539928514954675e-10, 8.428584480286869406e-11, 2.263460806765793390e-10, 1.713111906865725516e-10, 3.488949934488126940e-11, 1.037588676791905358e-09, 2.116089845823360188e-10, 9.278402375583636373e-10, 1.918663921103668481e-10, 2.650227849250853844e-10
2.065000000000000000e+03, 6.073898240605960569e-10, 8.564713898323111588e-11, 2.274076951336438626e-10, 1.612589417595826343e-10, 3.529300421823348163e-11, 9.683191891472724646e-10, 2.101992852999723213e-10, 8.871718882504276919e-10, 1.728622545074831708e-10, 2.643151465281672813e-10
2.066000000000000000e+03, 5.869588432007355826e-10, 5.943287283583772866e-11, 1.961558719673975480e-10, 1.581020004689391775e-10, 3.510443751322173204e-11, 9.098412308541984330e-10, 1.802719631896592187e-10, 8.592018685362064508e-10, 1.715085330718192690e-10, 2.254083663651143692e-10
2.067000000000000000e+03, 5.817038389511148323e-10, 5.822371581369263069e-11, 2.011207566045537874e-10, 1.577253647325040983e-10, 3.480280612811535181e-11, 9.900519300677163379e-10, 1.798425760871246432e-10, 7.985812315396975997e-10, 1.716726265771465226e-10, 2.208593476257126494e-10
2.068000000000000000e+03, 5.750494444420290436e-10, 5.434939534807342524e-11, 2.080927251258931071e-10, 1.566867063036035921e-10, 3.621265140378339729e-11, 9.372252901528993595e-10, 1.791160607220485914e-10, 8.538407176390120049e-10, 1.698706706450041280e-10, 2.158684783372836060e-10
2.069000000000000000e+03, 5.683434791656094918e-10, 4.988233228022706704e-11, 2.120688063740212879e-10, 1.553126010844517028e-10, 3.785114552176631689e-11, 8.198988216734187922e-10, 1.774015194315131200e-10, 7.976669858164804187e-10, 1.666846889799258505e-10, 2.114248135400293718e-10
2.070000000000000000e+03, 6.259792129951873316e-10, 4.674139650039362805e-11, 2.105332686620267348e-10, 1.753405074709055741e-10, 3.682749499096800064e-11, 8.780307407035316949e-10, 1.770914102543837898e-10, 9.356795613882989155e-10, 1.903572178874313547e-10, 2.108366420335132283e-10
2.071000000000000000e+03, 6.639625593119804071e-10, 6.588633693398923262e-11, 2.571282750959028947e-10, 1.740944566208072991e-10, 2.730970604913423968e-11, 9.154428062786811020e-10, 2.590259242456473439e-10, 9.405026317827085746e-10, 1.914617304539229680e-10, 2.513905074723184358e-10
2.072000000000000000e+03, 6.690982733197172750e-10, 6.717766897036182086e-11, 2.569723379677935528e-10, 1.727538405162586631e-10, 2.259731850601186269e-11, 8.955806674455897641e-10, 2.590079237278523920e-10, 9.029415510778185759e-10, 1.913953691270030252e-10, 2.518668560125419446e-10
2.073000000000000000e+03, 6.721183421258892255e-10, 7.477776348543615795e-11, 2.754769673593242357e-10, 1.737829663580121567e-10, 2.062681654486232303e-11, 9.799411014788626245e-10, 2.605290017546631512e-10, 9.318061905175514993e-10, 1.933486374731369882e-10, 2.529409370693437131e-10
2.074000000000000000e+03, 6.790322162408004120e-10, 7.957656360635484576e-11, 2.691180783695727551e-10, 1.711634120616425449e-10, 1.956142125955203572e-11, 9.558216510301533873e-10, 2.590729566452424344e-10, 7.772655697328635301e-10, 1.944818006687445209e-10, 2.532017208715462117e-10
2.075000000000000000e+03, 6.734391907801108440e-10, 7.904393299417752225e-11, 2.700226657123941505e-10, 1.695308684740117321e-10, 1.861391621685855455e-11, 9.509919605601696940e-10, 2.593231735263669014e-10, 9.632578747013315359e-10, 2.100606431377522865e-10, 2.520834468138606870e-10
2.076000000000000000e+03, 6.636041541579371310e-10, 1.116421800895642668e-10, 2.744648029285010040e-10, 1.662620898794410955e-10, 1.674460043625512085e-11, 1.015171202746386552e-09, 2.501346475537970523e-10, 9.311208685242930725e-10, 2.114849336604173310e-10, 2.480408473779302737e-10
2.077000000000000000e+03, 6.617333179446269415e-10, 1.182278932757927505e-10, 2.733901097342604195e-10, 1.629215751201960664e-10, 1.974623106223307085e-11, 9.265160630982605574e-10, 2.508390020747806063e-10, 9.546334023083803538e-10, 2.154245661634747255e-10, 2.467084340647101659e-10
2.078000000000000000e+03, 6.596394425575815490e-10, 1.215937324293139752e-10, 2.755772969317500290e-10, 1.654475551725817984e-10, 2.994202606981013591e-11, 1.010904184592111061e-09, 2.504897517839076387e-10, 8.646243644128076071e-10, 2.159381100784963518e-10, 2.467614800569587886e-10
2.079000000000000000e+03, 6.579716654323142910e-10, 1.295531697570884245e-10, 2.747446818378328703e-10, 1.658267866847015213e-10, 4.530305676629270184e-11, 1.073656813942946898e-09, 2.530576921076337642e-10, 9.735608079209619595e-10, 2.175651425732282853e-10, 2.442933420724407759e-10
2.080000000000000000e+03, 6.666463176255843734e-10, 1.352299852353844722e-10, 2.777870775981430547e-10, 1.637785262925539992e-10, 6.212858990078464530e-11, 1.025305576441762453e-09, 2.551471592199493029e-10, 9.920372405975518913e-10, 2.088057018291942744e-10, 2.449778786826454247e-10
2.081000000000000000e+03, 6.758999289919123106e-10, 1.133626032038782624e-10, 2.490190751062200710e-10, 1.658871257979861741e-10, 6.623833734968945219e-11, 1.095691787669915221e-09, 2.634332299635039694e-10, 1.010532593805077122e-09, 2.100568019136042922e-10, 2.867066374617336414e-10
2.082000000000000000e+03, 6.705778513550882220e-10, 1.230652249544093696e-10, 2.551464540471231618e-10, 1.634587743393135457e-10, 8.301557861864248124e-11, 1.082208433291975729e-09, 2.590574348079580081e-10, 1.130501563045222924e-09, 2.075447498704317764e-10, 2.934598659975539242e-10
2.083000000000000000e+03, 6.643506279393434783e-10, 1.257742080916579401e-10, 2.575643378918293299e-10, 1.612204035479284639e-10, 9.972446155108529109e-11, 1.157161697744001661e-09, 2.608351081968678946e-10, 1.142715791044071114e-09, 2.082728138973753761e-10, 2.866049650724659987e-10
2.084000000000000000e+03, 6.597864672023562044e-10, 1.249302976985051578e-10, 2.660848487214576059e-10, 1.629047707014933376e-10, 1.105477823436017611e-10, 1.091417736570410750e-09, 2.613033588908577563e-10, 1.125139120032968848e-09, 2.083766140125382540e-10, 2.838005084953361209e-10
2.085000000000000000e+03, 6.407759383307561850e-10, 1.257077003607048127e-10, 2.683362668752472804e-10, 1.653825674611602391e-10, 1.128898580057844799e-10, 1.106218882989673414e-09, 2.639947417895770346e-10, 1.083876005750703704e-09, 2.020654921334827707e-10, 2.848650096444864283e-10
2.086000000000000000e+03, 6.272393059073275927e-10, 8.015630234374202061e-11, 1.907065697867712983e-10, 1.651360095113203009e-10, 8.891773614665294465e-11, 1.161662829586708193e-09, 2.412187203687393387e-10, 1.100690106099202476e-09, 2.001088531933313133e-10, 2.720196883904658346e-10
2.087000000000000000e+03, 6.231146120857621705e-10, 7.687200294783868984e-11, 1.964671423547263107e-10, 1.659395104785952374e-10, 8.365862217626967263e-11, 1.170150157362052811e-09, 2.410189258316612738e-10, 1.157344863719592361e-09, 1.991431196460475432e-10, 2.681921740398821591e-10
2.088000000000000000e+03, 6.168254897621019237e-10, 7.540154728092979446e-11, 1.973146761903846907e-10, 1.652964902190560283e-10, 8.659174295068866142e-11, 1.168425413051389758e-09, 2.420451051120031165e-10, 1.152863976204252046e-09, 1.982575099490655196e-10, 2.664894062035788245e-10
2.089000000000000000e+03, 6.150556237675796711e-10, 7.425699656747319238e-11, 1.948628387380721252e-10, 1.614243749904202876e-10, 8.924736462186646711e-11, 1.114119861481782059e-09, 2.419589260519062791e-10, 1.158211833121706177e-09, 1.994366436058809435e-10, 2.632784545787483349e-10
2.090000000000000000e+03, 5.683942091907711471e-10, 8.529770100304529422e-11, 2.030153647743669137e-10, 1.511860589812035645e-10, 8.740236710767156021e-11, 1.245244158439200611e-09, 2.441572235116559991e-10, 1.242013959087893163e-09, 1.636214586048772716e-10, 2.627852703235952281e-10
2.091000000000000000e+03, 5.334588660914201985e-10, 5.631332178782837538e-11, 1.498342642095676239e-10, 1.507906482357591565e-10, 6.233869362637397858e-11, 1.172840741553711587e-09, 1.782294446714863288e-10, 1.074879560743375035e-09, 1.599520603465458710e-10, 2.134995178061012961e-10
2.092000000000000000e+03, 5.196521116506744294e-10, 5.368948747749356163e-11, 1.455330537883721015e-10, 1.485300971272120297e-10, 5.005692631750585507e-11, 1.135135571304634623e-09, 1.782088728246857770e-10, 1.048993724272222573e-09, 1.558315108515263207e-10, 2.107521903222493073e-10
2.093000000000000000e+03, 5.116290334892327412e-10, 5.020996843133558701e-11, 1.461138372780542152e-10, 1.463627151035857045e-10, 4.608756573917743832e-11, 1.232417586951518690e-09, 1.754100558585511831e-10, 9.928377798212405742e-10, 1.535358285422990823e-10, 2.065130324331039995e-10
2.094000000000000000e+03, 5.063880361205052477e-10, 4.653151637340548694e-11, 1.468453088922118153e-10, 1.494539498087220610e-10, 4.757042191388971136e-11, 1.259447330368501028e-09, 1.740177434876078554e-10, 1.223121024741351300e-09, 1.538249354006431499e-10, 2.016870991620469981e-10
2.095000000000000000e+03, 4.654266620807691860e-10, 4.359462525585023578e-11, 1.434314768673603049e-10, 1.452999014906546844e-10, 4.750638722144279732e-11, 1.173087431102662835e-09, 1.732805223481378300e-10, 1.225261549238673763e-09, 1.443509329091208068e-10, 2.000350346413328819e-10
2.096000000000000000e+03, 4.355082268613078880e-10, 3.574303532092450461e-11, 1.184955725717312977e-10, 1.400056827432671121e-10, 3.285221391442651138e-11, 1.248593436402557754e-09, 1.260771586034214778e-10, 1.181816844815711466e-09, 1.395642064822975230e-10, 1.781463633512534849e-10
2.097000000000000000e+03, 4.248009971729657374e-10, 3.421601092288954829e-11, 1.189568552273668466e-10, 1.373915945587222524e-10, 2.461213106218516879e-11, 1.268772204353574640e-09, 1.241066247379847331e-10, 1.143130546454600632e-09, 1.407641512578530694e-10, 1.746565051135190228e-10
2.098000000000000000e+03, 4.155639112630296311e-10, 3.286920711357804999e-11, 1.159938624054190396e-10, 1.352009601231335832e-10, 2.084115620517529534e-11, 1.219298443887127043e-09, 1.238362919597187477e-10, 1.242396473255235052e-09, 1.381014317191338404e-10, 1.714573339000835039e-10
2.099000000000000000e+03, 4.069614679134229379e-10, 3.268516323973465336e-11, 1.195255278682737654e-10, 1.354044623848941663e-10, 1.850198847608485619e-11, 1.143686292469553327e-09, 1.224205784242247081e-10, 9.473726877544612659e-10, 1.408172707474824575e-10, 1.694296717947933904e-10
2.100000000000000000e+03, 3.771774955122305004e-10, 2.906564556335441549e-11, 1.262342779904059594e-10, 8.826759857863840888e-11, 1.667254411162673185e-11, 1.126628369673823084e-09, 1.194807051009255962e-10, 1.030259082252811047e-09, 1.107962591035893921e-10, 1.681490134671245578e-10
