year, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1
2.080000000000000000e+03, 1.771653845605239414e-09, 2.464965305649344526e-10, -2.717011099516377117e-09, 1.352299852353844722e-10
2.081000000000000000e+03, 1.901815071886703556e-09, 2.889404792247558919e-10, -2.620864246356391509e-09, 1.133626032038782624e-10
2.082000000000000000e+03, 1.904085884637542648e-09, 2.957538171943257280e-10, -2.723797189910378017e-09, 1.230652249544093696e-10
2.083000000000000000e+03, 1.923127068707445231e-09, 2.887336887910327719e-10, -2.721579167596300251e-09, 1.257742080916579401e-10
2.084000000000000000e+03, 1.845669779252887523e-09, 2.858583798065765873e-10, -2.778874850013738059e-09, 1.249302976985051578e-10
2.085000000000000000e+03, 1.953362779049502827e-09, 2.869311301812789361e-10, -2.834377830023199044e-09, 1.257077003607048127e-10
2.086000000000000000e+03, 1.984735165525422833e-09, 2.738609718628633713e-10, -2.530989708891678393e-09, 8.015630234374202061e-11
2.087000000000000000e+03, 2.123518489957794162e-09, 2.699833978140860308e-10, -2.672427196772470683e-09, 7.687200294783868984e-11
2.088000000000000000e+03, 2.197868687938073794e-09, 2.682701625335785648e-10, -2.768059478544001456e-09, 7.540154728092979446e-11
2.089000000000000000e+03, 2.106506390397123461e-09, 2.650180889549654003e-10, -2.719035623579687877e-09, 7.425699656747319238e-11
2.090000000000000000e+03, 1.935314669499917548e-09, 2.645335808838337880e-10, -2.857012737448254564e-09, 8.529770100304529422e-11
2.091000000000000000e+03, 2.091354561253658254e-09, 2.144108266155775089e-10, -2.792958031365780608e-09, 5.631332178782837538e-11
2.092000000000000000e+03, 2.161505753290516002e-09, 2.117006382335022784e-10, -2.819217892751345427e-09, 5.368948747749356163e-11
2.093000000000000000e+03, 2.196488967540134320e-09, 2.074556561330138477e-10, -2.703142626421003486e-09, 5.020996843133558701e-11
2.094000000000000000e+03, 2.083019725889014457e-09, 2.026010112366180118e-10, -2.741211013988797303e-09, 4.653151637340548694e-11
2.095000000000000000e+03, 2.126915153684123521e-09, 2.009655370674917412e-10, -2.733152855011807814e-09, 4.359462525585023578e-11
2.096000000000000000e+03, 2.130472191856533701e-09, 1.787444824310979819e-10, -2.789172906740514786e-09, 3.574303532092450461e-11
2.097000000000000000e+03, 2.305415246618205058e-09, 1.752597878226700846e-10, -2.574388014947727342e-09, 3.421601092288954829e-11
2.098000000000000000e+03, 2.216065643080737614e-09, 1.720591098121788078e-10, -2.823262309615374437e-09, 3.286920711357804999e-11
2.099000000000000000e+03, 2.108595648363493258e-09, 1.700441621505628208e-10, -2.873024398460532329e-09, 3.268516323973465336e-11
2.100000000000000000e+03, 2.069099087049312854e-09, 1.687696382447480481e-10, -2.788446805988391039e-09, 2.906564556335441549e-11
