year, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, INM-CM5-0, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, CNRM-ESM2-1
2.048000000000000000e+03, 1.913564293109473624e+02, 1.745731815386956782e+02, 1.860105264238511893e+02, 1.432562376532070800e+02, 1.364241648442785788e+02, 1.567602550189769204e+02, 1.615120979785035331e+02, 1.302594118051209477e+02, 1.730041784291477995e+02, 7.357178422277088714e+01, 1.559880067955820380e+02, 1.695373618584116002e+02, 1.544147680045530535e+02, 1.075296101326868694e+02, 1.421073802351448023e+02, 1.354830267117315543e+02
2.049000000000000000e+03, 1.916723114045245211e+02, 1.748583389872474640e+02, 1.852707756635486760e+02, 1.436408541996345036e+02, 1.364468062821674437e+02, 1.568812170664248811e+02, 1.606391455819871226e+02, 1.300304826311346460e+02, 1.735565589975559533e+02, 7.368608634057434870e+01, 1.565348014704435400e+02, 1.694396016420930948e+02, 1.542734562159966174e+02, 1.077345807069134480e+02, 1.416294363306252251e+02, 1.355176532350428715e+02
2.050000000000000000e+03, 1.917336105001676003e+02, 1.749387757734636750e+02, 1.836261028365847494e+02, 1.436551977785939869e+02, 1.366523242078770011e+02, 1.571716669651888765e+02, 1.603956495989249902e+02, 1.291880290511764997e+02, 1.740039963295313612e+02, 7.352342666263577087e+01, 1.575368846166788046e+02, 1.694607774003679879e+02, 1.549015423742608846e+02, 1.075071503384592120e+02, 1.419228273397067426e+02, 1.355784329938375947e+02
2.051000000000000000e+03, 1.915551822121329337e+02, 1.754763228477824555e+02, 1.833541928958381391e+02, 1.431704833042155940e+02, 1.367136792531408673e+02, 1.567927680276742706e+02, 1.612142492664859788e+02, 1.292770623640680299e+02, 1.741159926401517737e+02, 7.383981833870764433e+01, 1.585786385173626343e+02, 1.706410927741697492e+02, 1.547115749028340019e+02, 1.078310726454999156e+02, 1.428707706889948383e+02, 1.354321525067020389e+02
2.052000000000000000e+03, 1.916410427193443127e+02, 1.761345893442683632e+02, 1.831208218462343496e+02, 1.437189492620685201e+02, 1.364875311542571978e+02, 1.560883029397899975e+02, 1.600590779066676816e+02, 1.301769711350092109e+02, 1.748484019596966448e+02, 7.340364406003425302e+01, 1.582541515022167857e+02, 1.709875856625597237e+02, 1.544569198184801166e+02, 1.093948631788133667e+02, 1.429270336473649365e+02, 1.353775280197818063e+02
2.053000000000000000e+03, 1.915309158999538113e+02, 1.769000163715922724e+02, 1.827105550194893340e+02, 1.445395344891592799e+02, 1.367743910964597092e+02, 1.564775902231186819e+02, 1.582320936164661873e+02, 1.311859262022065593e+02, 1.756277385105706799e+02, 7.395576609978377292e+01, 1.593371541581840063e+02, 1.712675487278902153e+02, 1.548234538660553596e+02, 1.094423084023336514e+02, 1.430070679764865531e+02, 1.350817196217831508e+02
2.054000000000000000e+03, 1.915399750318065060e+02, 1.772177106354780562e+02, 1.831139678135895679e+02, 1.446818531140019672e+02, 1.370936792537774522e+02, 1.572398019580552955e+02, 1.577354221597748847e+02, 1.319452319656614065e+02, 1.762843265715364396e+02, 7.377202316197229948e+01, 1.597966575109418272e+02, 1.716576469793498063e+02, 1.547318135182237029e+02, 1.087462413394174945e+02, 1.435459640686020180e+02, 1.351170040885473611e+02
2.055000000000000000e+03, 1.913791944851501796e+02, 1.782486670131585811e+02, 1.845503388899633137e+02, 1.452258287646613155e+02, 1.374971190879453786e+02, 1.580318038535868652e+02, 1.581663227769012394e+02, 1.326666887896572575e+02, 1.769392978322517536e+02, 7.302309725824309794e+01, 1.598190636846809412e+02, 1.721483899007673983e+02, 1.546357024855710165e+02, 1.083982954680975581e+02, 1.435383433000150148e+02, 1.358940091296262267e+02
2.056000000000000000e+03, 1.911739035508396967e+02, 1.795080995881582169e+02, 1.862629223939803467e+02, 1.456366948966557970e+02, 1.371938432960308489e+02, 1.586916923369370238e+02, 1.575311574767092111e+02, 1.327333671074767381e+02, 1.776291173538002397e+02, 7.241070801276146085e+01, 1.592058777440317385e+02, 1.727614656090707399e+02, 1.548798136184518910e+02, 1.069041071753709957e+02, 1.437707938762147251e+02, 1.371143920178548683e+02
2.057000000000000000e+03, 1.910601670105762082e+02, 1.802204707245236079e+02, 1.863777806948891964e+02, 1.458337718987218921e+02, 1.371624342136623227e+02, 1.588862336528634955e+02, 1.559432336292111358e+02, 1.327718601572211128e+02, 1.781388357117632779e+02, 7.294483048222909360e+01, 1.583250565925188198e+02, 1.733163563970768450e+02, 1.549452925135381918e+02, 1.060258640615220287e+02, 1.445858838561003950e+02, 1.377095183421799049e+02
