year, TaiESM1, CanESM5, NorESM2-LM, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, EC-Earth3-Veg, CMCC-CM2-SR5, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1
2.037000000000000000e+03, -1.552027937487705733e+00, 1.963223723612148364e+00, 5.059101198234381425e-01, 1.093055606170157290e+00, 1.827301006521129922e+00, 1.039705205367369212e+00, 3.784596372795316355e-01, 5.314389464314096534e-01, 3.472233351399408030e-01, 4.708482229662314111e-02, -9.122259788525541868e-01, 7.092597371996256506e-01, 4.769541791159017177e-03, 8.375883924219936771e-01, 4.297089352818121433e-01, 5.009530530564137996e-01
2.038000000000000000e+03, -2.479258690635037232e-01, 1.645824757904577051e-01, 6.555853232625896698e-01, -3.331541195128744359e-01, 1.135827531899024967e+00, 3.237687213531676989e-01, 9.405346775307159568e-01, 1.542273424840210794e+00, 5.942369687451626303e-01, -2.293838951725260256e-01, 8.110221783973331489e-01, 6.262782663083646950e-01, 2.460107626839046491e-01, -2.568936256063010237e-01, -8.518354755208029649e-01, 6.657039522068751713e-01
2.039000000000000000e+03, 3.550919830728989646e-01, -9.293787029767911489e-01, 7.793349825119969543e-01, -1.565711355812750283e-01, 4.958268239009531175e-01, 4.693847101445358105e-01, 7.091948561432556142e-01, -5.172083650627885554e-01, 3.889516297061171857e-01, 1.621835941560653582e+00, 3.073848624342377378e-01, 7.545507654833606415e-01, 9.606336865485265442e-01, -6.404245742242089534e-01, -1.321872245780437272e+00, 6.541484507358731326e-01
2.040000000000000000e+03, 1.470265284569849396e-01, -7.121210371090890001e-02, 1.020456810921685609e+00, 7.706393058096765170e-02, 7.314764976374346084e-01, 6.759185474449791453e-01, 8.556768032681622005e-01, 1.643310778572241171e+00, 5.551461059883985305e-01, 1.101603685684963141e+00, 5.829975922379778686e-01, 5.758482252551959668e-01, 5.975576437199071611e-01, 4.425300837690041567e-01, 3.050773464449816341e-01, 3.950035731530739391e-01
2.041000000000000000e+03, 5.098154428876850996e-01, -7.010243959286972804e-02, 8.899402865406866869e-01, 8.740841477974172768e-01, 3.437649930025344913e-01, 9.425793549665058002e-01, 6.137875689408939239e-01, 2.561047719302743664e-01, 7.014826652139523055e-01, -7.794910940954106193e-01, 7.680071245763290255e-01, 8.200698451218061402e-01, 3.040926098897145380e-01, 8.624170328364447746e-01, -2.093874295050418277e-01, 7.680347812474898062e-01
2.042000000000000000e+03, -7.082112818782673180e-01, 5.113970329295534079e-01, 5.136759125508755242e-01, 3.081923407679812432e-01, -2.376267684764991062e-01, 1.204936538756081088e+00, 1.120760928212587437e+00, -9.263963210435067763e-01, 4.913949905123625173e-01, -1.290122684385220042e+00, -1.128054735328545694e-01, 1.257534704130289560e+00, -1.388819681722014976e-01, 5.821004556081175174e-01, -6.445076378988968679e-01, 8.160404795604035977e-01
2.043000000000000000e+03, -2.272620310581740521e-01, 1.295279013521303479e+00, 8.384435850992160155e-01, 8.311935410382742528e-01, -3.151959856623830492e-01, 6.562383608851685146e-01, 6.589295907967939181e-01, 1.538216674802014738e+00, 4.878017105157710365e-01, 9.386911552971980433e-01, -5.644487060086366137e-01, 5.495212478715620907e-01, 7.801300435949690693e-01, -3.214189377556206373e-01, -1.873975927350086890e+00, -5.481076424399420333e-01
2.044000000000000000e+03, 1.704888041703104054e-02, 8.918985071981976320e-01, 1.033912998545638784e+00, 1.044470091955947089e+00, 2.344142758263289827e-01, 7.030329902231343686e-01, 9.101409056302494083e-01, 1.274935121533040006e+00, 5.053476299474218836e-01, 1.198747117876659551e+00, -4.161283264486186351e-01, 9.282874153503990478e-01, 5.114889528566542998e-01, 1.410651160050735153e-01, 7.285201137937191707e-01, 2.624755633157502821e-01
2.045000000000000000e+03, -9.564313436945998115e-01, -1.100640943270082994e+00, 1.176389830335439868e+00, 1.622854794659403188e+00, 5.217798697347462156e-01, 9.144743691113424999e-01, -1.778806784804546071e-01, 4.494251512898859713e-01, 8.207668851479318350e-01, -7.354433522659213907e-01, -1.933488266796304478e+00, 9.677374906015215883e-01, 1.035056337856230524e-01, 7.881549959254045001e-01, 3.878354739099541537e-01, 6.759703407331966174e-01
2.046000000000000000e+03, 3.126926263705110953e-01, -2.668099508591337266e+00, 1.034922190461763369e+00, 1.446150980520984231e+00, 6.685355746500848406e-01, 4.406674969498072247e-01, 3.214099078610332949e-01, 2.710539275547983462e-01, 1.649051281295562110e-01, -1.779733542539045699e+00, -9.602886107426703566e-01, 6.862295150333832527e-01, 4.694351045258571831e-01, 5.119505197652772788e-01, 4.185360401016691712e-01, 4.195852364994995809e-01
2.047000000000000000e+03, 5.201077498433712698e-01, -3.116047687292974322e-01, 8.292875283665970265e-01, 1.615735906745977335e+00, -2.268478395561229072e-02, 9.150395998590954427e-01, 1.089039380909963883e+00, -8.945818028346040271e-03, 5.755634826477376009e-01, 5.371230654671134142e-01, -4.838724376830406126e-01, 7.362183423360156853e-01, -1.995271809886674519e-01, -4.597708173993362846e-01, 9.585689439279314605e-01, 6.631030657233669690e-01
2.048000000000000000e+03, -8.143160524917170129e-01, 7.312147960580319683e-01, 7.664056817147976153e-01, 1.041638784423656094e+00, -1.101537497558829556e-02, 6.368627052478600392e-01, -7.803540578413573625e-01, 5.851490670915217018e-01, 3.206191810513118190e-01, -5.626263660439186250e-03, 1.514961736571041717e+00, 1.089007380818812099e+00, 9.046919181856696301e-01, -6.809396188727255550e-02, 3.430706345101455224e-01, 8.113902436493923565e-02
2.049000000000000000e+03, -7.270238817186337466e-01, -6.709637259091348616e-02, 3.729224815807232196e-01, 4.658703873164833364e-01, 2.990041522666672669e-01, 3.635470580020855325e-01, 1.107810700291145034e+00, -1.663796465610520192e+00, -1.515612471751973944e-01, 8.897972247086777253e-02, 6.637588999230921161e-01, 6.738281815595180690e-01, -2.522729270495286946e-01, 1.776782180932930111e-01, -1.578203530568798252e+00, -1.594234162603412330e-01
2.050000000000000000e+03, 8.585269827553281274e-01, 4.655849735299834313e-02, 8.455308997687170924e-01, 9.131618856392325068e-01, 9.759599856703666809e-01, 7.071738515667289615e-01, 3.798538286885945192e-01, -2.764648113606297253e-01, 6.822813403787680864e-01, 3.738261808860715019e-01, -2.630443176714728493e-01, 5.340386922403339565e-01, -1.581921505616853407e-01, 1.218502264080606051e-01, -2.511061835531316344e+00, 1.757379735759022621e-01
2.051000000000000000e+03, -5.532547716368818591e-01, 1.079203576750395799e+00, 7.836623805587376035e-01, -1.378825822837268955e+00, 8.150883139711064818e-01, 1.186651406298947276e+00, -2.823232030929196945e-01, 1.253491292246025957e+00, 7.479043203048745259e-01, -2.287349876193162657e-01, -2.896483675006825687e-01, 6.722610476996615514e-01, -3.440289612778094086e-01, -5.493049688885265347e-01, 4.958164225831765970e-01, -1.001389967876695208e-01
2.052000000000000000e+03, -1.134978361983529638e+00, 7.491092810451216444e-01, 8.828486954567089651e-01, -2.249815331899906665e-02, 8.643659423580689616e-01, 2.556863135715395918e-01, 2.272428900053802547e-01, 1.585550824151792826e+00, 1.328490849634810511e-01, -4.379447888486035501e-01, -1.373282020521535141e-01, 9.050904401657775544e-01, 1.059639912791922267e+00, 5.051274912055269128e-01, -1.095132715488132069e+00, -3.502143033223464319e-01
2.053000000000000000e+03, -1.221573282465771015e+00, -1.347419228878917186e-01, 7.533044504643777728e-01, 1.472255281188220355e+00, 1.117385529439717695e+00, 7.578069840542748237e-01, 6.570024179827513855e-01, 3.343258134497469891e-01, 5.602645467008208202e-01, 1.159162129707155708e+00, -3.658298828016295356e-01, 8.506872753509384655e-01, 5.270393042488374924e-01, 8.234037379962201308e-01, -2.018509735191421905e-01, -2.491749722462416883e-01
2.054000000000000000e+03, 4.358718986598280609e-01, -4.842881813645538713e-01, 9.310170387688981863e-01, 1.832908636589472673e+00, 1.007962343586018994e+00, 6.499652119866197175e-01, -1.900943349996004617e-01, 1.457403515388925097e+00, 4.034638895000903780e-01, -1.199461613673529214e+00, 4.086933984322561053e-01, 9.242264481718219793e-01, 2.836989440665141360e-01, 9.664440040632151785e-01, 4.904966548786944269e-01, 1.219760760485394113e-01
2.055000000000000000e+03, -1.191853717079859043e-01, -1.163390670233618751e+00, 1.241719693924894896e+00, 1.244148502364702980e+00, -2.670240028994252945e-01, 5.710663408206624325e-01, 9.737440731531620264e-01, -1.361243164785431725e-01, 3.584772218310850467e-01, -1.843535377517915963e+00, -2.073059068413624362e-01, 6.866916161320140155e-01, 8.488962132601203248e-01, 1.082231348809374605e-01, 2.676105412357273394e+00, 1.362968559419518222e+00
2.056000000000000000e+03, -1.225019264069363789e+00, -1.280103792533435092e+00, 1.022231077195475679e+00, 2.033464271460117878e+00, -4.431687901483142289e-01, 7.142046942440232193e-01, 5.031338961752204186e-01, -1.557727985548308831e-03, 4.001108632693327061e-01, -4.009145776246031412e-02, -5.824572068348542464e-01, 7.987057588366145433e-01, -7.018922635986896315e-03, -3.723100784547007658e-01, 1.471516121176148273e+00, 1.136451084189610272e+00
2.057000000000000000e+03, -1.218619884323894897e+00, -1.124520513344978934e+00, 8.583237463154422819e-01, 2.612754409678601231e-02, -7.026905910178349313e-01, 8.852926882539967623e-01, -8.204056725985243992e-02, 9.469046262094567012e-01, 7.123536352589624476e-01, 1.584045389938521176e+00, 7.043874985072664519e-01, 7.479854103979295399e-01, 2.885614907677019336e-01, 4.336927059929557293e-01, -5.624570207177358450e-01, 4.730666834994060044e-01
2.058000000000000000e+03, -3.314144965212351829e-02, 8.638146190800895241e-02, 6.571052756936563988e-01, -4.076362564306257874e-01, 9.324321775513005894e-01, 5.194168271720406294e-01, 5.427904154985294660e-01, 1.530886241336040676e+00, 2.792921451386708998e-01, 8.423779515892231284e-01, 3.094832894757317820e-01, 6.310519642997802769e-01, 7.385302068389345553e-01, 1.445238547892516989e-01, -2.022786435798039850e+00, -5.827519137170931174e-01
2.059000000000000000e+03, -6.598077977803943339e-01, 4.660740694735143186e-01, 3.809340530549680248e-01, 1.049589290905772986e-02, -1.775185193115703108e-01, 9.507117669758178291e-01, 1.042527373895292042e+00, -3.913141743842964093e+00, 3.812010668414945735e-01, 2.395839238718250885e-01, -2.085295595615647812e+00, 9.012173564150995908e-01, -3.325277064728738852e-01, 2.403802525735885404e-02, -5.987521485370593810e-01, -5.531507932480502765e-01
2.060000000000000000e+03, -6.448674103426786930e-01, -6.537977170679382111e-01, 9.709141788659433336e-01, 5.137079007466299405e-03, -3.087482159545476557e-02, 4.671472806725336935e-01, 6.907763309563355048e-01, 3.760706789205170431e-01, 1.094176896807459304e-01, -1.767539566676967544e+00, 8.403841195057696334e-01, 7.479257845917096637e-01, 3.790312727730685283e-01, 9.571420126058990951e-02, 3.836969627333589039e-01, 3.100512934639803042e-01
