year, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CanESM5
2.058000000000000000e+03, 1.999720922562131022e+02, 1.239097362608087280e+02, 2.802602552757908683e+01, 1.145316754834714317e+02, 1.893280000648102828e+02, 1.153811605369629376e+02, 1.058652002990619252e+02, 1.442101809840041255e+02, 2.946411082417563421e+02, 3.207828753024880371e+02, 1.048848109869054639e+02, 1.417420869299284334e+02, 1.448099676091310357e+02, 2.046448017875202083e+02
2.059000000000000000e+03, 1.999962339445189343e+02, 1.243047771075984684e+02, 2.822665179685631998e+01, 1.145681293207976665e+02, 1.894897379305236029e+02, 1.154716162932097632e+02, 1.056761444849360601e+02, 1.442848999230541267e+02, 2.947166732131759090e+02, 3.198598957673700056e+02, 1.046758413744231575e+02, 1.418475375299884149e+02, 1.449449394934606801e+02, 2.046198483501864871e+02
2.060000000000000000e+03, 1.998017214893668836e+02, 1.242740766922296274e+02, 2.797273261038767345e+01, 1.146302292982033322e+02, 1.896398403049538217e+02, 1.154568700975614206e+02, 1.055617572915450921e+02, 1.444438521802129571e+02, 2.948086932487026388e+02, 3.195772075102752865e+02, 1.045718745447467484e+02, 1.419852366845816789e+02, 1.450539287826589145e+02, 2.044747296655355342e+02
2.061000000000000000e+03, 1.998152837930738031e+02, 1.245849450068623270e+02, 2.765182013213951251e+01, 1.147115514365336537e+02, 1.896256135370705636e+02, 1.154429631465010857e+02, 1.057960361324969085e+02, 1.445582444411118672e+02, 2.948840487283547986e+02, 3.203452463371025374e+02, 1.045241451442060168e+02, 1.420880934345914000e+02, 1.451184545672407182e+02, 2.043335733038862259e+02
2.062000000000000000e+03, 1.997830252395814910e+02, 1.241047180550898048e+02, 2.765281866794383703e+01, 1.147469747727733136e+02, 1.896616928353907383e+02, 1.155202914565338972e+02, 1.059136948993957645e+02, 1.446052500973795816e+02, 2.949327401076168940e+02, 3.207811565423455136e+02, 1.044189186282109461e+02, 1.421512658461629144e+02, 1.452918070570861175e+02, 2.042084949584271101e+02
2.063000000000000000e+03, 1.997286543869046511e+02, 1.241573634999718081e+02, 2.789364636897846594e+01, 1.147916199672143733e+02, 1.897669093475755346e+02, 1.155323652516358379e+02, 1.055976830252002969e+02, 1.447004256613805921e+02, 2.951102884185137896e+02, 3.208131763637621816e+02, 1.043499036515310223e+02, 1.422863252157035845e+02, 1.454195973350521172e+02, 2.040157121427278355e+02
2.064000000000000000e+03, 1.996792569843647414e+02, 1.245987154086239457e+02, 2.796921217273289528e+01, 1.148134768151734306e+02, 1.898521543608037234e+02, 1.154465010515214374e+02, 1.054313963135011818e+02, 1.447819837264017337e+02, 2.952124074681415209e+02, 3.206152753253016954e+02, 1.043507238625658147e+02, 1.422990894561139896e+02, 1.454957730855803675e+02, 2.038576942794309730e+02
2.065000000000000000e+03, 1.995281921640729763e+02, 1.244910373331523772e+02, 2.809877171933751683e+01, 1.148549859102642756e+02, 1.899294397581693943e+02, 1.155881884102435322e+02, 1.055696942973441139e+02, 1.448777490662760101e+02, 2.950969780804086326e+02, 3.211366759974596903e+02, 1.044155602363385356e+02, 1.423974844251689831e+02, 1.456238964497228494e+02, 2.037209138496222351e+02
2.066000000000000000e+03, 1.994012285517593170e+02, 1.245466075575311606e+02, 2.794489713699242017e+01, 1.148837724082387126e+02, 1.899413245341359300e+02, 1.157441015342676849e+02, 1.056203574893520312e+02, 1.449149005051720565e+02, 2.951230369116330507e+02, 3.214815958410127905e+02, 1.045039963009371178e+02, 1.424940722656377829e+02, 1.457327686596035221e+02, 2.036038319647661865e+02
2.067000000000000000e+03, 1.993471851377102553e+02, 1.243283477819520613e+02, 2.784305856098886522e+01, 1.149367316841504305e+02, 1.898930817642986426e+02, 1.159692163608216475e+02, 1.054721328496198538e+02, 1.450266576940242373e+02, 2.952535884977414185e+02, 3.210388569948219128e+02, 1.045099033299624978e+02, 1.425607211560630674e+02, 1.458038706565032498e+02, 2.035010116873563959e+02
2.068000000000000000e+03, 1.992800360401159878e+02, 1.246188879829439031e+02, 2.793933305329784389e+01, 1.150120474091310001e+02, 1.899912061177834914e+02, 1.158515159429876746e+02, 1.054099974986825572e+02, 1.451682522186324888e+02, 2.953799659137679896e+02, 3.205329737871567204e+02, 1.045348365106678870e+02, 1.426610805579121859e+02, 1.459098041219653226e+02, 2.034047129082886158e+02
2.069000000000000000e+03, 1.992390760455836869e+02, 1.245129108400508500e+02, 2.774723904116977025e+01, 1.150671876622889442e+02, 1.899954216457968812e+02, 1.158347332072982994e+02, 1.053563875522290942e+02, 1.452257992733993603e+02, 2.953877008928715213e+02, 3.207248047544376277e+02, 1.046040239895046540e+02, 1.428250015716582197e+02, 1.460381732766567779e+02, 2.032809613055491127e+02
2.070000000000000000e+03, 1.992754980359695196e+02, 1.245028094507179333e+02, 2.772278060419221291e+01, 1.151139649222723875e+02, 1.900592084494186622e+02, 1.159758834138361578e+02, 1.053031133636925034e+02, 1.452306966230688374e+02, 2.954725400415173908e+02, 3.201081635827562195e+02, 1.045117100350319959e+02, 1.429346194466660620e+02, 1.460122929800285476e+02, 2.031158919322732288e+02
2.071000000000000000e+03, 1.992673640014290015e+02, 1.243668488412471902e+02, 2.800753782116400359e+01, 1.150970073361923198e+02, 1.901610408310689877e+02, 1.161770719650356085e+02, 1.052616463275098369e+02, 1.452673358378776243e+02, 2.956153543468871590e+02, 3.200570613182293300e+02, 1.043874036485724304e+02, 1.429653665397005966e+02, 1.460902523444871122e+02, 2.029776699757395875e+02
2.072000000000000000e+03, 1.991801846311989834e+02, 1.245629695159879020e+02, 2.809456115341638593e+01, 1.151145391434099992e+02, 1.901249593714395871e+02, 1.164527244432637048e+02, 1.051602191013713536e+02, 1.452969739327841125e+02, 2.956584481110197657e+02, 3.206603067217766352e+02, 1.043953425254622687e+02, 1.430278361531695737e+02, 1.461549092635260649e+02, 2.029698654855096152e+02
2.073000000000000000e+03, 1.991272264187068970e+02, 1.247625347415104926e+02, 2.816087187749650056e+01, 1.151411164480017675e+02, 1.902272970815302529e+02, 1.165256506208174159e+02, 1.050721438590323089e+02, 1.453039900232405728e+02, 2.957065375104271538e+02, 3.209818669281856387e+02, 1.043808666864783419e+02, 1.430473319352735473e+02, 1.462313835719653525e+02, 2.028924607600688432e+02
2.074000000000000000e+03, 1.991503672503942823e+02, 1.246268364148029661e+02, 2.811137643520245177e+01, 1.151831727082859373e+02, 1.902123332166197258e+02, 1.163706570978083477e+02, 1.049578778768892846e+02, 1.454034718192588969e+02, 2.957692293216745725e+02, 3.208172341478708063e+02, 1.043388874574537226e+02, 1.431092161482089864e+02, 1.463094211392206887e+02, 2.027590114289808696e+02
