year, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM
2.029000000000000000e+03, 1.317918839417075417e-09, 1.586422484018283276e-10, 5.829181015640594721e-10, 1.280273125605049250e-09, 1.543517609644528349e-10, 1.560527318338568388e-10, 1.153735578866707498e-09, 5.219121928142140743e-10, 4.708800823336065574e-10
2.030000000000000000e+03, 1.318801236585971024e-09, 1.587505844583133469e-10, 5.896743503234839016e-10, 1.264227762058148858e-09, 1.544214900010475618e-10, 1.562511771728589870e-10, 1.220198051548674202e-09, 5.314217948141713365e-10, 5.801993321066611394e-10
2.031000000000000000e+03, 1.280810043763331834e-09, 1.584441670739791106e-10, 5.988444778179205740e-10, 1.251807486586122244e-09, 1.544219083223896221e-10, 1.564854062113809825e-10, 1.267352600266428851e-09, 5.012085169053288272e-10, 4.565851700645920143e-10
2.032000000000000000e+03, 1.279367782457666855e-09, 1.586406628121852387e-10, 5.915311740165182192e-10, 1.189395565854102281e-09, 1.547613360552429853e-10, 1.568168450691809037e-10, 1.260323583716823452e-09, 5.803450168916192584e-10, 4.925634714833262818e-10
2.033000000000000000e+03, 1.319937756306812938e-09, 1.586426527641579417e-10, 5.856725614777454818e-10, 1.148077582367232719e-09, 1.550520242005424196e-10, 1.571615232992901890e-10, 1.342397317142304283e-09, 5.403517929754609066e-10, 5.431064705883766622e-10
2.034000000000000000e+03, 1.331734953185256063e-09, 1.577648894943501512e-10, 6.130121867349898791e-10, 1.206213843682530599e-09, 1.550334365117251008e-10, 1.571223508592688570e-10, 1.309345714324441254e-09, 5.183662296353290492e-10, 4.981733063910642451e-10
2.035000000000000000e+03, 1.308646768578556611e-09, 1.574991543469946043e-10, 6.191434514209460121e-10, 1.324724450714730086e-09, 1.550289385348909673e-10, 1.568775825300858408e-10, 1.318623728008334386e-09, 5.448486632559910947e-10, 4.620033597028382424e-10
2.036000000000000000e+03, 1.306297816028787289e-09, 1.571977372915167651e-10, 6.030196994891802578e-10, 1.308764554013324760e-09, 1.550549481982260631e-10, 1.568024519346451167e-10, 1.254978388252230445e-09, 5.030496948823313047e-10, 5.333261879542592433e-10
2.037000000000000000e+03, 1.369697092920113617e-09, 1.565844151660027021e-10, 6.251369145353598111e-10, 1.171986191396831971e-09, 1.550645129848364543e-10, 1.567713675763215863e-10, 1.323876292494555869e-09, 5.351735882801716588e-10, 3.977838234760931964e-10
2.038000000000000000e+03, 1.321334080784055555e-09, 1.556498333310583097e-10, 6.267419207169743270e-10, 1.321883524402960138e-09, 1.550255978922184035e-10, 1.565648552478646363e-10, 1.444946995160543776e-09, 5.987413714870484828e-10, 5.387318476589191484e-10
2.039000000000000000e+03, 1.404803488113256014e-09, 1.552313912676060839e-10, 6.284265854959688692e-10, 1.277383491461874253e-09, 1.548688669827959900e-10, 1.563876776052965854e-10, 1.398984293010957224e-09, 5.528006928018610846e-10, 4.820504091922926371e-10
2.040000000000000000e+03, 1.331759660352586662e-09, 1.548100860227744707e-10, 6.248772542613363888e-10, 1.339706034160141952e-09, 1.545902176358709997e-10, 1.564237104366715636e-10, 1.375749303601771980e-09, 5.448046358933716977e-10, 4.532459818718379082e-10
2.041000000000000000e+03, 1.399109757396015896e-09, 1.546423913283143820e-10, 6.282585680763247929e-10, 1.379735204588520944e-09, 1.542642975082411309e-10, 1.561071675778095336e-10, 1.440071185815996486e-09, 4.732262239454127181e-10, 5.749772899766975345e-10
2.042000000000000000e+03, 1.373488612893299103e-09, 1.542372510519287428e-10, 6.372871312208957475e-10, 1.308152846532652592e-09, 1.540905373637394663e-10, 1.557727207774158649e-10, 1.410987760884657106e-09, 5.542592400444435174e-10, 5.455971303725613135e-10
2.043000000000000000e+03, 1.405050531549236398e-09, 1.539105896661040282e-10, 6.270217243987185909e-10, 1.216238192973919579e-09, 1.536386998597329136e-10, 1.554882678938081357e-10, 1.310202308029042464e-09, 5.998326513045403430e-10, 5.247969555059093170e-10
2.044000000000000000e+03, 1.399440773009216476e-09, 1.601038368408427793e-10, 6.193483022726494843e-10, 1.199678768739648515e-09, 1.532318523318144102e-10, 1.550821858960568761e-10, 1.421455512887811830e-09, 5.980528781793992796e-10, 5.532009521691831410e-10
2.045000000000000000e+03, 1.384326280091905235e-09, 1.593110624542288588e-10, 5.874767566606740003e-10, 1.265894032163723973e-09, 1.543789444005466491e-10, 1.503959712201472695e-10, 1.408798703945708943e-09, 6.106182448880553167e-10, 5.505494111729168635e-10
2.046000000000000000e+03, 1.405948624677028432e-09, 1.582961376930825878e-10, 5.851177623928175055e-10, 1.242930588714825519e-09, 1.537356501434032750e-10, 1.497585195814373886e-10, 1.407000694510500255e-09, 5.559667503057007174e-10, 5.570237984600467222e-10
2.047000000000000000e+03, 1.402347356676385039e-09, 1.574818396405607213e-10, 5.849467567782517371e-10, 1.377608692473786108e-09, 1.528436378588258139e-10, 1.489661289917283863e-10, 1.359196842436800265e-09, 5.198728982670917500e-10, 4.612428151781640844e-10
2.048000000000000000e+03, 1.445523221591732756e-09, 1.562491318161637034e-10, 6.065713203632269930e-10, 1.356295839860692691e-09, 1.521621184936486870e-10, 1.483649758942655302e-10, 1.392504295988954086e-09, 6.293225202863517416e-10, 5.679853906211724792e-10
2.049000000000000000e+03, 1.428555915344898103e-09, 1.549234903765556255e-10, 6.034124437075316593e-10, 1.428050516550802105e-09, 1.511435840089988546e-10, 1.476162872729548538e-10, 1.425267631890010889e-09, 5.071397422423268377e-10, 4.610654256325642781e-10
2.050000000000000000e+03, 1.326513427765681954e-09, 1.232702363785467335e-10, 6.198001882201721112e-10, 1.393935105044745154e-09, 1.503137014582592029e-10, 1.471171361605334289e-10, 1.446463710466047589e-09, 6.325158073278933803e-10, 4.717640832783375320e-10
2.051000000000000000e+03, 1.477515984325675627e-09, 1.223849277724887770e-10, 6.024063068632617307e-10, 1.389725079933675749e-09, 1.469237441792597949e-10, 1.428724420087732014e-10, 1.380160086173577781e-09, 6.047108222088911201e-10, 5.766005067055101761e-10
2.052000000000000000e+03, 1.463930196430393875e-09, 1.210296413984298828e-10, 6.104495027804681008e-10, 1.345193415068470700e-09, 1.469621287725544995e-10, 1.394227981632652335e-10, 1.398870443939439855e-09, 6.079060500835289102e-10, 6.377234609103949334e-10
2.053000000000000000e+03, 1.418062263611197273e-09, 1.192628150699526353e-10, 6.094219563348678559e-10, 1.398131003181107836e-09, 1.459973234463567389e-10, 1.384248818147695869e-10, 1.473027885832830688e-09, 6.130609463189593617e-10, 5.616148928372301782e-10
2.054000000000000000e+03, 1.415368057823643023e-09, 1.175960968601132914e-10, 5.937166911661262775e-10, 1.340516553256023782e-09, 1.449260361149198891e-10, 1.374569093814214611e-10, 1.506148096307583856e-09, 5.692815506557072096e-10, 5.553992461587528719e-10
2.055000000000000000e+03, 1.432636264518763210e-09, 1.161823104995653479e-10, 6.225251811356611341e-10, 1.452920598661794204e-09, 1.440390432350316591e-10, 1.368579474285704862e-10, 1.466330623766348660e-09, 6.161217225538085221e-10, 5.729892007927799873e-10
2.056000000000000000e+03, 1.452114785807467015e-09, 1.150727270449419122e-10, 6.324856612037302431e-10, 1.406150909962559602e-09, 1.430888359720190847e-10, 1.360563716797761990e-10, 1.558827871831787027e-09, 6.202963907701945534e-10, 5.599303329805348930e-10
2.057000000000000000e+03, 1.435847379893925948e-09, 1.135385044461601604e-10, 6.280046712722168333e-10, 1.378631322156764375e-09, 1.422410812479662992e-10, 1.352997469773327471e-10, 1.520142737122678182e-09, 5.945703720959738663e-10, 5.463882605102938366e-10
2.058000000000000000e+03, 1.457341401690048368e-09, 1.119592126117304403e-10, 6.271821631917913771e-10, 1.457587296921123431e-09, 1.414422206910403777e-10, 1.346886862747992544e-10, 1.629505825865420556e-09, 6.503330669931425286e-10, 6.533724784079800415e-10
2.059000000000000000e+03, 1.435691358864744748e-09, 1.102209925622151970e-10, 6.451276771637613881e-10, 1.423683378835431804e-09, 1.415087306935067923e-10, 1.353464657785250974e-10, 1.640485239201227748e-09, 5.820043625568813863e-10, 5.930908065962428271e-10
2.060000000000000000e+03, 1.372531621140988529e-09, 1.091450292800324956e-10, 6.434857433146160754e-10, 1.503508980136571569e-09, 1.406900363521855898e-10, 1.349280731452920891e-10, 1.655277730195438704e-09, 6.109247321204676505e-10, 5.953004136479021407e-10
2.061000000000000000e+03, 1.529114923246625281e-09, 1.081144427918426497e-10, 6.502082008902615265e-10, 1.516180498883094606e-09, 1.400006226903150418e-10, 1.343416264069509603e-10, 1.510288660990203632e-09, 6.444612263094569398e-10, 6.041887225373666489e-10
2.062000000000000000e+03, 1.437150955340553939e-09, 1.070976547944182891e-10, 6.671581015406360030e-10, 1.570574499307500803e-09, 1.391595214597652750e-10, 1.335554449871119084e-10, 1.681995206191660611e-09, 6.410257766976048891e-10, 6.078136031320250939e-10
2.063000000000000000e+03, 1.520939031224545713e-09, 1.063458931179934764e-10, 6.622980589839498792e-10, 1.447208849888724412e-09, 1.385249455184147776e-10, 1.329945754220200866e-10, 1.687574080966690178e-09, 6.862840314934739698e-10, 5.852634970791065385e-10
2.064000000000000000e+03, 1.435973738561881849e-09, 1.057394111627817297e-10, 6.640696547314510339e-10, 1.490293596664967560e-09, 1.378297057373445150e-10, 1.323736425575196292e-10, 1.720570820632654737e-09, 6.940200370434969694e-10, 6.903640860126452404e-10
2.065000000000000000e+03, 1.477946553478074637e-09, 1.044063733556750211e-10, 6.772151487604376634e-10, 1.448086235491407726e-09, 1.372552355736621321e-10, 1.317847914543585386e-10, 1.835491568702178228e-09, 6.507933559392279525e-10, 6.307179622284862785e-10
2.066000000000000000e+03, 1.476151089655136420e-09, 1.033112946298651047e-10, 6.587085573442785227e-10, 1.565850416117379574e-09, 1.362019677435078138e-10, 1.312696180620950804e-10, 1.689443576830130086e-09, 7.573225646530059816e-10, 7.070686699209964858e-10
2.067000000000000000e+03, 1.529410847333071537e-09, 1.030305412777306994e-10, 6.598477802739436971e-10, 1.525891526454142221e-09, 1.367844790888437204e-10, 1.312783531225539006e-10, 1.808061720664473431e-09, 6.669450955134864535e-10, 6.486649892470520336e-10
2.068000000000000000e+03, 1.496881064322375289e-09, 1.026721456055160058e-10, 6.886380313217526502e-10, 1.561692152542015228e-09, 1.362043717398895884e-10, 1.307595476757457623e-10, 1.795626822738634775e-09, 7.516714919963731838e-10, 5.601243810847854337e-10
2.069000000000000000e+03, 1.498433356214029740e-09, 1.015128450271787262e-10, 6.880476061581064162e-10, 1.625755550113525583e-09, 1.355926380543694747e-10, 1.302696290347417331e-10, 1.808486557431933836e-09, 7.490700983035259864e-10, 5.706261620888743199e-10
2.070000000000000000e+03, 1.556501424691585079e-09, 1.009730801320312822e-10, 6.786281999153433454e-10, 1.606791246377818052e-09, 1.350511527731006113e-10, 1.298996347861526810e-10, 1.869009179935387276e-09, 7.814632965050114948e-10, 6.538252357826812697e-10
2.071000000000000000e+03, 1.573232278850917066e-09, 1.007686576581389761e-10, 6.919374652116694902e-10, 1.545998752639319562e-09, 1.344225860032621608e-10, 1.295234673951804973e-10, 1.785020879976521198e-09, 8.384103545366408547e-10, 6.547546225014703170e-10
2.072000000000000000e+03, 1.523992616684146545e-09, 1.010928279534055502e-10, 6.906895443801974547e-10, 1.514965723160185164e-09, 1.337377021270250601e-10, 1.291539120942334212e-10, 1.646923234165690097e-09, 7.583214343604086535e-10, 6.783296978849759785e-10
2.073000000000000000e+03, 1.629504545160481196e-09, 1.002812127625304281e-10, 6.981132656826685903e-10, 1.549981124659757871e-09, 1.336785874426243612e-10, 1.290277039734989801e-10, 1.867711606355167899e-09, 8.002201848928389072e-10, 6.689508004795712958e-10
2.074000000000000000e+03, 1.581668407504417938e-09, 9.957464966783544765e-11, 7.040500986332145198e-10, 1.627154408109784674e-09, 1.329896994827484072e-10, 1.286323542527713003e-10, 1.917092566451236474e-09, 8.179361306221664797e-10, 6.855179894685229805e-10
2.075000000000000000e+03, 1.675168307657464040e-09, 9.915540039196726602e-11, 7.013679452491734513e-10, 1.619405252213144094e-09, 1.323297008448968097e-10, 1.281803598738360523e-10, 2.005022722551317716e-09, 7.945792036934907995e-10, 6.129058819434046587e-10
2.076000000000000000e+03, 1.610845374822161803e-09, 9.836445713865712375e-11, 6.997294232095354538e-10, 1.718374027198785007e-09, 1.317928077595600350e-10, 1.276514672248153282e-10, 2.093805003551101557e-09, 7.361643125151617025e-10, 7.716676457005944107e-10
2.077000000000000000e+03, 1.623730243790584491e-09, 9.778524588273303571e-11, 7.050401428761896877e-10, 1.850915306801969255e-09, 1.309225108994813293e-10, 1.264384262963069402e-10, 2.018053453748179045e-09, 8.436094276623607984e-10, 7.375693881823356820e-10
2.078000000000000000e+03, 1.635342198762534225e-09, 9.700692880658927616e-11, 7.146732832397533771e-10, 1.847816361139978395e-09, 1.282659370921019735e-10, 1.254927844098870985e-10, 1.881257721398723075e-09, 8.360083381896010156e-10, 7.510773625152121021e-10
2.079000000000000000e+03, 1.715499401352806676e-09, 9.695322467890612115e-11, 7.388418743181581049e-10, 1.831026461253291934e-09, 1.272954967490956160e-10, 1.227388719105805633e-10, 2.183863008758046949e-09, 9.132018225845042668e-10, 7.092589551277849156e-10
2.080000000000000000e+03, 1.694955136554803884e-09, 9.611850349099584705e-11, 7.863304171866975484e-10, 1.771653845605239414e-09, 1.253269814245721408e-10, 1.224443911440169535e-10, 2.313403045196947684e-09, 8.147319039384655183e-10, 7.096704111443269919e-10
2.081000000000000000e+03, 1.680104185274617914e-09, 9.539240634280312251e-11, 7.894875083146736850e-10, 1.901815071886703556e-09, 1.247047796658154262e-10, 1.226719625351032512e-10, 2.210086090706595381e-09, 8.414780241343828529e-10, 7.341995697502434179e-10
2.082000000000000000e+03, 1.711963316473892266e-09, 9.531054480379794431e-11, 7.807712026012146616e-10, 1.904085884637542648e-09, 1.244880112272108206e-10, 1.232639545721737972e-10, 2.318115724811513803e-09, 7.569937774043658376e-10, 7.965402799313173616e-10
2.083000000000000000e+03, 1.758428745761578355e-09, 9.530109916522180936e-11, 7.588934408444665915e-10, 1.923127068707445231e-09, 1.240012739326285272e-10, 1.229038828784968446e-10, 2.314842950889792757e-09, 9.870175611919774549e-10, 8.083996454586751556e-10
2.084000000000000000e+03, 1.746417253899520285e-09, 9.485518003170786743e-11, 7.640648805197571499e-10, 1.845669779252887523e-09, 1.232902790181950341e-10, 1.225583245393470690e-10, 2.372418046829120748e-09, 8.149602079956363765e-10, 6.902496742631866665e-10
2.085000000000000000e+03, 1.733527281315628894e-09, 9.426358780259687150e-11, 8.052453905351167086e-10, 1.953362779049502827e-09, 1.222768888429227676e-10, 1.222146812423129879e-10, 2.425828906629064046e-09, 8.358753800875853037e-10, 7.690798463915227529e-10
2.086000000000000000e+03, 1.763971066849706077e-09, 9.347674182216517978e-11, 8.145653390660361956e-10, 1.984735165525422833e-09, 1.216906975770014167e-10, 1.216451580216820044e-10, 2.145759263429000564e-09, 8.732043567052549664e-10, 8.107142473455797880e-10
2.087000000000000000e+03, 1.855627028632992775e-09, 9.241038333064442340e-11, 8.091550144674439046e-10, 2.123518489957794162e-09, 1.213770095890431440e-10, 1.212990769278435497e-10, 2.287974146097067796e-09, 8.517474454286854970e-10, 7.870041638234387856e-10
2.088000000000000000e+03, 1.747991364862592541e-09, 9.160579215942676675e-11, 8.151327673292328327e-10, 2.197868687938073794e-09, 1.208130561604418910e-10, 1.208113058592144141e-10, 2.383062092864333153e-09, 9.532480541756104104e-10, 8.354747644983403320e-10
2.089000000000000000e+03, 1.870297477044414588e-09, 9.093024140753065885e-11, 8.132959062887863042e-10, 2.106506390397123461e-09, 1.202701815340793307e-10, 1.203197727437113698e-10, 2.334695882326594016e-09, 8.990963111395384147e-10, 7.635444190506413726e-10
2.090000000000000000e+03, 1.806498006872883961e-09, 9.000056674345120969e-11, 8.130099591594876094e-10, 1.935314669499917548e-09, 1.197244981592581689e-10, 1.198724301027985322e-10, 2.470976336051989683e-09, 8.005858367002024157e-10, 8.274654378841562534e-10
2.091000000000000000e+03, 1.913110212138251263e-09, 8.881013261526711145e-11, 8.410411320108378032e-10, 2.091354561253658254e-09, 1.193250006412201734e-10, 1.196588495563404882e-10, 2.473570310614397194e-09, 8.136213011598540738e-10, 6.628316511111255407e-10
2.092000000000000000e+03, 1.824077502450372433e-09, 8.797832416026471026e-11, 8.635396420048995310e-10, 2.161505753290516002e-09, 1.189055616487042682e-10, 1.193103559670555399e-10, 2.500511656814467112e-09, 8.683381891090567117e-10, 8.372623888266277147e-10
2.093000000000000000e+03, 1.931813121118663358e-09, 8.737622989645432697e-11, 8.493048577789094115e-10, 2.196488967540134320e-09, 1.182333095204132691e-10, 1.189553051294165875e-10, 2.387814243496543440e-09, 9.647863203578512373e-10, 8.575760703978974682e-10
2.094000000000000000e+03, 1.935159245882612066e-09, 8.693050499246524216e-11, 8.449753200170010939e-10, 2.083019725889014457e-09, 1.177716594148086452e-10, 1.184210313067589452e-10, 2.427482218436649675e-09, 8.847387790063562489e-10, 7.777841798475948518e-10
2.095000000000000000e+03, 1.871093361798545913e-09, 8.647552405037228396e-11, 8.520819465734592367e-10, 2.126915153684123521e-09, 1.173575103913785096e-10, 1.179064051519957258e-10, 2.420728180609486872e-09, 9.135697108181247741e-10, 7.573233209589897031e-10
2.096000000000000000e+03, 1.840307742347420178e-09, 8.585244373823623456e-11, 8.597296681206592616e-10, 2.130472191856533701e-09, 1.167461006824488288e-10, 1.174548459975821363e-10, 2.524640251768710009e-09, 9.626606297801756946e-10, 9.420995947754052009e-10
2.097000000000000000e+03, 1.888181511158870829e-09, 8.528131549263439789e-11, 8.612842845462307485e-10, 2.305415246618205058e-09, 1.160422513811197785e-10, 1.166797898549134248e-10, 2.312450662804210783e-09, 8.980619867000752072e-10, 9.045109170983626759e-10
2.098000000000000000e+03, 1.864259266268389513e-09, 8.480444879706470104e-11, 8.933005215139323720e-10, 2.216065643080737614e-09, 1.156369206459134099e-10, 1.162906267970763752e-10, 2.562496746752715139e-09, 8.894807754495603093e-10, 7.986280614823317531e-10
2.099000000000000000e+03, 1.866430699973473508e-09, 1.235513510338215674e-10, 8.758596548749015742e-10, 2.108595648363493258e-09, 1.151284133926441955e-10, 1.157676451533081899e-10, 2.600443108741292668e-09, 9.053144883787101731e-10, 9.029546723285669730e-10
2.100000000000000000e+03, 1.899610104484373420e-09, 1.232579298846188027e-10, 8.666232589961685536e-10, 2.069099087049312854e-09, 1.180608359294001817e-10, 1.221360288403763007e-10, 2.518534028374427504e-09, 9.203761408105838024e-10, 8.307375310001778132e-10
