year, CNRM-ESM2-1, INM-CM5-0, CanESM5, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL
2.039000000000000000e+03, 3.100801969953586124e+01, 2.379015191775316751e+01, 3.065047736285887581e+01, 1.463480434288243437e+01, 1.613907753186692062e+01, 1.169739973086412554e+01, 2.935126430430576860e+01, 8.574882664562805346e+00, 4.185183431174156965e+01, 4.501128694147372045e+00, 8.407726980534038219e+00, 6.394952149731999214e+00, 2.262211639284521425e+01, 1.423751594320210323e+01, 1.767929032435874603e+01, 1.473499384180404803e+01
2.040000000000000000e+03, 3.133517605413138440e+01, 2.387510917306883940e+01, 3.090756776688112595e+01, 1.460586812102721233e+01, 1.626278877232221021e+01, 1.165464599959933523e+01, 2.937895521725327797e+01, 8.579797993121964339e+00, 4.183841583455964752e+01, 4.433583679819639300e+00, 7.915648261035777011e+00, 6.374354698001723385e+00, 2.270272835699501002e+01, 1.427761982804371144e+01, 1.770156694327683411e+01, 1.482702806132250295e+01
2.041000000000000000e+03, 3.156796131208091438e+01, 2.384301182876346203e+01, 3.123309525492590666e+01, 1.472512020624336060e+01, 1.626157951730233719e+01, 1.180113088487780182e+01, 2.931744269790661406e+01, 8.523213022995424382e+00, 4.177342081093086534e+01, 4.546744696748399761e+00, 8.738307508670409618e+00, 6.295241405606089025e+00, 2.275223086738744627e+01, 1.428166710118013683e+01, 1.769242773391122370e+01, 1.485326161423291325e+01
2.042000000000000000e+03, 3.166016003425095349e+01, 2.397064774048162761e+01, 3.139611923006360072e+01, 1.492645115907465936e+01, 1.635733020372234847e+01, 1.183095090009489603e+01, 2.938437837923843432e+01, 8.491557133371950172e+00, 4.172113262686291790e+01, 4.653852445758520417e+00, 8.333068849229054109e+00, 6.371763255417474348e+00, 2.266969633361263092e+01, 1.440797291273215563e+01, 1.771389588675112492e+01, 1.491007361675995035e+01
2.043000000000000000e+03, 3.158928336397893943e+01, 2.409296604963685340e+01, 3.166228335904070690e+01, 1.509142484297556486e+01, 1.635349460206374061e+01, 1.184362095291387718e+01, 2.947487710626700874e+01, 8.483254170691033380e+00, 4.168319842218673443e+01, 4.563823875483135950e+00, 7.806383972036339713e+00, 6.401111830647305823e+00, 2.268559525473585126e+01, 1.458196393696068860e+01, 1.788229488545862367e+01, 1.501427312772908707e+01
2.044000000000000000e+03, 3.175862091211893201e+01, 2.417461262694044066e+01, 3.189633348492130693e+01, 1.510022221944072740e+01, 1.644947850641453613e+01, 1.193826047353269182e+01, 2.943235358595592999e+01, 8.495277671482842408e+00, 4.178237010302744636e+01, 4.579003018087360211e+00, 8.128373467639100625e+00, 6.441712024371037515e+00, 2.271650760402378566e+01, 1.459451522546877733e+01, 1.780615353049921623e+01, 1.509324803458848585e+01
2.045000000000000000e+03, 3.193442223105060407e+01, 2.414707903805075517e+01, 3.200617634648867238e+01, 1.510787721232457059e+01, 1.646506364324588034e+01, 1.197640716815344852e+01, 2.946276491448690393e+01, 8.552633398002233989e+00, 4.175789846589713505e+01, 4.708863421434624996e+00, 8.437746091020752459e+00, 6.417595748337645567e+00, 2.269398411173687080e+01, 1.439138253456636285e+01, 1.801031855529627279e+01, 1.516313076223820744e+01
2.046000000000000000e+03, 3.207442294080583167e+01, 2.415501773291329357e+01, 3.222115348466127216e+01, 1.518904786945027929e+01, 1.649501479317560282e+01, 1.198020889935663646e+01, 2.950398556157095697e+01, 8.582389850972665712e+00, 4.179882298690683484e+01, 4.684492188300220405e+00, 8.157979234617046771e+00, 6.338797573275138930e+00, 2.262200981156564339e+01, 1.442371707466835318e+01, 1.821263753239173511e+01, 1.527182408362209820e+01
2.047000000000000000e+03, 3.234304896261346585e+01, 2.413945190023920517e+01, 3.237797040841800111e+01, 1.516350486852949331e+01, 1.657823427786954795e+01, 1.216593307594956563e+01, 2.975737449269846380e+01, 8.549451983325177196e+00, 4.192947582489765068e+01, 4.487363576932905218e+00, 8.259595856905479039e+00, 6.422756767257784993e+00, 2.265374556343031287e+01, 1.461209104876537168e+01, 1.811717633479631928e+01, 1.534794747073107857e+01
2.048000000000000000e+03, 3.251655651366876043e+01, 2.414920987366554073e+01, 3.258252234990776941e+01, 1.522138077086539454e+01, 1.677670552105463031e+01, 1.229312176360945408e+01, 2.988137620743919243e+01, 8.543445381068060840e+00, 4.207904115681112245e+01, 4.613921929789415621e+00, 8.195229984855362915e+00, 6.498635401770871844e+00, 2.269365120497117516e+01, 1.480756352132444675e+01, 1.819864884412408657e+01, 1.541985387064623048e+01
2.049000000000000000e+03, 3.275319477709546589e+01, 2.425690087377831361e+01, 3.273391535727024149e+01, 1.534503801656048161e+01, 1.696702058610727448e+01, 1.240615747159447935e+01, 2.989078182710209575e+01, 8.572170934882691995e+00, 4.215581385071933340e+01, 4.674283972843756629e+00, 8.396539202751739595e+00, 6.580150576029278220e+00, 2.271674347050128162e+01, 1.486263018448716267e+01, 1.825186003164472837e+01, 1.548875326057181212e+01
2.050000000000000000e+03, 3.290813069584840633e+01, 2.425780955255838478e+01, 3.280817039757024389e+01, 1.553506301955431645e+01, 1.698895667094352646e+01, 1.253259674835597615e+01, 2.979999602745795428e+01, 8.593207108642840097e+00, 4.230412921682366090e+01, 4.515517128083746279e+00, 8.531161968178523125e+00, 6.575537623692515155e+00, 2.264581667994146841e+01, 1.482503676033268647e+01, 1.842667254831803092e+01, 1.559331128466634553e+01
2.051000000000000000e+03, 3.291216257161955383e+01, 2.416550390868848552e+01, 3.289879076248670486e+01, 1.553628573521550571e+01, 1.705384630400321555e+01, 1.264673554666576294e+01, 2.983019537884653971e+01, 8.714787558866554207e+00, 4.241895883126816358e+01, 4.381817749987229504e+00, 7.802665324631126609e+00, 6.480683472464537687e+00, 2.269968648526045385e+01, 1.493552117762899911e+01, 1.867040314904600962e+01, 1.565889983893272230e+01
