year, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR
2.063000000000000000e+03, 3.944440967367220758e-10, 1.043607208802465406e-10, 1.129658085434478948e-09, -3.015057267749611062e-09
2.064000000000000000e+03, 3.944198005298050020e-10, 1.089499446163947290e-10, 1.499136227222689822e-09, -2.938945335463693537e-09
2.065000000000000000e+03, 3.961577671369646325e-10, 1.279423003808635607e-10, 1.231078425277339770e-09, -3.238420066127658779e-09
2.066000000000000000e+03, 3.780152950392153228e-10, 1.027965955242171332e-10, 1.271723471245509401e-09, -3.040903952015985700e-09
2.067000000000000000e+03, 3.772110621287147199e-10, 1.116454144309829023e-10, 1.255516009995728473e-09, -3.116896896955987034e-09
2.068000000000000000e+03, 3.752770436835155746e-10, 1.127089946480303834e-10, 1.260660649581871644e-09, -3.124441602133349372e-09
2.069000000000000000e+03, 3.741694036673518536e-10, 1.142619635056026243e-10, 1.196436802546959075e-09, -3.304174721133172207e-09
2.070000000000000000e+03, 3.728628759691452568e-10, 1.189190999120648448e-10, 1.434931561883358782e-09, -3.320894888735163258e-09
2.071000000000000000e+03, 3.740017985144840767e-10, 1.644297121190188918e-10, 1.389084167854821326e-09, -3.262415716072487257e-09
2.072000000000000000e+03, 3.727501246254945139e-10, 1.680896145802969861e-10, 1.161956245533593027e-09, -2.848216057855895884e-09
2.073000000000000000e+03, 3.709937803687082755e-10, 1.718301110909365229e-10, 1.080572921787163317e-09, -3.070235847090662537e-09
2.074000000000000000e+03, 3.705684443461409648e-10, 1.751011265595355062e-10, 1.167333874284761466e-09, -2.869537466638829438e-09
2.075000000000000000e+03, 3.706670980214731335e-10, 1.797958790577827741e-10, 1.100587705954980879e-09, -3.088446888830261998e-09
2.076000000000000000e+03, 4.028285198545752556e-10, 2.413871311968530732e-10, 1.156745536828588649e-09, -2.932629981322838349e-09
2.077000000000000000e+03, 4.069184212775767026e-10, 2.486939078540440360e-10, 1.135133740465033807e-09, -3.106625987643259634e-09
2.078000000000000000e+03, 4.086249487474373190e-10, 2.580176001300262931e-10, 1.302807549914276809e-09, -2.920961988469491480e-09
2.079000000000000000e+03, 4.065321885599077907e-10, 2.642541767718694479e-10, 1.231217411913212566e-09, -3.207345721479744694e-09
2.080000000000000000e+03, 4.079847447750258616e-10, 2.620229506696179574e-10, 1.379442835575321755e-09, -3.294844537919400595e-09
2.081000000000000000e+03, 4.102010578943904062e-10, 2.182929137036892918e-10, 1.317875578619517407e-09, -3.059686694061232381e-09
2.082000000000000000e+03, 4.057056005090270258e-10, 2.199334562854174440e-10, 1.279914593932467456e-09, -3.187986797569966372e-09
2.083000000000000000e+03, 4.053670113907884830e-10, 2.243626335010049723e-10, 1.330789602488007897e-09, -3.279353190981270915e-09
2.084000000000000000e+03, 4.072193988304492089e-10, 2.346907403048774029e-10, 1.215034138044724662e-09, -3.208530768949778615e-09
2.085000000000000000e+03, 4.097273942972484628e-10, 2.435463080267194489e-10, 1.142495493284098425e-09, -3.468909025477087034e-09
2.086000000000000000e+03, 4.021379557768614152e-10, 2.048159354234349537e-10, 1.317758711239260745e-09, -3.500645586361133538e-09
2.087000000000000000e+03, 4.025589855764899111e-10, 2.060668161068559051e-10, 1.316172032475272802e-09, -3.510816461346298516e-09
2.088000000000000000e+03, 4.009283306113000024e-10, 2.071996896825322245e-10, 1.422136904259875782e-09, -3.549663454053319198e-09
2.089000000000000000e+03, 3.951819185352998599e-10, 2.148553015517581001e-10, 1.468395126718709790e-09, -3.433115721439847847e-09
2.090000000000000000e+03, 3.954371541007685173e-10, 2.143372006294781057e-10, 1.415981535938170692e-09, -3.578040706152719527e-09
2.091000000000000000e+03, 3.404014492742348637e-10, 9.997042843742335056e-11, 1.298644078565753348e-09, -3.407510592391819102e-09
2.092000000000000000e+03, 3.352377009334034383e-10, 9.484199919513201253e-11, 1.459079834335338334e-09, -3.177279506380175026e-09
2.093000000000000000e+03, 3.306743226384228121e-10, 8.856798803861366926e-11, 1.365419453070402675e-09, -3.408835244365745411e-09
2.094000000000000000e+03, 3.273532208014488171e-10, 8.251801754501268657e-11, 1.190479288542211577e-09, -3.340325061537027827e-09
2.095000000000000000e+03, 3.237758696269763881e-10, 7.574094399157378622e-11, 1.188641962676091188e-09, -3.368384834896365059e-09
2.096000000000000000e+03, 3.128204016915314489e-10, 5.443272829167498397e-11, 1.343280233947951217e-09, -3.098524245484989183e-09
2.097000000000000000e+03, 3.079659177124801420e-10, 4.990443072252116069e-11, 1.241824998711911145e-09, -3.306637494641829736e-09
2.098000000000000000e+03, 3.041702520705489532e-10, 4.308328554289745218e-11, 1.393346200335454391e-09, -3.527920338070192820e-09
2.099000000000000000e+03, 2.992143426710626076e-10, 3.721140384638639137e-11, 1.320889043713078980e-09, -3.202302254211171007e-09
2.100000000000000000e+03, 2.967286083573116163e-10, 2.995318466854002444e-11, 1.239741028871731372e-09, -3.210170062068057564e-09
