year, TaiESM1, CanESM5, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
2.029000000000000000e+03, 1.219586782506029587e+00, 3.918821626085025489e+00, 2.343832818081382108e+00, 3.068023379970322484e+00, 1.646675430689562125e+00, 1.829939082791538274e+00, 1.980104551185736694e+00, 3.355444450675999057e+00, 1.781696264937878471e+00, 1.926767717842215122e+00, 1.742774770794880412e+00, 1.894806188935066027e+00, 2.959535971407412536e+00, 2.407428781407756180e+00
2.030000000000000000e+03, 1.219714517955062583e+00, 3.951963652085658918e+00, 2.602267295408210668e+00, 3.069487314809411949e+00, 1.770444682879045439e+00, 1.919884174357920026e+00, 1.979941801164182058e+00, 3.346365963125955911e+00, 1.850247629848119635e+00, 2.048386848466726917e+00, 1.710999188995626419e+00, 1.866276261331133446e+00, 2.986605340741442571e+00, 2.449192697495698567e+00
2.031000000000000000e+03, 1.331649359419672329e+00, 3.856737728013378774e+00, 2.407424927945430504e+00, 2.963786297004915582e+00, 1.757158154035815212e+00, 1.878293018478905285e+00, 1.985455949875811532e+00, 3.329879874733066902e+00, 1.861755091371357640e+00, 2.135673896462497279e+00, 1.557846837838136045e+00, 1.829646362361281753e+00, 2.967747233271632368e+00, 2.641226743246877451e+00
2.032000000000000000e+03, 1.177024293929006094e+00, 3.788572327840793008e+00, 2.556211954736833825e+00, 2.816678975322240319e+00, 1.635781629203842291e+00, 1.791616991602464681e+00, 1.948918156323346862e+00, 3.212906772426498136e+00, 1.691739926489713941e+00, 2.078426461520853863e+00, 1.609345891426856134e+00, 1.852571952954020773e+00, 2.929570765599583737e+00, 2.734597494182671618e+00
2.033000000000000000e+03, 1.289389714951248767e+00, 3.852199353154094119e+00, 2.476643627313205975e+00, 3.034334847774400323e+00, 1.576232136283938878e+00, 1.868115430099429597e+00, 1.929148952054142274e+00, 3.299482454863899683e+00, 1.761071089880279272e+00, 2.112880438225332558e+00, 1.655794127044753816e+00, 1.915698683067511787e+00, 2.962013104371980621e+00, 2.458380923607387025e+00
2.034000000000000000e+03, 1.188640738336780744e+00, 4.132365665948330324e+00, 2.423825970011643793e+00, 2.991708375455706559e+00, 1.753390559431196261e+00, 1.904750712404388313e+00, 2.022416760284655446e+00, 3.363358562044481914e+00, 1.760354639602908833e+00, 2.147836129833705421e+00, 1.606121962335759434e+00, 1.913871564507010570e+00, 3.028719679319846314e+00, 2.605109712126060906e+00
2.035000000000000000e+03, 1.226190090061453297e+00, 3.942189030112093651e+00, 2.350530590769958739e+00, 3.046687914197494518e+00, 1.829542779288801269e+00, 1.852643897524538286e+00, 1.956014915328979420e+00, 3.222157689852262141e+00, 1.838421557579454690e+00, 2.121295103416351413e+00, 1.688214293367868324e+00, 1.923651831062665796e+00, 2.977791561155511246e+00, 2.460225014263939691e+00
2.036000000000000000e+03, 1.383198880742709580e+00, 4.009649291272679328e+00, 2.543156435917190539e+00, 3.127937830377039319e+00, 1.569233721235565815e+00, 1.900870247382059341e+00, 1.858911986045113318e+00, 3.363561481240345152e+00, 1.727055620513603618e+00, 2.085392286663501515e+00, 1.654738955564983849e+00, 1.978092285302701869e+00, 2.995018155062625365e+00, 2.672690096227286372e+00
2.037000000000000000e+03, 1.269712692287831901e+00, 4.018956917564000975e+00, 2.571906107538303399e+00, 2.836737495791077812e+00, 1.641070354471850568e+00, 1.964690091540899575e+00, 1.908648760046602444e+00, 3.302682177102109318e+00, 1.753093923875169713e+00, 2.030399916116340187e+00, 1.814845628391990040e+00, 1.887069336354664451e+00, 2.910871732155613678e+00, 2.658833937263537450e+00
2.038000000000000000e+03, 1.193487211268101422e+00, 4.162300497811941113e+00, 2.465781797793056285e+00, 2.833311098161423569e+00, 1.673008731207855870e+00, 1.950146272853658269e+00, 1.940080132747614261e+00, 3.243294556175984500e+00, 1.764053509069767767e+00, 2.062079265834005248e+00, 1.706651613151592750e+00, 1.914098495544925393e+00, 3.002848123599361596e+00, 2.317593207169086345e+00
2.039000000000000000e+03, 1.428178447896729431e+00, 4.141222337441067047e+00, 2.460866821473013388e+00, 2.895574670980406218e+00, 1.609094168043619488e+00, 2.003926404699616803e+00, 1.898459984779301113e+00, 3.265212969897356654e+00, 1.639050006644393598e+00, 1.989154317705496666e+00, 1.519484344056054148e+00, 1.948741552897280238e+00, 3.104064907547082086e+00, 2.432475387833606728e+00
2.040000000000000000e+03, 1.179448446497759040e+00, 4.306636985370060344e+00, 2.702550697810854441e+00, 2.649374909109452947e+00, 1.520822986286403111e+00, 1.840578240902853935e+00, 1.992383367418988582e+00, 3.452468472090630680e+00, 1.856836948462772918e+00, 2.134075276684530564e+00, 1.685478856281853677e+00, 2.008224898106948153e+00, 3.057123172065659311e+00, 2.461896588574841171e+00
2.041000000000000000e+03, 1.243242434819709086e+00, 4.151515701902033229e+00, 2.652257361040617045e+00, 2.838827415804039855e+00, 1.902953595476884363e+00, 1.873725639130060516e+00, 1.995954687718809017e+00, 3.240983490284364610e+00, 1.759903872505744982e+00, 1.885006751388333512e+00, 1.745190096392213119e+00, 1.989552636966191557e+00, 2.948964923462640275e+00, 2.354440932050213764e+00
2.042000000000000000e+03, 1.190292579685813701e+00, 4.174109836079172631e+00, 2.440778811416576932e+00, 3.011388979256685250e+00, 1.659901595193766566e+00, 1.879980882070930726e+00, 1.871000232940408514e+00, 3.333262821591150615e+00, 1.828242206323656749e+00, 2.099627051554823876e+00, 1.690331691926193036e+00, 1.831658718328017521e+00, 3.047590379524618420e+00, 2.657490214236216008e+00
2.043000000000000000e+03, 1.294932329200869869e+00, 4.181386027771028857e+00, 2.470860622585595578e+00, 2.753610833555407034e+00, 1.787405887423254569e+00, 1.907493666058479809e+00, 1.885774333052437468e+00, 3.395854764775517509e+00, 1.877669583526122121e+00, 2.158262092977336177e+00, 1.742179421021992747e+00, 2.007018861672906773e+00, 2.947234673557165063e+00, 2.613995332985934894e+00
2.044000000000000000e+03, 1.232478664821592407e+00, 3.987263265922882827e+00, 2.487022962775358614e+00, 2.790365168066788915e+00, 1.667864626158778618e+00, 1.853780536443440985e+00, 1.892767440673917223e+00, 3.416817619946363127e+00, 1.686581192014491526e+00, 2.022141010895801561e+00, 1.615882055294832087e+00, 1.844885668239814258e+00, 2.985103382349559631e+00, 2.582710841355023934e+00
2.045000000000000000e+03, 1.346475456817256777e+00, 4.055438247354451242e+00, 2.565985079198653818e+00, 2.832545454494683757e+00, 1.660474067078363536e+00, 1.870487334564053361e+00, 1.964843442243776162e+00, 3.350176704227784352e+00, 1.912612477516377307e+00, 2.022640721706763234e+00, 1.601281072396033567e+00, 1.929723909502194745e+00, 3.026480745856697130e+00, 2.742207337067157802e+00
