year, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR
2.048000000000000000e+03, 1.094887485477990765e+02, 7.237222218960351938e+01, 5.459452009307963749e+01, 4.198233344688944157e+01, 4.114307930333428232e+01, 1.699087362991456729e+01, 4.281147704493564987e+01, 1.803715402706930888e+02, 3.024755857879610588e+01, 5.956435526389037705e+01, 9.804687656130404605e+01, 7.261166383197843288e+01, 1.167266820720377041e+01, 3.764221970611185952e+01
2.049000000000000000e+03, 1.095303397872260263e+02, 7.245754199658807693e+01, 5.461798897495404503e+01, 4.199560067186819623e+01, 4.117145362199293857e+01, 1.698265580762315707e+01, 4.280914584884635588e+01, 1.803170441663298504e+02, 3.026125629798316297e+01, 5.957073950997203582e+01, 9.812015432578671437e+01, 7.262126720907512833e+01, 1.166940175427013848e+01, 3.764611508760052061e+01
2.050000000000000000e+03, 1.095796165535213618e+02, 7.252845597891131035e+01, 5.464138587108165268e+01, 4.198740108373728219e+01, 4.122793505323679852e+01, 1.703045993286862014e+01, 4.283702303824207291e+01, 1.802220064586073534e+02, 3.026386347552516298e+01, 5.960901082333302980e+01, 9.821184705775011992e+01, 7.264127923307783874e+01, 1.168602185750770417e+01, 3.767379667729267823e+01
2.051000000000000000e+03, 1.097436119384556008e+02, 7.261268852660347761e+01, 5.466793080913360825e+01, 4.200280872261229348e+01, 4.123992556617152161e+01, 1.708874689387165446e+01, 4.288035085659893042e+01, 1.802567379680968145e+02, 3.026770285526692206e+01, 5.963256564937214677e+01, 9.833754058633124373e+01, 7.270162148448274309e+01, 1.173237513123353182e+01, 3.778827257828266539e+01
2.052000000000000000e+03, 1.097373383117447219e+02, 7.271018418983145182e+01, 5.466749982993072621e+01, 4.203689706333950937e+01, 4.127007815521348277e+01, 1.709309223062533434e+01, 4.292546889007117272e+01, 1.802961251509753708e+02, 3.030637869949716290e+01, 5.964487239341758595e+01, 9.838714858307756117e+01, 7.273512587195995138e+01, 1.175294117425924512e+01, 3.772192820940767888e+01
2.053000000000000000e+03, 1.098897351668277196e+02, 7.279890553003019704e+01, 5.465544225901364683e+01, 4.208551742842856669e+01, 4.127637556461289847e+01, 1.705429344484563714e+01, 4.294850397083772009e+01, 1.801878304228297907e+02, 3.033167832588226531e+01, 5.966552410545428131e+01, 9.842613293096020755e+01, 7.273351359553507223e+01, 1.177808968785328503e+01, 3.783738978029631284e+01
2.054000000000000000e+03, 1.099425141511704993e+02, 7.288938478283193945e+01, 5.464912834342023018e+01, 4.212573419857428547e+01, 4.126152169179789553e+01, 1.705724696840917787e+01, 4.297230890026876438e+01, 1.800482417914360269e+02, 3.032630139436240668e+01, 5.966723494350684831e+01, 9.853387785878391014e+01, 7.269110379630021157e+01, 1.181651992841803178e+01, 3.780375926635071693e+01
2.055000000000000000e+03, 1.100278565500540537e+02, 7.299715892511161996e+01, 5.465539296380112688e+01, 4.213586737209333677e+01, 4.127107157223394296e+01, 1.709628797888908380e+01, 4.299411287615364330e+01, 1.799919913839014214e+02, 3.033500049191440695e+01, 5.969052419507431750e+01, 9.861401308297492108e+01, 7.270569804858234875e+01, 1.181384935446928530e+01, 3.780599439179301413e+01
2.056000000000000000e+03, 1.099571972305964920e+02, 7.309362558337898008e+01, 5.466963767982986155e+01, 4.213148587032006986e+01, 4.130097281043820345e+01, 1.715679460612419760e+01, 4.304371448137572287e+01, 1.800672931028819903e+02, 3.034147078235904260e+01, 5.969026164720249028e+01, 9.871710379274821889e+01, 7.277562591112244661e+01, 1.181853633175507134e+01, 3.787591178557318727e+01
2.057000000000000000e+03, 1.099169087034406260e+02, 7.317877127539358639e+01, 5.465154498878420242e+01, 4.213478142627318590e+01, 4.132046942959090785e+01, 1.717330925190658775e+01, 4.307681093987929444e+01, 1.800935265345664789e+02, 3.037838590861412058e+01, 5.971976229897360611e+01, 9.882208987663658206e+01, 7.283337555171510758e+01, 1.182171090038772832e+01, 3.791791476852368703e+01
2.058000000000000000e+03, 1.099617191791898136e+02, 7.328117424189859719e+01, 5.462189157698134068e+01, 4.215377578256303082e+01, 4.133382103593346102e+01, 1.717025516786250705e+01, 4.310826197883352506e+01, 1.800137765761792252e+02, 3.039825202923142200e+01, 5.975178781429064401e+01, 9.891087886960468722e+01, 7.291726419234727530e+01, 1.185108584471554138e+01, 3.800051540434994735e+01
2.059000000000000000e+03, 1.099226771881429556e+02, 7.337063082574641726e+01, 5.460826870320784820e+01, 4.218088600689077339e+01, 4.136416792999023073e+01, 1.710105008009693606e+01, 4.311131507108844119e+01, 1.799732189604199846e+02, 3.043334596352041999e+01, 5.976539870832529999e+01, 9.900691062395216591e+01, 7.297435580315048753e+01, 1.182680643815917243e+01, 3.802936812108868025e+01
2.060000000000000000e+03, 1.099965847348377679e+02, 7.347193858301939429e+01, 5.460267493156609220e+01, 4.222650463375105545e+01, 4.138109519478142317e+01, 1.715011742929905125e+01, 4.313351551193503042e+01, 1.799463518291237278e+02, 3.046460885360943394e+01, 5.981167796141610182e+01, 9.904726438817313294e+01, 7.300345150094010194e+01, 1.181555776825724990e+01, 3.808489306912130701e+01
2.061000000000000000e+03, 1.100485498932008284e+02, 7.357300470958780636e+01, 5.456409902850234062e+01, 4.225515360097200102e+01, 4.141081828978657597e+01, 1.729143034589689876e+01, 4.313889916565000249e+01, 1.799411725689126627e+02, 3.047842658773388891e+01, 5.984060600208137259e+01, 9.912749714968289538e+01, 7.306488939217565814e+01, 1.183499987633259387e+01, 3.805786963792157707e+01
2.062000000000000000e+03, 1.101230541522116226e+02, 7.367401743182740859e+01, 5.453815014198976741e+01, 4.228489644555082805e+01, 4.144469074590364954e+01, 1.723809014324181632e+01, 4.316467375900221981e+01, 1.799977068876246449e+02, 3.048650921001643255e+01, 5.986463279667464121e+01, 9.920861694874631098e+01, 7.313062267688667362e+01, 1.181655975493393385e+01, 3.802794178044994311e+01
2.063000000000000000e+03, 1.101127562731741563e+02, 7.376010833635506003e+01, 5.454303963112698028e+01, 4.230366257033939803e+01, 4.147961571387096313e+01, 1.722513452694392200e+01, 4.319335309415484403e+01, 1.800089768320681856e+02, 3.051297836093843330e+01, 5.987582636340625442e+01, 9.928649266987471833e+01, 7.322994472921588738e+01, 1.179307715477784946e+01, 3.794821578899394154e+01
2.064000000000000000e+03, 1.101044343515860788e+02, 7.386739063515180703e+01, 5.455283821458630200e+01, 4.232485004981682408e+01, 4.146904054636782178e+01, 1.728281832001130169e+01, 4.321325428954782666e+01, 1.798883520255149620e+02, 3.052432547768196258e+01, 5.988447579655489506e+01, 9.937094153574744837e+01, 7.332721840901267285e+01, 1.181394731009551968e+01, 3.797679554266682800e+01
2.065000000000000000e+03, 1.102376284303038005e+02, 7.393047347726557916e+01, 5.456718703647783997e+01, 4.233094899027348390e+01, 4.146568808904432046e+01, 1.726906739371901267e+01, 4.323658999832829153e+01, 1.798713364612169130e+02, 3.053871258039647429e+01, 5.987798231812425342e+01, 9.950459234605695258e+01, 7.337788422891529194e+01, 1.180605949441685532e+01, 3.798371192181000566e+01
2.066000000000000000e+03, 1.103789112525586233e+02, 7.402580779505740338e+01, 5.456389640803356400e+01, 4.237959597794087330e+01, 4.147239643872791248e+01, 1.732040509802617123e+01, 4.325787828321032435e+01, 1.798187282895862324e+02, 3.057407950408025599e+01, 5.990043199450083478e+01, 9.958500537798592234e+01, 7.346585874790258686e+01, 1.183233308888820012e+01, 3.797489643232780310e+01
2.067000000000000000e+03, 1.105404744211289341e+02, 7.413530059749254519e+01, 5.458746070495171665e+01, 4.239929057456405559e+01, 4.148966934988253996e+01, 1.734362408061847560e+01, 4.328091233649910663e+01, 1.797036615876633618e+02, 3.059432702467744392e+01, 5.990100827747173184e+01, 9.964246922837216403e+01, 7.352592436826445521e+01, 1.183214845157129425e+01, 3.804845075853145175e+01
2.068000000000000000e+03, 1.106917360814193501e+02, 7.424334273774557857e+01, 5.461268294480140639e+01, 4.240443165419917193e+01, 4.149938141815428594e+01, 1.733535616758051034e+01, 4.332443557505349929e+01, 1.796492571434030481e+02, 3.060907862627752252e+01, 5.990961371219619735e+01, 9.970093512338971209e+01, 7.356349256917539492e+01, 1.181385607361870349e+01, 3.800954983436056267e+01
