year, ACCESS-ESM1-5, GFDL-ESM4, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL
2.069000000000000000e+03, 9.444568160605038272e-11, 2.600578774005574377e-09, 3.930338567279186047e-11, 2.988517293477394565e-09, 2.199538742471825834e-10, 1.767054967817482326e-09, 1.894357488013606665e-09, 2.235794397625860065e-09, 4.105799070347383305e-13
2.070000000000000000e+03, 9.953857440296606666e-11, 2.015852577572445902e-09, 4.051881926037732448e-11, 3.005237894352600979e-09, 2.194023320578180266e-10, 1.744003487196111059e-09, 1.733455089596053560e-09, 2.315320403760274501e-09, 4.170694315239490860e-13
2.071000000000000000e+03, 9.524342104815354657e-11, 2.067871688731069471e-09, 4.070838691605492643e-11, 2.947988381938961082e-09, 2.187719739071904645e-10, 1.700480046750428533e-09, 1.673996663519233732e-09, 2.347242237809056538e-09, 5.312413594483139743e-13
2.072000000000000000e+03, 9.406235196972578099e-11, 2.326872796892522231e-09, 4.355122328937414062e-11, 2.534099255693872037e-09, 2.181550688990325407e-10, 1.759807410109919262e-09, 1.518801647731387973e-09, 2.370238195553516385e-09, 4.751138682333201832e-13
2.073000000000000000e+03, 1.330940080412588799e-10, 2.391757118818844828e-09, 4.636106851644106934e-11, 2.757493077061083767e-09, 2.175760051292419825e-10, 1.794506665861026953e-09, 1.705715350319578485e-09, 2.380878459222249548e-09, 4.421915399581309057e-13
2.074000000000000000e+03, 1.122414279723067059e-10, 2.201270675284588592e-09, 4.918561321275100965e-11, 2.557502645329661257e-09, 2.171008641932628012e-10, 1.823590703181001548e-09, 1.716953035487961419e-09, 2.395725881175775830e-09, 5.154308154261111488e-13
2.075000000000000000e+03, 1.427804930323060466e-10, 2.220706022872680321e-09, 5.127065629793758211e-11, 2.776129318942525147e-09, 2.171181782677088277e-10, 1.830433139956538880e-09, 1.821068439463090173e-09, 2.500575764009314853e-09, 6.919258105730399168e-13
2.076000000000000000e+03, 9.692702649903481677e-11, 2.382424111067081226e-09, 5.486766513022099824e-11, 2.621782580686038716e-09, 2.173858049877421787e-10, 1.876602549946694722e-09, 2.040972603629962421e-09, 2.532406380749682422e-09, 1.001647156807483637e-12
2.077000000000000000e+03, 1.129419030235412045e-10, 2.281427619142341293e-09, 6.124795883931237212e-11, 2.797016382912825463e-09, 2.172889651275211072e-10, 1.820439568510503026e-09, 2.019857902131686051e-09, 2.527291552182494068e-09, 1.023051126095327900e-12
2.078000000000000000e+03, 8.516838860243365135e-11, 2.445694100444905837e-09, 6.770061432280119996e-11, 2.611851717357503748e-09, 2.170529731768434019e-10, 1.739870710444744998e-09, 1.917650448457943049e-09, 2.527317579610704287e-09, 1.066122661820379470e-12
2.079000000000000000e+03, 1.065577597756072297e-10, 2.248654073449947637e-09, 7.429314660281393597e-11, 2.899684632038784944e-09, 2.167136487992626009e-10, 1.794177716260792988e-09, 1.934706013976930986e-09, 2.539414852220190315e-09, 1.095867769896221892e-12
2.080000000000000000e+03, 8.188887797183372424e-11, 2.217697057076081595e-09, 8.068443019049100740e-11, 2.989010866002249902e-09, 2.158870829763701575e-10, 1.864739474893892324e-09, 1.993996902860891194e-09, 2.470749906372615510e-09, 1.479991629169533495e-12
2.081000000000000000e+03, 1.090593880082050677e-10, 2.226789603709096268e-09, 8.428793393866370150e-11, 2.754944760054169689e-09, 2.146474270565374049e-10, 1.851133068994248695e-09, 1.852794359909435876e-09, 2.471485495212217326e-09, 2.495290581699237121e-12
2.082000000000000000e+03, 8.683926390011523571e-11, 2.550667617884838778e-09, 8.527712471047016737e-11, 2.884761764433904656e-09, 2.134771515466801117e-10, 1.861454118880784687e-09, 1.813457198852749706e-09, 2.495507449427223140e-09, 3.183588399979235317e-12
2.083000000000000000e+03, 7.762539643693808584e-11, 2.371051312813548809e-09, 8.624126018070231709e-11, 2.978785007667442604e-09, 2.122991920748123393e-10, 1.891571878609985446e-09, 1.875435879137810765e-09, 2.501562174642592694e-09, 3.527830027826778609e-12
2.084000000000000000e+03, 1.041823996794756665e-10, 2.412160331459825813e-09, 8.737671290507759532e-11, 2.909591782196146068e-09, 2.112169293661726169e-10, 1.854252396274599815e-09, 1.848338726569909037e-09, 2.483230559393124394e-09, 4.011893415178757906e-12
