year, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L
2.025000000000000000e+03, 6.824684833246536108e-10, 5.707509050074653235e-10, 2.103381301050328537e-09, 1.559600444272595245e-09, -5.876377595076858796e-10, -2.187153391387709469e-10, 2.762983868730282391e-10, 1.024827962409392743e-09
2.026000000000000000e+03, 6.359508650118849184e-10, 1.036345914660405905e-09, 1.100138802588110740e-09, 4.965078943279731440e-10, 9.373723242681341244e-10, 9.461881729209961510e-10, 4.183688908126633256e-10, 1.462741093967979559e-09
2.027000000000000000e+03, 8.077663907556751296e-10, 2.136978690885683482e-10, 1.728474696175123080e-10, 1.183105871639627348e-09, -1.369464335373986678e-09, -1.879533718245808310e-10, 6.776665577183642216e-10, 7.372958134334103900e-10
2.028000000000000000e+03, 1.206674739334797225e-09, 6.511181109173624059e-10, -2.152078032536414455e-10, 1.299413689811808822e-09, -1.019494897842770113e-09, 1.370929837417745874e-09, 3.774360532797423279e-12, 1.630605235293028099e-09
2.029000000000000000e+03, 1.445202892293438882e-09, 5.730137760541265400e-10, 2.406214832739356577e-09, 1.794129074307894261e-09, 1.728547359178279005e-10, 1.920174621252219825e-09, 4.328153322275443371e-10, 1.513975753212427736e-09
2.030000000000000000e+03, 1.500793418443980499e-09, 5.658107219797975858e-10, 1.542895698787726478e-09, 1.330141281523955823e-09, 1.530622330598830862e-09, -1.799945714230307833e-09, 4.529084732946985322e-10, 1.906425749721509682e-09
2.031000000000000000e+03, 8.244047935220642245e-10, 9.375233446001609470e-10, -8.180008131962434209e-10, 5.499958230790330620e-10, 4.265838297219135000e-10, 1.000111940734929844e-09, 5.323378000782566273e-11, 1.120277437204629719e-09
2.032000000000000000e+03, 1.201194633981265176e-09, 1.280638663389005666e-10, 2.895614597707894424e-09, 7.451991926569436063e-10, 5.441688444092233853e-10, 1.220037772435172005e-09, 1.214281236832143731e-09, 1.111181838812283009e-09
2.033000000000000000e+03, 1.331294363195624366e-09, 6.072743883344433261e-10, 1.282475406223397028e-09, 2.940193797524174321e-09, -3.285315896619528441e-10, 2.870644910865104547e-10, 5.443942955002119600e-10, 2.528391382032777577e-10
2.034000000000000000e+03, 1.037655460431929679e-09, 2.627579978616241350e-10, 7.539111078434558920e-10, 3.861727759045378991e-10, 4.342094878030235914e-10, 1.133205011572756094e-09, 1.824394360188048064e-09, 9.024484743312234934e-10
2.035000000000000000e+03, 5.223671882320315356e-10, 5.200949294126754503e-10, -4.039136079045162861e-10, 9.521276438842045461e-10, 1.083539564391921322e-09, -5.619856702319402910e-10, 3.529266836298838396e-10, 1.522292116879805925e-09
2.036000000000000000e+03, 8.157413893500773748e-10, 8.599678267648626374e-10, 8.526255503046232291e-10, 2.984198534344605240e-09, 3.372773808739594958e-10, -6.620962004533904605e-10, -5.209694058710149270e-10, 2.158893211827802705e-10
2.037000000000000000e+03, 6.484789731667258146e-10, 4.278127871880711770e-10, 9.390696779007030446e-10, 1.357692650116546760e-09, -1.715752339596633932e-09, 5.538709586503257979e-10, 6.094562740887584338e-10, 1.718908947459642817e-09
2.038000000000000000e+03, 1.015374833084198324e-09, 5.485055990511611212e-10, 4.832810003398357998e-10, 9.770364640720390508e-10, -1.616101358270151401e-09, 1.128291918224520829e-09, 2.685966311519281166e-10, 1.661965792634473949e-09
2.039000000000000000e+03, 7.768674659150894440e-10, 9.896957036100530553e-10, 1.283542263372191845e-09, 1.270367722629878902e-09, 9.677802138608086886e-10, 1.718994626052236090e-10, 1.805557798740390963e-10, 9.567878329786515494e-10
2.040000000000000000e+03, 1.190726870288488128e-09, 2.859754917846158036e-10, 2.799561668435632710e-09, 5.437467928333809185e-10, 3.039388219457498680e-10, 1.876188618250653073e-10, 5.712545614650850599e-11, 1.023593767646197644e-10
2.041000000000000000e+03, 4.593413650505519734e-10, 1.878691059549990296e-10, 1.546191100279236480e-09, 1.913415398763158166e-09, 1.366931524699003682e-09, -8.024149038652142393e-10, -8.827745069535432003e-10, 6.206451991488337784e-10
2.042000000000000000e+03, 4.845421572331773930e-10, 1.010234876214033379e-09, 8.202229853470744870e-10, 1.259382821277202432e-09, -1.074719854340829967e-09, 8.630046259845936711e-11, 1.116962721264737760e-10, 1.380887792496352976e-09
2.043000000000000000e+03, 1.503609849059726732e-09, -2.076955147287463387e-11, -1.072199662527340775e-09, 1.013052857646525215e-09, -8.193434469878050223e-11, 2.681528931332995698e-10, 1.018042366518925104e-09, 1.090705667389254614e-09
2.044000000000000000e+03, 6.092565345440182331e-10, 7.701156587403226544e-10, 1.656125139465863019e-09, 1.785771358460611282e-09, 1.520506935654138409e-09, 3.780008099628190352e-10, 7.284513202888688294e-10, -1.187007736843355824e-10
2.045000000000000000e+03, 8.686854788183867145e-10, 8.303398944055169482e-11, 1.089295912861445556e-09, 1.678338211472790019e-09, -2.804621075108943420e-10, 8.617735007234922737e-10, 4.052235289679061022e-10, 1.160548381087746548e-09
2.046000000000000000e+03, 1.113790820076477470e-09, 7.061524894487324232e-10, 8.588596275612397115e-10, 2.059486180380735758e-09, -9.868537275577314871e-10, 9.823477755099199742e-10, -1.482905031170213434e-10, -3.351944150289118532e-10
2.047000000000000000e+03, 1.480546015278239934e-09, 1.739803666682133731e-10, 1.842101368034321473e-09, 1.052555029207715781e-09, 1.477047750392704397e-10, 4.381880027911348841e-11, 1.334382570185561189e-09, 1.041061638618005555e-09
2.048000000000000000e+03, 3.103026654450938783e-10, 1.236404255363623037e-09, 1.277067549199615966e-09, 1.271280545740277251e-09, 1.908450360950512944e-10, 1.743208278866367955e-10, 2.116538326526615584e-10, 8.030072341843030208e-10
2.049000000000000000e+03, 5.953425108328346480e-10, 1.090372352805732070e-09, 1.679632782614362742e-09, 1.126265916728772718e-09, -4.708948092045373564e-10, -4.289984689241602363e-10, 9.479988669288011863e-10, -7.560912456739621397e-10
2.050000000000000000e+03, 1.581270926294559936e-09, 2.827263433883695480e-10, 2.214126222321092993e-09, 1.148739714741431176e-09, 9.699943761180210654e-10, 1.727106785661385384e-09, -3.953175679261642201e-11, 5.181531691086167011e-10
2.051000000000000000e+03, 4.650294571932637051e-10, 1.193152114550011650e-09, -8.057016630787404639e-10, 1.774334438321437065e-09, 1.027677397515913869e-09, 1.014406659562574304e-09, -6.852706001070246988e-10, 4.154754130000208907e-10
2.052000000000000000e+03, 1.108129071293432516e-09, 1.647359836377565163e-10, 1.538614117121346612e-09, 1.783477168092579446e-10, -8.971806605835674861e-10, 6.812286080606305364e-10, 1.074412086569476465e-09, 9.488961089527845279e-10
2.053000000000000000e+03, 1.120108234619969929e-09, 4.909107367997423331e-10, 1.781496151200541727e-09, 1.642073102125186280e-09, -7.467234346868700358e-10, -4.703820034728811728e-12, -1.406093000389342309e-10, 1.574359608410013537e-09
2.054000000000000000e+03, 1.096020451706438701e-09, 4.834510608940589790e-10, 1.330752043454474951e-09, 9.433516050168309223e-10, 1.244758999921527901e-09, 1.139437999010160451e-09, 1.037570159381733007e-09, 6.114736039365495042e-10
2.055000000000000000e+03, 2.395892103391293617e-10, 4.676245948101144668e-10, 2.106581611105916403e-09, 5.990135143264902369e-10, 4.512790950052494100e-10, -2.872965974823107648e-10, 1.180949735725129995e-09, 5.510765046766956987e-10
2.056000000000000000e+03, -6.495773285546255309e-12, 1.867829915673379803e-10, 9.623312097410990217e-10, 1.168562243675940800e-09, -5.777808966353929400e-10, 6.737482141753540596e-10, 8.932380457928596338e-10, 1.154733009161056642e-09
2.057000000000000000e+03, 4.525391495546521709e-10, 4.229703283635802811e-10, 6.813828328534407633e-10, 5.239207005302163641e-10, -2.465484938349496159e-10, -2.625149256679419659e-11, 7.142333171675904051e-10, 1.101607835719232774e-09
2.058000000000000000e+03, 6.685541438646003004e-10, 5.235956541645665152e-10, 4.903401545229814349e-10, 1.496372491543004931e-09, 3.198072079990747428e-10, 4.483132590040715138e-10, 1.787175462456229300e-10, 1.620198863937591926e-10
2.059000000000000000e+03, -8.680641775419329873e-11, 3.742920235698080102e-10, 3.064101865971524076e-10, 5.909998368905808628e-10, -2.492139690112749787e-09, 5.850059691948669217e-10, 9.338771861317002866e-11, -8.184330210711341113e-10
2.060000000000000000e+03, 8.543533355073896097e-10, 8.344400405935184651e-10, 1.122170298556384910e-09, 1.326821018657646307e-09, 2.408450786931063452e-09, 6.147810233057221785e-10, -1.793511211967265304e-10, 4.219761279656021729e-10
2.061000000000000000e+03, 7.074463820638697841e-10, 9.058994753912899126e-10, 7.907194008437991366e-10, 7.967456637723128943e-10, -1.583755663586236190e-09, 3.093827664044641544e-10, -5.860209149785720423e-10, 3.212689920610861046e-10
2.062000000000000000e+03, -2.444062823525471672e-10, 2.287935807746702997e-10, 2.770850417018379516e-09, 1.849627513918874883e-09, 2.252563028141091050e-09, -8.443043795034477595e-10, -1.228021403618640656e-09, 7.372393184311101070e-10
2.063000000000000000e+03, 1.834528621534929349e-10, 9.325779062326773427e-10, 8.845754110973238260e-10, 5.483503375685791434e-10, 6.330407603113770374e-10, -2.664897481941172778e-10, 1.755452194719541858e-09, 8.928562005454938549e-10
2.064000000000000000e+03, 1.937349399502356097e-09, 5.004922784148671937e-10, 9.833979490420924910e-10, 1.614102611827934617e-09, 3.998593293039542077e-11, 8.254012938545020046e-11, 5.716980272626759395e-10, 6.150775943321840542e-11
2.065000000000000000e+03, 1.116319472718109128e-09, 4.857089035664198495e-10, 9.223058438095041797e-10, 8.155688327188922842e-10, -3.770377006659474606e-10, 1.062588269958179294e-09, -5.838395960499742424e-10, -2.827442794873007575e-11
2.066000000000000000e+03, 1.362573881826343962e-09, 2.432136999576791356e-10, 1.514608388285644883e-09, 1.094327557699073020e-09, 4.255004491306624043e-10, 1.071002412846166263e-09, 8.448174325762644735e-10, -2.841919158906823151e-10
2.067000000000000000e+03, 1.231169744491213200e-09, 5.747517495919953807e-10, -5.646695561564952330e-10, -1.487617913904486024e-10, 2.628689809434770250e-09, -2.277184571941331612e-10, 1.177637145592838514e-10, 8.998303545861503863e-10
2.068000000000000000e+03, 8.969151775964103961e-10, 6.754294125606173794e-11, 4.937864028071622075e-10, 1.610914161641134706e-09, -1.063719841977741110e-09, 3.429565026297831433e-10, 6.541478622845591565e-10, 2.819429249627125200e-10
2.069000000000000000e+03, 7.952856365869645859e-11, 6.540430304600258496e-10, 9.208755941251773518e-10, 1.358062246079496895e-09, -1.099347718915307424e-09, -1.665524616514874623e-09, 8.436849766603481103e-10, -1.433403019271206570e-09
2.070000000000000000e+03, 1.202732727311416927e-09, 5.687196175239123219e-10, -3.503426587929258985e-10, 7.524760171681241399e-10, -6.692117310451925016e-10, -4.930966106595862497e-10, -6.335133309829153167e-10, 6.321719982727396746e-10
2.071000000000000000e+03, 8.696635446403801748e-10, 2.177090238217676736e-10, 1.096664671428289181e-09, 1.026042247046249985e-10, 4.801158737423502755e-10, -1.615834665565592696e-10, 2.880363193803969661e-10, 1.068600557599112639e-09
2.072000000000000000e+03, 1.211126842189894001e-09, -6.749023442346665899e-12, 1.182369783635710022e-09, 8.780544920612005245e-10, -4.202356491207466591e-10, 1.332435968538793761e-09, 8.555463703319769122e-10, 6.046650898292573979e-10
2.073000000000000000e+03, -1.410272282020383274e-10, 8.682772376378971318e-11, 1.799595365658224631e-09, -2.199031040586960317e-10, -1.194836403586195918e-09, -2.769660766422790796e-10, 4.725726381959778414e-10, 4.190949677282019658e-10
2.074000000000000000e+03, 1.494985013810337260e-10, 1.558761235098685462e-10, 6.766954508021036471e-10, 3.508157637852258052e-10, -3.417891351141507062e-10, -4.133970779800851310e-10, 1.530288031651008309e-10, 8.210967144761504833e-10
2.075000000000000000e+03, 7.646756726863731970e-10, 7.738380216640658705e-10, 8.920394425857612597e-10, 8.097723370156958918e-10, 3.929633104290504733e-09, 3.493417215877163849e-11, 5.444863555015964761e-10, 6.413039193771660206e-10
2.076000000000000000e+03, 6.531952478177956086e-10, 6.353515020639541247e-10, 5.630627414896579042e-10, 8.130622518781259639e-10, -2.857824740375428725e-09, -2.964845521939834026e-10, 1.598942299884864235e-10, -7.162791695382805578e-10
2.077000000000000000e+03, -4.178484437956498023e-10, 7.161809367686578682e-10, -3.294248453546661052e-10, 5.477421701444725344e-10, 5.543545467024207649e-10, 9.874760370604862301e-10, -7.544434517905302458e-10, -8.245374395861547143e-10
2.078000000000000000e+03, 6.729677018676456043e-10, -1.259955495825465093e-10, 1.094786501404363485e-09, 6.738131453889607163e-11, 1.094324667646770337e-09, 6.412683796853271772e-11, 3.601398336962421709e-10, -2.306839859815523332e-10
2.079000000000000000e+03, -5.757592674712184359e-10, 5.611503946829444347e-10, -2.576207976182073888e-10, 1.515804120970618929e-09, 1.548206820124137757e-09, -3.507839602677266350e-10, 9.740428185821316025e-10, 1.074679994770049769e-10
2.080000000000000000e+03, 1.024508211291638287e-09, 7.876982586388920687e-11, 1.430843505001521799e-09, 9.930467016800124899e-10, -4.407527398789513794e-10, -5.981278753498186373e-10, -7.107696946941097501e-10, -1.124891330938241356e-09
2.081000000000000000e+03, 2.233900519924678691e-10, 2.317137485016154541e-11, -9.089713741713655546e-10, -6.867893891178850669e-11, 8.946177398731430864e-10, 1.062210667018976401e-09, 7.148531081387878557e-10, 1.126592396057884132e-09
2.082000000000000000e+03, 8.717876831616652988e-10, 4.193407596109993650e-11, 5.153540121456902343e-10, -3.054757186165569425e-10, -6.377967322651381770e-10, 5.471207621152803884e-12, 6.185814081460784771e-10, 3.600198234139514958e-10
2.083000000000000000e+03, 5.729764214788711324e-10, 3.592367622118885405e-10, 8.307497783858191793e-10, 9.449630642255311794e-10, -2.380079468315163199e-09, 7.057014728524963717e-11, -8.498607400297376474e-10, 3.625960470851400650e-10
2.084000000000000000e+03, 3.226674094946763201e-10, 7.346480427063479151e-10, 9.965121830085563613e-11, -1.105209914578248405e-09, 1.444436391365745166e-09, 7.672640485708456699e-10, -3.596009232270070794e-10, -1.376799347524187672e-09
2.085000000000000000e+03, -5.075751446178207422e-10, 5.858516129970946239e-11, 1.360559364414818591e-09, 4.174853597803423767e-10, 1.003167264495728031e-09, -9.427044541273812760e-10, 5.208534187777755560e-10, -5.704598830594343009e-10
2.086000000000000000e+03, 5.915975930509125057e-10, 3.606611882655517170e-10, -8.384301590630597147e-10, 3.151513067194761874e-11, -1.594998835413082887e-09, 5.671797979746066403e-10, -3.273896579864480831e-10, -4.968383977264074593e-10
2.087000000000000000e+03, -1.201543484015256922e-10, 5.533438465859667674e-10, 1.114885053043203613e-09, -5.117232454443003661e-10, -6.242793057765211196e-10, -1.549604565388492635e-10, -3.494437638355880423e-10, 3.101650523767161845e-10
2.088000000000000000e+03, 4.390619427216907249e-11, 1.852847143892314394e-10, 9.367712459579749551e-10, 1.764687438749681767e-09, 7.173744634717236530e-10, -4.264674587720607552e-10, 3.005621545371491015e-10, 8.182855572860969712e-10
2.089000000000000000e+03, 9.460764936840469494e-10, 5.119751300387794603e-11, -1.639956489341076887e-10, 7.802652470164759259e-10, 1.743525236059304705e-09, 7.539431350908939046e-10, 1.267256057522326990e-10, -8.879460747807040896e-10
2.090000000000000000e+03, 8.980208197895570058e-11, 1.525281530891869002e-10, -2.675671364088040722e-10, -3.860550805705377585e-10, 1.024784354826343888e-09, 9.560566132319484828e-11, 2.807729890860943962e-10, 7.682915321434738014e-11
2.091000000000000000e+03, 8.605923912509387466e-10, 5.564143662853167149e-10, 1.433791496845439543e-09, -1.841684906670445882e-10, -1.025715580333839763e-09, 7.618324882740782141e-10, -2.656517577368786053e-10, -1.960598606307485023e-09
2.092000000000000000e+03, 5.657116809616026750e-10, 5.328471293684173178e-10, -3.375868625814882011e-10, 1.055587121389993333e-09, 9.338003309534785221e-10, -7.327055232891903065e-11, 9.575185473975458336e-10, 2.256695557855806618e-11
2.093000000000000000e+03, -9.146571279565996632e-11, -1.230343628663430246e-10, 7.539309662937917057e-10, 2.060364061017170039e-10, -4.928247402589694477e-10, -1.984791748111195387e-09, 1.576912556930274343e-10, -1.002710051361554653e-10
2.094000000000000000e+03, 6.750424111615628543e-10, 1.492278878759201489e-10, -4.106184964443191587e-11, 1.965348811350497321e-10, 2.553582943559825483e-10, 1.757842550996039802e-09, -8.965188708435924482e-10, 6.974447096543158606e-10
2.095000000000000000e+03, -2.488170056964081364e-10, 2.104601436821974625e-10, 6.595424066664759477e-10, -8.333383422700312247e-10, -1.942227386391958913e-09, 5.387854470041100763e-10, -9.578320782202422796e-10, -8.086604110484680152e-10
2.096000000000000000e+03, 4.588653269042862446e-10, 2.348631435657514358e-10, 3.649731789954204574e-10, -6.157737323316096693e-10, 4.046505060091574204e-10, -3.377038505101530126e-10, 2.802742779402897150e-10, 1.076820191183285618e-09
2.097000000000000000e+03, 8.967799938838038850e-10, 4.437574875480411004e-10, 1.885711806365153418e-09, 5.704177305303591552e-10, -6.603032105572883440e-10, -1.049321492638270303e-09, 1.023258015505319661e-09, 1.780579517491129252e-10
2.098000000000000000e+03, 7.410310685217017736e-10, -7.924229115413630560e-11, 1.141729573839196162e-09, 1.786279452505392338e-10, 1.695289823718230899e-10, 5.431848556113456127e-10, 4.465012301723696621e-10, 4.097442060021062441e-10
2.099000000000000000e+03, 2.018143719108737601e-10, 5.440232965928468479e-10, -6.274404191499112056e-10, -4.663131394635764165e-10, 4.666957140134335227e-09, 5.436921093382195294e-10, -2.330666995096197621e-10, 1.064068169659459196e-09
2.100000000000000000e+03, -7.217781414761804724e-10, -7.686006641490861830e-11, 5.825396866549368181e-10, 1.497356275960322093e-10, -2.677462287652267077e-09, 1.584773580246481544e-09, -3.648962862678454150e-10, 1.049839475709420496e-09
