year, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
2.025000000000000000e+03, 3.011312845017258992e-10, 1.447246319427676512e-09, 2.557324489751351120e-09, 1.087953893141344351e-10, 1.630821596641812617e-09, 1.146396569834475280e-09, 1.621171017502061882e-09, 3.370285744087873232e-10, 2.028848222994405822e-09
2.026000000000000000e+03, 3.014843589293642733e-10, 1.443531752189834545e-09, 2.585412505132929952e-09, 1.092860852932264540e-10, 1.511339853538386488e-09, 1.058943377885313620e-09, 1.585825857446884971e-09, 3.364163722598232847e-10, 2.244117220279459169e-09
2.027000000000000000e+03, 3.024522392724708445e-10, 1.540211825773813982e-09, 2.376803781853001812e-09, 1.091500875436526163e-10, 1.447894903233978164e-09, 1.101475531448842564e-09, 1.616405860416998671e-09, 3.372556304521197633e-10, 2.191639833614911584e-09
2.028000000000000000e+03, 3.026000400755006434e-10, 1.291970919703415012e-09, 2.521493978448660080e-09, 1.094899541344865919e-10, 1.611677243275772197e-09, 1.270156625574339050e-09, 1.619172369597851374e-09, 3.367759785353250721e-10, 2.168787455207216446e-09
2.029000000000000000e+03, 3.027779741941742838e-10, 1.643836445425300460e-09, 2.660575815046758450e-09, 1.100913456937173849e-10, 1.590653837218528497e-09, 1.153834564450747423e-09, 1.579767147442432340e-09, 3.374697567385852911e-10, 2.288095163158460890e-09
2.030000000000000000e+03, 3.039236236418333221e-10, 1.655664462138334534e-09, 2.830898849504939704e-09, 1.117352725904079214e-10, 1.434885691332681672e-09, 1.157391156470268610e-09, 1.600785070159040539e-09, 3.390704114238011368e-10, 2.091997938145693647e-09
2.031000000000000000e+03, 3.039054084305656802e-10, 1.303703226167282901e-09, 2.709359564676065593e-09, 1.131670717956683700e-10, 1.436684312015343893e-09, 1.174591870383015468e-09, 1.593608870611995751e-09, 3.398234434498369725e-10, 2.269938475658543354e-09
2.032000000000000000e+03, 3.028601982168887724e-10, 1.556643404270178011e-09, 2.216109412468654126e-09, 1.149538259619156349e-10, 1.403102824829230956e-09, 1.283133576241717623e-09, 1.630669117312588132e-09, 3.401886092476250032e-10, 2.237203984564118786e-09
2.033000000000000000e+03, 3.030114830630612826e-10, 1.630987040179564799e-09, 2.737942156526003000e-09, 1.178606951323398907e-10, 1.476874856134419176e-09, 1.076703241007191423e-09, 1.683672596995477397e-09, 3.408703264173036514e-10, 2.214096023500157364e-09
2.034000000000000000e+03, 3.041664668351188163e-10, 1.387001610473888882e-09, 2.359478092177457191e-09, 1.250257563446131233e-10, 1.325167718907104017e-09, 1.113520354320231789e-09, 1.670988182324845907e-09, 3.419459072782205851e-10, 2.279696947947487129e-09
2.035000000000000000e+03, 3.098460940421324982e-10, 1.583635730455129793e-09, 2.525161287734553465e-09, 1.216422798667655572e-10, 1.309032653476945131e-09, 1.015134237224904228e-09, 1.729912834291081802e-09, 3.394212930338678690e-10, 2.072318481384471202e-09
2.036000000000000000e+03, 3.107054247871055219e-10, 1.451499900842815331e-09, 2.858864948929344685e-09, 1.177052873826623332e-10, 1.616100716348117262e-09, 1.113682338008868842e-09, 1.685539282723232071e-09, 3.394934042880332938e-10, 2.363269453631503709e-09
2.037000000000000000e+03, 3.106686007904478912e-10, 1.494133273439296402e-09, 2.674183036133679090e-09, 1.144030481013363739e-10, 1.569400967603323334e-09, 1.117783616585602370e-09, 1.648359555890701741e-09, 3.394869534674348278e-10, 2.167201380875623274e-09
2.038000000000000000e+03, 3.091159509768033320e-10, 1.484315150438268416e-09, 2.878552727994305093e-09, 1.126382233115220865e-10, 1.485381632326171175e-09, 9.995940748409274968e-10, 1.614240737601703126e-09, 3.399774471792019376e-10, 2.105480023949724289e-09
2.039000000000000000e+03, 3.088847995158186195e-10, 1.533595644980512551e-09, 2.782314273503680108e-09, 1.111988235361521199e-10, 1.541801210749133851e-09, 9.425298981210443704e-10, 1.567339457379100109e-09, 3.398432017496460971e-10, 2.247266115928756735e-09
2.040000000000000000e+03, 3.087900320686341673e-10, 1.434988606727328806e-09, 2.367841870107296307e-09, 1.089543979629074005e-10, 1.512835796026485545e-09, 1.039216086552640228e-09, 1.541514735801088115e-09, 3.400137865457871568e-10, 2.146990825913985050e-09
2.041000000000000000e+03, 3.084303518233322490e-10, 1.424277954882823721e-09, 2.796732573483057579e-09, 1.071919889481550574e-10, 1.537308988750463435e-09, 8.989349248211049615e-10, 1.481023129724670250e-09, 3.402398934020284045e-10, 2.088436214796349033e-09
2.042000000000000000e+03, 3.064751430617949465e-10, 1.358599637478264104e-09, 2.556586554562616481e-09, 1.056233745139604167e-10, 1.438287608713208791e-09, 1.068402536457857619e-09, 1.474749465097536066e-09, 3.395932775250156305e-10, 2.232199431788156810e-09
2.043000000000000000e+03, 3.062987341226319275e-10, 1.472383368636366451e-09, 2.351603345354763638e-09, 1.042706210229474721e-10, 1.385521704456075016e-09, 1.173019812940135246e-09, 1.506314255459489084e-09, 3.399541303258269012e-10, 2.072831655388512875e-09
2.044000000000000000e+03, 3.056606404848551880e-10, 1.506594812794324458e-09, 2.586779209410117272e-09, 1.028036580542186921e-10, 1.292436257545920168e-09, 1.096195218517248359e-09, 1.571744719519195197e-09, 3.394182526899478867e-10, 2.122124824931870919e-09
2.045000000000000000e+03, 3.016686377615339164e-10, 1.536268708165045139e-09, 2.306979255055259304e-09, 1.029390156198532096e-10, 1.233758420391731935e-09, 1.218059947599812838e-09, 1.589457253350304160e-09, 3.399263795505826792e-10, 2.289362063556795278e-09
2.046000000000000000e+03, 3.017722668373875413e-10, 1.632030132836920093e-09, 2.203152774939968031e-09, 1.028036091042965464e-10, 1.254349109756066589e-09, 1.276517780005662143e-09, 1.558973628766583010e-09, 3.400540613413782301e-10, 2.152085396570189828e-09
2.047000000000000000e+03, 3.007209846188826491e-10, 1.485207046763263122e-09, 2.738609993941959064e-09, 1.024940576189644236e-10, 1.336547411535624766e-09, 1.236141198371745012e-09, 1.548711679849423307e-09, 3.400511372858872246e-10, 2.233623631832393473e-09
2.048000000000000000e+03, 3.004767432770997339e-10, 1.554490675560275778e-09, 2.432990723544262330e-09, 1.026559092168180824e-10, 1.510127792728496728e-09, 1.064942550231325020e-09, 1.597520601891607446e-09, 3.396378201442931127e-10, 2.125483407680249806e-09
2.049000000000000000e+03, 3.003855625036772993e-10, 1.439933254684279360e-09, 2.593820203278034985e-09, 1.030046344095917340e-10, 1.643663864931184405e-09, 1.131852826110437907e-09, 1.635494361990790148e-09, 3.400135058324644335e-10, 2.247032933466184415e-09
2.050000000000000000e+03, 2.999249778527909068e-10, 1.504962697181096245e-09, 2.730434189919353925e-09, 1.017209524712354688e-10, 1.418206094472229696e-09, 1.184033341685133879e-09, 1.614969417862612404e-09, 3.394733369424994951e-10, 2.372908859533856548e-09
2.051000000000000000e+03, 2.982762634277176182e-10, 1.830543331527414142e-09, 2.853320985804351224e-09, 1.013194091301363645e-10, 1.402942437916055168e-09, 1.055707961634297213e-09, 1.618684700308266730e-09, 3.310260071876408766e-10, 2.085555117731133906e-09
2.052000000000000000e+03, 2.973832717848939436e-10, 1.728642494565808541e-09, 2.652872153502706668e-09, 1.009480173624119924e-10, 1.526790797739590118e-09, 1.220182434030272810e-09, 1.545767691533397203e-09, 3.301131184800648293e-10, 2.150622697950425316e-09
2.053000000000000000e+03, 2.963132373755217581e-10, 1.714618126907139391e-09, 2.520350198279139605e-09, 1.009481359018483069e-10, 1.567111002176509151e-09, 1.108563665065654810e-09, 1.594807061587477397e-09, 3.293870755874104059e-10, 2.214609084914871146e-09
2.054000000000000000e+03, 2.949498355388099301e-10, 1.703126673032239754e-09, 2.584478165682288086e-09, 1.005754934234317580e-10, 1.566317001895401139e-09, 1.212897992164857146e-09, 1.563245761775455387e-09, 3.284765652097488993e-10, 2.223636344051094114e-09
2.055000000000000000e+03, 2.933393000634818484e-10, 1.936425553693312559e-09, 2.374909190263589303e-09, 1.002913631434471433e-10, 1.495502039131929000e-09, 1.073869489673100639e-09, 1.627596484112355587e-09, 3.274927245880766316e-10, 2.027060868428472410e-09
2.056000000000000000e+03, 2.926025844179201268e-10, 1.610159876707109821e-09, 2.711510573699160936e-09, 9.890732385802187042e-11, 1.522284174147889329e-09, 1.077423268133364249e-09, 1.701181267388377584e-09, 3.275496411813005827e-10, 2.378377691017233277e-09
2.057000000000000000e+03, 2.919833624669134946e-10, 1.850570663119896135e-09, 2.859544761380392740e-09, 9.775116081298533624e-11, 1.378705096786578660e-09, 1.064706030167277874e-09, 1.728869180947620916e-09, 3.267753163668662262e-10, 2.300269814613567751e-09
2.058000000000000000e+03, 2.907480980579143057e-10, 1.697608624002793725e-09, 3.037396060743679729e-09, 9.785810556502344693e-11, 1.493058206369467999e-09, 1.161948688227713488e-09, 1.742797948632188395e-09, 3.256131275798716808e-10, 2.182814995276650817e-09
2.059000000000000000e+03, 2.939155366443027273e-10, 1.790620091243433772e-09, 2.719037362395030302e-09, 9.942195160424264145e-11, 1.418621512856053147e-09, 1.120597982588202988e-09, 1.698947716815345323e-09, 3.258163479450031950e-10, 2.351223635753264409e-09
2.060000000000000000e+03, 2.934329933004114262e-10, 1.624499460000417724e-09, 2.672117534647231821e-09, 9.994838820379870555e-11, 1.438679179041867087e-09, 1.069940998227804453e-09, 1.658239691112535919e-09, 3.260950953060555949e-10, 2.222223923275138807e-09
2.061000000000000000e+03, 2.916456192426666741e-10, 1.710985082568500550e-09, 2.459873205040911747e-09, 9.880235849585891274e-11, 1.421784895645200066e-09, 1.089121915738302753e-09, 1.607159321176152739e-09, 3.249989288574139255e-10, 2.316504684175354384e-09
2.062000000000000000e+03, 2.910870754954177247e-10, 1.746971589759761590e-09, 2.696644693485838272e-09, 9.888877414349773887e-11, 1.353034693586649176e-09, 1.021292357706380428e-09, 1.598385967549823545e-09, 3.248691657088473476e-10, 2.167728507870225093e-09
2.063000000000000000e+03, 2.881146067532067652e-10, 1.587455625832456027e-09, 2.651164319065051387e-09, 9.903017485392883191e-11, 1.484277760374649038e-09, 1.129658085434478948e-09, 1.576678898948081487e-09, 3.240405215197487371e-10, 2.192398340214928041e-09
2.064000000000000000e+03, 2.857439471196324670e-10, 1.714537079896051496e-09, 2.573305576579038070e-09, 9.824114613187189005e-11, 1.540390280501497787e-09, 1.499136227222689822e-09, 1.683878309615711429e-09, 3.226395501587706967e-10, 2.192650641254605752e-09
2.065000000000000000e+03, 2.848601057486390782e-10, 1.696667320344938191e-09, 2.871883247066156646e-09, 9.825188498249098320e-11, 1.699150437168978661e-09, 1.231078425277339770e-09, 1.753545523529745221e-09, 3.222526985995769479e-10, 2.435469346087743276e-09
2.066000000000000000e+03, 2.830946269978598935e-10, 1.844312098486915703e-09, 2.678601883527367311e-09, 9.786025350657881900e-11, 1.581307820854208532e-09, 1.271723471245509401e-09, 1.687156283382568551e-09, 3.209616258148043849e-10, 2.078513740178444576e-09
2.067000000000000000e+03, 2.818398271833781512e-10, 1.743459194107491276e-09, 2.755190997782212335e-09, 9.705654925198029829e-11, 1.586259839101364394e-09, 1.255516009995728473e-09, 1.702021270925334436e-09, 3.191574923834375431e-10, 2.244301682750913858e-09
2.068000000000000000e+03, 2.804248156509623913e-10, 1.662078521136712153e-09, 2.763077910506821762e-09, 9.517840219598559201e-11, 1.622502193666011087e-09, 1.260660649581871644e-09, 1.723108114025358972e-09, 3.177512917866362161e-10, 2.267426866468920866e-09
2.069000000000000000e+03, 2.807501119458409180e-10, 1.938351174147485734e-09, 2.944096529522155387e-09, 9.238052867755362046e-11, 1.560688592284543853e-09, 1.196436802546959075e-09, 1.738903718058427697e-09, 3.201960538839475424e-10, 2.155991875810485104e-09
2.070000000000000000e+03, 2.779918963584069650e-10, 1.412201790377397489e-09, 2.960261470915034229e-09, 9.095222950191470763e-11, 1.400948408614360966e-09, 1.434931561883358782e-09, 1.713806461676293141e-09, 3.180829200129272116e-10, 2.457533112090995843e-09
2.071000000000000000e+03, 2.773635762197436918e-10, 1.465259313973352758e-09, 2.877522726692218641e-09, 8.903475207016331263e-11, 1.342330966919752523e-09, 1.389084167854821326e-09, 1.669138071993821851e-09, 3.179803832602730954e-10, 2.406959064222171052e-09
2.072000000000000000e+03, 2.752811555823300131e-10, 1.690900224814934770e-09, 2.461834439835800818e-09, 8.853244562261743788e-11, 1.188158973145761172e-09, 1.161956245533593027e-09, 1.727788818199421783e-09, 3.160977647101413811e-10, 2.382199927066775157e-09
2.073000000000000000e+03, 2.747755824960742777e-10, 1.811703408703104826e-09, 2.684088560765853627e-09, 8.796294260784032631e-11, 1.375993435460003845e-09, 1.080572921787163317e-09, 1.761631958773455853e-09, 3.154608399141265377e-10, 2.187732384896357607e-09
2.074000000000000000e+03, 2.723742352715806180e-10, 1.591994356782455585e-09, 2.482544178943615084e-09, 8.572631765731028262e-11, 1.388341029964378731e-09, 1.167333874284761466e-09, 1.790762325700791803e-09, 3.123684583621381774e-10, 2.155943068595039652e-09
2.075000000000000000e+03, 2.703727678162416340e-10, 1.671641181208042394e-09, 2.699587269654603517e-09, 8.522119124130263390e-11, 1.493651507243587505e-09, 1.100587705954980879e-09, 1.783196492881384901e-09, 3.104536007691061829e-10, 2.245084865119058510e-09
2.076000000000000000e+03, 2.700481183957186813e-10, 1.774167442659108002e-09, 2.534439928261812794e-09, 8.525280890239151394e-11, 1.711578611771380408e-09, 1.156745536828588649e-09, 1.819914006022774220e-09, 3.102343218305089072e-10, 2.495110897747975096e-09
2.077000000000000000e+03, 2.672872206251042531e-10, 1.689146419581953754e-09, 2.707283705525430548e-09, 8.480026998336254931e-11, 1.689309733070809039e-09, 1.135133740465033807e-09, 1.762066178843285974e-09, 3.076145099223092489e-10, 2.287066785968265046e-09
2.078000000000000000e+03, 2.647601383900694135e-10, 1.872568413036418756e-09, 2.519894849815448940e-09, 8.461877482933409086e-11, 1.586533062527554053e-09, 1.302807549914276809e-09, 1.680498823022157983e-09, 3.053896241167058343e-10, 2.127485658016238667e-09
2.079000000000000000e+03, 2.643761668007271626e-10, 1.630990379552896685e-09, 2.805856251035507819e-09, 8.487783033395567348e-11, 1.603169073000571564e-09, 1.231217411913212566e-09, 1.733386260188806286e-09, 3.051253992770406206e-10, 2.342375958709154592e-09
2.080000000000000000e+03, 2.619783389155999838e-10, 1.673435523243427151e-09, 2.892605384620339422e-09, 8.562465778366097716e-11, 1.662473484605902891e-09, 1.379442835575321755e-09, 1.801685343552110350e-09, 3.028922933326013362e-10, 2.425316223484881491e-09
2.081000000000000000e+03, 2.601603323003209696e-10, 1.675466235619325722e-09, 2.662048889922550399e-09, 8.556029446202984929e-11, 1.521716885535637573e-09, 1.317875578619517407e-09, 1.787011984355971927e-09, 3.007479275125397909e-10, 2.395380423908746718e-09
2.082000000000000000e+03, 2.589568271851884334e-10, 1.968177573576349966e-09, 2.791546449668330815e-09, 8.418090355351207976e-11, 1.482868120222437520e-09, 1.279914593932467456e-09, 1.796416864470424165e-09, 2.998114832725809109e-10, 2.486006022732580228e-09
2.083000000000000000e+03, 2.572463600954947278e-10, 1.783720282266258286e-09, 2.885048759250363369e-09, 8.273191338881025708e-11, 1.545500412785888318e-09, 1.330789602488007897e-09, 1.825768292805096456e-09, 2.978996638443153417e-10, 2.323361711536536477e-09
2.084000000000000000e+03, 2.576869136697121901e-10, 1.855234777712409275e-09, 2.815235324680263311e-09, 8.188964105384940031e-11, 1.518655489444009699e-09, 1.215034138044724662e-09, 1.787881879816492393e-09, 2.998459580242002643e-10, 2.200470516538268774e-09
2.085000000000000000e+03, 2.587948742987789311e-10, 2.010531109196207781e-09, 3.076535919288865620e-09, 8.143366866399145625e-11, 1.600864207952066994e-09, 1.142495493284098425e-09, 1.752831616905802100e-09, 3.022001002347915789e-10, 2.402626045230172999e-09
2.086000000000000000e+03, 2.566083812365862396e-10, 1.754435017620930059e-09, 3.124938169142655503e-09, 8.236376689957729815e-11, 1.763140063640648143e-09, 1.317758711239260745e-09, 1.807228495525962781e-09, 3.000551575838131791e-10, 2.273240435839535666e-09
2.087000000000000000e+03, 2.549115868938394013e-10, 1.787889280959171976e-09, 3.136898434355064597e-09, 8.281088335220401361e-11, 1.859274292819373788e-09, 1.316172032475272802e-09, 1.764367631614661692e-09, 2.975268168790745924e-10, 2.431368068495139197e-09
2.088000000000000000e+03, 2.527888036395978414e-10, 1.831088134759780336e-09, 3.178096911881446398e-09, 8.242245285718459078e-11, 1.628232905534850938e-09, 1.422136904259875782e-09, 1.818904964578539779e-09, 2.951608362572348526e-10, 2.474385156696921942e-09
2.089000000000000000e+03, 2.508092019770456629e-10, 1.721943328836469860e-09, 3.062921773515146853e-09, 8.241398171046910556e-11, 1.682382322254305739e-09, 1.468395126718709790e-09, 1.803123575095644388e-09, 2.926813965559981557e-10, 2.170503471867838189e-09
2.090000000000000000e+03, 2.493310486327394964e-10, 1.873900863301028861e-09, 3.209295364106315310e-09, 8.146455272080386726e-11, 1.675980882951267958e-09, 1.415981535938170692e-09, 1.820463220249730181e-09, 2.912370159351673448e-10, 2.344468014759640979e-09
2.091000000000000000e+03, 2.473924246936838092e-10, 1.896341750056068192e-09, 3.081849766008992171e-09, 8.090050972315171906e-11, 1.670492684198626550e-09, 1.298644078565753348e-09, 1.833030803070568543e-09, 2.889867847573190642e-10, 2.429340298711144970e-09
2.092000000000000000e+03, 2.447413378400907976e-10, 1.866252457344683274e-09, 2.856711808891921415e-09, 7.918200151690432774e-11, 1.536801403405095132e-09, 1.459079834335338334e-09, 1.799217765979109690e-09, 2.863293032165545917e-10, 2.428487682098797677e-09
2.093000000000000000e+03, 2.415744831808915356e-10, 1.908318065066283478e-09, 3.092652257300705558e-09, 7.737136101185730186e-11, 1.539085208171873430e-09, 1.365419453070402675e-09, 1.828122829631341817e-09, 2.825415829405509206e-10, 2.398522253531017313e-09
2.094000000000000000e+03, 2.394229889416731416e-10, 1.549273756528144883e-09, 3.028302997901889982e-09, 7.733264890634437860e-11, 1.588117442270065114e-09, 1.190479288542211577e-09, 1.832106638594187233e-09, 2.798516439580105680e-10, 2.537076577757949859e-09
2.095000000000000000e+03, 2.372029205002108485e-10, 2.049229113037058895e-09, 3.060662033280257306e-09, 7.826269423655200703e-11, 1.666178366957563229e-09, 1.188641962676091188e-09, 1.746760702827561714e-09, 2.776779334458707519e-10, 2.430223490316591329e-09
2.096000000000000000e+03, 2.345361849672357508e-10, 1.905307935102085578e-09, 2.802514695372230863e-09, 7.735127036965179636e-11, 1.702765576566986488e-09, 1.343280233947951217e-09, 1.757943636331097999e-09, 2.747282851994947701e-10, 2.384961703179031828e-09
2.097000000000000000e+03, 2.317018642587739440e-10, 1.736625812799413055e-09, 3.014392132854654212e-09, 7.691924399070809358e-11, 1.567870301692369737e-09, 1.241824998711911145e-09, 1.799335132044233917e-09, 2.710747820659555129e-10, 2.470016334984621913e-09
2.098000000000000000e+03, 2.290454269004164790e-10, 1.663060436093491429e-09, 3.239162125896481458e-09, 7.684039659917061500e-11, 1.486775245151453795e-09, 1.393346200335454391e-09, 1.788876139883822379e-09, 2.689092039116020364e-10, 2.297719425987923752e-09
2.099000000000000000e+03, 2.268785290997001762e-10, 1.838086172831974741e-09, 2.922349087890757085e-09, 7.613974589055687405e-11, 1.351909445044707093e-09, 1.320889043713078980e-09, 1.765695118448169661e-09, 2.662550039371059472e-10, 2.142983186853858163e-09
2.100000000000000000e+03, 2.204929636053439980e-10, 1.726920373984003402e-09, 2.932732477256331604e-09, 7.693283006257563643e-11, 1.184015824352442613e-09, 1.239741028871731372e-09, 1.763332934605993913e-09, 2.668968613499694619e-10, 2.154833492289984725e-09
