year, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM
2.052000000000000000e+03, 6.004185798305295759e-10, 1.109233514268435157e-10, 4.748932926063589204e-10, 4.502698732307555356e-10, 7.996517839696096638e-10
2.053000000000000000e+03, 5.848280737559947454e-10, 1.029030454401694496e-10, 5.993631659906066056e-10, 1.915287732246203712e-10, 5.300646972656757756e-10
2.054000000000000000e+03, 4.033656904871173622e-10, 1.292606193638793138e-10, 5.819657119425068254e-10, 2.492754118560775062e-10, 4.277208199403475913e-10
2.055000000000000000e+03, 4.549877551214339658e-10, 1.411129074295054897e-10, 5.617766367555709093e-10, 5.433474226563652968e-10, 7.910466456624109068e-10
2.056000000000000000e+03, 4.750107405497528013e-10, 1.489136277280184715e-10, 6.932614271144224162e-10, 5.356893371966183103e-10, 2.330691093122159348e-10
2.057000000000000000e+03, 5.125515840333899080e-10, 1.593915919291006627e-10, 5.575878907021223234e-10, 2.625000172877333043e-10, 3.462834600053025630e-10
2.058000000000000000e+03, 4.173473317687978971e-10, 9.655852579128218452e-11, 7.220626573767383901e-10, 5.696168218267705249e-10, 4.915526179312181975e-10
2.059000000000000000e+03, 3.641708413527116827e-10, 9.995343724690584033e-11, 8.677845104580784642e-10, 3.118804723026630348e-10, 5.645346760539394129e-10
2.060000000000000000e+03, 3.752229920152922361e-10, 2.006016346819188925e-10, 7.611214341899785632e-10, 3.347272648008576716e-10, 4.138752313331131967e-10
2.061000000000000000e+03, 6.019597185832981577e-10, 1.302545924566139642e-10, 7.651631084271494330e-10, 4.780371467949481547e-10, 5.117176157694086556e-10
2.062000000000000000e+03, 8.346948281748075203e-10, 8.813734017364618225e-11, 3.676543669007477992e-10, 7.058455365059615709e-10, 3.647246528124310828e-10
2.063000000000000000e+03, 7.484671042982238238e-10, 1.842314336189397157e-10, 6.491174243763613780e-10, 5.252952918779765206e-10, 5.353182386260954840e-10
2.064000000000000000e+03, 4.141106994985024656e-10, 1.381727165469621071e-10, 9.020579581745951913e-10, 4.378000011378201003e-10, 4.012809942738342398e-10
2.065000000000000000e+03, 2.943056991861191741e-10, 1.415012164587890383e-10, 7.524056579188152250e-10, 5.081173274657890869e-10, 6.610835620369734041e-10
2.066000000000000000e+03, 3.557577037304528452e-10, 1.352624102071942825e-10, 4.952955955532734609e-10, 3.504150882735285419e-10, 4.470139313516986531e-10
2.067000000000000000e+03, 6.134670347631149920e-10, 1.390454962541222516e-10, 1.121196016357870894e-09, 2.588369998568188954e-10, 2.390960517332594838e-10
2.068000000000000000e+03, 5.650170169315458488e-10, 1.443478743121575664e-10, 8.040136426355513699e-10, 3.426443343088321208e-10, 6.840168919987233205e-10
2.069000000000000000e+03, 6.360314096095864668e-10, 9.538098709479297784e-11, 6.175010779168463786e-10, 5.861393426230216319e-10, 7.650208845107879362e-10
2.070000000000000000e+03, 5.598557543701607755e-10, 1.534057924226362152e-10, 1.185548086717631810e-09, 3.978939833850209232e-10, 3.341671367868836777e-10
2.071000000000000000e+03, 8.951263765023745133e-10, 1.189071077561835940e-10, 6.099869320775880338e-10, 4.724352878211040912e-10, 6.104865528225654132e-10
2.072000000000000000e+03, 3.109621222600682230e-10, 9.257613885959427801e-11, 7.658539231913304105e-10, 6.849990746567249335e-10, 4.013945242172557797e-10
2.073000000000000000e+03, 5.683406539343577399e-10, 1.623410294909963409e-10, 4.618388132493063281e-10, 3.959798853517326710e-10, 4.169215871574168762e-10
2.074000000000000000e+03, 5.927556042581889693e-10, 1.517571831379737620e-10, 5.698879992587187513e-10, 8.361930521599132580e-10, 3.615460714831518223e-10
2.075000000000000000e+03, 4.295458408511188140e-10, 1.155893069775934922e-10, 8.149105206852919147e-10, 5.613989828326809906e-10, 6.459980916799230847e-10
2.076000000000000000e+03, 4.806499873165878840e-10, 1.346588149971059772e-10, 7.519789644165988854e-10, 5.227069758380578460e-10, 5.074772963647881799e-10
2.077000000000000000e+03, 2.983060114840944057e-10, 1.554366279985101188e-10, 1.004981903151689204e-09, 2.768860764410304685e-10, 6.399906281099649824e-10
2.078000000000000000e+03, 3.976879865246362139e-10, 1.230452168923294694e-10, 5.787224269449058208e-10, 4.420818801708059073e-10, 4.129379781770903027e-10
2.079000000000000000e+03, 4.249357994585037254e-10, 8.888181852445332709e-11, 8.806793792393300146e-10, 5.525330101440918866e-10, 6.099576543646210937e-10
2.080000000000000000e+03, 7.890005367056270566e-10, 1.017480142860009682e-10, 6.759655756956067096e-10, 3.523934947272928391e-10, 4.293488357931651900e-10
2.081000000000000000e+03, 2.776796574955130529e-10, 1.320304430474940345e-10, 8.056801209105327803e-10, 1.780155526958279121e-10, 4.335501980854683748e-10
2.082000000000000000e+03, 3.319248177734414391e-10, 1.158495917020314000e-10, 6.098802154489728468e-10, 4.672915028569226126e-10, 4.941157109561706022e-10
2.083000000000000000e+03, 3.965261739236688599e-10, 1.292910482125920455e-10, 6.770285923804870570e-10, 4.944167139987092236e-10, 6.382238466987386997e-10
2.084000000000000000e+03, 4.818404169390604042e-10, 1.539504200125507652e-10, 6.550172631315416799e-10, 2.249712191650977916e-10, 7.092204979006307133e-10
2.085000000000000000e+03, 4.394773128000522582e-10, 9.003499634821002828e-11, 5.719377851634235393e-10, 5.956798381712898487e-10, 3.407534733303433868e-10
2.086000000000000000e+03, 4.012589633398643912e-10, 1.025835111314918229e-10, 8.553390478542988393e-10, 4.726608461765412127e-10, 4.362895478397784474e-10
2.087000000000000000e+03, 4.376961174562915916e-10, 1.222864423806354562e-10, 4.478526867389733512e-10, 5.626180523859861047e-10, 3.105128767312589668e-10
2.088000000000000000e+03, 3.617644450616778437e-10, 1.035201244846157839e-10, 5.824710701365242633e-10, 3.542505586851404312e-10, 6.070638322555300085e-10
2.089000000000000000e+03, 4.158602008551886491e-10, 1.139717976645001956e-10, 9.116942805890807282e-10, 4.919638078353720856e-10, 5.345337700935537717e-10
2.090000000000000000e+03, 2.934914600586448068e-10, 9.906036318776591596e-11, 8.804693347995058904e-10, 6.938402256474197113e-10, 4.550670965165190161e-10
2.091000000000000000e+03, 3.718417213103753657e-10, 1.280203162656841726e-10, 4.603875575416806761e-10, 4.381059535069630578e-10, 2.239412208496551204e-10
2.092000000000000000e+03, 4.479082222559007064e-10, 1.746683731224168763e-10, 6.308874272950278980e-10, 3.780337442217799712e-10, 4.230308265173754013e-10
2.093000000000000000e+03, 8.826082368306219480e-10, 8.731117785800944763e-11, 5.906558304077512794e-10, 7.019993111343405701e-10, 1.115484051479781042e-09
2.094000000000000000e+03, 3.680138666347576707e-10, 5.684539137655222620e-11, 8.784596153147601372e-10, 1.153187891166988616e-09, 5.196586449850151111e-10
2.095000000000000000e+03, 3.081391874206911971e-10, 1.674378550572931416e-10, 5.276867050954618837e-10, 2.472425919668951600e-10, 4.113612190794904294e-10
2.096000000000000000e+03, 4.302690748128439435e-10, 1.289574360051648184e-10, 9.744969026612124354e-10, 5.549374208685527056e-10, 5.194789300318611766e-10
2.097000000000000000e+03, 1.002043255155777868e-09, 9.027605955324970090e-11, 3.653814005117917569e-10, 5.667432785765708313e-10, 4.049863833596908053e-10
2.098000000000000000e+03, 4.195776821353571017e-10, 1.774885428790675304e-10, 5.881025516752842955e-10, 4.275169349070507312e-10, 4.970662436425269696e-10
2.099000000000000000e+03, 3.582067246504637552e-10, 1.184952275648858235e-10, 1.121791700486367140e-09, 5.665446929616989824e-10, 3.672841777274601879e-10
2.100000000000000000e+03, 4.466745980383432839e-10, 1.613340552844225850e-10, 6.910950897222586702e-10, 4.407047804386881363e-10, 3.280908765243757589e-10
