year, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, UKESM1-0-LL, CNRM-ESM2-1
2.026000000000000000e+03, 9.543854681771375414e-01, 2.938602259580633258e-01, 3.402113021585126962e-01, 1.234246645703879430e+00, 1.286452024631204560e+00, 8.212683662955272412e-03, 4.975871240022246011e-01, 9.984534622230227183e-04, 6.941090530586255074e-03
2.027000000000000000e+03, 9.522723084493571744e-01, 2.969031328324805430e-01, 3.339208829574455972e-01, 1.232407888427318632e+00, 1.297416779670242937e+00, 7.856768096373173416e-03, 4.997168594186187085e-01, 9.839603649983716741e-04, 6.685527930076958295e-03
2.028000000000000000e+03, 9.689878454624851756e-01, 2.991716142280129720e-01, 3.282700479010553507e-01, 1.229648130395206707e+00, 1.303439865393385633e+00, 7.518036802359350478e-03, 5.017201703061725526e-01, 9.813719667787254141e-04, 6.422061379774719227e-03
2.029000000000000000e+03, 9.701469087111849188e-01, 3.019332988363061521e-01, 3.235685334609804675e-01, 1.231836063039791540e+00, 1.302298262113386063e+00, 7.193714835023042389e-03, 5.038064136624411660e-01, 9.723280374604058220e-04, 6.142810339752295158e-03
2.030000000000000000e+03, 9.601025015193606071e-01, 3.048410442732927828e-01, 3.192294427753366581e-01, 1.235822834888204547e+00, 1.311451763964885275e+00, 6.907918115283836168e-03, 5.059434631249811742e-01, 9.586092036024436306e-04, 5.873292450238667105e-03
2.031000000000000000e+03, 9.627227549289669728e-01, 3.078367256380459271e-01, 3.153773073409116834e-01, 1.239199099246549807e+00, 1.315881952330923976e+00, 6.628167334644954889e-03, 5.080856225337953003e-01, 9.401695352935968055e-04, 5.593900620778460495e-03
2.032000000000000000e+03, 9.621781543773463286e-01, 3.103682543782007586e-01, 3.117664084910437006e-01, 1.239264786721430367e+00, 1.327646980549191280e+00, 6.359719755180664319e-03, 5.101996870059084532e-01, 9.280495842222746339e-04, 5.304691684924661525e-03
2.033000000000000000e+03, 9.706618048592793313e-01, 3.129618285726419868e-01, 3.080864887258885632e-01, 1.233738819631073236e+00, 1.342003725122504543e+00, 6.104348306014217330e-03, 5.123207111432699357e-01, 9.154531707544150479e-04, 5.015907353340207792e-03
2.034000000000000000e+03, 9.603938776605176475e-01, 3.156214757925747127e-01, 3.048966054386927360e-01, 1.247011768201942816e+00, 1.345200950235815096e+00, 5.858028701199806919e-03, 5.144536554420436891e-01, 9.061445529295681289e-04, 4.727414254171678591e-03
2.035000000000000000e+03, 9.619706097995140981e-01, 3.184487248188222486e-01, 3.014604910461644027e-01, 1.259790158612570599e+00, 1.361003058607376914e+00, 5.994002079256483331e-03, 5.172328434883471937e-01, 8.966807160275771420e-04, 4.427913063218165413e-03
2.036000000000000000e+03, 9.905746325105694305e-01, 3.213449516968598929e-01, 2.983715517117137561e-01, 1.268397658573230613e+00, 1.359364104272999807e+00, 6.189421760196601487e-03, 5.206926534664116923e-01, 8.886236025232831714e-04, 4.136229487320871971e-03
2.037000000000000000e+03, 9.895604548803137446e-01, 3.241526500055174065e-01, 2.950473869099273228e-01, 1.274766358988212556e+00, 1.358445407225231660e+00, 6.348746189334344807e-03, 5.239068484882635213e-01, 8.801359458531174971e-04, 3.846815734483065904e-03
2.038000000000000000e+03, 9.853547747902124954e-01, 3.269498157555639772e-01, 2.924289614779357338e-01, 1.281652583524801825e+00, 1.357896633529126040e+00, 6.470341764461390137e-03, 5.267280942978594949e-01, 8.704719422045980280e-04, 3.563478983750209463e-03
2.039000000000000000e+03, 9.926765462815900776e-01, 3.294561434544518996e-01, 2.914416737288347270e-01, 1.285564647128771165e+00, 1.354529712604083391e+00, 6.550113981422401449e-03, 5.292051537502402425e-01, 8.559168760874316271e-04, 3.272289166371617278e-03
2.040000000000000000e+03, 9.925877128288579376e-01, 3.321303655448984427e-01, 2.911786820280902188e-01, 1.290559272812378921e+00, 1.355052543594150061e+00, 6.594116744684797027e-03, 5.315455351253779437e-01, 8.488694524680641352e-04, 2.979053062738636504e-03
2.041000000000000000e+03, 9.969228038602687691e-01, 3.355532924313575638e-01, 2.907491308347990855e-01, 1.292026354323662529e+00, 1.349651046112220421e+00, 6.617616055463728872e-03, 5.336574056438487812e-01, 8.409221304889898628e-04, 3.162066381439704744e-03
2.042000000000000000e+03, 9.906911203165019719e-01, 3.386508605728887344e-01, 2.904488010316551572e-01, 1.294317358670980633e+00, 1.353379995831634819e+00, 6.603648830687769596e-03, 5.356760898809382887e-01, 8.349206388250716808e-04, 3.302243971483154183e-03
2.043000000000000000e+03, 9.883040502733434485e-01, 3.414033383329201365e-01, 2.899678617260905700e-01, 1.299949198906392045e+00, 1.363414111717879296e+00, 6.563971379731328888e-03, 5.377979094425290318e-01, 8.352754173525541153e-04, 3.374577940266557455e-03
2.044000000000000000e+03, 9.821946343622913744e-01, 3.438863133403173844e-01, 2.897653414069872868e-01, 1.303891151808124871e+00, 1.378824615250148655e+00, 6.503132223864318585e-03, 5.397573204505864419e-01, 8.299837910809920120e-04, 3.395418020595254542e-03
2.045000000000000000e+03, 9.783957178715424474e-01, 3.464467853739371384e-01, 2.892511916662762750e-01, 1.300439413511571107e+00, 1.385265924010239402e+00, 6.416219391356206038e-03, 5.410596372589461245e-01, 8.231578184044609876e-04, 3.429819779929252441e-03
2.046000000000000000e+03, 9.808652254809451243e-01, 3.481153736087838069e-01, 2.875455341933526032e-01, 1.298712775145834275e+00, 1.383266111056937087e+00, 6.290402672023158101e-03, 5.418840874786697848e-01, 8.175542939529625158e-04, 3.154310018669545957e-03
2.047000000000000000e+03, 9.882479364250257303e-01, 3.494882251083384905e-01, 3.122487482031892081e-01, 1.298266005981993043e+00, 1.384747740800064575e+00, 6.146188645261503429e-03, 5.427424727280558692e-01, 8.079328156130262568e-04, 2.868578164997370467e-03
2.048000000000000000e+03, 1.003296163658612183e+00, 3.512144778953521507e-01, 3.070543970656010035e-01, 1.300289596740241693e+00, 1.396283145553489646e+00, 5.994184515109481602e-03, 5.435596898258718834e-01, 7.943000164323689829e-04, 2.649993728732069273e-03
2.049000000000000000e+03, 1.015222294305553996e+00, 3.525364484618591088e-01, 3.284319607302540467e-01, 1.299675346823275124e+00, 1.406121193405638570e+00, 5.833425068666885267e-03, 5.444817152820889961e-01, 7.840437760614828730e-04, 2.398510669594517385e-03
2.050000000000000000e+03, 9.972625405413944044e-01, 3.542344219722806109e-01, 3.222809093534884650e-01, 1.299930676512251360e+00, 1.406343100830810044e+00, 5.667115778789115141e-03, 5.453871990900065470e-01, 7.762173720613717819e-04, 2.163378608304539642e-03
2.051000000000000000e+03, 9.961821118129602359e-01, 3.559380071148141034e-01, 3.393350359582071873e-01, 1.298489850044547644e+00, 1.410586731428728813e+00, 5.491006947936002795e-03, 5.468316313421489605e-01, 7.642227179975645632e-04, 2.263082644911900386e-03
2.052000000000000000e+03, 1.006506736500217603e+00, 3.575962972626812175e-01, 3.308459412427723900e-01, 1.297061496816431347e+00, 1.401627173540710647e+00, 5.315438664147986193e-03, 5.485816843688314792e-01, 7.563521546116604545e-04, 2.373829675113504206e-03
2.053000000000000000e+03, 1.009854724428027595e+00, 3.595853339358723866e-01, 3.242145813515050490e-01, 1.296467021597564440e+00, 1.413224550534084356e+00, 5.141419477590396421e-03, 5.499297544847966401e-01, 7.475948569626267000e-04, 2.511927953525948040e-03
2.054000000000000000e+03, 1.009751044607767767e+00, 3.613889260001479919e-01, 3.413127854512932879e-01, 1.298510883151068995e+00, 1.411185790731551926e+00, 4.975373740358399535e-03, 5.511472173322651269e-01, 7.421615783171330851e-04, 2.658783764031057671e-03
2.055000000000000000e+03, 1.003602138545044875e+00, 3.633397849892208153e-01, 3.329831620850303153e-01, 1.310186951232531261e+00, 1.425745239903412509e+00, 4.808662243770500319e-03, 5.525074887677130508e-01, 7.376870377883159875e-04, 2.839626977693395903e-03
2.056000000000000000e+03, 1.006499218521883066e+00, 3.672650915376409197e-01, 3.298095312461157280e-01, 1.319445059098482087e+00, 1.442149753846622362e+00, 4.778146324531752642e-03, 5.539612506586988339e-01, 7.390075932699400859e-04, 4.153015074122746488e-03
2.057000000000000000e+03, 9.951854540845139763e-01, 3.703471294850546047e-01, 3.265691424858059855e-01, 1.329304946751290517e+00, 1.450446295765803750e+00, 4.768774975739061527e-03, 5.552858463161690628e-01, 7.425465495304119133e-04, 5.325827513388438524e-03
2.058000000000000000e+03, 1.005055724501892511e+00, 3.730994513245174948e-01, 3.458479519360236343e-01, 1.336463646939958227e+00, 1.456386430060742310e+00, 4.771345621357442682e-03, 5.564174409593989346e-01, 7.937474494199271919e-04, 6.476493005128074881e-03
2.059000000000000000e+03, 9.995196287099329391e-01, 3.757199254821638190e-01, 3.400159527138717497e-01, 1.336144177244253939e+00, 1.452310290932229631e+00, 4.788458850525190852e-03, 5.578294444487276182e-01, 8.740744001104736906e-04, 7.518855405675799880e-03
2.060000000000000000e+03, 1.001747195708770688e+00, 3.778367767777965347e-01, 3.569731088896616611e-01, 1.340376576235213557e+00, 1.448770878324205036e+00, 4.811954089475220867e-03, 5.598963061242882011e-01, 8.930896357559104954e-04, 8.400468088216376389e-03
2.061000000000000000e+03, 1.002491032888640499e+00, 3.814020202913816493e-01, 3.659042278417282135e-01, 1.342667326185888577e+00, 1.443296704487168292e+00, 4.790519617164843563e-03, 5.621140248728451194e-01, 8.668152306982797621e-04, 9.651219385532325626e-03
2.062000000000000000e+03, 9.987544759445354803e-01, 3.840311719732522611e-01, 3.713149152800250263e-01, 1.344575281752143026e+00, 1.444404326389197024e+00, 4.779534789465298035e-03, 5.640448650535178077e-01, 8.432680734728479136e-04, 1.063519003120431267e-02
2.063000000000000000e+03, 1.011255442222889211e+00, 3.863233554571188777e-01, 3.749045595258985730e-01, 1.348673511710526629e+00, 1.442891301693255413e+00, 4.774630245027074345e-03, 5.657049226606304382e-01, 8.309727402869373537e-04, 1.146556866505345045e-02
2.064000000000000000e+03, 1.017214823947520053e+00, 3.884064754325154412e-01, 3.791984279031659910e-01, 1.355032558784369012e+00, 1.463411225872998767e+00, 4.788146192032344955e-03, 5.669558190155852273e-01, 8.433016818528226528e-04, 1.216334329290114438e-02
2.065000000000000000e+03, 1.031470809224854124e+00, 3.899032726006044780e-01, 3.829129301206166125e-01, 1.357896206372698700e+00, 1.477373281544650307e+00, 4.802933183246195677e-03, 5.677782367889127046e-01, 8.563551379558433053e-04, 1.320287439534231951e-02
2.066000000000000000e+03, 1.020928572830521741e+00, 3.909054427348662153e-01, 3.901293003500307943e-01, 1.359382796093240309e+00, 1.468247069261009452e+00, 4.720294492244256519e-03, 5.680730416661955440e-01, 8.501710254142382482e-04, 1.358688641660059371e-02
2.067000000000000000e+03, 1.020521777952128062e+00, 3.916105880118302407e-01, 3.975923083574672279e-01, 1.360220687394504857e+00, 1.472411392375168715e+00, 4.649887974501944535e-03, 5.682421642254650296e-01, 8.528307508729880866e-04, 1.419567158141553549e-02
2.068000000000000000e+03, 1.022637562145677803e+00, 3.925861678647161734e-01, 4.047812332927704371e-01, 1.365151800010081296e+00, 1.477489734698535173e+00, 4.585976348258436266e-03, 5.684824723061736584e-01, 8.497199832439932508e-04, 1.470771960379476523e-02
2.069000000000000000e+03, 1.016937057434557090e+00, 3.930975108682079333e-01, 4.114224632415530714e-01, 1.368374313423983413e+00, 1.481703614684037662e+00, 4.546380741925252177e-03, 5.689424638663107547e-01, 8.486145038419302305e-04, 1.514625229169605167e-02
2.070000000000000000e+03, 1.002807823099275186e+00, 3.938050410684696967e-01, 4.200640155751405591e-01, 1.384878332564926318e+00, 1.479043223245583238e+00, 4.508308066995178436e-03, 5.691986804134533395e-01, 8.474949171515282946e-04, 1.559306381763810208e-02
2.071000000000000000e+03, 9.973782886516667778e-01, 3.969088431414073415e-01, 4.240192918551465295e-01, 1.398148457968834135e+00, 1.472267911091345249e+00, 4.563682422003039613e-03, 5.691696776953251158e-01, 8.650489966944769401e-04, 1.727491546383273444e-02
2.072000000000000000e+03, 9.837450379921101051e-01, 4.007393639474315372e-01, 4.282532291968308980e-01, 1.410169365115772511e+00, 1.483232953195757986e+00, 4.644707153940563077e-03, 5.690507054655589148e-01, 8.494440137892396957e-04, 1.870161093084493978e-02
2.073000000000000000e+03, 9.986370782827528325e-01, 4.041616601866798164e-01, 4.553517100890394076e-01, 1.419445564634792989e+00, 1.490312734451429977e+00, 4.753990503409612212e-03, 5.687290249906028494e-01, 8.437028494468675486e-04, 1.989316726603327160e-02
2.074000000000000000e+03, 9.986603064904070459e-01, 4.076887549094987961e-01, 4.566372225731866186e-01, 1.428175750304302216e+00, 1.496349086253849547e+00, 4.909268877102575084e-03, 5.683155573819698159e-01, 8.672137040766331835e-04, 2.083031302643057261e-02
2.075000000000000000e+03, 1.006273784300151908e+00, 4.107030513697472185e-01, 4.816058954840769513e-01, 1.452829401312251578e+00, 1.497725586485110005e+00, 5.092873902387882665e-03, 5.683939790169637574e-01, 9.188841947553382872e-04, 2.179777513728073379e-02
2.076000000000000000e+03, 1.026680327429809081e+00, 4.144089015911099350e-01, 4.688213013872870039e-01, 1.471421853513092515e+00, 1.506717003573010860e+00, 5.227346790712102467e-03, 5.689261222357780978e-01, 1.006740892050336051e-03, 2.353735435669714743e-02
2.077000000000000000e+03, 1.026275924509361559e+00, 4.172058792559953933e-01, 4.798478960781429326e-01, 1.482152523840135183e+00, 1.498680469755506062e+00, 5.455591744249764334e-03, 5.692636460778990326e-01, 1.043810947774520157e-03, 2.479660735391335871e-02
2.078000000000000000e+03, 1.018578530799785886e+00, 4.198263807567344519e-01, 4.693690382577425102e-01, 1.489378607438621493e+00, 1.486026845801370122e+00, 5.775933148700958253e-03, 5.693804197076346441e-01, 1.082775832295791978e-03, 2.569360384657387239e-02
2.079000000000000000e+03, 1.020676547550595004e+00, 4.217585649400259484e-01, 4.806232297173083645e-01, 1.496690204250634260e+00, 1.495722594172510744e+00, 6.149265488737874936e-03, 5.694799711111171447e-01, 1.121502512041856097e-03, 2.616814197308540632e-02
2.080000000000000000e+03, 1.025861532160761591e+00, 4.227123999740263205e-01, 4.706649998418720449e-01, 1.489636708144774779e+00, 1.508395628056042881e+00, 6.538465742361743507e-03, 5.692790030481867936e-01, 1.273327020655036371e-03, 2.624705187257199077e-02
2.081000000000000000e+03, 1.013917330688011154e+00, 4.228887781079087027e-01, 4.848699447709428623e-01, 1.487896131761752505e+00, 1.506691898029436150e+00, 6.741519369089150372e-03, 5.685713290714466961e-01, 1.663619889450217116e-03, 2.782700600280769987e-02
2.082000000000000000e+03, 1.010383499781569716e+00, 4.230539613004047350e-01, 4.773216360409628378e-01, 1.492741483716543582e+00, 1.508929990423635958e+00, 7.022466659866624661e-03, 5.679385844426088070e-01, 2.021482894217473732e-03, 2.919805179292733754e-02
2.083000000000000000e+03, 1.015084423134858360e+00, 4.229818957305396809e-01, 4.717227388206912120e-01, 1.497172651656645481e+00, 1.513874116854512231e+00, 7.346023889604117070e-03, 5.673465232704482109e-01, 2.289327748954065288e-03, 3.053694202732264509e-02
2.084000000000000000e+03, 1.012741504432272288e+00, 4.227410380028068793e-01, 4.851392111113553285e-01, 1.497903638906340040e+00, 1.506924351651138361e+00, 7.704685641561355436e-03, 5.666483519198771690e-01, 2.599246869075966943e-03, 3.204147103906924282e-02
2.085000000000000000e+03, 1.019915674928473015e+00, 4.224975980245017082e-01, 4.786188674359574957e-01, 1.485279734980718080e+00, 1.499233289956967807e+00, 8.130083493022756055e-03, 5.659620584092827089e-01, 3.051411048834552688e-03, 3.352986907871111089e-02
2.086000000000000000e+03, 1.033096022058099139e+00, 4.204182429708644420e-01, 4.734865127873139623e-01, 1.480059675160226185e+00, 1.506116170246931674e+00, 8.335667054479200394e-03, 5.651733941255934202e-01, 3.129547692526290972e-03, 3.322811732647881072e-02
2.087000000000000000e+03, 1.040435868202570280e+00, 4.187929907170173105e-01, 4.886194374371546356e-01, 1.478997531068971139e+00, 1.496823740564559690e+00, 8.610751734159502110e-03, 5.642069210672039370e-01, 3.290979902582220635e-03, 3.303062561417959703e-02
2.088000000000000000e+03, 1.020268638431929498e+00, 4.165840292664119704e-01, 4.836527202552050597e-01, 1.484588809436019563e+00, 1.504264286710905729e+00, 8.906290090480701790e-03, 5.633077895150230274e-01, 3.545851874765726473e-03, 3.291899531531781303e-02
2.089000000000000000e+03, 1.023403179146410213e+00, 4.152055797430412865e-01, 4.975539464539562862e-01, 1.489551543769342068e+00, 1.500001707017285080e+00, 9.294543750236120352e-03, 5.623821456717056355e-01, 3.942577072281659885e-03, 3.308352591357981848e-02
2.090000000000000000e+03, 1.021528773934577528e+00, 4.135202663412219093e-01, 4.922558188700235648e-01, 1.475773893503743439e+00, 1.498650444639663126e+00, 9.752089701346730935e-03, 5.607901711787571797e-01, 4.407182516077965892e-03, 3.316008241343332968e-02
2.091000000000000000e+03, 1.014921556400014246e+00, 4.074309652936585202e-01, 4.809316927559915134e-01, 1.463409111151664277e+00, 1.495981287476862542e+00, 9.446503945682097059e-03, 5.584649655255470302e-01, 3.806129774792971210e-03, 3.006873217768470802e-02
2.092000000000000000e+03, 9.980184821791034944e-01, 4.024261278751732895e-01, 4.715050390754092491e-01, 1.450601590720142831e+00, 1.486194464991452024e+00, 9.158003961370916532e-03, 5.560606328806281251e-01, 3.296287746490144180e-03, 2.724103496200885183e-02
2.093000000000000000e+03, 9.926273545411934407e-01, 3.982125603396228786e-01, 4.630719876451072636e-01, 1.442159418467142240e+00, 1.487315167962522722e+00, 8.882821618270819036e-03, 5.536456177898196884e-01, 2.994837522771767041e-03, 2.464568191984012335e-02
2.094000000000000000e+03, 9.915159289011923338e-01, 3.944115528279096838e-01, 4.559557831197804667e-01, 1.437763944561765594e+00, 1.484192765733076902e+00, 8.621862259520289909e-03, 5.511055038761124569e-01, 2.780648144967218498e-03, 2.233876904145676648e-02
2.095000000000000000e+03, 9.931498756927563676e-01, 3.908675701367340105e-01, 4.493734218220988286e-01, 1.425342684019129447e+00, 1.465860077789621796e+00, 8.391910221291680114e-03, 5.484519255721512776e-01, 2.566460534715693607e-03, 2.048147306446022886e-02
2.096000000000000000e+03, 9.904326912103781355e-01, 3.866386420616328423e-01, 4.424306939343646272e-01, 1.414752799672885475e+00, 1.463674103198702614e+00, 7.856694375015436244e-03, 5.457406383232694669e-01, 2.451061428119727208e-03, 1.879665716445565876e-02
2.097000000000000000e+03, 9.736428811931051586e-01, 3.833165411447693183e-01, 4.355758760548328890e-01, 1.406470224133533398e+00, 1.466587217479095706e+00, 7.365890445825562169e-03, 5.429142520996380616e-01, 2.288682959247308538e-03, 1.733977508419028840e-02
2.098000000000000000e+03, 9.615956204219102688e-01, 3.802384976896518443e-01, 4.292825634879564589e-01, 1.398454147193820329e+00, 1.461034593386339342e+00, 6.914265523243090517e-03, 5.400822369599289630e-01, 2.143533721730849981e-03, 1.600662467943782252e-02
2.099000000000000000e+03, 9.452749553867523247e-01, 3.772532840616701355e-01, 4.229072933640115051e-01, 1.390608838356764965e+00, 1.453344929115332196e+00, 6.499421092225335025e-03, 5.373053825722603483e-01, 1.980177240339583370e-03, 1.492998915343398889e-02
2.100000000000000000e+03, 9.261000328744107835e-01, 3.748034908471802873e-01, 4.172236030959201036e-01, 1.384786745996736457e+00, 1.448595017339694868e+00, 6.118190189807756231e-03, 5.192246504622887171e-01, 1.814488188187250023e-03, 1.434416733085304776e-02
