year, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CMCC-ESM2, INM-CM4-8, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, CESM2-WACCM, TaiESM1
2.025000000000000000e+03, 1.357754247525834401e+00, 1.399519297027932874e+00, 1.688606326864639851e+00, 1.609526829521586766e+00, 1.924628854556848401e+00, 1.608578214699484921e+00, 1.785543607146754752e+00, 1.562224306959488551e+00, 2.281304528296357770e+00, 2.176238751482210798e+00, 1.535066899494658355e+00, 1.493862220143203468e+00, 1.561003640988770647e+00, 1.579818841286385611e+00, 1.786549912278633911e+00, 1.715470284662079736e+00
2.026000000000000000e+03, 1.330017911374854256e+00, 1.442067765062406970e+00, 1.649253060814991567e+00, 1.492069921516184117e+00, 1.939327886549817581e+00, 1.616922527746436744e+00, 1.804875142301910929e+00, 1.578739039166410896e+00, 2.261771490903986770e+00, 2.131579616708799918e+00, 1.547807218883619829e+00, 1.476229343434050323e+00, 1.524662808508144618e+00, 1.594771933597162406e+00, 1.884864655415560808e+00, 1.733791934994230344e+00
2.027000000000000000e+03, 1.250846483068607018e+00, 1.386003136834718097e+00, 1.726051668798801231e+00, 1.631051388358605081e+00, 1.950782851854881983e+00, 1.581866518823051626e+00, 1.815072515998263469e+00, 1.593843792948179017e+00, 2.261383602945735483e+00, 2.194549034770740370e+00, 1.417658271940493986e+00, 1.465957206157020076e+00, 1.509225855117377169e+00, 1.615395987645278808e+00, 1.835985795423271005e+00, 1.718743262596589272e+00
2.028000000000000000e+03, 1.420452528430132366e+00, 1.431213748221359605e+00, 1.784266444856867695e+00, 1.608924979764250862e+00, 1.935434417457667200e+00, 1.728450455550690545e+00, 1.866465021003836933e+00, 1.522146945017543107e+00, 2.308291053843583462e+00, 2.583011065033270715e+00, 1.514500296974377935e+00, 1.470538962186333398e+00, 1.348250844898256418e+00, 1.637105637732037655e+00, 1.843883798005313102e+00, 1.680355050134094475e+00
2.029000000000000000e+03, 1.363538632829015329e+00, 1.431505036815927223e+00, 1.799932421720496833e+00, 1.652087315209614493e+00, 1.933772039231225648e+00, 1.895657769943902116e+00, 1.938778138103720572e+00, 1.579208492607559799e+00, 2.290224480172835975e+00, 2.570362817398887945e+00, 1.464035021536746140e+00, 1.526189737703531835e+00, 1.452577819108647583e+00, 1.647481486908299875e+00, 1.820495780522690454e+00, 1.617768236474122823e+00
2.030000000000000000e+03, 1.407312830700228057e+00, 1.461584126352724500e+00, 1.806996041268321695e+00, 1.570409472626407288e+00, 1.915994579409251219e+00, 1.610949700777080107e+00, 1.877629651338240002e+00, 1.534692772929649784e+00, 2.288144321198011255e+00, 2.360481539513413551e+00, 1.433260281745604381e+00, 1.545906780570437178e+00, 1.506728364486125349e+00, 1.646214941769124529e+00, 1.809449427050669579e+00, 1.688909277183722857e+00
2.031000000000000000e+03, 1.331227668124270291e+00, 1.408257978364730656e+00, 1.776574948090848816e+00, 1.644164298987439432e+00, 1.878333925679018357e+00, 1.735742157783762840e+00, 1.872600062930002807e+00, 1.580687816460893291e+00, 2.307855585637004658e+00, 2.350160986803351726e+00, 1.504500755780082244e+00, 1.508343378998167506e+00, 1.270846899065348090e+00, 1.602863155286065489e+00, 1.810289155081152401e+00, 1.587356083948779473e+00
2.032000000000000000e+03, 1.345623395779700804e+00, 1.408423738275369708e+00, 1.732770728617231581e+00, 1.512528766474426911e+00, 1.904579474736344702e+00, 1.724158241321433360e+00, 1.882377474147085339e+00, 1.553723529765209665e+00, 2.341279751771101481e+00, 2.184769443104078057e+00, 1.583938318416732383e+00, 1.427782973951520873e+00, 1.582076423230413864e+00, 1.611053076857255073e+00, 1.763977421888418995e+00, 1.590313506297210910e+00
2.033000000000000000e+03, 1.307679698586990735e+00, 1.456236028942699434e+00, 1.715592704468691609e+00, 1.545550570902693321e+00, 1.930699156208959710e+00, 1.716452272481640895e+00, 1.855659423836802269e+00, 1.604499090052435628e+00, 2.321267280193969551e+00, 2.243038559983504765e+00, 1.543065461919368886e+00, 1.532385194695409236e+00, 1.450132292846285642e+00, 1.681994391206836026e+00, 1.801898719520809156e+00, 1.590912736078538225e+00
2.034000000000000000e+03, 1.347204802616943864e+00, 1.463165289303700378e+00, 1.727825653281053420e+00, 1.591343156314389606e+00, 1.880675488153184638e+00, 1.804634346501798881e+00, 1.887554819469181355e+00, 1.602395828124450583e+00, 2.320780233626101641e+00, 2.194778551048425452e+00, 1.505090575209501624e+00, 1.463206181059579780e+00, 1.430717807878318482e+00, 1.667895868353641564e+00, 1.806263254387720396e+00, 1.683018025634478221e+00
2.035000000000000000e+03, 1.360259113466509628e+00, 1.456287310296096260e+00, 1.729621792685225090e+00, 1.631974469903036074e+00, 1.853669271818160214e+00, 1.600718163258414872e+00, 1.866800659648844007e+00, 1.580204958105557500e+00, 2.298729046302239176e+00, 2.137122783258391223e+00, 1.497797264717644294e+00, 1.534224479777152927e+00, 1.288192589727149784e+00, 1.653912754219516001e+00, 1.846120719243569797e+00, 1.863617244172073972e+00
2.036000000000000000e+03, 1.296861900971383541e+00, 1.449669149923779932e+00, 1.676929654738391617e+00, 1.641356257059855217e+00, 1.844709396070659091e+00, 1.538605092187928181e+00, 1.828814919067020428e+00, 1.504258307850027343e+00, 2.314883326003869257e+00, 1.981702264765398791e+00, 1.554902751991601884e+00, 1.566294853625487704e+00, 1.411523701078520654e+00, 1.759172490978774706e+00, 1.869178314948799269e+00, 1.807726868315686408e+00
2.037000000000000000e+03, 1.331331695179946095e+00, 1.405700492662972811e+00, 1.719255571235414282e+00, 1.759141230896983377e+00, 1.865345468202777246e+00, 1.621521523260210706e+00, 1.877134158404680786e+00, 1.591473050915544807e+00, 2.324781358070406867e+00, 2.211402941493199936e+00, 1.471352913496086101e+00, 1.543027177699557884e+00, 1.531196301708860119e+00, 1.675517884590903117e+00, 1.874419717947382491e+00, 1.579347195496571432e+00
2.038000000000000000e+03, 1.359863218557236797e+00, 1.413951365296541640e+00, 1.637104622572838286e+00, 1.729098139268666845e+00, 1.901217513276764803e+00, 1.714411467031242919e+00, 1.822376100299212265e+00, 1.553512320877906472e+00, 2.295602473535680588e+00, 2.551717952184303861e+00, 1.526936552134893432e+00, 1.615283369089988375e+00, 1.397414419120143858e+00, 1.709888129513063904e+00, 1.915964724224981319e+00, 1.626331599085820478e+00
2.039000000000000000e+03, 1.331424983203273626e+00, 1.412194923429990423e+00, 1.666367535868688465e+00, 1.668333999594279637e+00, 1.865965440671114584e+00, 1.662341319440575171e+00, 1.823860348050858393e+00, 1.575418985356280777e+00, 2.281816985099634820e+00, 2.565431556366489563e+00, 1.496008641316038945e+00, 1.598357067528397124e+00, 1.414634550626287179e+00, 1.701515390815570017e+00, 1.925588384669537856e+00, 1.639613011619128091e+00
2.040000000000000000e+03, 1.340938025838034342e+00, 1.372813426246664914e+00, 1.727621574329687881e+00, 1.764341879656259771e+00, 1.776226432456129434e+00, 1.689911976282437944e+00, 1.732572503804766573e+00, 1.600792365654048366e+00, 2.329015073054068630e+00, 2.519596923265920996e+00, 1.559213744484186481e+00, 1.451213862031616841e+00, 1.616656632197994714e+00, 1.745525779996411009e+00, 1.928264141954082023e+00, 1.503281993142137951e+00
2.041000000000000000e+03, 1.310746069926452373e+00, 1.363771628805915848e+00, 1.658187393956289890e+00, 1.641964757515652629e+00, 1.729944011368901302e+00, 1.605189953649231560e+00, 1.734336201465334071e+00, 1.566361139042082851e+00, 2.267175253570977045e+00, 2.188402267551100788e+00, 1.520521052106121207e+00, 1.561231666229117687e+00, 1.534858110206421600e+00, 1.740944870426132329e+00, 1.907350660497712846e+00, 1.594625332238369664e+00
2.042000000000000000e+03, 1.378473312446553356e+00, 1.419571307870693078e+00, 1.716831644183798300e+00, 1.687953489765635195e+00, 1.745412653171289685e+00, 1.602124614972504579e+00, 1.762645592337281242e+00, 1.649284895618087665e+00, 2.297134824998297908e+00, 2.086486149546574520e+00, 1.457983393269304706e+00, 1.503200967266091093e+00, 1.412142820847180014e+00, 1.729413611256441774e+00, 1.903730556156090215e+00, 1.674635587415223670e+00
