year, CNRM-ESM2-1, CanESM5, INM-CM4-8, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, TaiESM1, INM-CM5-0
2.039000000000000000e+03, 4.661332901368645310e+00, 7.206494270232528976e+00, 4.021336324352485114e+00, 5.614815498475843825e+00, 5.906679070046435776e+00, 6.044173407112383600e+00, 4.606770646125178281e+00, 5.005516234296661260e+00, 6.691034898560110911e+00, 4.398663302302419531e+00, 6.512464481868556199e+00, 6.658630138890194949e+00, 4.713520217817300129e+00, 4.496667376955433504e+00, 3.509893534416994587e+00, 4.973685565437270917e+00
2.040000000000000000e+03, 5.492251830122675038e+00, 7.226233056650245956e+00, 4.712975676607054965e+00, 5.678207561349017496e+00, 5.019431471537978418e+00, 5.758810832969223803e+00, 4.759879378023465613e+00, 5.284797919402564936e+00, 6.218363339062491946e+00, 4.639775341435500522e+00, 6.585523678646821644e+00, 6.374543332899190951e+00, 4.934338994669364098e+00, 4.578287961524372562e+00, 3.573289698983793006e+00, 4.773517890039888023e+00
2.041000000000000000e+03, 5.184397383027495643e+00, 7.374061489746202902e+00, 4.264253514971866110e+00, 5.393179550653918852e+00, 5.729668858385951857e+00, 5.537348246349223402e+00, 4.882392811634794327e+00, 4.723261148603777215e+00, 6.627086873125517918e+00, 4.322916570218180432e+00, 6.372729915292996594e+00, 6.311779879215180245e+00, 4.754579775328137359e+00, 5.191826670970753455e+00, 3.586929767028042004e+00, 4.705652040708581119e+00
2.042000000000000000e+03, 4.752292598826403314e+00, 7.216833031156062894e+00, 4.273598661674852472e+00, 5.500235971606774577e+00, 5.304621842722436753e+00, 5.687326801932831799e+00, 5.056999517811448186e+00, 5.377958357175531390e+00, 6.916754218703602852e+00, 4.269976375600005980e+00, 6.757109512349323666e+00, 6.858010407386420759e+00, 4.916277889243732879e+00, 4.470458989249522119e+00, 3.817764824911505706e+00, 5.141310746903081430e+00
2.043000000000000000e+03, 4.201315635048897157e+00, 7.186718320284706252e+00, 4.386507633408826656e+00, 5.382191197733848576e+00, 5.161638331283292302e+00, 5.773510741284728631e+00, 5.378875311488380717e+00, 5.664544000626396070e+00, 6.724258057012765910e+00, 4.381782152778840533e+00, 6.766172676654707452e+00, 6.736831461265665233e+00, 5.134938454656169604e+00, 4.210033448511938836e+00, 3.687242156035570595e+00, 5.107675577958360691e+00
2.044000000000000000e+03, 4.971869779141252721e+00, 7.135339490335318224e+00, 4.349164704087929323e+00, 5.297150753110615007e+00, 5.567026724386721526e+00, 5.963153606562851650e+00, 4.870563964862364870e+00, 5.308222380439106658e+00, 6.866671946664635762e+00, 4.417406957541619050e+00, 6.475137519086757720e+00, 6.957238531383572955e+00, 4.681902222238448985e+00, 4.971424959773711905e+00, 3.729446795596788711e+00, 4.962621784039897399e+00
2.045000000000000000e+03, 4.784656711747277136e+00, 7.190296218172156806e+00, 4.224913551963493497e+00, 5.100515805191359497e+00, 5.213171778556022318e+00, 5.643669050530491837e+00, 5.213229319002001816e+00, 5.671901100083710290e+00, 7.050136278556889735e+00, 4.711915502740486872e+00, 6.700667758876253544e+00, 6.801923733056474575e+00, 4.271135551009493270e+00, 5.145901897985337925e+00, 3.978269512817270037e+00, 4.657414342799081730e+00
2.046000000000000000e+03, 4.849126344730080973e+00, 7.484521718708120552e+00, 4.143018781241520898e+00, 5.233278772782940180e+00, 4.928980212783148573e+00, 6.033491565187395267e+00, 4.952967755529706473e+00, 5.897531018041204831e+00, 6.746648909862374310e+00, 4.854829276620028722e+00, 6.395038510751025918e+00, 6.441192681274815257e+00, 4.371992876409013462e+00, 4.507262476179116462e+00, 3.764929375869645600e+00, 4.803332272984813578e+00
2.047000000000000000e+03, 5.327122772127958150e+00, 7.121142851776312455e+00, 4.526141325377255775e+00, 5.281884106337432883e+00, 5.821343286967086250e+00, 6.038942457367836525e+00, 4.821547383295273548e+00, 5.718219760633171056e+00, 6.966166858978691145e+00, 4.637387468576997129e+00, 7.158291537647033742e+00, 7.207498548060967458e+00, 4.869241050732823872e+00, 4.966408993269129546e+00, 3.720663675124345371e+00, 4.766150789927493747e+00
2.048000000000000000e+03, 5.416999973524208478e+00, 7.279180764007620041e+00, 4.363094036022619804e+00, 5.654877801538437332e+00, 5.532422420346376768e+00, 6.052486607240679106e+00, 5.045755464530902401e+00, 5.357581806082503562e+00, 6.951358601489957323e+00, 4.531886786939995915e+00, 6.853901258459305090e+00, 7.035007544573695704e+00, 4.888855092955261661e+00, 4.600659226186582629e+00, 3.803845282738754108e+00, 4.772662061549298507e+00
2.049000000000000000e+03, 5.386715409774866181e+00, 7.150119394962794139e+00, 4.431795645370533165e+00, 5.682453182452183782e+00, 5.605027772723579993e+00, 6.052774778084614837e+00, 5.087988636552887911e+00, 5.626020946158912572e+00, 6.825122360470126992e+00, 4.638531684670317290e+00, 6.541634464327091614e+00, 7.483694258722873194e+00, 4.790179817258870543e+00, 5.062068953695410656e+00, 3.878638537474390802e+00, 4.882816527807287699e+00
2.050000000000000000e+03, 5.184297649906312699e+00, 6.961679009455973954e+00, 4.154963129345733641e+00, 5.169498551566436007e+00, 5.848735765753413141e+00, 6.303949820826663775e+00, 5.235424036970107942e+00, 5.857189168861991035e+00, 7.249070023945307639e+00, 4.958798555221750171e+00, 6.563970129582600066e+00, 6.671003954481331988e+00, 4.559817625360097715e+00, 4.930150711497897298e+00, 3.542488079863876038e+00, 4.744265610376573683e+00
2.051000000000000000e+03, 4.481258436102024234e+00, 7.441357813121607379e+00, 4.481744334338237046e+00, 5.433152753760429832e+00, 5.963088493878841767e+00, 5.949358702438413360e+00, 4.813580022062764918e+00, 5.411322566533065981e+00, 6.598514098156031515e+00, 4.946677603919693134e+00, 6.644147890571938220e+00, 6.455204925871294463e+00, 4.662436619791820114e+00, 4.302547382123384168e+00, 3.591319540983456182e+00, 4.359066490099659852e+00
2.052000000000000000e+03, 5.286696628760989114e+00, 7.178865818733937587e+00, 4.314073227449735981e+00, 5.343582009303456282e+00, 5.448747958976284167e+00, 5.987890799338224213e+00, 4.772089051322296882e+00, 5.874646936088080196e+00, 6.681020429337512390e+00, 5.205035793182865689e+00, 6.619661827689572675e+00, 7.307414687092848027e+00, 4.646539634622413040e+00, 4.923899765061347189e+00, 3.833925891007069708e+00, 4.708204020443455207e+00
2.053000000000000000e+03, 5.354850704159896502e+00, 7.403709901501984270e+00, 4.583683210595318691e+00, 5.560191116053354143e+00, 5.549965498016252496e+00, 5.784150690175890119e+00, 4.456780856692276416e+00, 5.518685975084111739e+00, 7.139721959979966392e+00, 4.888542503079428947e+00, 6.968038373735107704e+00, 7.023299343122055838e+00, 5.040661722887745277e+00, 5.378545273481749156e+00, 3.887363039135249831e+00, 4.470922188683138288e+00
2.054000000000000000e+03, 5.349597660886558081e+00, 7.600929177393346059e+00, 4.705224935467418490e+00, 5.313098849536396884e+00, 5.706181937723699527e+00, 6.049647205476186507e+00, 4.664146341721924216e+00, 5.809351906146838829e+00, 6.782176936332524164e+00, 5.132879620487178940e+00, 6.717247933391966797e+00, 7.290383577248298330e+00, 5.119614731292438492e+00, 5.381616657748548249e+00, 3.881607621446840906e+00, 4.903517756060472799e+00
