year, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, TaiESM1, INM-CM5-0, CanESM5, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM
2.043000000000000000e+03, 2.073293812163710559e+00, 2.359882633544508224e+00, 1.718957912736390536e+00, 2.119915207349980069e+00, 2.025507185385142961e+00, 2.395470063687575202e+00, 2.756088162147703358e+00, 2.063465622994375526e+00, 2.626677986228664885e+00, 2.457184705031853156e+00, 2.058416965732715820e+00, 2.397333834781825157e+00, 2.081178909235994912e+00, 1.907297248201678119e+00, 1.963045797635172063e+00, 2.154013958978569843e+00
2.044000000000000000e+03, 1.919238371591377890e+00, 2.423890802783287057e+00, 1.866324641915752869e+00, 2.189007214926456335e+00, 2.116842522593091136e+00, 2.231099945925151928e+00, 2.336520263798718577e+00, 2.149320138740444808e+00, 2.478044753122245591e+00, 2.549256577532714285e+00, 2.187734760952254831e+00, 2.449588368755254653e+00, 2.165529671001015011e+00, 1.922947562669168997e+00, 2.108075934339784130e+00, 1.926978585761371932e+00
2.045000000000000000e+03, 1.971411174036383551e+00, 2.429367320663351926e+00, 1.810011472611627426e+00, 2.324600405804141623e+00, 2.038262822006710717e+00, 2.210883233166533568e+00, 2.432644426663969295e+00, 2.014955972228396508e+00, 2.662802314918983004e+00, 2.607501042273836500e+00, 2.338362566291924960e+00, 2.364817138678343866e+00, 2.279693640497638452e+00, 1.707921521415784127e+00, 2.216382575091649265e+00, 2.200922265112871923e+00
2.046000000000000000e+03, 1.965987681016261979e+00, 2.497268943500987159e+00, 1.794499544878733754e+00, 2.291555126715169699e+00, 1.970613915117184423e+00, 2.196970731197799065e+00, 2.707034801110609568e+00, 2.028635426778062634e+00, 2.798617703127594503e+00, 2.395888196259955638e+00, 2.130062859976795231e+00, 2.512776366769103209e+00, 2.183838803100539572e+00, 1.780085401388606714e+00, 2.071809342376098595e+00, 2.122824386037981181e+00
2.047000000000000000e+03, 1.976599381815481449e+00, 2.617523784510332963e+00, 1.907216525424723974e+00, 2.291913891651915058e+00, 2.018134741099225860e+00, 2.215006579341017634e+00, 2.618619373231240832e+00, 2.124898756730049687e+00, 2.741332523913163399e+00, 2.438799594360546497e+00, 2.107161448772063572e+00, 2.531629524246890472e+00, 2.260786876315960203e+00, 1.927776776601969999e+00, 2.112330853465232305e+00, 2.290453247184242258e+00
2.048000000000000000e+03, 1.958300599158588895e+00, 2.414714796121828488e+00, 1.868785678378695359e+00, 2.200178303769146027e+00, 1.970340102612415434e+00, 2.160323112218462072e+00, 2.675464177403438892e+00, 2.272823307390934744e+00, 2.546928577410844330e+00, 2.403299741350782615e+00, 2.097310830306633900e+00, 2.595392113473752538e+00, 2.367792190657620921e+00, 2.030554189021441136e+00, 1.955724899839204056e+00, 2.196027334412031795e+00
2.049000000000000000e+03, 2.080489272947934065e+00, 2.530842078985699128e+00, 1.832816547652210026e+00, 2.151635582813017145e+00, 2.108445424739643137e+00, 2.101600179327255624e+00, 2.518865833315593772e+00, 2.161115541053181044e+00, 2.568383562923934438e+00, 2.561690431092857434e+00, 2.427512211336685155e+00, 2.436550469923861595e+00, 2.316478699501586025e+00, 1.813694636237302094e+00, 2.186117786207941283e+00, 2.141779738055487492e+00
2.050000000000000000e+03, 2.028511399274441018e+00, 2.526144419124825902e+00, 1.705584278904474616e+00, 2.039111646128073385e+00, 1.991340958476406353e+00, 1.978486947349871183e+00, 2.527095435930645007e+00, 2.185153563552750366e+00, 2.489894113992630498e+00, 2.712456039080881176e+00, 2.077061906501607158e+00, 2.447580023617832889e+00, 2.468993648649835837e+00, 1.795204891549565529e+00, 1.982647089021740916e+00, 2.081246029146517351e+00
2.051000000000000000e+03, 1.873933366819534152e+00, 2.875484998194030695e+00, 1.874145536118212441e+00, 2.231899396501068278e+00, 1.756279536562542543e+00, 2.057211888700499536e+00, 2.509257406813837576e+00, 1.910747644259055189e+00, 2.714035305946125742e+00, 2.620350247026121071e+00, 2.147063498261820413e+00, 2.458626385869270070e+00, 1.991920809314702501e+00, 1.836867120242397622e+00, 2.084738331906730302e+00, 1.848463690004558790e+00
2.052000000000000000e+03, 1.919458915033990687e+00, 2.559916047037174458e+00, 1.833666386988392905e+00, 2.282964778429822594e+00, 2.070865713451923718e+00, 2.339588158366697535e+00, 2.414801739766210709e+00, 2.193484968684870307e+00, 2.587642167838852369e+00, 2.629167312831296677e+00, 2.098046899394988785e+00, 2.685417118045771101e+00, 2.266571171545585628e+00, 1.888672001758482377e+00, 2.280720746664776755e+00, 2.215036585452999862e+00
