year, NorESM2-LM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
2.063000000000000000e+03, 1.801873499792939097e-09, 4.136181805679194208e-11, 3.148370171121527967e-13, 1.723654863786778743e-09, 1.288802894347388368e-10, 3.933808378039626622e-10, 4.861966347202489270e-11, 2.585777520762025099e-10, 1.043607208802465406e-10, 3.009680274394641028e-11
2.064000000000000000e+03, 1.888047234644255361e-09, 4.315498590936979158e-11, 4.044226165487510741e-13, 1.725009132829610003e-09, 1.276234484548333970e-10, 3.933660930337932177e-10, 5.021213170051804105e-11, 2.581161851490783134e-10, 1.089499446163947290e-10, 3.123769686899332729e-11
2.065000000000000000e+03, 1.695554398155973662e-09, 4.484502161028061506e-11, 4.709604322521062810e-13, 1.696191685270433540e-09, 1.228364394796593465e-10, 3.950761888514290413e-10, 4.817405468269192885e-11, 2.505705445719683012e-10, 1.279423003808635607e-10, 2.961888433879821755e-11
2.066000000000000000e+03, 1.595795015566907234e-09, 4.223976507771555180e-11, 4.299481304894811200e-13, 1.733438979206909122e-09, 1.211296374430572358e-10, 3.772497537096122647e-10, 3.970944944224376153e-11, 2.483317558168475971e-10, 1.027965955242171332e-10, 2.798367802977668313e-11
2.067000000000000000e+03, 1.873783047214275165e-09, 4.310042601525827583e-11, 4.309650632964858278e-13, 2.023911935838792502e-09, 1.208756351024554122e-10, 3.764352345788276174e-10, 3.879637601225424097e-11, 2.446119182070279315e-10, 1.116454144309829023e-10, 2.785949941108100503e-11
2.068000000000000000e+03, 1.979074419195061565e-09, 4.375408220621113297e-11, 4.131582348705877340e-13, 1.917985216225067925e-09, 1.212699645748566536e-10, 3.745122009829220857e-10, 3.999860053175640148e-11, 2.445568717428346501e-10, 1.127089946480303834e-10, 2.801256278970728980e-11
2.069000000000000000e+03, 1.816213979612483072e-09, 4.442079711930337581e-11, 4.105799082018190385e-13, 1.896067934260622595e-09, 1.209998306850330762e-10, 3.734072928176117035e-10, 4.946472940111176897e-11, 2.480334345536983914e-10, 1.142619635056026243e-10, 2.815130639551543614e-11
2.070000000000000000e+03, 1.822950194350722711e-09, 4.497644904946657809e-11, 4.170694463027075835e-13, 1.953647728273145690e-09, 1.219587271742103956e-10, 3.721034871426586086e-10, 4.819650616783075050e-11, 2.443508525067424647e-10, 1.189190999120648448e-10, 3.019608523304799652e-11
2.071000000000000000e+03, 1.818668644498320076e-09, 7.046563601342674839e-11, 5.312413728647003484e-13, 1.887214215979168432e-09, 1.201209567354012050e-10, 3.732051538206497468e-10, 6.564383113519703633e-11, 2.469565871790832264e-10, 1.644297121190188918e-10, 3.134099320388846292e-11
2.072000000000000000e+03, 1.672339108059462616e-09, 7.226481837423409347e-11, 4.751138729299990937e-13, 2.074843099784049610e-09, 1.210380646092305379e-10, 3.719577783809370132e-10, 6.198359348523883155e-11, 2.435549050567499499e-10, 1.680896145802969861e-10, 3.201566637193086242e-11
2.073000000000000000e+03, 1.810919836667555559e-09, 7.340454275373746709e-11, 4.421915454495283355e-13, 2.058763858466249838e-09, 1.190351375569600813e-10, 3.702171596102695158e-10, 6.521913836136383045e-11, 2.456856779435597669e-10, 1.718301110909365229e-10, 3.286759493854953400e-11
2.074000000000000000e+03, 1.671890601719975764e-09, 7.495848610528076686e-11, 5.154308188019377175e-13, 1.971419462693997673e-09, 1.170004199607755283e-10, 3.697789438124205621e-10, 6.895763579254416776e-11, 2.442692937270494680e-10, 1.751011265595355062e-10, 3.282538495203127574e-11
2.075000000000000000e+03, 1.788189078268070369e-09, 7.654202904640783390e-11, 6.919258038570262278e-13, 2.100125616221812222e-09, 1.229047352818816040e-10, 3.698532498605952739e-10, 7.161276307480192745e-11, 2.499442459131226681e-10, 1.797958790577827741e-10, 4.723526176067167338e-11
2.076000000000000000e+03, 1.945659572786600286e-09, 8.734264095342569747e-11, 1.001647169180022301e-12, 1.859076530867088154e-09, 1.238106962863782754e-10, 4.014466844685196153e-10, 8.308184304149847180e-11, 2.537999809649503417e-10, 2.413871311968530732e-10, 5.669038165773760816e-11
2.077000000000000000e+03, 1.904429229983300765e-09, 8.973272520281137317e-11, 1.023051129688028967e-12, 1.853789347774794057e-09, 1.203947412000477639e-10, 4.054813481928710227e-10, 9.443865113520219518e-11, 2.546995537863691792e-10, 2.486939078540440360e-10, 5.837336795331143838e-11
2.078000000000000000e+03, 1.891308173967334896e-09, 9.195686114147637298e-11, 1.066122670366817031e-12, 1.792742474109817918e-09, 1.199798762768862652e-10, 4.071664767699454617e-10, 1.006846074904107880e-10, 2.535006231059642223e-10, 2.580176001300262931e-10, 5.937208559639510770e-11
2.079000000000000000e+03, 1.963749152033901163e-09, 9.382835833911821096e-11, 1.095867769359848175e-12, 1.894679229893819373e-09, 1.220294049633603739e-10, 4.051209927879794344e-10, 1.051019717706554690e-10, 2.491642920104177888e-10, 2.642541767718694479e-10, 6.078838146454640925e-11
2.080000000000000000e+03, 1.934783304017058333e-09, 9.640545679602831251e-11, 1.479991605972687655e-12, 2.069469561922205196e-09, 1.239594784719541541e-10, 4.065459599069282759e-10, 1.032103103401335105e-10, 2.478003447348929034e-10, 2.620229506696179574e-10, 6.305541424532569348e-11
2.081000000000000000e+03, 2.052440857319934508e-09, 9.289587113259356074e-11, 2.495290540371796069e-12, 2.078976307922133151e-09, 1.226493576090133753e-10, 4.087121719541376075e-10, 1.042890606335851257e-10, 2.449066371836892340e-10, 2.182929137036892918e-10, 6.411888877906635823e-11
2.082000000000000000e+03, 2.214505021391244359e-09, 9.321531854805460313e-11, 3.183588247080712777e-12, 1.943863870726059870e-09, 1.205353014038571302e-10, 4.042921179894495716e-10, 1.101658408917059561e-10, 2.439131230459000591e-10, 2.199334562854174440e-10, 6.503498585123282361e-11
