year, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, EC-Earth3-Veg, CMCC-ESM2, TaiESM1, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1
2.025000000000000000e+03, 6.610916872188366730e-12, 2.922875532516308326e-10, 1.255091350317949742e-10, 3.676080975047854867e-10, 1.486968356237847092e-10, 6.019425900193173558e-11, 1.875661726243215130e-10, 5.673796125736681906e-11, 2.939604769918989253e-10, 3.188161639860622001e-11
2.026000000000000000e+03, 6.109032256587020121e-12, 2.942316056817913581e-10, 1.233002681363265540e-10, 3.538661830596163692e-10, 1.486914480145579536e-10, 5.878287368061365640e-11, 1.819549818362479617e-10, 5.695548945998018145e-11, 3.150176271846884621e-10, 3.061325448174517685e-11
2.027000000000000000e+03, 5.659719076419744764e-12, 2.921863922870698126e-10, 1.192273842859241814e-10, 3.656221607662110226e-10, 1.427386640465201407e-10, 5.754643866896778957e-11, 1.777168287827810589e-10, 5.587670670811809333e-11, 3.120741972950440549e-10, 2.940608166682286001e-11
2.028000000000000000e+03, 5.242482694100359289e-12, 2.943814480932040016e-10, 1.165456415715221541e-10, 3.600468805985694710e-10, 1.447399516797596695e-10, 5.670877071924297573e-11, 1.745390670603679094e-10, 5.555530762514192098e-11, 2.919561650011164049e-10, 3.078869344699993034e-11
2.029000000000000000e+03, 4.904581060207551223e-12, 2.955410008274369902e-10, 1.144252300831005018e-10, 3.569508327770338812e-10, 1.387074344381545561e-10, 5.552659773572621983e-11, 1.715462115110427630e-10, 5.551122148605946847e-11, 2.778626341958269120e-10, 3.026639157296098479e-11
2.030000000000000000e+03, 4.582223175762784170e-12, 2.957628620179736840e-10, 1.131448823326734150e-10, 3.602670653261860010e-10, 1.395268181037918512e-10, 5.200697566356689994e-11, 1.645627082344775126e-10, 5.544551207533518392e-11, 2.809842674518486081e-10, 2.950966432000299159e-11
2.031000000000000000e+03, 4.251658533420912739e-12, 2.928155691209493648e-10, 1.096960487689343146e-10, 3.557355890247006057e-10, 1.308264304230452872e-10, 5.138328572642772385e-11, 1.628801900472458978e-10, 5.927570413108692033e-11, 2.830891408056964019e-10, 3.335545909827720332e-11
2.032000000000000000e+03, 3.960588721307612623e-12, 2.914179999731296025e-10, 1.083093905247361180e-10, 3.256259925026594642e-10, 1.347233281125762664e-10, 5.034142371315898497e-11, 1.607246773220453946e-10, 5.987406465567104819e-11, 3.053629335514959187e-10, 3.321078972947679552e-11
2.033000000000000000e+03, 3.750562388132816080e-12, 2.923758675329333932e-10, 1.070238366945335937e-10, 3.589368894774037338e-10, 1.353875292613073885e-10, 4.974469965321378860e-11, 1.602909442551065579e-10, 6.019697122326793713e-11, 3.202690830739741838e-10, 3.430724767030950861e-11
2.034000000000000000e+03, 3.563554701532674782e-12, 2.937621518304348797e-10, 1.071748978764235335e-10, 3.442683055040987428e-10, 1.339407761523820109e-10, 4.957668615902276966e-11, 1.606648689388962493e-10, 6.111498187609364630e-11, 2.858337704446384031e-10, 3.951156520623285750e-11
2.035000000000000000e+03, 3.373848174538835463e-12, 2.957346754204655344e-10, 1.074190120834820666e-10, 3.815121094591749426e-10, 1.282063489018482170e-10, 4.965348844041027565e-11, 1.573413572298520609e-10, 6.195984334191091050e-11, 3.151805145466808915e-10, 4.189931438484826497e-11
2.036000000000000000e+03, 3.205603150974588594e-12, 2.947109254126146404e-10, 1.039405819450282698e-10, 3.672346093980763783e-10, 1.264098142881875173e-10, 4.946921741713789510e-11, 1.567934914109440662e-10, 4.742296561153486775e-11, 2.933130818666640187e-10, 3.775230965371995331e-11
2.037000000000000000e+03, 3.064507996011647593e-12, 2.914463303832013968e-10, 1.043814926701514248e-10, 3.604254083857830289e-10, 1.283126803197095881e-10, 4.830913668286980198e-11, 1.571214582503626761e-10, 4.690688588512715519e-11, 3.065187089326192531e-10, 3.801161729712442252e-11
2.038000000000000000e+03, 2.951773610334827805e-12, 2.920925945201011913e-10, 1.042538363851061800e-10, 3.519249670663681023e-10, 1.218833425252287217e-10, 4.839958759526500167e-11, 1.571965977384898460e-10, 4.642951892501498704e-11, 2.627286722451100455e-10, 3.856768924857308557e-11
2.039000000000000000e+03, 2.818036494471527850e-12, 2.899785395673461020e-10, 1.045506961259853246e-10, 3.498177337164517247e-10, 1.218988038603549504e-10, 4.864639925493539450e-11, 1.576792063289939366e-10, 4.502759923166112196e-11, 2.634074506346107296e-10, 3.885505130230108567e-11
2.040000000000000000e+03, 2.680249752131369255e-12, 2.855920003165663215e-10, 1.049811726885486964e-10, 3.419047676485608811e-10, 1.291808046054390672e-10, 5.081398686630684740e-11, 1.595107849699482515e-10, 4.500029076078164772e-11, 2.787313269813844298e-10, 3.896662398406917844e-11
2.041000000000000000e+03, 2.602243773050711511e-12, 2.842559244704220687e-10, 1.046056654370759410e-10, 3.558045429957461144e-10, 1.229167396628027757e-10, 5.145964297582083533e-11, 1.600632380751981972e-10, 3.844300309964449030e-11, 3.074929421945661099e-10, 3.088317373376610803e-11
2.042000000000000000e+03, 2.542179636188041638e-12, 2.805218831045672737e-10, 1.044272818885908460e-10, 3.727105968420481046e-10, 1.175871124361396550e-10, 5.097623131018777647e-11, 1.611776499473587234e-10, 3.807205123427206279e-11, 3.108261046570991221e-10, 2.972085955900402453e-11
2.043000000000000000e+03, 2.502204270944609343e-12, 2.777016569123311608e-10, 1.042611707200555022e-10, 3.648383044989337423e-10, 1.222206095355872215e-10, 5.180922498019512327e-11, 1.616669670935790037e-10, 3.767632949176442522e-11, 3.003492460734381220e-10, 2.805384989148320180e-11
2.044000000000000000e+03, 2.454055785412935000e-12, 2.794245622076841006e-10, 1.041592641144935006e-10, 3.529555937977361597e-10, 1.173506694672852937e-10, 5.378791577979070585e-11, 1.625582897928893683e-10, 3.662756902491506076e-11, 3.100771335764579260e-10, 2.804036011462085226e-11
2.045000000000000000e+03, 2.410770402350305740e-12, 2.838874600850451228e-10, 1.030907811882117342e-10, 3.636855370321048591e-10, 1.176513344806318053e-10, 5.713268535213376562e-11, 1.691210249837920651e-10, 3.545050029692136202e-11, 3.155794709859651965e-10, 2.581148257897475437e-11
2.046000000000000000e+03, 2.455551214082319232e-12, 2.846912913505614992e-10, 1.088005308777259983e-10, 3.763507052897150314e-10, 1.175758001539867294e-10, 5.696764740026064310e-11, 1.696392687234254993e-10, 3.753216134917317548e-11, 2.844122969928205679e-10, 2.906034362378366142e-11
2.047000000000000000e+03, 2.538016280090599135e-12, 2.836420086734159421e-10, 1.087186070875838390e-10, 3.689086231093318824e-10, 1.201755969762609020e-10, 5.831042028960075362e-11, 1.690106731461015129e-10, 3.723042129618070471e-11, 3.084076538722800313e-10, 2.713857960752273939e-11
2.048000000000000000e+03, 2.579271512295760947e-12, 2.797660846430983350e-10, 1.096016498593060621e-10, 3.782459644018293835e-10, 1.258640938712204285e-10, 5.854550223040921652e-11, 1.714673293138271864e-10, 3.655331422375147617e-11, 2.861390515673822154e-10, 2.705563886818712578e-11
2.049000000000000000e+03, 2.602417831425410649e-12, 2.797998227284392549e-10, 1.096736075442089903e-10, 3.968265885169115070e-10, 1.216948653293730116e-10, 5.898748537734167204e-11, 1.728469899470232019e-10, 3.683591566673224652e-11, 3.317179809908706244e-10, 2.662824533594295679e-11
2.050000000000000000e+03, 2.563289065831475511e-12, 2.775666571229575353e-10, 1.103064848934282455e-10, 3.714449669470354091e-10, 1.268248336284590518e-10, 5.681799965607942635e-11, 1.717281755219729104e-10, 3.638139075142784739e-11, 3.228192249297919484e-10, 2.548174743539591089e-11
2.051000000000000000e+03, 2.321688849905431323e-12, 2.749814202932901039e-10, 1.056313647921067202e-10, 3.473783181269992287e-10, 1.147632745011047511e-10, 5.728283373633887704e-11, 1.688933782892113673e-10, 3.257732309152496083e-11, 3.133362886626128778e-10, 1.803022460423624245e-11
2.052000000000000000e+03, 2.267614087849007821e-12, 2.764272850711831814e-10, 1.037483404827616712e-10, 3.948708804306530711e-10, 1.160553926826647410e-10, 5.705623565768579183e-11, 1.701908597672182842e-10, 3.208237769277753705e-11, 3.020106862478864563e-10, 1.755829468169039247e-11
2.053000000000000000e+03, 2.308263106648640145e-12, 2.774657385445327205e-10, 1.026432714870249988e-10, 3.560860309357478134e-10, 1.113726393233720471e-10, 5.699330819379668682e-11, 1.724195852517450236e-10, 3.176911999125413521e-11, 3.282875012866001264e-10, 1.710657737364280876e-11
2.054000000000000000e+03, 2.316672505529192568e-12, 2.781496580641293097e-10, 1.035733125731510907e-10, 3.728152433141245635e-10, 1.155837418474939302e-10, 5.878432058288242378e-11, 1.715447378013686974e-10, 3.170412341418064801e-11, 3.200104471462200138e-10, 1.739751989146059682e-11
2.055000000000000000e+03, 2.292225177105014574e-12, 2.917226819045911648e-10, 1.026882133181137131e-10, 3.697796595325169890e-10, 1.165366279759157164e-10, 5.807620027114462690e-11, 1.793038804330624816e-10, 3.175998969863800763e-11, 3.254957625003233309e-10, 1.686990663577261468e-11
2.056000000000000000e+03, 2.212678015262181725e-12, 2.989040874968405132e-10, 1.113779674124337560e-10, 4.075720490252947256e-10, 1.223121302509374048e-10, 5.875068687066809447e-11, 1.791571804283124722e-10, 4.244387648149153924e-11, 3.298524185217908459e-10, 2.692410287039280755e-11
2.057000000000000000e+03, 2.259766601241172220e-12, 3.010328262292185295e-10, 1.113246529418006197e-10, 3.947725603086061992e-10, 1.285700171043546554e-10, 5.681812891655205826e-11, 1.801900328179630475e-10, 4.208457421563677257e-11, 3.511059466430989235e-10, 2.714351295104835430e-11
2.058000000000000000e+03, 2.260003704077818846e-12, 3.023515339571126644e-10, 1.119086833170842172e-10, 3.885600587717300124e-10, 1.384080180543375427e-10, 5.873906258495767271e-11, 1.827072000960803829e-10, 4.190558367786091860e-11, 3.385942520240666804e-10, 2.690041311391691461e-11
2.059000000000000000e+03, 2.424827243812360959e-12, 3.064570170958190748e-10, 1.148539149137626093e-10, 3.933777327883748289e-10, 1.462047979670204516e-10, 6.011187355987422667e-11, 1.837748529726587912e-10, 4.126762394697808634e-11, 3.328143574868454345e-10, 2.708510618621538014e-11
2.060000000000000000e+03, 4.327779143676142297e-12, 2.957633423709375637e-10, 1.141782420353379506e-10, 4.292067157709115550e-10, 1.507713992566497162e-10, 5.385093633829461831e-11, 1.729159839840230492e-10, 4.125103825945991829e-11, 3.539282749504550920e-10, 2.784737650948803348e-11
2.061000000000000000e+03, 3.205365183670034767e-12, 2.877130084441704616e-10, 1.072396695363432813e-10, 3.883797936393449923e-10, 1.214859556880439058e-10, 5.371039473416412278e-11, 1.715661752435988265e-10, 4.454776061433693060e-11, 3.376620548533067602e-10, 2.638383317841511905e-11
2.062000000000000000e+03, 2.339596063195637889e-12, 2.868238487813968857e-10, 1.081053056518852721e-10, 4.095772377621527623e-10, 1.208470682235418273e-10, 5.363875486779306069e-11, 1.709824229181345003e-10, 4.369529271339600427e-11, 3.537758573070987363e-10, 2.629693428829451865e-11
2.063000000000000000e+03, 2.033779273223289785e-12, 2.877992957770494261e-10, 1.073548310259536575e-10, 4.048600405138153435e-10, 1.187285342435386261e-10, 5.347859517385462626e-11, 1.704744126383091397e-10, 4.412625350634631638e-11, 3.516521341535242300e-10, 2.817277274965628151e-11
2.064000000000000000e+03, 1.896015301743035498e-12, 2.865587201139266824e-10, 1.061684819115158529e-10, 3.831033038121441759e-10, 1.188453388309090442e-10, 5.480449053056532363e-11, 1.681567955466887936e-10, 4.715991817482445415e-11, 3.559654896949481272e-10, 2.804629452075402237e-11
2.065000000000000000e+03, 1.787295620029371297e-12, 2.853105989320043689e-10, 1.071843431015222335e-10, 4.152613780496143221e-10, 1.197574074604022062e-10, 5.060248454831788266e-11, 1.660309610987003278e-10, 4.731873332527798697e-11, 3.399358156194865586e-10, 2.886559372331214253e-11
2.066000000000000000e+03, 1.598344197113242287e-12, 2.865230770788946212e-10, 1.075786544204230283e-10, 4.069425787003725526e-10, 1.156272162967901689e-10, 5.014872161481949130e-11, 1.660895050309925547e-10, 5.268866214131758211e-11, 3.274136929009503847e-10, 2.443073192159090268e-11
2.067000000000000000e+03, 1.493634451608773508e-12, 2.850635824406682790e-10, 1.078412851586393971e-10, 4.231831032767716027e-10, 1.201603993989759695e-10, 5.051460299804112945e-11, 1.633606337964091728e-10, 5.361406815607089229e-11, 3.896290005626577853e-10, 2.445007993358151773e-11
2.068000000000000000e+03, 1.439831681869405097e-12, 2.828315195365818774e-10, 1.072324811667569022e-10, 4.212889418657484540e-10, 1.237474125694139095e-10, 5.009173381317768270e-11, 1.617651365465534223e-10, 5.356267710601597925e-11, 3.815901570120118815e-10, 2.339086888258284649e-11
2.069000000000000000e+03, 1.428232327981825350e-12, 2.819540730589909138e-10, 1.062212894240819520e-10, 4.166951817378321782e-10, 1.209368509514299927e-10, 4.997613993924535423e-11, 1.637652374130826538e-10, 5.410051339079650256e-11, 3.690293366249381538e-10, 2.237268395415483714e-11
2.070000000000000000e+03, 1.368716934795470481e-12, 2.816010177856917674e-10, 1.086314579463469641e-10, 4.082824536143066628e-10, 1.279750956518402423e-10, 4.848313327005545387e-11, 1.668918145739876114e-10, 5.570067474967310442e-11, 3.273016198608052274e-10, 2.077641287334868533e-11
2.071000000000000000e+03, 1.309202095725160196e-12, 2.800534533409217411e-10, 1.147379936021895224e-10, 4.285478059453829923e-10, 1.155872140567650943e-10, 4.810493084488697244e-11, 1.646999619861142496e-10, 7.206357789830401659e-11, 3.831265516246947397e-10, 2.588931912104028408e-11
2.072000000000000000e+03, 1.289303291965976853e-12, 2.797138948103243729e-10, 1.149499922374641633e-10, 4.466031060448156737e-10, 1.180008869416989222e-10, 4.825133560161228825e-11, 1.646826327310139268e-10, 7.292967052412172491e-11, 3.744942497042923676e-10, 2.584439433914494435e-11
2.073000000000000000e+03, 1.282529436001428698e-12, 2.775417011588694701e-10, 1.162064775408278813e-10, 4.621949992727151206e-10, 1.144763526060710756e-10, 4.935838625208877517e-11, 1.648714687717704613e-10, 7.364136843308814736e-11, 3.809268597751136508e-10, 2.606548916857409726e-11
2.074000000000000000e+03, 1.355916990571958176e-12, 2.774453245822110460e-10, 1.159542123826439408e-10, 4.567232971946279313e-10, 1.170560924262127725e-10, 4.837431891300803429e-11, 1.639118763499941306e-10, 7.448965227281061434e-11, 3.901100154023906166e-10, 2.545344507233720134e-11
2.075000000000000000e+03, 1.398794288691864058e-12, 2.947069306660355228e-10, 1.160549996642292626e-10, 4.600844971923021029e-10, 1.149638188558416873e-10, 5.376366869239042154e-11, 1.749860523204136095e-10, 7.493936754429424404e-11, 3.769055050293412114e-10, 2.436722276026720812e-11
2.076000000000000000e+03, 1.442773182547550263e-12, 3.059894665151905584e-10, 1.347299503324999748e-10, 4.785163384497154145e-10, 1.276723369098901061e-10, 5.359588729336851423e-11, 1.752938845305623458e-10, 1.132155827774279671e-10, 4.183535502143397147e-10, 4.169541810129097385e-11
2.077000000000000000e+03, 2.804336655466773891e-12, 3.103579131021625753e-10, 1.345713025873512996e-10, 4.793064585598460049e-10, 1.272618652798391489e-10, 5.334359128810084739e-11, 1.754918924276577143e-10, 1.145441901109469839e-10, 4.116499269013084976e-10, 4.409513376204418783e-11
2.078000000000000000e+03, 6.220014442353643405e-12, 3.094857480412755211e-10, 1.355836064397570140e-10, 4.830150037356122815e-10, 1.257767831785481131e-10, 5.427842834496030320e-11, 1.768789030808647445e-10, 1.159762028245783683e-10, 4.254226352067314267e-10, 4.624261858344825116e-11
2.079000000000000000e+03, 9.459733430023006690e-12, 3.085306308083945993e-10, 1.369866760735581772e-10, 4.687799011307151355e-10, 1.346911449409474056e-10, 5.464379767077209949e-11, 1.744112437563838739e-10, 1.174929331137518159e-10, 4.441533904068433733e-10, 5.319140965678234832e-11
2.080000000000000000e+03, 1.064416389957964643e-11, 3.055732219095818921e-10, 1.371304405451836179e-10, 4.740336966192371562e-10, 1.299654184338608545e-10, 5.630506105180967186e-11, 1.753188848641918241e-10, 1.186030542800128656e-10, 4.622031840839354064e-10, 5.886739411498113673e-11
2.081000000000000000e+03, 8.244981145505680679e-12, 3.073801821256709568e-10, 1.314656355693818195e-10, 5.124350042918249529e-10, 1.202804330782188272e-10, 5.624954303046456513e-11, 1.773101911401490496e-10, 1.065971824052993077e-10, 4.620386097634524531e-10, 6.847421810715915685e-11
2.082000000000000000e+03, 7.252836598735530112e-12, 3.085645065197047272e-10, 1.300072222645536446e-10, 5.222306458230205597e-10, 1.317050579580770199e-10, 5.689477334086266027e-11, 1.760334772278988271e-10, 1.071890613613789643e-10, 4.044173115690396088e-10, 6.957102800603440931e-11
2.083000000000000000e+03, 7.599863135872416006e-12, 3.086011317062817678e-10, 1.294215522984355673e-10, 5.282921331750009693e-10, 1.324732539186854190e-10, 5.789056473119957204e-11, 1.750171132465178793e-10, 1.075165482750628521e-10, 4.073654021503980627e-10, 7.242757453587581302e-11
2.084000000000000000e+03, 7.640289582031638334e-12, 3.075734978249426753e-10, 1.295915425623147051e-10, 5.289946070177146711e-10, 1.419748609768468884e-10, 5.685315984589020762e-11, 1.734913731747573343e-10, 1.081388753930190136e-10, 4.803204822247622486e-10, 6.788475901858115505e-11
2.085000000000000000e+03, 6.444554980296504594e-12, 2.839382346424552640e-10, 1.307871529749404852e-10, 4.994645800004537933e-10, 1.405984857888738353e-10, 4.968598788747399673e-11, 1.523508737430713135e-10, 1.105505714842520119e-10, 4.172397744400459047e-10, 6.236286136464818348e-11
2.086000000000000000e+03, 4.426549912068112670e-12, 2.664784541476535937e-10, 1.078528302307589630e-10, 4.908545747847635991e-10, 1.010547730603201672e-10, 4.983983735975040833e-11, 1.504333519557152191e-10, 5.161185503620664670e-11, 4.109584828759041206e-10, 3.993512259381366672e-11
2.087000000000000000e+03, 3.909107797324559063e-12, 2.620810594193758259e-10, 1.049058022590540165e-10, 5.174654427125786839e-10, 9.427456392558654695e-11, 4.971102249914650570e-11, 1.476666566876226813e-10, 5.074648928649826548e-11, 4.173828964647831463e-10, 4.030633676406959363e-11
2.088000000000000000e+03, 3.710669564516400701e-12, 2.594448312106293306e-10, 1.041715275704086511e-10, 5.129178884685826629e-10, 9.397506597720065652e-11, 4.952567200545262444e-11, 1.464968578494960841e-10, 4.953785877074776175e-11, 4.232566854069053556e-10, 3.826330440308552591e-11
2.089000000000000000e+03, 3.598600556362045564e-12, 2.576863403845563681e-10, 1.026949065086845643e-10, 5.362673186921006900e-10, 9.419019618802798567e-11, 4.905555391047993120e-11, 1.443506025219799142e-10, 4.830263765124519087e-11, 4.074399525545781384e-10, 3.704354858446720449e-11
2.090000000000000000e+03, 3.401731626924830317e-12, 2.493247448991333544e-10, 1.016527895559059359e-10, 5.163477283030178809e-10, 9.668276106635600876e-11, 5.059074962996914422e-11, 1.432195018835050081e-10, 4.703593798305485060e-11, 3.950242340994052907e-10, 3.499020894403107076e-11
2.091000000000000000e+03, 2.592589706145772814e-12, 2.426421740492942031e-10, 9.327240349908303099e-11, 4.834655884161053470e-10, 8.967455661604731599e-11, 5.107531814407023285e-11, 1.425125551710603455e-10, 3.817543436410523276e-11, 4.243318290309472687e-10, 2.659191681383689656e-11
2.092000000000000000e+03, 2.210225929504391866e-12, 2.389899383603667881e-10, 9.136080810197682561e-11, 5.226437003780433643e-10, 8.661450872984355884e-11, 5.077566015273311646e-11, 1.399191667346967955e-10, 3.646159492837346706e-11, 3.806518651598371010e-10, 2.509003320292163151e-11
2.093000000000000000e+03, 2.078672513046252531e-12, 2.376423495152917992e-10, 8.979500799611260326e-11, 4.987890794289602353e-10, 8.749096176941854393e-11, 5.042459349692241406e-11, 1.385675467276350203e-10, 3.502974532438806243e-11, 4.052628348116312448e-10, 2.243732278886876092e-11
2.094000000000000000e+03, 2.021339448940289177e-12, 2.347396224621136614e-10, 8.880508422533130835e-11, 5.038140689032221750e-10, 8.903310675625483628e-11, 4.939322135744349805e-11, 1.390680803099980006e-10, 3.382527346052711860e-11, 3.700339864433061763e-10, 2.119422776781402209e-11
2.095000000000000000e+03, 1.984810499389378126e-12, 2.290963272512510916e-10, 8.846204869520084747e-11, 4.613390307496269523e-10, 8.718880801965381944e-11, 6.099250043297869248e-11, 1.489767500356996775e-10, 3.276884183007320188e-11, 4.461997419442154443e-10, 1.949095176912590257e-11
2.096000000000000000e+03, 2.020094065347645243e-12, 2.230668198431114559e-10, 8.605734724331985403e-11, 4.909399304136951109e-10, 8.281813698120338872e-11, 6.360596612490547283e-11, 1.442220175614382572e-10, 2.425904665139575682e-11, 4.028570006226300323e-10, 1.369965390472641705e-11
2.097000000000000000e+03, 2.184271230014336402e-12, 2.207286440345080000e-10, 8.386402634366121274e-11, 5.132144097400303979e-10, 7.810442242826825190e-11, 6.328146951966119001e-11, 1.444795062210581128e-10, 2.415466614708807131e-11, 3.908098404247721115e-10, 1.280016095571282879e-11
2.098000000000000000e+03, 2.321077070465290838e-12, 2.147091921061502008e-10, 8.351080017392896756e-11, 4.620537942114023708e-10, 7.895058517578840852e-11, 6.097320421418293444e-11, 1.441743032021083355e-10, 2.353282094167064023e-11, 3.980942477113229506e-10, 1.389279549675529172e-11
2.099000000000000000e+03, 2.485854257983064742e-12, 2.118242098431853086e-10, 8.365784872142368128e-11, 4.601719845159925073e-10, 7.987880233483056883e-11, 6.360900915459832823e-11, 1.429979402786207164e-10, 2.396359767490400875e-11, 3.940495173635520811e-10, 1.211706967502811606e-11
2.100000000000000000e+03, 2.466014465303933120e-12, 2.015237745293450177e-10, 8.274232984156961027e-11, 4.712384552505683743e-10, 7.654564010858401211e-11, 3.029363457057727999e-11, 1.172816992363550594e-10, 2.424204723836004297e-11, 4.043593235271917666e-10, 1.318313934448229933e-11
