year, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL, ACCESS-ESM1-5
2.069000000000000000e+03, 1.427569743219613344e-02, 9.880668239402123909e-02, 1.395498747583138410e+00, 1.735810859019840113e-01, 5.602703116726709398e-01, 3.391250224502104338e+00, 4.245725977819792690e-02, 9.467110273773400586e-02, 8.817048092249838431e-01
2.070000000000000000e+03, 1.385307398300579355e-02, 9.781289885397155548e-02, 1.399883169815115957e+00, 1.730324306662608669e-01, 5.625882573554465971e-01, 3.422434562249474066e+00, 4.279287371011343544e-02, 9.359904014888212331e-02, 8.733391419169348469e-01
2.071000000000000000e+03, 1.433465533551217357e-02, 1.030970807235025710e-01, 1.404473938506756836e+00, 1.725148593005081943e-01, 5.683091602390604180e-01, 3.445793543488714583e+00, 4.241745675031929896e-02, 9.255806116389939109e-02, 8.749719848869119687e-01
2.072000000000000000e+03, 1.464200347728754001e-02, 1.080407259682653331e-01, 1.410110589838937001e+00, 1.720768994108350658e-01, 5.593153404178992094e-01, 3.467711515504259268e+00, 4.225029758319127915e-02, 9.157489873317181672e-02, 8.713529516389052487e-01
2.073000000000000000e+03, 1.487599336803745870e-02, 1.118928293277022951e-01, 1.394727887685123457e+00, 1.716888784800447154e-01, 5.652113778639189512e-01, 3.491104964909786723e+00, 4.207176682895905767e-02, 9.061913818359855488e-02, 8.661406759481342643e-01
2.074000000000000000e+03, 1.496704928171499298e-02, 1.156303822233455958e-01, 1.395232727484080115e+00, 1.713810105303609777e-01, 5.709321348870812773e-01, 3.505730959468460473e+00, 4.206493739451885872e-02, 8.976007420426584948e-02, 8.626683692530782155e-01
2.075000000000000000e+03, 1.518929797767988935e-02, 1.186936662888602306e-01, 1.418635777104741535e+00, 1.715739991184423441e-01, 5.764745684256445957e-01, 3.547132307135673290e+00, 4.206988827975582934e-02, 8.888157058327937621e-02, 8.602156421191942126e-01
2.076000000000000000e+03, 1.639989118099127036e-02, 1.276539473948941072e-01, 1.433587637630555633e+00, 1.720324264027977557e-01, 5.778427335054356906e-01, 3.576258134360356777e+00, 4.225665831423105340e-02, 8.803891955392774415e-02, 8.521233993076474666e-01
2.077000000000000000e+03, 1.810090892249743844e-02, 1.352055674618780901e-01, 1.450009482276006345e+00, 1.722339085250482738e-01, 5.746534777992459153e-01, 3.602179402382209350e+00, 4.273896924561196992e-02, 8.941061793185700601e-02, 8.442412447445993839e-01
2.078000000000000000e+03, 1.964883437546914927e-02, 1.415805674305826711e-01, 1.441207611404953903e+00, 1.723177958036354873e-01, 5.816188779062697600e-01, 3.622467276425782146e+00, 4.353364875441757126e-02, 9.501906266807509660e-02, 8.365706872087848023e-01
2.079000000000000000e+03, 2.189812838175992857e-02, 1.467060103249393233e-01, 1.437491384190415555e+00, 1.723417213308174600e-01, 5.944907253598760155e-01, 3.639782643169575671e+00, 4.464428647029131808e-02, 1.017376867982160427e-01, 8.292934034662643450e-01
2.080000000000000000e+03, 2.421021117683136784e-02, 1.508818656649057177e-01, 1.432415503267219448e+00, 1.727397408655792499e-01, 6.047029833561169410e-01, 3.632786422730858611e+00, 4.599344788333959572e-02, 1.060771436665582379e-01, 8.221778123801866123e-01
2.081000000000000000e+03, 2.569085868791852120e-02, 1.528784656067682379e-01, 1.455936173132057032e+00, 1.733239989184546803e-01, 5.850152490728417476e-01, 3.632420290558316722e+00, 4.660586342461864318e-02, 1.044921811341160828e-01, 8.200398549025156303e-01
2.082000000000000000e+03, 2.664841365088864086e-02, 1.540406874756606592e-01, 1.467755010456328391e+00, 1.735930334511941453e-01, 5.859135752350130844e-01, 3.636871855219776073e+00, 4.782651617212266976e-02, 1.040212682055130095e-01, 8.173879663147395336e-01
2.083000000000000000e+03, 2.722585876217610210e-02, 1.540905991315735246e-01, 1.470647564956252262e+00, 1.736038483126460807e-01, 5.917140894179180322e-01, 3.646458080028855075e+00, 4.942262933467972408e-02, 1.052604685382272504e-01, 8.146849146433710054e-01
2.084000000000000000e+03, 2.745479160704075022e-02, 1.537878696735567041e-01, 1.469690292278770460e+00, 1.734540331103227584e-01, 6.036346896279721763e-01, 3.654175723342870441e+00, 5.178333680145206369e-02, 1.059908680402564390e-01, 8.118089452315088161e-01
2.085000000000000000e+03, 2.730582438331044873e-02, 1.526120797068161727e-01, 1.449615813289804489e+00, 1.726035799589847874e-01, 5.982662809913953383e-01, 3.600170155165161479e+00, 5.381556695533788043e-02, 1.044624556977876428e-01, 8.084144668808942447e-01
2.086000000000000000e+03, 2.569223459596145162e-02, 1.389312917415532478e-01, 1.423701207690722947e+00, 1.710700269927979689e-01, 5.913035676610889357e-01, 3.566781318490321873e+00, 5.305438169774411711e-02, 1.009870818927195574e-01, 8.286051067779834911e-01
2.087000000000000000e+03, 2.435098596187740966e-02, 1.274807560852380117e-01, 1.413575282423241708e+00, 1.697002579218766516e-01, 5.752812272175400476e-01, 3.545797437127137020e+00, 5.226600653436983684e-02, 9.922949693046312358e-02, 8.170661056257066956e-01
2.088000000000000000e+03, 2.276647986624043968e-02, 1.171580759437424180e-01, 1.404968781554117196e+00, 1.685214612599142958e-01, 5.616092415252581516e-01, 3.529399498351753373e+00, 5.155313515638439842e-02, 9.785663846808226318e-02, 8.085672044915854784e-01
2.089000000000000000e+03, 2.129988215409304650e-02, 1.082387853098305402e-01, 1.390165864046524424e+00, 1.674613465830742665e-01, 5.508797801608181777e-01, 3.509731600415945785e+00, 5.091062387348070650e-02, 9.662964197903635422e-02, 8.004476916567971889e-01
2.090000000000000000e+03, 2.001470185255321485e-02, 1.010484262092932600e-01, 1.373253174810393107e+00, 1.662795162199344201e-01, 5.559499033835449966e-01, 3.483560291087773653e+00, 5.035113195287565374e-02, 9.527015725200424501e-02, 7.928756657416883291e-01
2.091000000000000000e+03, 1.851269029914231687e-02, 9.326735253826597127e-02, 1.351223058692137879e+00, 1.649562588130152330e-01, 5.589238324779272071e-01, 3.466472614622776671e+00, 4.939453324805116036e-02, 9.284749772959455250e-02, 7.837550665607785350e-01
2.092000000000000000e+03, 1.726793993455280271e-02, 8.701745005690683654e-02, 1.335111657793253137e+00, 1.637130474454930040e-01, 5.400259295045457542e-01, 3.446726323642598011e+00, 4.842979914387850887e-02, 9.083645637781675997e-02, 7.754634333352082853e-01
2.093000000000000000e+03, 1.616258453597884184e-02, 8.204109415785808268e-02, 1.338116276657650427e+00, 1.625635524525281261e-01, 5.386770130915635724e-01, 3.424412577545689729e+00, 4.750748626384578011e-02, 8.914257308777588651e-02, 7.680391847482240797e-01
2.094000000000000000e+03, 1.536557603487118985e-02, 7.950350009389750561e-02, 1.329063463540840706e+00, 1.615105304548163367e-01, 5.431471277021644450e-01, 3.404963735798776980e+00, 4.670277023907281472e-02, 8.759754642596992436e-02, 7.607161094833201354e-01
2.095000000000000000e+03, 1.482234229451224322e-02, 7.756966385279637222e-02, 1.316714057104084512e+00, 1.604326092679857763e-01, 5.296364060586437050e-01, 3.374635585888419165e+00, 4.598220226536711003e-02, 8.614467831400282605e-02, 7.531308527010026621e-01
2.096000000000000000e+03, 1.407196681827667557e-02, 7.555064251429198519e-02, 1.323984727827809849e+00, 1.592848635441135863e-01, 5.260189965043382543e-01, 3.349179383879207883e+00, 4.443574069406018567e-02, 8.482825024269899372e-02, 7.460967466630569200e-01
2.097000000000000000e+03, 1.338773936497337363e-02, 7.460024361612335730e-02, 1.318629594921052917e+00, 1.581722736048603306e-01, 5.084538057932435073e-01, 3.324997826147790381e+00, 4.290374966456785011e-02, 8.368926475699478562e-02, 7.387336136381728036e-01
2.098000000000000000e+03, 1.289424983139394326e-02, 7.320399111384208457e-02, 1.285664673914153511e+00, 1.571481487591277482e-01, 5.009900569430093542e-01, 3.295602579735733784e+00, 4.151351339709945937e-02, 8.258299734399943137e-02, 7.318415479254045675e-01
2.099000000000000000e+03, 1.234841216000051936e-02, 7.284400914495352264e-02, 1.272461716078966854e+00, 1.562646351759790497e-01, 5.136429177539680868e-01, 3.265752265008351696e+00, 4.033110982206001421e-02, 8.155521903699822217e-02, 7.249103827822365176e-01
2.100000000000000000e+03, 1.202257752464650289e-02, 7.280696701022323913e-02, 1.240330603893736949e+00, 1.413505742821422329e-01, 4.917441685840520660e-01, 3.242205405480016012e+00, 3.915337609160326332e-02, 8.038754753033348910e-02, 7.189228732292511914e-01
