year, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, CanESM5, CMCC-ESM2
2.065000000000000000e+03, 8.472861341299492278e-10, 5.569551957149099797e-10, 3.718220588381730164e-10, 2.464154689820653306e-10, 2.018356775208479244e-10, 9.862807002697692878e-10, 4.349477618666849761e-10, 3.226457658997371444e-10
2.066000000000000000e+03, -8.055048341250921677e-11, 4.454514666606471866e-10, -5.881331935266881174e-10, 7.137749217426207802e-10, 6.426183978178680825e-10, 6.025837251776832035e-10, 1.123845184893258915e-10, -3.747572615192849592e-10
2.067000000000000000e+03, -3.021052074066062491e-10, 5.102053267270681239e-10, 4.623125428692137806e-11, 9.946232983554603469e-10, 3.635549948553074174e-10, 4.684347405199823034e-10, 2.479014297208173956e-10, -5.402947125768478245e-10
2.068000000000000000e+03, 4.981664639111119320e-11, -1.269649245258504955e-10, 3.955250116923742891e-10, -1.421919178159654095e-09, -4.071542819823586295e-10, 3.526660939059522165e-10, 3.722281901618182080e-10, -3.212270689910708630e-10
2.069000000000000000e+03, -5.909011678443754272e-10, 4.513461542970916755e-10, -5.440402429087268951e-11, -6.099552251983347072e-11, 2.145000522103079309e-11, 4.400873224391551705e-10, -1.040651957565970397e-10, 3.296195216390486666e-11
2.070000000000000000e+03, -2.521170553977956710e-10, 6.342494705485525505e-10, 7.584259063002812840e-10, 2.038753717478394076e-10, 7.249827008105971355e-10, 2.796731053308016288e-10, -3.938676112375707212e-10, -8.342784425862706754e-10
2.071000000000000000e+03, 1.543576315418779348e-10, 5.177520362838970794e-10, -1.168114384929173284e-09, -4.449267015943139259e-10, 9.787620165993196143e-10, 6.179145645609918363e-11, 4.264377889643888015e-10, -5.535306286207004870e-10
2.072000000000000000e+03, 5.761603375199315324e-11, 6.347973666059185998e-10, 2.846195169058280665e-10, 1.066326126101725563e-09, 8.516022228108971371e-10, 5.394928818905141278e-10, -6.403827210411755032e-11, -2.739602340294498231e-10
2.073000000000000000e+03, 1.639707182444819134e-11, 6.929253147619744151e-12, -1.549046875528364437e-10, -7.784837999992232573e-11, 1.384768026417083647e-10, 2.367727520908710498e-10, 8.645957695757797697e-10, -5.927840586654510836e-10
2.074000000000000000e+03, -1.740191842851470493e-10, 1.223452112923066488e-09, 2.657557623300593766e-10, -3.951118499644515914e-11, -9.303665390002454790e-10, 6.259212945728997920e-10, 5.899470294233085667e-11, -8.644428218796008664e-11
2.075000000000000000e+03, 2.061565928535813089e-10, -8.505466986981720439e-11, 4.429364317276116274e-10, -4.244878295098133638e-11, -3.616312338387920088e-11, 3.072033687026310603e-10, 4.174961179874393150e-10, -3.053152676037376484e-10
2.076000000000000000e+03, -2.058053269804617178e-10, 8.735706471844453337e-10, -1.664691823373353958e-10, 5.026027568651343630e-10, 2.515409214639741874e-10, -4.887349251011657865e-10, 3.318804238574976485e-10, -3.733801173781960658e-10
2.077000000000000000e+03, -1.298693254235817994e-10, -1.726835883806763973e-10, -2.640247184062588295e-10, -4.421282675532256999e-10, 3.683575620812212195e-12, 1.564776803473740755e-11, 2.860661510375057472e-10, -9.331195114873786042e-11
2.078000000000000000e+03, -6.986673287465927852e-10, -1.685691903784894949e-10, -2.733102515381156593e-10, -2.801432030885705666e-10, -2.150411615157011059e-10, 3.213900549448899712e-10, -3.041629669189416765e-11, -3.457367352037546654e-10
2.079000000000000000e+03, -3.863946715220296630e-10, -3.799166133335584054e-10, -4.647455101330859455e-10, -1.014130135816257045e-10, -8.179391204050950362e-10, 3.899683233740146058e-11, 4.541331430466142882e-10, -6.699525837870979173e-10
2.080000000000000000e+03, 1.097469080142564944e-11, 3.422747049813317417e-10, 5.041391410631457452e-10, 1.155273734675563219e-10, -6.547855468422195016e-10, 3.427488069722107334e-10, -5.336475324766765384e-10, 1.637562809388378556e-10
2.081000000000000000e+03, 3.894046860506010660e-10, 3.564147824975910609e-10, -2.454133808451430416e-10, 3.503432539265304706e-10, 2.158964967400011451e-10, -1.751314424263315364e-10, 1.778460176670370564e-10, -3.837409405743423740e-10
2.082000000000000000e+03, -4.144460242932410393e-10, 4.731791659413486145e-10, 1.239866943508999882e-10, -5.715830895500987579e-10, 8.126158228959391862e-10, 4.346779023421317070e-10, -5.582037124264444533e-10, -5.765589043148873525e-10
2.083000000000000000e+03, -3.693863644702659801e-10, 5.383216204970738586e-10, 5.380917038394387385e-11, -1.995523981469677901e-10, 3.386027934199145180e-10, 3.166790220141848063e-10, -5.122002426704568443e-10, -6.914817228938526867e-10
2.084000000000000000e+03, 6.129056732600012548e-10, -2.423470397745573969e-11, 2.587351117023477925e-10, -1.913393865640130000e-10, -1.096690738299630630e-09, 1.270552726412034334e-10, -5.324002719565715638e-10, 9.540865713846881012e-11
2.085000000000000000e+03, -1.190654498456620621e-10, 1.569901891460907120e-10, -2.112990561869637123e-10, 1.186111263963595737e-09, -4.153934690255725008e-10, 2.753375825980738288e-10, -1.030091912828099222e-09, -1.108535715559522098e-10
2.086000000000000000e+03, 3.069993753007411386e-10, 2.744598598457721729e-10, -3.102545778567838561e-11, -4.100269810424042900e-10, 2.922524826745454948e-10, -3.234773672825379517e-10, -9.104493660322538430e-10, -3.807861859459437919e-10
2.087000000000000000e+03, 4.479096332114071461e-10, -9.890453903676541757e-11, 5.843111615893101072e-10, 1.345824270810908685e-10, 1.375563671413646668e-10, 3.375099357678078896e-10, -7.980354524267687437e-11, -2.444664685400592815e-10
