year, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CNRM-ESM2-1, NorESM2-LM, TaiESM1, CESM2-WACCM, NorESM2-MM, GFDL-ESM4, TaiESM1, GFDL-ESM4
2.057000000000000000e+03, 1.458868082619036912e-09, 6.227203793213632756e-10, 8.023244087514678275e-10, 4.976069851794394751e-10, 4.976069851794394751e-10, 5.172738347254780236e-10, 4.427347166924160249e-10, 6.645158081729150308e-10, 6.227203793213632756e-10, 1.696142016731468395e-09, 4.427347166924160249e-10, 1.639845045700296101e-09
2.058000000000000000e+03, 1.591210748486726795e-09, 8.303048821425858062e-10, 6.839702132762489642e-10, 5.286244885700922952e-10, 5.286244885700922952e-10, 5.831233408977018318e-10, 5.313500371013465510e-10, 5.864560207910910454e-10, 8.303048821425858062e-10, 1.904806194610569022e-09, 5.313500371013465510e-10, 1.848277618891187237e-09
2.059000000000000000e+03, 1.686695613288530210e-09, 7.302630399093423659e-10, 7.772278758778864306e-10, 5.395332712394114322e-10, 5.395332712394114322e-10, 4.450548459400883387e-10, 4.823044980665535851e-10, 8.268946517964710187e-10, 7.302630399093423659e-10, 2.052860076798146624e-09, 4.823044980665535851e-10, 1.995688467981853189e-09
2.060000000000000000e+03, 1.586483023767852251e-09, 7.049372492258718566e-10, 8.364356886943601193e-10, 6.175064027275534797e-10, 6.175064027275534797e-10, 5.765619530718888779e-10, 7.675227284661393594e-10, 7.522731416158329685e-10, 7.049372492258718566e-10, 1.948088576874301934e-09, 7.675227284661393594e-10, 1.889511676059745067e-09
2.061000000000000000e+03, 1.464042094336304985e-09, 6.974948740128733045e-10, 7.321668908501387695e-10, 6.111284784004690512e-10, 6.111284784004690512e-10, 5.578766483801572369e-10, 5.681750564556210450e-10, 6.092926149010248808e-10, 6.974948740128733045e-10, 1.840861047331656289e-09, 5.681750564556210450e-10, 1.782961141139861424e-09
2.062000000000000000e+03, 1.142656603949965696e-09, 5.176127771499292555e-10, 6.864347067257430315e-10, 5.167297095362658849e-10, 5.167297095362658849e-10, 5.336152323052052461e-10, 4.033691090144432406e-10, 6.872674952383146154e-10, 5.176127771499292555e-10, 1.706495728580488849e-09, 4.033691090144432406e-10, 1.649384655424123935e-09
2.063000000000000000e+03, 1.575392158554085995e-09, 7.502456735348640286e-10, 7.460757773172458489e-10, 4.512137896592247637e-10, 4.512137896592247637e-10, 5.313258918141088859e-10, 5.843178643334329501e-10, 9.598670919290883566e-10, 7.502456735348640286e-10, 1.692780554802683625e-09, 5.843178643334329501e-10, 1.635700509528152650e-09
2.064000000000000000e+03, 1.428400516614551988e-09, 6.700388605235821489e-10, 7.780334219926275187e-10, 6.031117954476126917e-10, 6.031117954476126917e-10, 5.826009467217737625e-10, 5.485811056335248538e-10, 6.050524309020115723e-10, 6.700388605235821489e-10, 1.760097354351107680e-09, 5.485811056335248538e-10, 1.703510084510696312e-09
2.065000000000000000e+03, 1.274816008915540118e-09, 7.709837653309181327e-10, 7.373452387262093080e-10, 6.771227270862253725e-10, 6.771227270862253725e-10, 6.163375676257396563e-10, 4.109432754760397430e-10, 6.148318431418541295e-10, 7.709837653309181327e-10, 1.654426741476655324e-09, 4.109432754760397430e-10, 1.597121529192282486e-09
2.066000000000000000e+03, 1.797478242591665528e-09, 7.101255996729503125e-10, 7.805775224119924116e-10, 4.354459379269281059e-10, 4.354459379269281059e-10, 5.051341016662681343e-10, 4.841874247838256176e-10, 7.178213137559263290e-10, 7.101255996729503125e-10, 1.785062480545553243e-09, 4.841874247838256176e-10, 1.729218485771925903e-09
2.067000000000000000e+03, 1.095532647960833172e-09, 5.908831237801695658e-10, 7.175703667806806041e-10, 6.810835709252051030e-10, 6.810835709252051030e-10, 4.417229475188141708e-10, 7.711129536175987707e-10, 6.696052392010713475e-10, 5.908831237801695658e-10, 1.607365250349685991e-09, 7.711129536175987707e-10, 1.551748312751923255e-09
2.068000000000000000e+03, 1.860294694929032785e-09, 5.713633818877938086e-10, 7.951380113528918728e-10, 5.563144506023104122e-10, 5.563144506023104122e-10, 6.071907761967760648e-10, 4.038889789347622290e-10, 7.982396312958831010e-10, 5.713633818877938086e-10, 2.216609191326756106e-09, 4.038889789347622290e-10, 2.160195879744584303e-09
2.069000000000000000e+03, 1.533322711328456107e-09, 7.344317308531246874e-10, 7.550470770715154303e-10, 5.081865359950333965e-10, 5.081865359950333965e-10, 7.596242379478385981e-10, 2.751681000947986787e-10, 6.564120124305806571e-10, 7.344317308531246874e-10, 1.389482245157033638e-09, 2.751681000947986787e-10, 1.332877476161511997e-09
2.070000000000000000e+03, 1.785641674232282677e-09, 6.589747350173902833e-10, 6.507147018342104205e-10, 8.593467053446913716e-10, 8.593467053446913716e-10, 8.962374473726098966e-10, 4.895960475032000168e-10, 7.653430152075520807e-10, 6.589747350173902833e-10, 1.723938716116350659e-09, 4.895960475032000168e-10, 1.668301182000333448e-09
2.071000000000000000e+03, 1.226167196177666686e-09, 7.553535187956031570e-10, 7.423872132666850668e-10, 4.227595909838120485e-10, 4.227595909838120485e-10, 6.622070679294330353e-10, 5.982681984286712558e-10, 8.473701884603749913e-10, 7.553535187956031570e-10, 2.136148248424644213e-09, 5.982681984286712558e-10, 2.080158708531460994e-09
2.072000000000000000e+03, 1.726429262031817403e-09, 8.543183489980542125e-10, 8.016976356673271769e-10, 5.394020087757751524e-10, 5.394020087757751524e-10, 5.247711616935432570e-10, 4.285528145427223168e-10, 8.412860780568585550e-10, 8.543183489980542125e-10, 1.466900941863885268e-09, 4.285528145427223168e-10, 1.410448344148484762e-09
2.073000000000000000e+03, 1.463694324736105264e-09, 6.064432867419857902e-10, 7.926511965297848223e-10, 6.918370359049776598e-10, 6.918370359049776598e-10, 5.173953072497006529e-10, 4.126914225113499285e-10, 8.629270866133887756e-10, 6.064432867419857902e-10, 1.828495845051394843e-09, 4.126914225113499285e-10, 1.772065745601863677e-09
2.074000000000000000e+03, 1.428364671130459495e-09, 4.970097596701821922e-10, 6.942273027673807758e-10, 4.991238786526366697e-10, 4.991238786526366697e-10, 6.205464704927293475e-10, 5.270742867884822353e-10, 5.956575537654189304e-10, 4.970097596701821922e-10, 1.936128023540775855e-09, 5.270742867884822353e-10, 1.879279839333981321e-09
2.075000000000000000e+03, 1.476581221872127211e-09, 6.200355341674804791e-10, 7.500744475783223067e-10, 6.537826467174713690e-10, 6.537826467174713690e-10, 7.547372814083134596e-10, 4.425116332356629920e-10, 7.863970458160138424e-10, 6.200355341674804791e-10, 1.847450274374341833e-09, 4.425116332356629920e-10, 1.790465342965323842e-09
2.076000000000000000e+03, 1.597407016177003573e-09, 9.004814296937281451e-10, 7.594093179782737378e-10, 5.580891461962725305e-10, 5.580891461962725305e-10, 6.345673372397541840e-10, 4.586868336155363413e-10, 1.234427857275549985e-09, 9.004814296937281451e-10, 1.828583726268363860e-09, 4.586868336155363413e-10, 1.771746114441318875e-09
2.077000000000000000e+03, 1.669141388984047958e-09, 8.477343139692784849e-10, 7.850769697451959954e-10, 5.536913698257607941e-10, 5.536913698257607941e-10, 8.873327429361828226e-10, 3.377659443635661953e-10, 1.053670754245507155e-09, 8.477343139692784849e-10, 1.688942109221531694e-09, 3.377659443635661953e-10, 1.631365618761711297e-09
2.078000000000000000e+03, 1.493095608856462746e-09, 9.459975876826970005e-10, 6.382618648134999934e-10, 4.422970374508182701e-10, 4.422970374508182701e-10, 6.785169942494164192e-10, 3.947941377907827961e-10, 8.625510264843493465e-10, 9.459975876826970005e-10, 1.563791040678234041e-09, 3.947941377907827961e-10, 1.506217219779351865e-09
2.079000000000000000e+03, 1.535856700950288963e-09, 9.031961183900424788e-10, 8.195532519464643729e-10, 5.588599108293838948e-10, 5.588599108293838948e-10, 4.949955328328446050e-10, 4.304188667972824308e-10, 8.685510267567009206e-10, 9.031961183900424788e-10, 1.856048343964472222e-09, 4.304188667972824308e-10, 1.799726557548482676e-09
2.080000000000000000e+03, 1.168388650268734767e-09, 9.059120489042500341e-10, 6.931175080750457180e-10, 5.716231180703570776e-10, 5.716231180703570776e-10, 7.087628487562903355e-10, 4.145083120827992348e-10, 8.208441890536498365e-10, 9.059120489042500341e-10, 1.622463122721240624e-09, 4.145083120827992348e-10, 1.565119471706375361e-09
2.081000000000000000e+03, 1.705257050255774434e-09, 4.945106853439356320e-10, 7.275592978233149591e-10, 5.255844534589370335e-10, 5.255844534589370335e-10, 7.320291951671251592e-10, 2.913992543424626406e-10, 1.061124077255198141e-09, 4.945106853439356320e-10, 1.501662731439888931e-09, 2.913992543424626406e-10, 1.444332698072873019e-09
2.082000000000000000e+03, 1.287044619902217571e-09, 7.084752994258361202e-10, 6.732019363355890279e-10, 5.123767147866018673e-10, 5.123767147866018673e-10, 8.680726784125893551e-10, 6.048058846763001082e-10, 7.508143274073592969e-10, 7.084752994258361202e-10, 1.575611775662894734e-09, 6.048058846763001082e-10, 1.518747177986770812e-09
2.083000000000000000e+03, 1.154956670646066072e-09, 8.391782165410397570e-10, 7.508060551420819386e-10, 5.321356217623561831e-10, 5.321356217623561831e-10, 4.792679867819684748e-10, 6.306625554143919264e-10, 6.403394080486355864e-10, 8.391782165410397570e-10, 1.496214494236615911e-09, 6.306625554143919264e-10, 1.439611541740341883e-09
2.084000000000000000e+03, 1.844218564979634590e-09, 7.323416164532178187e-10, 7.584854496485692470e-10, 5.577674910670113062e-10, 5.577674910670113062e-10, 5.862109115982122111e-10, 4.691636348360326626e-10, 8.840378711738776528e-10, 7.323416164532178187e-10, 1.774801519208456046e-09, 4.691636348360326626e-10, 1.718428024278900566e-09
2.085000000000000000e+03, 1.592397007503331014e-09, 7.226440847059972607e-10, 7.633119849434138933e-10, 4.989310460579373836e-10, 4.989310460579373836e-10, 7.892482272474527144e-10, 3.729828920914629402e-10, 6.949910455053149148e-10, 7.226440847059972607e-10, 1.692952279126172454e-09, 3.729828920914629402e-10, 1.637182070283553217e-09
2.086000000000000000e+03, 1.611227987991219353e-09, 6.321851383763336145e-10, 6.309297114111561275e-10, 3.810538079135899405e-10, 3.810538079135899405e-10, 5.626832107652967436e-10, 4.173190622175832955e-10, 9.863656581019435896e-10, 6.321851383763336145e-10, 1.397061991348164301e-09, 4.173190622175832955e-10, 1.341481840387754076e-09
2.087000000000000000e+03, 1.152488613953058748e-09, 6.331748200704435926e-10, 6.812192198907693426e-10, 7.339439212173363124e-10, 7.339439212173363124e-10, 5.651360393447028800e-10, 4.156665820720779099e-10, 7.196176219703789492e-10, 6.331748200704435926e-10, 1.584976141127814661e-09, 4.156665820720779099e-10, 1.529968037808323546e-09
2.088000000000000000e+03, 1.407087509282806926e-09, 7.779792206015472226e-10, 7.197196795560694261e-10, 5.961402777345861641e-10, 5.961402777345861641e-10, 7.686377840717302673e-10, 3.523650845848796876e-10, 8.059400695879437125e-10, 7.779792206015472226e-10, 1.740272305069415197e-09, 3.523650845848796876e-10, 1.685815516175048992e-09
2.089000000000000000e+03, 2.182031685981590956e-09, 7.276495404158755819e-10, 6.889653915294805156e-10, 5.682028012866349049e-10, 5.682028012866349049e-10, 6.630934815449934986e-10, 4.663351159156455302e-10, 7.074715242042227911e-10, 7.276495404158755819e-10, 1.795085290733449013e-09, 4.663351159156455302e-10, 1.741453989615590154e-09
2.090000000000000000e+03, 1.991775777658895378e-09, 6.029531735915779242e-10, 6.528219325888138670e-10, 5.740373043678225681e-10, 5.740373043678225681e-10, 5.147361183034885529e-10, 3.496143140859781779e-10, 7.594397517288201346e-10, 6.029531735915779242e-10, 1.665727107987067710e-09, 3.496143140859781779e-10, 1.612357943175193298e-09
2.091000000000000000e+03, 1.335933743932345154e-09, 7.617586639532717069e-10, 7.491962558971144147e-10, 4.270402712011901394e-10, 4.270402712011901394e-10, 5.281951407779380933e-10, 3.654999386038552704e-10, 6.091903145994509194e-10, 7.617586639532717069e-10, 1.691764219412885336e-09, 3.654999386038552704e-10, 1.639185386637426997e-09
2.092000000000000000e+03, 1.322421057050389778e-09, 6.093296398312325658e-10, 6.686148016695619198e-10, 5.363660345988902954e-10, 5.363660345988902954e-10, 6.682299269379540536e-10, 6.718832381643208042e-10, 1.002826384904981417e-09, 6.093296398312325658e-10, 1.891769459414052185e-09, 6.718832381643208042e-10, 1.839796985645569496e-09
2.093000000000000000e+03, 1.689981190991801049e-09, 5.231023359982730404e-10, 7.020553760531501508e-10, 3.779378409740476510e-10, 3.779378409740476510e-10, 6.876027798399126968e-10, 5.400274169156026557e-10, 6.870386716805060338e-10, 5.231023359982730404e-10, 1.709076740774648865e-09, 5.400274169156026557e-10, 1.657114221626043379e-09
2.094000000000000000e+03, 1.561371940882508361e-09, 8.142421863791076597e-10, 7.012080551294610259e-10, 5.150808696242154583e-10, 5.150808696242154583e-10, 5.836694287732777678e-10, 3.778564187458661876e-10, 5.223725662711845686e-10, 8.142421863791076597e-10, 1.614962791777023005e-09, 3.778564187458661876e-10, 1.563473554431808598e-09
2.095000000000000000e+03, 1.637630322404913106e-09, 9.340454042973100685e-10, 7.034738924097727638e-10, 4.711658950839275563e-10, 4.711658950839275563e-10, 5.647861965181053232e-10, 5.173647334935480362e-10, 8.177653354410293985e-10, 9.340454042973100685e-10, 1.686389904612460812e-09, 5.173647334935480362e-10, 1.634875561611671173e-09
