year, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, CMCC-ESM2, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, NorESM2-LM
2.042000000000000000e+03, 1.107187220736417066e+00, 2.021934038806089795e+00, 7.777143838760162131e-01, 1.392617778876588996e+00, 1.566440478352432386e+00, 1.350647635757781462e+00, 1.813894464481682345e+00, 1.999038260697201919e+00, 1.443739351515571867e+00, 1.229983487018514232e+00, 1.043225246205574663e+00, 1.240297593556439981e+00, 1.494988369997173772e+00, 2.337312172227929086e+00, 1.472369066438306673e+00, 9.983057873929241932e-01
2.043000000000000000e+03, 1.131906816334756316e+00, 2.031304365426858993e+00, 7.895570437057334301e-01, 1.425104984873189817e+00, 1.504176182549776364e+00, 1.340114492718734063e+00, 1.761953507342309599e+00, 2.065380214953921989e+00, 1.455792612462816216e+00, 1.217413696710632376e+00, 1.050013338620032766e+00, 1.218467363336045661e+00, 1.550059499458245504e+00, 2.183867049424109030e+00, 1.497547223924107884e+00, 1.018139272390375272e+00
2.044000000000000000e+03, 1.130928898647101777e+00, 2.009941554787805007e+00, 8.581778828160772088e-01, 1.457871883263988977e+00, 1.549107075949723189e+00, 1.351715772937371218e+00, 1.761801266569912094e+00, 1.992078284730286253e+00, 1.431169017453154169e+00, 1.183966328595278839e+00, 1.087206832382468846e+00, 1.146078672778361618e+00, 1.517129622625749796e+00, 2.230139239361757397e+00, 1.484880967598987800e+00, 1.045931914672979746e+00
2.045000000000000000e+03, 1.155148667182549715e+00, 2.011297965873304783e+00, 8.345457755081765461e-01, 1.459205731423900421e+00, 1.533012552399373174e+00, 1.353644216694103175e+00, 1.832873082280394250e+00, 2.102187226491794458e+00, 1.384678426239971172e+00, 1.191365255391480416e+00, 1.114228754213025141e+00, 1.138678966352834498e+00, 1.553399660349082056e+00, 2.190634470043208104e+00, 1.445915290349936377e+00, 1.039854689549159827e+00
2.046000000000000000e+03, 1.135755831002282168e+00, 2.000919203985571215e+00, 8.133224552948120634e-01, 1.454201632589932736e+00, 1.521591643709225172e+00, 1.369728047885025335e+00, 1.836903553334932937e+00, 1.953181789876107022e+00, 1.468327325393917970e+00, 1.213515403630584855e+00, 1.119778964496459750e+00, 1.215862923423179032e+00, 1.590667717214389709e+00, 2.349757649182330876e+00, 1.428621235432638858e+00, 1.009433216103144293e+00
2.047000000000000000e+03, 1.157416228886544385e+00, 2.019179380155853742e+00, 7.977931600396417355e-01, 1.431521539099832374e+00, 1.507810303390417328e+00, 1.356409782938038378e+00, 1.807105871039566658e+00, 1.805853438239016118e+00, 1.472407315988744081e+00, 1.249854121067681678e+00, 1.133800564675938150e+00, 1.260733614808021263e+00, 1.577199519913036863e+00, 2.343053737141438386e+00, 1.431580550358887427e+00, 1.013385345130299653e+00
2.048000000000000000e+03, 1.159778561852915502e+00, 2.053944839321199201e+00, 7.341140773519601037e-01, 1.447264406484133348e+00, 1.511743515882916444e+00, 1.346884534362175811e+00, 1.784233556531647835e+00, 1.975439431372341570e+00, 1.405242941160530279e+00, 1.196998740898768121e+00, 1.115602813941186211e+00, 1.240207008769958597e+00, 1.447982218308607072e+00, 2.243751995079076078e+00, 1.415549262295954014e+00, 1.011690143917018503e+00
2.049000000000000000e+03, 1.134840096600819637e+00, 2.011465018607398125e+00, 8.659419303009291413e-01, 1.435348009313601514e+00, 1.524243255697152133e+00, 1.352626204513567743e+00, 1.856198899890957765e+00, 2.119458249163381769e+00, 1.424238720767211364e+00, 1.219319624029488125e+00, 1.101814478282550747e+00, 1.219286748433469514e+00, 1.472578760003839804e+00, 2.156179338162466763e+00, 1.461817864855620597e+00, 1.037718033688555641e+00
2.050000000000000000e+03, 1.079832510559921355e+00, 2.017778978697087222e+00, 8.146731413675379896e-01, 1.338883771820289281e+00, 1.559663546710111426e+00, 1.353101646367982580e+00, 1.850953767653440218e+00, 2.000925097596589985e+00, 1.475124036454197318e+00, 1.249814218106115371e+00, 1.098901829624123971e+00, 1.266640337775951863e+00, 1.590174842719803916e+00, 2.321993999952413290e+00, 1.494585992082382075e+00, 1.033574794907929473e+00
2.051000000000000000e+03, 1.054569421395568973e+00, 2.012630859564121355e+00, 8.291850531849006556e-01, 1.391948852592856500e+00, 1.549805259999915696e+00, 1.352874647927027496e+00, 1.886685540650649751e+00, 1.850343163246494393e+00, 1.463704328384324294e+00, 1.247469260630367893e+00, 1.068671137884215971e+00, 1.210237899142777795e+00, 1.594387380353825767e+00, 2.344766161834311191e+00, 1.454658080836364276e+00, 1.033265137739108441e+00
