year, INM-CM5-0, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, EC-Earth3-Veg, CanESM5, TaiESM1, INM-CM4-8, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, MPI-ESM1-2-LR
2.025000000000000000e+03, 3.711301972130316074e+01, 2.462736718357472654e+01, 2.440146062851254172e+01, 1.823964756540798504e+01, 1.903244336967328465e+01, 2.100003319006613722e+01, 2.258989546208981380e+01, 2.514615994091783691e+01, 2.903901223587064351e+01, 3.865306929622227017e+01, 2.868934770047805216e+01, 3.921721205393215115e+01, 2.999514023273013663e+01, 3.110639859123674711e+01, 1.949957173549531930e+01, 3.112131313456752579e+01
2.026000000000000000e+03, 3.774182189812690069e+01, 2.337349825756687238e+01, 2.483035038804862538e+01, 1.823192663162763694e+01, 1.888905744395690434e+01, 2.151299610377101601e+01, 2.238714198251505749e+01, 2.522502577614248764e+01, 3.093719601378513318e+01, 3.874622049363207310e+01, 2.995875436213093934e+01, 3.783938423131312589e+01, 3.010696052542007806e+01, 3.007695959387505980e+01, 1.862534435697489243e+01, 3.129059510186825932e+01
2.027000000000000000e+03, 3.958006833129045532e+01, 2.324127387670399614e+01, 2.430062606870471242e+01, 1.889355611997634909e+01, 1.790854489231692881e+01, 2.153267584571506177e+01, 2.266792074479542407e+01, 2.545499285541712808e+01, 2.963046993049117717e+01, 3.804946540297115121e+01, 3.160558515218364306e+01, 3.649661303174421789e+01, 2.984445863314784120e+01, 2.982442802164850448e+01, 1.880510013266792768e+01, 3.342576968632031509e+01
2.028000000000000000e+03, 3.977656760718794260e+01, 2.383661185276109507e+01, 2.444563539133250174e+01, 1.909643217652095970e+01, 1.891716538646837265e+01, 2.148821357930486897e+01, 2.326678834558447306e+01, 2.598738211002090281e+01, 2.896094181603265127e+01, 3.893471695758906037e+01, 3.041652426268098353e+01, 3.533319346578360154e+01, 2.989746319698432941e+01, 3.111845334861385837e+01, 1.834538013526001521e+01, 3.420027215918908325e+01
2.029000000000000000e+03, 3.929932987395225297e+01, 2.365386253605643319e+01, 2.396871904723125724e+01, 1.830885164897937400e+01, 1.852530520246368795e+01, 2.117084150291065470e+01, 2.329842951272149776e+01, 2.530898305906114842e+01, 2.797426800919480883e+01, 3.966131018858844470e+01, 3.005929197974316125e+01, 3.660047276217984091e+01, 3.022782786452896531e+01, 3.149387473341579380e+01, 1.784542718187712396e+01, 3.371983284517277468e+01
2.030000000000000000e+03, 3.942126397444597075e+01, 2.476310539580837045e+01, 2.218943573649976386e+01, 1.850288500930785673e+01, 1.755094348471199339e+01, 2.207552905475087712e+01, 2.409377515270287162e+01, 2.549063295410137542e+01, 2.949022608225050135e+01, 3.936904370454406177e+01, 3.096800272720016167e+01, 3.756723948940836522e+01, 3.016926997730568516e+01, 3.018312702581000551e+01, 1.894069076867020485e+01, 2.985506142727800238e+01
2.031000000000000000e+03, 3.968565143203969114e+01, 2.394708413825535587e+01, 2.507745121243254616e+01, 1.895918710077325287e+01, 1.762965180045356561e+01, 2.083255000182387207e+01, 2.359965336363557142e+01, 2.591900887439656032e+01, 2.947654780824282028e+01, 3.962183316771663044e+01, 3.084442474862643735e+01, 3.822862368458829962e+01, 3.039924355913895937e+01, 3.124050256609940845e+01, 1.974313698084697677e+01, 3.041378990440747998e+01
2.032000000000000000e+03, 3.742713659990696584e+01, 2.311308249276907389e+01, 2.404076707565731752e+01, 1.860040700354251442e+01, 1.929837691217132090e+01, 2.030333730532247927e+01, 2.416492326737035512e+01, 2.595379888553143033e+01, 2.975790319094042502e+01, 3.989005892365512551e+01, 2.984197774933547009e+01, 3.930571600602736737e+01, 3.060624751353752870e+01, 3.048999014309766409e+01, 1.969544163825012717e+01, 3.173981839509855973e+01
2.033000000000000000e+03, 4.015611942060881745e+01, 2.343991700852302884e+01, 2.509776125909326083e+01, 1.883265748938981687e+01, 1.757916664211727920e+01, 2.120027937968627896e+01, 2.395445072428458388e+01, 2.606131051644883101e+01, 3.130085493395096918e+01, 4.005913511119774029e+01, 3.034741672905958154e+01, 3.952707647918907696e+01, 3.059637999577152812e+01, 3.072242985608438204e+01, 1.971459603282092488e+01, 3.186277870108107635e+01
2.034000000000000000e+03, 4.142981613296226584e+01, 2.496709822231371589e+01, 2.345155218782605289e+01, 1.863479608919408292e+01, 1.969343961867837578e+01, 2.151491649101763315e+01, 2.529534773035399553e+01, 2.561756250235706034e+01, 2.918708766229938689e+01, 4.050074382561355435e+01, 3.093498440805677063e+01, 4.036271432445601448e+01, 3.050388537898881225e+01, 3.092171499305368698e+01, 1.956440870593385739e+01, 3.350667196431012940e+01
2.035000000000000000e+03, 3.995282739857186272e+01, 2.455737554565026315e+01, 2.178694834822735515e+01, 1.881791931983979538e+01, 1.873515887212301934e+01, 2.259942734121609220e+01, 2.434249727337163804e+01, 2.566752835350104434e+01, 2.900516488908855450e+01, 4.021444604743064843e+01, 2.988697867196391300e+01, 3.717597639293101963e+01, 3.031322420880077573e+01, 3.159588325421919919e+01, 2.004567663289964585e+01, 3.226783846529689725e+01
2.036000000000000000e+03, 4.042125025665954041e+01, 2.420607935378279763e+01, 2.241257182781477297e+01, 1.884826833103521437e+01, 1.672233173453954791e+01, 2.117251311081752618e+01, 2.584484264773055884e+01, 2.607204990711989012e+01, 2.936258616669415034e+01, 4.047721001330242530e+01, 2.974718911319341785e+01, 3.963253154775905784e+01, 3.150993209184515464e+01, 3.156403118760967530e+01, 1.990417140997665868e+01, 3.150186907566437000e+01
2.037000000000000000e+03, 4.068102051519995399e+01, 2.390389252207829784e+01, 2.653025543158105037e+01, 1.926986905301077257e+01, 1.982260220589344613e+01, 2.198118727924167004e+01, 2.475956214425116286e+01, 2.579760850412446871e+01, 2.936795314842945359e+01, 4.071849098167859893e+01, 3.166013523399427854e+01, 3.781218588389606339e+01, 3.078339119428975579e+01, 2.867325932316360593e+01, 2.005832128272222903e+01, 3.419171271401681622e+01
2.038000000000000000e+03, 4.208616928493614751e+01, 2.376012457289070312e+01, 2.490932684081764137e+01, 1.911520349428205634e+01, 1.929992189342087272e+01, 2.111589338390351500e+01, 2.563492098103839822e+01, 2.591019475693247287e+01, 2.908916739812278962e+01, 4.087374423724057948e+01, 3.039434795044769899e+01, 3.972850885665381071e+01, 3.115223226718281779e+01, 3.172571087669721734e+01, 1.978777877322038847e+01, 3.487716141735396747e+01
2.039000000000000000e+03, 4.147358235487580203e+01, 2.424126175852888210e+01, 2.694026027985518112e+01, 1.897881151857264115e+01, 1.691965696392392360e+01, 2.079541130309663188e+01, 2.466150604039722083e+01, 2.524680617738286159e+01, 3.073577158448922120e+01, 4.009569908773076463e+01, 2.992048707541464125e+01, 3.788126782015552863e+01, 3.070476298742734400e+01, 3.096455551930186090e+01, 1.995884612813976844e+01, 3.175520899617706760e+01
2.040000000000000000e+03, 4.124552820785596197e+01, 2.512233264195427296e+01, 2.496247796922374462e+01, 1.961163809313491058e+01, 1.831382952387987828e+01, 2.141921638493290203e+01, 2.587507137118362621e+01, 2.605310804432213345e+01, 2.933439807702887947e+01, 4.056268862915243290e+01, 3.059998176751228272e+01, 3.857077704475612734e+01, 3.094443427325069962e+01, 3.179237158103163807e+01, 1.911609201336371555e+01, 3.348745916896634611e+01
2.041000000000000000e+03, 4.218933016435948957e+01, 2.524199156504499442e+01, 2.400983101829627131e+01, 1.916250319688918680e+01, 1.645755080436982709e+01, 2.230325964620220347e+01, 2.593469881610013061e+01, 2.655877860299500171e+01, 3.004025966450532792e+01, 4.058819249872616552e+01, 3.054824441580385752e+01, 3.810880705663598178e+01, 3.036447148017729347e+01, 3.168587236783755756e+01, 1.978109301853480773e+01, 3.354106491724110128e+01
2.042000000000000000e+03, 4.240525170129258470e+01, 2.460773062330565963e+01, 2.539886338686646994e+01, 1.878146239946947205e+01, 1.552308976348314218e+01, 2.138625636077514969e+01, 2.429737378242838730e+01, 2.627816199536305675e+01, 2.990434991049178493e+01, 4.064139630832031003e+01, 3.237261779685542962e+01, 3.852493826478811911e+01, 3.002720947237100546e+01, 3.139725889116848023e+01, 2.000245899735702082e+01, 3.326936226884333081e+01
2.043000000000000000e+03, 4.007250461326400881e+01, 2.468812050723876794e+01, 2.618441077534706096e+01, 1.849370033576046168e+01, 1.668502014859561555e+01, 2.165344396219926182e+01, 2.499465045565605692e+01, 2.575261685662983879e+01, 2.919264441532496335e+01, 4.009366402697966691e+01, 3.178432394378291903e+01, 3.935461262794535742e+01, 3.131008564723383714e+01, 3.183446566169599734e+01, 2.070818452695677436e+01, 3.425387974940263547e+01
