year, ACCESS-ESM1-5, MIROC-ES2L, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg
2.051000000000000000e+03, 5.847924467838790719e+00, 3.799506750913548814e+01, 2.220832555557238308e+01, 3.782883067402784238e+00, 2.414907914358631658e+01, 5.504940868430547418e+00, 2.497046989991435950e+01, 1.738416548509674087e+01, 3.402892559681935580e+01, 2.324099362700384752e+00, 3.643528464274919276e+00, 3.276097022416064597e+00, 6.144848617977747729e+00
2.052000000000000000e+03, 5.837074959452670520e+00, 3.813070636917131395e+01, 2.258629890992309441e+01, 3.738581129754732668e+00, 2.423044161771804283e+01, 5.685836399993125845e+00, 2.494779285850441042e+01, 1.754170928148181119e+01, 3.420885635420653159e+01, 1.876174534295585561e+00, 3.474992252298874096e+00, 3.393291274032730787e+00, 6.361137264147656012e+00
2.053000000000000000e+03, 5.864268797865277882e+00, 3.852310500846361663e+01, 2.262339408685495101e+01, 3.633085252958641487e+00, 2.436459666663508372e+01, 6.152454419747127368e+00, 2.520720908723093601e+01, 1.780810760322754760e+01, 3.428949780717795193e+01, 2.046413915376384729e+00, 3.704108253849925259e+00, 3.248018447074239035e+00, 6.702392535911697813e+00
2.054000000000000000e+03, 5.820008993311472700e+00, 3.898048046178609383e+01, 2.242625851552460858e+01, 3.653760359993255769e+00, 2.436813833141015806e+01, 5.997016398749840604e+00, 2.504177910927583639e+01, 1.772579403857697855e+01, 3.452785063002792754e+01, 2.436200471567123493e+00, 3.606288492140521829e+00, 3.237482613463254388e+00, 6.389966224288148311e+00
2.055000000000000000e+03, 5.890679760361493322e+00, 3.922318560097667728e+01, 2.222311264205244896e+01, 3.735171032243251421e+00, 2.441146127762301532e+01, 5.723560600787540587e+00, 2.504781689309711723e+01, 1.744002982273942237e+01, 3.469933124086495013e+01, 2.346065923377806950e+00, 3.515085945932259204e+00, 3.291518692254802758e+00, 6.445718083388922715e+00
2.056000000000000000e+03, 5.999479394697224244e+00, 3.912430379032883820e+01, 2.212790895462773122e+01, 3.802068183680282321e+00, 2.444590565218410561e+01, 5.581034329833943985e+00, 2.514194929731563732e+01, 1.745800868830496100e+01, 3.468145099565105482e+01, 2.307586556046710591e+00, 3.703348692186745339e+00, 3.261252839261881586e+00, 6.521345633796192587e+00
2.057000000000000000e+03, 6.087817682549577114e+00, 3.910474228760082127e+01, 2.222194834667525853e+01, 3.859383867915446409e+00, 2.437204320505002286e+01, 5.845383395129333692e+00, 2.540332895096436161e+01, 1.776751165512470720e+01, 3.478145145742879407e+01, 2.067081501679934874e+00, 3.783704334721110563e+00, 3.223424664975821585e+00, 6.483769972860209840e+00
2.058000000000000000e+03, 6.047827068528372152e+00, 3.912732304038668474e+01, 2.244239661391736718e+01, 3.588161101905666062e+00, 2.423292694742540476e+01, 6.042197918188595196e+00, 2.514871367048432660e+01, 1.790720082837056282e+01, 3.479382157062112668e+01, 2.211755622041780889e+00, 3.813614511368196514e+00, 3.403159369130844158e+00, 6.592759941885985242e+00
2.059000000000000000e+03, 6.095976606863708014e+00, 3.929768330928438758e+01, 2.243686375487014928e+01, 3.795610568692083575e+00, 2.417150552072365954e+01, 5.822608673613509644e+00, 2.515413972115877428e+01, 1.805004679614382113e+01, 3.506103594243491983e+01, 1.979116244628747356e+00, 3.682904448697615241e+00, 3.249523615976755764e+00, 6.306501282791463048e+00
2.060000000000000000e+03, 6.184499005689541917e+00, 3.934378217499656216e+01, 2.255744041469881367e+01, 3.814350509470329609e+00, 2.411178099254181717e+01, 5.561947307979393074e+00, 2.514085607720177507e+01, 1.822367064295189465e+01, 3.535639371837728362e+01, 2.572411486388556767e+00, 3.674194449215280045e+00, 3.238756069381735880e+00, 6.139632214144002731e+00
