year, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, CESM2-WACCM, NorESM2-LM, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, INM-CM5-0, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1
2.040000000000000000e+03, 2.374248571849336908e+00, 1.967061010314269165e+00, 2.410908990884947922e+00, 2.500712134904592876e+00, 2.105492636353106128e+00, 2.822018832314465264e+00, 2.928258682648575029e+00, 2.241791773210092487e+00, 2.865310139959480917e+00, 2.123548366120302511e+00, 2.206850715754307579e+00, 3.201932306533756378e+00, 3.326564305687608414e+00, 2.973546388513844896e+00, 2.846268810178719466e+00, 2.403009145193307550e+00
2.041000000000000000e+03, 2.409138502779921698e+00, 1.957801315573303835e+00, 2.467504079388224802e+00, 2.755744522822359599e+00, 2.348002100881347420e+00, 2.784167463796220154e+00, 2.829126562643657472e+00, 2.285011573992273615e+00, 2.606383584284511112e+00, 2.126477618971891470e+00, 2.149228753936478942e+00, 3.461363418903495415e+00, 3.119877516573929643e+00, 2.752475005807418107e+00, 2.491096615230225630e+00, 2.096876821447811956e+00
2.042000000000000000e+03, 2.367027637721119238e+00, 2.165787360341100865e+00, 2.276684107922422040e+00, 2.596941563366013117e+00, 2.213418400049451673e+00, 2.737171030414658368e+00, 2.783540492097140273e+00, 2.227417846819173874e+00, 2.753908635458469423e+00, 2.025448621757475198e+00, 2.255301596975656242e+00, 3.200375131611226553e+00, 3.327125688327211339e+00, 2.935134198510016112e+00, 2.568492579739564796e+00, 2.354436942840582692e+00
2.043000000000000000e+03, 2.296431666145162254e+00, 2.101416395777013335e+00, 2.481855171500472412e+00, 2.796531292361880805e+00, 2.680309506848049139e+00, 2.772710890354250779e+00, 3.109659422418666885e+00, 2.172552642867694672e+00, 2.684745688726118296e+00, 2.112745319354026208e+00, 2.212650834936928490e+00, 3.315576389646056388e+00, 3.250474940050750661e+00, 2.825421708508462526e+00, 2.514918505850243235e+00, 2.311092386239920415e+00
2.044000000000000000e+03, 2.398185847508949919e+00, 2.055963326279273140e+00, 2.375168443129361595e+00, 2.674271538314073826e+00, 2.281801620822439425e+00, 2.765044597978532526e+00, 2.803957612662316468e+00, 2.203757033265804743e+00, 2.624597559426137927e+00, 2.114280180434422896e+00, 2.156819828501922220e+00, 3.172973711935200836e+00, 3.148495398372152643e+00, 2.888016461353558828e+00, 2.455257519868363048e+00, 2.143089055779480390e+00
2.045000000000000000e+03, 2.407840116838448896e+00, 2.107237013644825740e+00, 2.278817084760218048e+00, 2.447745560446598745e+00, 2.505793032523557340e+00, 2.667906698318484704e+00, 2.796170114368746962e+00, 2.074682186732144107e+00, 2.802647763357237753e+00, 2.005625423703504939e+00, 2.244725256832563520e+00, 3.045511236520357823e+00, 3.301350377901228761e+00, 2.833317860428690160e+00, 2.625453981156129046e+00, 2.413258157202857301e+00
2.046000000000000000e+03, 2.302885480003162844e+00, 2.111082982417837428e+00, 2.258039985370463576e+00, 2.637200642216639856e+00, 2.199774829331039960e+00, 2.750143141567923166e+00, 2.962694547534747258e+00, 2.158019219426074997e+00, 2.611215316512850659e+00, 2.112224808326300884e+00, 2.129609292120156372e+00, 3.382672113085572363e+00, 3.424232088798079054e+00, 3.047387816430748408e+00, 2.695443689940052678e+00, 2.517534565489344622e+00
2.047000000000000000e+03, 2.405204302518480386e+00, 2.057216483607123614e+00, 2.555723198973689492e+00, 2.476779767914908614e+00, 2.249172575237701199e+00, 2.957754942484782212e+00, 3.165050748315778151e+00, 2.321100584430194846e+00, 2.641677394763811915e+00, 2.058894388469978409e+00, 2.161232497269483410e+00, 3.065670102837955824e+00, 3.143538476100566914e+00, 3.105306643050397053e+00, 2.458579150671962310e+00, 2.373497593013141227e+00
2.048000000000000000e+03, 2.347790788065886147e+00, 1.953636226219526595e+00, 2.569005480906731087e+00, 2.414516759445370919e+00, 2.382137527308574310e+00, 2.822596000544501660e+00, 2.915333022764593718e+00, 2.145657084760001165e+00, 2.544137820114916515e+00, 2.011633319255214047e+00, 2.209479326541649691e+00, 3.286305491491056330e+00, 3.345784980858630409e+00, 2.932927647365299872e+00, 2.655352842733748275e+00, 2.457822835371595183e+00
2.049000000000000000e+03, 2.296061074083210585e+00, 2.040870022045909504e+00, 2.646493587302438222e+00, 2.582398217379107130e+00, 2.379623694867655459e+00, 2.546802860479349118e+00, 2.940811405239370124e+00, 2.276243647239851065e+00, 2.633903514512227595e+00, 2.141843928218924109e+00, 2.155222228460604406e+00, 3.273901394190685821e+00, 3.231201843905049831e+00, 3.306269260408226440e+00, 2.625784095390363504e+00, 2.282595448909011893e+00
