year, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1, NorESM2-LM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CanESM5
2.025000000000000000e+03, 5.513713455464213986e+00, 7.357677298125003595e+00, 3.839335373778646865e+00, 1.822753870007830734e+00, 4.039288083422481357e+00, 4.934687603109892073e+00, 2.721820721605510585e+01, 4.087989123958305271e+00, 5.364931948996087385e+00, 2.417052840496828381e+01, 2.207688826274445404e+01, 1.212579502573612444e+01, 7.878917922947669794e+00
2.026000000000000000e+03, 5.785018465479726757e+00, 7.349603868111577398e+00, 3.798253657132109495e+00, 1.990943519016145524e+00, 4.160353394004868477e+00, 4.869642539722311980e+00, 2.716838140235499210e+01, 4.040760963745035461e+00, 5.350016338359862900e+00, 2.420940279518534410e+01, 2.209226553178428532e+01, 1.213173770995946832e+01, 7.866513722224532046e+00
2.027000000000000000e+03, 5.745065580321594645e+00, 7.403153977866126390e+00, 4.041462389763028185e+00, 1.766570328857955952e+00, 4.214993219311081063e+00, 4.724187076720516743e+00, 2.723850720135471093e+01, 3.858602488999806734e+00, 5.406709655778952239e+00, 2.425322961092689056e+01, 2.212487628768242587e+01, 1.224709732499098003e+01, 8.032852547582075786e+00
2.028000000000000000e+03, 5.219535848782665077e+00, 7.456693960125996945e+00, 4.216389916169962504e+00, 1.746196962246460371e+00, 4.363131496445129542e+00, 4.610359802055384648e+00, 2.738689929600695905e+01, 3.825237903716312005e+00, 5.439962251751907729e+00, 2.426177248801405639e+01, 2.227120068931750652e+01, 1.234045187180923442e+01, 7.994088570268348626e+00
2.029000000000000000e+03, 5.246826397280800691e+00, 7.476853836645232398e+00, 4.225399459341411479e+00, 1.668930676771840815e+00, 4.335443659310557862e+00, 4.499842102210372730e+00, 2.753209545653637491e+01, 3.852702937367214808e+00, 5.462961325672175406e+00, 2.428661227618156815e+01, 2.221795055746234482e+01, 1.243596635780861881e+01, 7.965312592093972910e+00
2.030000000000000000e+03, 6.071666257400286426e+00, 7.498360191476233894e+00, 4.104496182330063192e+00, 1.774075968587627061e+00, 4.185394627143846691e+00, 4.487182637366041504e+00, 2.754834030944782342e+01, 4.004408867157583707e+00, 5.454715356295728235e+00, 2.432604386941470764e+01, 2.229882824380757000e+01, 1.251022818770446499e+01, 7.983743453195085493e+00
2.031000000000000000e+03, 5.811291482979706657e+00, 7.524322698734486892e+00, 3.938300008748720771e+00, 1.884804165351963157e+00, 4.159655660697674229e+00, 4.639082234391459281e+00, 2.748748221169327266e+01, 4.014115660494427473e+00, 5.422883672832299773e+00, 2.435867488565371275e+01, 2.240987308069768602e+01, 1.256560475966410095e+01, 7.935606335391207189e+00
2.032000000000000000e+03, 5.627105946497882094e+00, 7.527219647333475372e+00, 3.875246158069727276e+00, 1.833413944877250401e+00, 4.207719914655241311e+00, 4.766940741877711218e+00, 2.763229524386322566e+01, 4.004762967664463602e+00, 5.448654245457392520e+00, 2.453505501647565623e+01, 2.257377827613501609e+01, 1.264549070769273165e+01, 7.993012156944197422e+00
2.033000000000000000e+03, 6.123674855961006358e+00, 7.499183000315062131e+00, 3.861189317671502863e+00, 1.871485021044489994e+00, 4.230051502676752229e+00, 4.765872509620345809e+00, 2.773642979187837199e+01, 3.954271621111008272e+00, 5.485626508593094641e+00, 2.453701661158060432e+01, 2.261908693936191739e+01, 1.279878782050906949e+01, 8.011818327143403806e+00
2.034000000000000000e+03, 5.668549900717944290e+00, 7.524992131094935033e+00, 3.959356958233630319e+00, 1.902365704876932684e+00, 4.198520278467404943e+00, 4.688729288012850382e+00, 2.770417323055691128e+01, 3.919424242474910169e+00, 5.516496231625652946e+00, 2.463934171910620208e+01, 2.259654181861314015e+01, 1.279288487465602309e+01, 7.878265211077093433e+00
2.035000000000000000e+03, 5.727712076321916257e+00, 7.544653026084040093e+00, 4.175610594093079442e+00, 1.811103782413909347e+00, 4.149648484214221611e+00, 4.734092493097278975e+00, 2.791516980724300723e+01, 4.043340860991055941e+00, 5.497162157685036910e+00, 2.466718255135863913e+01, 2.272099848617854789e+01, 1.280696760346629226e+01, 7.964404100711375278e+00
2.036000000000000000e+03, 5.806716979297865677e+00, 7.613453335593097115e+00, 4.120732101258811397e+00, 1.816879505072708012e+00, 4.252917455782151634e+00, 4.929796040286556824e+00, 2.794745330577374176e+01, 4.131691212967628424e+00, 5.463485138633492610e+00, 2.466879568925830668e+01, 2.286558504140587189e+01, 1.293155739562738304e+01, 7.943863458282088175e+00
