year, IPSL-CM6A-LR, INM-CM4-8, UKESM1-0-LL, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-MM, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, CNRM-ESM2-1
2.048000000000000000e+03, 3.518959953551193731e+00, 6.619850721749472200e+00, 7.099511890028765038e+00, 4.731601539014544500e+00, 5.677817948575457407e+00, 4.463706758404129893e+00, 4.678668251814912082e+00, 6.547962947504024633e+00, 4.242655656505492701e+00, 5.101321026994908081e+00, 5.415393742624014628e+00, 5.484368292405986445e+00, 5.580432759276520827e+00, 6.735325640127345359e+00, 5.386609494892227623e+00, 4.212122649603598390e+00
2.049000000000000000e+03, 3.340022404256127064e+00, 6.628873308661179742e+00, 7.156057595814128369e+00, 5.093218367712174732e+00, 5.544291946168355523e+00, 4.311702588101741895e+00, 4.792494244157770034e+00, 6.548005084569318512e+00, 4.104906575042937433e+00, 5.433169635993394309e+00, 5.750353705532780246e+00, 5.374002941004741629e+00, 5.438757190212792025e+00, 6.529023003454889285e+00, 4.888983493398760594e+00, 4.049990244860438793e+00
2.050000000000000000e+03, 3.509581903574986228e+00, 6.514412301877684719e+00, 7.070579382315260730e+00, 5.123127540838321892e+00, 5.600089799506967836e+00, 4.529824894866761653e+00, 4.547804555528887960e+00, 6.239262836765195885e+00, 4.533315717502312658e+00, 5.380189174302366872e+00, 5.705379483939907459e+00, 5.140905409090268385e+00, 5.485094130445787641e+00, 6.283171898987390591e+00, 5.553748671223154965e+00, 4.637303669993367627e+00
2.051000000000000000e+03, 3.356889249092187111e+00, 6.694845732737584321e+00, 6.986617303610841212e+00, 4.890934883033461134e+00, 5.557543892753604275e+00, 4.629389579226068641e+00, 4.954138633632234168e+00, 6.439073020660710966e+00, 4.365337670601083353e+00, 5.288874005000864464e+00, 5.326533994458420018e+00, 5.531374560829291021e+00, 5.854156811843989949e+00, 6.654098080723698239e+00, 5.227983247479624396e+00, 4.287306265047178933e+00
2.052000000000000000e+03, 3.557593097730979981e+00, 6.630350054653149527e+00, 6.681116075047060399e+00, 4.927708787883719133e+00, 5.683452525921584453e+00, 4.591533537640337670e+00, 4.949236258426628510e+00, 6.455971937391125515e+00, 4.465637275459531708e+00, 5.365106592715636502e+00, 5.851221509688310007e+00, 5.342052628484634802e+00, 5.525872606968298406e+00, 6.410327735822864526e+00, 5.258505553359669626e+00, 4.070038087596883791e+00
2.053000000000000000e+03, 3.472847181244149262e+00, 6.721443401473826462e+00, 6.749585719232161551e+00, 4.950138361288079381e+00, 5.701152521740891821e+00, 4.513889629332670239e+00, 4.591518686428262441e+00, 6.619175149553226944e+00, 4.452516595989689741e+00, 4.994901337921775486e+00, 5.725958266040661826e+00, 5.543732773676236292e+00, 5.545479317917680895e+00, 6.681099273795965132e+00, 5.425795332763818202e+00, 4.089135729176975431e+00
2.054000000000000000e+03, 3.566859678142127787e+00, 6.564436094443332870e+00, 6.967686078602871369e+00, 5.122096474684796341e+00, 5.895264047162866561e+00, 4.551605324530529906e+00, 4.687068949465594159e+00, 6.518197814791202305e+00, 4.618377501863368373e+00, 5.339590304190196868e+00, 5.519313677694198894e+00, 5.651142938780745695e+00, 5.606725187171709202e+00, 6.529431192835466469e+00, 4.906484705251606293e+00, 4.208880600554697260e+00
2.055000000000000000e+03, 3.681352781444641842e+00, 6.427957323106440413e+00, 7.019486198182054437e+00, 4.816710567181274882e+00, 5.708106336988442386e+00, 4.602619770916029474e+00, 4.789508280866066059e+00, 6.381771699488222538e+00, 4.696147829213568770e+00, 5.273811064672796256e+00, 5.867295533773472904e+00, 5.257139510317326625e+00, 5.374664469388266141e+00, 6.629386064805599332e+00, 5.174267491924244844e+00, 4.516627169487251514e+00
2.056000000000000000e+03, 3.460063293605071255e+00, 6.672807742891721183e+00, 7.153690490626873455e+00, 5.061466343978215932e+00, 5.960347120430335544e+00, 4.627866968242297929e+00, 4.659286274229169855e+00, 6.493945838623186084e+00, 4.644243093701597047e+00, 5.466858961504041048e+00, 6.014513952429640042e+00, 5.543527842875573874e+00, 5.676751683289862349e+00, 6.564229246356359404e+00, 5.829546417501560995e+00, 4.015552057813952302e+00
2.057000000000000000e+03, 3.569035652705050854e+00, 6.698725149891860298e+00, 7.331924101638938929e+00, 5.121727669932382376e+00, 5.641195711173466520e+00, 4.587459644359667799e+00, 4.808455213676988471e+00, 6.376207154681638123e+00, 4.885700816415671000e+00, 5.485281905308655226e+00, 5.968903081043523962e+00, 5.599329719211139533e+00, 5.857452618486775009e+00, 6.694889663149941050e+00, 5.215906772922815016e+00, 4.171348073192791439e+00
2.058000000000000000e+03, 3.612250984169331325e+00, 6.456227125982286097e+00, 6.879529812632557473e+00, 4.989370565393060453e+00, 5.703304288318981285e+00, 4.694337528075538835e+00, 4.681744572976187513e+00, 6.511888044540569354e+00, 5.159404641274242920e+00, 5.369814080929772082e+00, 5.636782400821886085e+00, 5.498638144231921210e+00, 5.388632430739178858e+00, 6.490229295425828937e+00, 5.248946751399151012e+00, 3.981981767587201126e+00
2.059000000000000000e+03, 3.470736900137378012e+00, 6.605703840113393177e+00, 7.205486902825128936e+00, 4.957517930925460448e+00, 5.528526588482202797e+00, 4.637576911000249602e+00, 4.873872882640529092e+00, 6.832571544092549409e+00, 5.001645289456444488e+00, 5.328919102019333387e+00, 5.847774999446412991e+00, 5.613999888137188421e+00, 5.452864333293524268e+00, 6.749332757881651546e+00, 5.281840927504391381e+00, 4.379968995618876981e+00
2.060000000000000000e+03, 3.626401341360842689e+00, 6.696336437485488347e+00, 7.443630108537028001e+00, 5.062072785987360213e+00, 5.711452114147101966e+00, 4.719059863625649776e+00, 4.737448523367440600e+00, 6.428800239478825063e+00, 4.957226900479783538e+00, 5.279972693773015813e+00, 5.840168061805997013e+00, 5.395440321076862666e+00, 5.779335445708570163e+00, 6.506012630998884383e+00, 5.571558079240552352e+00, 4.269628211290709352e+00
2.061000000000000000e+03, 3.526162460670805743e+00, 6.715408933242907885e+00, 7.414921795445954089e+00, 4.923309193861640232e+00, 5.567815703408892425e+00, 4.727376797484354576e+00, 4.604139981310336971e+00, 6.727441975502139293e+00, 5.065679424680599396e+00, 5.300832139321115299e+00, 5.805572578126723116e+00, 5.383079549108887640e+00, 5.698498021653432666e+00, 6.761487297510114125e+00, 5.400909906674708161e+00, 4.423283471067954942e+00
