year, TaiESM1, GFDL-ESM4, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.077000000000000000e+03, 1.380280385495008425e-10, 6.065571479783675261e-10, 6.768054620503310364e-10, 2.718173598646179075e-10, 5.055658107372612107e-10
2.078000000000000000e+03, 2.112409224848008002e-10, 9.066906188630895377e-10, 5.315709489083649361e-10, 2.479542739303804270e-10, 6.167223427631294187e-10
2.079000000000000000e+03, 1.612952474856803674e-10, 7.362838138832189067e-10, 3.790928209519979073e-10, 2.372688571038658168e-10, 3.979187886858105917e-10
2.080000000000000000e+03, 1.738355943675072927e-10, 1.045515673806203625e-09, 5.732988725911475153e-10, 1.461062862124803283e-10, 4.563168470567298331e-10
2.081000000000000000e+03, 2.127932044807298529e-10, 5.779078919340388819e-10, 6.124861657364684701e-10, 5.310832615433970504e-10, 4.379206243304649328e-10
2.082000000000000000e+03, 1.764856718628734477e-10, 1.046855107798341934e-09, 4.979446076833914627e-10, 3.667673096012071037e-10, 4.130592989343169049e-10
2.083000000000000000e+03, 1.853609147120848066e-10, 6.399731653620644498e-10, 4.620095929280559213e-10, 3.470972777926873043e-10, 4.903871412605914872e-10
2.084000000000000000e+03, 2.476031137884076430e-10, 4.172215241734052926e-10, 6.057011861388811813e-10, 2.999244752480189025e-10, 4.808520393466944459e-10
2.085000000000000000e+03, 1.858072723545393345e-10, 6.432371890056624578e-10, 4.334521332678973792e-10, 5.191355770219551856e-10, 6.115706913556543751e-10
2.086000000000000000e+03, 1.323663549010745756e-10, 6.010496442282548382e-10, 4.488857289933228917e-10, 1.044137116325678083e-10, 3.679089699862550362e-10
2.087000000000000000e+03, 1.223191771162371844e-10, 9.230043221776077935e-10, 4.203310589840893440e-10, 3.770464231274776469e-10, 5.256038264964995994e-10
2.088000000000000000e+03, 1.960844004502025513e-10, 7.013106802469301223e-10, 4.391944464534231937e-10, 3.319069859854438435e-10, 4.969309563779251921e-10
2.089000000000000000e+03, 2.431694685970689718e-10, 6.384405006491484669e-10, 5.382757425226837054e-10, 4.769366372847538243e-10, 4.593996363788634625e-10
2.090000000000000000e+03, 1.840495634582941581e-10, 6.998934232137612721e-10, 4.014681889888228438e-10, 8.124575981687193844e-10, 4.445192453607082657e-10
2.091000000000000000e+03, 1.266730165542541756e-10, 6.608076954173926337e-10, 4.645340347649705168e-10, 5.362085088410210443e-10, 4.705364269772978182e-10
2.092000000000000000e+03, 1.817648536954091426e-10, 5.818782061096420370e-10, 3.151216620367623197e-10, 2.850715101014049858e-10, 5.256974797756676846e-10
2.093000000000000000e+03, 1.602758970850356836e-10, 5.981472779036441501e-10, 5.478993870176612151e-10, 2.275454923856980482e-10, 4.941731829274650428e-10
2.094000000000000000e+03, 1.301750919826487949e-10, 4.662690537213002780e-10, 6.372287102375761186e-10, 2.563905930779434771e-10, 5.964352656314529915e-10
2.095000000000000000e+03, 1.452672389891090253e-10, 7.803386752041357751e-10, 3.253298128953561898e-10, 2.358002112262768091e-10, 3.750576752346215385e-10
2.096000000000000000e+03, 2.017584448175205032e-10, 7.009049333318640366e-10, 5.116337530048032407e-10, 3.704839197188205633e-10, 4.868630603526509752e-10
2.097000000000000000e+03, 1.321817295851863514e-10, 7.169475222679060104e-10, 4.590815035335516330e-10, 2.547746284133213164e-10, 4.955035278394675229e-10
2.098000000000000000e+03, 2.076548273306218188e-10, 5.959838151268198984e-10, 2.628107388634832895e-10, 4.771794455165031645e-10, 5.345395239750040557e-10
2.099000000000000000e+03, 1.805532833462330677e-10, 7.636964731351731863e-10, 3.027485188265550562e-10, 1.560896407522441751e-10, 5.225319673967094197e-10
2.100000000000000000e+03, 1.805839062080678523e-10, 7.900048770277089511e-10, 3.460908825963479745e-10, 4.145375581672483684e-10, 5.072333465248055363e-10
