year, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, CNRM-ESM2-1, UKESM1-0-LL
2.061000000000000000e+03, 1.333946258046420308e+00, 1.094931765512827671e+00, 1.345661904800785624e+00, 3.860950201045748043e-01, 1.568567821029376530e+00, 1.294203717862518581e-02, 9.938868846894888254e-01, 9.350776057803653063e-02, 8.082952610476106317e-03
2.062000000000000000e+03, 1.341132745535235316e+00, 1.101102061337763338e+00, 1.350952390297212480e+00, 3.921355540549699703e-01, 1.573319234068542682e+00, 1.283673108025248227e-02, 9.947019370154579487e-01, 9.924798257487575659e-02, 7.995466973320819459e-03
2.063000000000000000e+03, 1.346204948722373729e+00, 1.095218231876090131e+00, 1.371817304277271887e+00, 3.969355013479189953e-01, 1.577079370431697658e+00, 1.282585227852632050e-02, 9.956927133563902022e-01, 1.038522693745656533e-01, 8.094499934000316116e-03
2.064000000000000000e+03, 1.349037461207024613e+00, 1.085525167816485448e+00, 1.382447926793761717e+00, 4.014356608479108246e-01, 1.585099575671002903e+00, 1.292246718501262846e-02, 9.973512858624941080e-01, 1.142816477266425518e-01, 8.385633310777186947e-03
2.065000000000000000e+03, 1.348936176469600623e+00, 1.091409803469768569e+00, 1.404488256503929389e+00, 4.054569468307431812e-01, 1.591720228769492262e+00, 1.301365515853691347e-02, 9.967911744671053009e-01, 1.261321071822641415e-01, 1.052723289752429542e-02
2.066000000000000000e+03, 1.354877036307164273e+00, 1.102939596481270490e+00, 1.484865243406300328e+00, 4.090600766895765572e-01, 1.602651894522042042e+00, 1.283693174154535398e-02, 9.951148142342730596e-01, 1.407580118014491177e-01, 1.011259208390992946e-02
2.067000000000000000e+03, 1.359509916475933222e+00, 1.100650353386113833e+00, 1.508673293486706424e+00, 4.152720402467541261e-01, 1.614857328724305985e+00, 1.278730328898191118e-02, 9.950130473762660577e-01, 1.575708861410387296e-01, 9.513779758750081847e-03
2.068000000000000000e+03, 1.362333779785175780e+00, 1.095789955783857961e+00, 1.568432711415136183e+00, 4.218155744123284756e-01, 1.623037583428789343e+00, 1.287231384883346340e-02, 9.951937152204450854e-01, 1.743269269200148075e-01, 9.085622412458574035e-03
2.069000000000000000e+03, 1.366077051546079391e+00, 1.091278158397543496e+00, 1.595640574843746773e+00, 4.269860958600571466e-01, 1.633240088913993970e+00, 1.297981242192871795e-02, 9.955408560050796885e-01, 1.925963584897343595e-01, 8.761806200015277366e-03
2.070000000000000000e+03, 1.400395722445791025e+00, 1.097765252248073198e+00, 1.653657463363727986e+00, 4.323814313260175846e-01, 1.663886894621683377e+00, 1.311507632639638543e-02, 1.007046913909584340e+00, 2.100152825015934033e-01, 8.668124895743149066e-03
2.071000000000000000e+03, 1.417504202174987515e+00, 1.102758443812488443e+00, 1.717959427008193485e+00, 4.517790056533619869e-01, 1.693036777066155629e+00, 1.332483312088022197e-02, 1.027696503663050542e+00, 2.407745219085681287e-01, 8.973076707342509187e-03
2.072000000000000000e+03, 1.429971692308044995e+00, 1.124379395865029219e+00, 1.760306507901093331e+00, 4.697533169428965705e-01, 1.720430994971285932e+00, 1.383374385892175221e-02, 1.045613257767612936e+00, 2.769062945506510776e-01, 9.526677388062258431e-03
2.073000000000000000e+03, 1.443463237761896112e+00, 1.143212895203561175e+00, 1.791596984860226227e+00, 4.861054485871702524e-01, 1.752843434671432332e+00, 1.455327985990752422e-02, 1.060789892104561982e+00, 3.086147831413751930e-01, 1.471756479736103206e-02
2.074000000000000000e+03, 1.457696151217438230e+00, 1.152424221778439284e+00, 1.836578080745614905e+00, 5.010318306542480560e-01, 1.772132828079807654e+00, 1.548830341536408181e-02, 1.073773083394605754e+00, 3.383292530705710455e-01, 2.438313355584512121e-02
2.075000000000000000e+03, 1.457643246677605253e+00, 1.162642332689315161e+00, 1.882335913627600110e+00, 5.144883343699370171e-01, 1.784967342062881990e+00, 1.656472429973183946e-02, 1.091311174088448688e+00, 3.616531407024436984e-01, 3.206604629295648629e-02
2.076000000000000000e+03, 1.463248277483112370e+00, 1.176151641744019427e+00, 1.913664066859662283e+00, 5.188341119261283829e-01, 1.799301880235504303e+00, 1.658823133774954550e-02, 1.112792755731147665e+00, 3.678574222441280406e-01, 2.762143472068922731e-02
2.077000000000000000e+03, 1.470282986411064030e+00, 1.196040334063781296e+00, 1.918435593774554748e+00, 5.224707801020811448e-01, 1.817844411142404804e+00, 1.695042390074290653e-02, 1.131620053748038313e+00, 3.734455679091029379e-01, 2.696848900329117810e-02
2.078000000000000000e+03, 1.477417781786370954e+00, 1.218293333921765420e+00, 1.940752632799451760e+00, 5.256234912899157008e-01, 1.831308577843112406e+00, 1.765903663066199086e-02, 1.148032847035178161e+00, 3.776817301566229856e-01, 3.299034495155537400e-02
2.079000000000000000e+03, 1.484919339524869208e+00, 1.224501695607050467e+00, 1.953120316318550431e+00, 5.280161686331538151e-01, 1.839346924462155419e+00, 1.864699050568542973e-02, 1.162108138964705439e+00, 3.811315732088875197e-01, 4.565247842111822690e-02
2.080000000000000000e+03, 1.483595633015037718e+00, 1.223971313405069372e+00, 1.980959771765579580e+00, 5.301075412948730303e-01, 1.832521934005784336e+00, 1.977234476913237310e-02, 1.165400733646038134e+00, 3.829904094232998712e-01, 5.609104206035521456e-02
2.081000000000000000e+03, 1.488495235457948151e+00, 1.230581642363377082e+00, 1.970937521021083549e+00, 5.234181165186304607e-01, 1.816956970784675107e+00, 1.987468311371860460e-02, 1.160000988338972361e+00, 3.722321043709413413e-01, 5.443333539929339632e-02
2.082000000000000000e+03, 1.496720121739449239e+00, 1.231375006704957809e+00, 1.943674389961420834e+00, 5.169474752805882645e-01, 1.814740685958054156e+00, 2.022902041392115116e-02, 1.155946547856407713e+00, 3.629613894594803658e-01, 5.738388844736583283e-02
2.083000000000000000e+03, 1.505482824766620986e+00, 1.213015421467970478e+00, 1.928229502678796337e+00, 5.116480058040150380e-01, 1.810943566752281519e+00, 2.075294527693817212e-02, 1.152777869790996501e+00, 3.585656050049650378e-01, 6.277962738255275787e-02
2.084000000000000000e+03, 1.512573857849504710e+00, 1.215524271734550465e+00, 1.908723426989927363e+00, 5.080129120916684338e-01, 1.807230909171942512e+00, 2.141148636637684941e-02, 1.150368819322141745e+00, 3.562904858215915072e-01, 6.924792545822057444e-02
2.085000000000000000e+03, 1.529240446997541136e+00, 1.217060688246935474e+00, 1.895969503461754302e+00, 5.050548527819752609e-01, 1.814418709937955621e+00, 2.215887904837901545e-02, 1.148481698477070712e+00, 3.586460296723224528e-01, 7.695138388717662203e-02
2.086000000000000000e+03, 1.540260440147590115e+00, 1.220053165867938771e+00, 1.887345575480509297e+00, 5.119705252959931840e-01, 1.820532646255069942e+00, 2.195874766532162486e-02, 1.147213206062555946e+00, 3.610918994545921357e-01, 7.552083826005612233e-02
2.087000000000000000e+03, 1.547567044161962224e+00, 1.224227204917012424e+00, 1.877964057152136990e+00, 5.196019247571488364e-01, 1.832115419643312482e+00, 2.221599483027623251e-02, 1.146111674820958770e+00, 3.652172219896056560e-01, 7.574673905879952818e-02
2.088000000000000000e+03, 1.557495692754715444e+00, 1.221749705560904120e+00, 1.869643033946683630e+00, 5.276734860186855780e-01, 1.842884223972638402e+00, 2.291022909201791483e-02, 1.145221505017013364e+00, 3.700318855636174353e-01, 7.845077553956683603e-02
2.089000000000000000e+03, 1.566325114034366806e+00, 1.209677533733671595e+00, 1.862544397657678097e+00, 5.353084727646474361e-01, 1.853188750711320498e+00, 2.405907694779901851e-02, 1.144769003743401736e+00, 3.746794029998617992e-01, 8.771297717065980326e-02
2.090000000000000000e+03, 1.542514546738052772e+00, 1.218309179213700411e+00, 1.854989532012459641e+00, 5.425012096167614040e-01, 1.833404756272548397e+00, 2.546986690157828845e-02, 1.132898883927241362e+00, 3.819378696752548374e-01, 9.606077845763424938e-02
2.091000000000000000e+03, 1.530401969236778070e+00, 1.197268396733421891e+00, 1.854406998766570780e+00, 5.290685902251449635e-01, 1.801300338348603924e+00, 2.457896795447175875e-02, 1.112525805766824138e+00, 3.665362638970757758e-01, 8.400885683857332864e-02
2.092000000000000000e+03, 1.520897785445049388e+00, 1.179666032005759480e+00, 1.839403770474826283e+00, 5.165837376990169982e-01, 1.775163636373743969e+00, 2.372387930546488929e-02, 1.097169212181287046e+00, 3.504957956399352148e-01, 7.517430868559650536e-02
2.093000000000000000e+03, 1.514845611945861981e+00, 1.179214939745731661e+00, 1.835777361459238310e+00, 5.043506263554397018e-01, 1.766865932935116845e+00, 2.288636236173995780e-02, 1.084991653991481897e+00, 3.346915554184379804e-01, 6.954597678177386333e-02
2.094000000000000000e+03, 1.507889410520988571e+00, 1.175186428104154190e+00, 1.825098782511369588e+00, 4.932840494545883137e-01, 1.749448703467087585e+00, 2.212314124503074811e-02, 1.074044949312976005e+00, 3.193962532313168179e-01, 6.525588985753592863e-02
2.095000000000000000e+03, 1.480554768868268978e+00, 1.179844560439102130e+00, 1.822337211203371554e+00, 4.828123344453305599e-01, 1.717967944257583701e+00, 2.144015886422761738e-02, 1.059669951588597225e+00, 3.052574737553364059e-01, 6.170455542646053476e-02
2.096000000000000000e+03, 1.468126392667168378e+00, 1.159516027513813885e+00, 1.822832898316763206e+00, 4.650521831434812348e-01, 1.688153844275958049e+00, 2.019601101510755739e-02, 1.042767951054635933e+00, 2.762877154426511828e-01, 5.782466631996219936e-02
2.097000000000000000e+03, 1.454819302963928029e+00, 1.142723137375213804e+00, 1.820828719602261891e+00, 4.495551339240879685e-01, 1.662538876375592167e+00, 1.902556811809894000e-02, 1.027833495308550837e+00, 2.502791953780647005e-01, 5.430989546369633519e-02
2.098000000000000000e+03, 1.440149703717521268e+00, 1.131821948147265777e+00, 1.818433984124170566e+00, 4.368043369032978962e-01, 1.637581836816792924e+00, 1.793200765502114824e-02, 1.014454774040772111e+00, 2.271643046786406273e-01, 5.117914730834178388e-02
2.099000000000000000e+03, 1.430327226012449993e+00, 1.118391842983694540e+00, 1.815952755649714367e+00, 4.266061801162259193e-01, 1.616708238413283372e+00, 1.691358504408294397e-02, 1.002260859077499733e+00, 2.070308218917841780e-01, 4.827042748337994488e-02
2.100000000000000000e+03, 1.426449936202210500e+00, 1.113308870933941819e+00, 1.813522808099611971e+00, 4.183715617602455361e-01, 1.596260603128140110e+00, 1.596282351058690013e-02, 9.672556998729022748e-01, 1.927630927060774435e-01, 4.574520204820588937e-02
