year, IPSL-CM6A-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, GFDL-ESM4, CNRM-ESM2-1, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM
2.025000000000000000e+03, 1.119366144614422293e-09, 9.905944543373248099e-10, 8.223575163496599256e-11, 2.077812611929362102e-10, 9.566819698356844345e-10, 3.102506080288933576e-11, 1.572207453798809964e-12, 6.717757600931696571e-10, 1.186962970659230894e-09
2.026000000000000000e+03, 1.255657785486121785e-09, 9.911679992000135541e-10, 8.875572660876194371e-11, 2.029234497712373564e-10, 9.382933733423791806e-10, 2.758578000565095425e-11, 1.747953072276342636e-12, 6.605717112284822120e-10, 1.167770501224099037e-09
2.027000000000000000e+03, 1.268566691953527672e-09, 9.977827728479183037e-10, 7.796888475984589285e-11, 1.984352440959542011e-10, 1.014761704355643430e-09, 2.448383013342335058e-11, 2.135010510529981827e-12, 6.564875218069015914e-10, 1.187165527801628233e-09
2.028000000000000000e+03, 1.231451927682459372e-09, 1.002915033237310784e-09, 8.655707064300615887e-11, 1.947867698783805554e-10, 9.891615842624514927e-10, 2.137693455727452123e-11, 2.139039293821065172e-12, 6.548184188267496756e-10, 1.176772451280314512e-09
2.029000000000000000e+03, 1.245422697561408956e-09, 1.004269374958547595e-09, 8.271145050933111270e-11, 1.918919533178563567e-10, 1.052832353208407670e-09, 1.827082873388954978e-11, 2.060910670821306432e-12, 6.506990902897657281e-10, 1.154161390215196891e-09
2.030000000000000000e+03, 1.211482440496160044e-09, 9.949001422961724723e-10, 8.864342126561514671e-11, 1.892002699550175733e-10, 9.490095456887227306e-10, 1.513612661332648279e-11, 2.167248910878244815e-12, 6.610135151106602420e-10, 1.125630590086339780e-09
2.031000000000000000e+03, 1.196508731337732374e-09, 9.937465552242172974e-10, 8.925164899536319131e-11, 1.867468520482212629e-10, 1.038482951103146496e-09, 1.543975490973075999e-11, 2.070348664766625525e-12, 6.549058430077724746e-10, 1.137495337797912420e-09
2.032000000000000000e+03, 1.163603192618215171e-09, 9.916212364141530985e-10, 8.450391912903486300e-11, 1.846027202602848464e-10, 1.096132670929677928e-09, 1.538070495482558521e-11, 1.951891665450612847e-12, 6.413355971723313870e-10, 1.153487086940482436e-09
2.033000000000000000e+03, 1.165428083143198135e-09, 9.908288841618556007e-10, 8.624619886252217751e-11, 1.827183252679561115e-10, 1.153994781848389318e-09, 1.542215319051981780e-11, 2.020791072712631268e-12, 6.476367591873811682e-10, 1.187685900844002774e-09
2.034000000000000000e+03, 1.246673521645903265e-09, 9.968196097932203530e-10, 8.071201997359930415e-11, 1.811318419052027908e-10, 1.005190844034369681e-09, 1.545516478188659736e-11, 2.168663830172744029e-12, 6.518622583532262935e-10, 1.181051765866503822e-09
2.035000000000000000e+03, 1.258895258446066405e-09, 1.001931720039610870e-09, 8.472377887441402378e-11, 1.798805130995615093e-10, 1.118468099206783196e-09, 1.561330246506039009e-11, 2.198606035503800120e-12, 6.420975677300323684e-10, 1.146714415835906731e-09
2.036000000000000000e+03, 1.295922234405088743e-09, 1.003526457925954315e-09, 9.545764311027917853e-11, 1.789800747454353313e-10, 1.064701117907650445e-09, 1.535188324929264150e-11, 2.258790019610273615e-12, 6.516733641367952396e-10, 1.137757846206386906e-09
2.037000000000000000e+03, 1.203509976204859189e-09, 9.984041125699904952e-10, 8.858857545487941358e-11, 1.781366249063742974e-10, 9.172515884652582543e-10, 1.518889817004690327e-11, 2.422947386141216900e-12, 6.502982702305551561e-10, 1.153291473869843302e-09
2.038000000000000000e+03, 1.268587590049356293e-09, 1.002441738470081274e-09, 9.600129695034042879e-11, 1.773498185553751623e-10, 9.825259080301871376e-10, 1.512432629203437825e-11, 2.413401444678474312e-12, 6.545528554505338252e-10, 1.135512636975133588e-09
2.039000000000000000e+03, 1.267083525362052424e-09, 1.001496933363207678e-09, 9.846554673917155304e-11, 1.767744304213556828e-10, 8.937243133763560044e-10, 1.509373939047392303e-11, 2.245625453569859687e-12, 6.494673302294808180e-10, 1.139755037157923047e-09
2.040000000000000000e+03, 1.245703499924780981e-09, 9.913302251232966444e-10, 1.066461818271379227e-10, 1.762931196596871790e-10, 1.009863330816745328e-09, 1.532219709632527944e-11, 2.069893536167318936e-12, 6.589889280755333955e-10, 1.126270087204246025e-09
2.041000000000000000e+03, 1.272453831545536502e-09, 9.878394015027584450e-10, 9.111032358278276740e-11, 1.759764643809760710e-10, 1.005729204452926395e-09, 1.401752935349039439e-11, 3.055352481127526298e-12, 6.797087599005017328e-10, 1.138075783670222176e-09
2.042000000000000000e+03, 1.242353464942468331e-09, 9.948347127808466563e-10, 9.958322757872674570e-11, 1.757154190564509542e-10, 1.100331700284681227e-09, 1.441160493411469683e-11, 3.564424227372971442e-12, 6.942838948316883765e-10, 1.175646894062039318e-09
2.043000000000000000e+03, 1.297046266251925441e-09, 9.983328272791492249e-10, 9.192858340183180681e-11, 1.754645491284512648e-10, 9.887407138988042500e-10, 1.499342367853237246e-11, 3.879667543567980848e-12, 6.994207242944746740e-10, 1.190533876728740290e-09
2.044000000000000000e+03, 1.190867410904315086e-09, 1.003808266299177000e-09, 9.943302328398802883e-11, 1.753048558300067747e-10, 1.076389520083426101e-09, 1.171338851730529088e-11, 3.812084012383884464e-12, 6.896831619788492435e-10, 1.202669098284416725e-09
2.045000000000000000e+03, 1.329990365090191584e-09, 1.000369625330824904e-09, 9.776386911239057852e-11, 1.749481034995141038e-10, 9.642280176188375205e-10, 1.236129116109681572e-11, 3.900820791305264253e-12, 6.828053528610350446e-10, 1.181971956666765136e-09
2.046000000000000000e+03, 1.306764491158480394e-09, 1.006778634628956691e-09, 8.855131476970682701e-11, 1.741793696335125611e-10, 9.506470190053738171e-10, 1.285925036213060364e-11, 4.543330750467452989e-12, 6.857131217871338927e-10, 1.190283169487633788e-09
2.047000000000000000e+03, 1.239517934799794457e-09, 1.016519317191249698e-09, 7.873798636447329563e-11, 1.732174477255951337e-10, 1.016847203851574819e-09, 1.279121968622611956e-11, 4.663529618863724817e-12, 6.924087399425526808e-10, 1.229487739383349596e-09
2.048000000000000000e+03, 1.282609803382857187e-09, 1.018663305671786271e-09, 7.865076348835902180e-11, 1.723194187488232594e-10, 9.604594654566475442e-10, 1.276974232293302974e-11, 4.643468298255227320e-12, 6.923120511925835049e-10, 1.198526302808461044e-09
2.049000000000000000e+03, 1.216387548376727344e-09, 1.017456070256223525e-09, 7.682069178986742981e-11, 1.716012761537954106e-10, 9.260652587761048755e-10, 1.135833926713329450e-11, 5.113233656669316254e-12, 6.814438661063057079e-10, 1.166824077157916900e-09
2.050000000000000000e+03, 1.306173881045922492e-09, 1.033783285544270341e-09, 7.182523613125689230e-11, 1.720731959005829103e-10, 8.675446600802585031e-10, 8.482257668551254424e-12, 5.228573956105409664e-12, 6.821058896389208021e-10, 1.198321809779562831e-09
2.051000000000000000e+03, 1.269303351762651144e-09, 1.033514891115139502e-09, 7.290713748475918636e-11, 1.721268851422718174e-10, 9.921033947728082721e-10, 8.242783553140961267e-12, 4.991377501297562698e-12, 6.868055448005382536e-10, 1.202844771558393080e-09
2.052000000000000000e+03, 1.315338035142571365e-09, 1.030635292179451526e-09, 6.650850817944446795e-11, 1.710892025906225627e-10, 9.399569943295094009e-10, 8.881187457265243428e-12, 4.508654655575632363e-12, 6.878996569547573304e-10, 1.203584769079303564e-09
2.053000000000000000e+03, 1.318246897280632897e-09, 1.028332838319634843e-09, 6.888457909261314383e-11, 1.703044386631718020e-10, 9.577511211616874392e-10, 9.764688097065410958e-12, 3.863921967836913858e-12, 6.889616156921882779e-10, 1.169908914678243669e-09
2.054000000000000000e+03, 1.334419649846837502e-09, 1.032061251622917439e-09, 6.336019634971302657e-11, 1.697245445398636879e-10, 9.292090223554275214e-10, 1.072979486600449005e-11, 3.786906548133901636e-12, 6.958691797143746008e-10, 1.183792712967193409e-09
2.055000000000000000e+03, 1.369082018973015662e-09, 1.089715906811053525e-09, 6.755072163045086265e-11, 1.701212559215870303e-10, 9.251019284653442745e-10, 1.185833121226482132e-11, 3.907333524290355459e-12, 7.737759943523202015e-10, 1.175112820511257421e-09
2.056000000000000000e+03, 1.292893256650369244e-09, 1.103960305898297254e-09, 8.327059704911763834e-11, 1.717555958636776113e-10, 8.317690877197054074e-10, 1.368555940421829211e-11, 4.202784151845921758e-12, 8.241657439775878333e-10, 1.188918859107806252e-09
2.057000000000000000e+03, 1.374358096597944706e-09, 1.121480034642565113e-09, 7.592220133914461208e-11, 1.735212726014115095e-10, 9.176351775856853861e-10, 1.801368416170133573e-11, 4.627570447735985760e-12, 8.459468855311204077e-10, 1.226489344033526772e-09
2.058000000000000000e+03, 1.375716359192965991e-09, 1.134782516476329850e-09, 8.856189545007537310e-11, 1.747945089306366502e-10, 9.456191765624093813e-10, 2.222783202264128981e-11, 4.679339274551093077e-12, 8.524828920888284202e-10, 1.188140717260680452e-09
2.059000000000000000e+03, 1.340920095825164015e-09, 1.142215669523712046e-09, 9.151240576885706537e-11, 1.759548947952860710e-10, 1.001265799392739728e-09, 2.783003720475403440e-11, 4.602264650155846077e-12, 8.563106530281874682e-10, 1.243955118914960606e-09
2.060000000000000000e+03, 1.448014491501848343e-09, 1.140928185581326600e-09, 9.689095366949361027e-11, 1.772951917429856919e-10, 9.753376198646902202e-10, 3.487624027434203133e-11, 4.532408673241981607e-12, 8.561118647205067229e-10, 1.261199599097433894e-09
2.061000000000000000e+03, 1.407884980810444223e-09, 1.148334142911711263e-09, 1.074848533112849733e-10, 1.787119612327422163e-10, 9.989332334611984088e-10, 4.271918536019889016e-11, 4.421382775711686605e-12, 8.551002732644182817e-10, 1.201544307600907739e-09
2.062000000000000000e+03, 1.341612920131744707e-09, 1.154583972979687644e-09, 1.045194947418126363e-10, 1.800450144809755073e-10, 9.066793789009372639e-10, 4.760922145891256636e-11, 4.311806727582731017e-12, 8.608303272093285001e-10, 1.239833735013661549e-09
2.063000000000000000e+03, 1.365149480936264379e-09, 1.155748192923713371e-09, 1.176079894378284986e-10, 1.813531874390826529e-10, 9.949327760130797893e-10, 5.297982832507151667e-11, 4.581640356418518115e-12, 8.657807373198297330e-10, 1.203586236259029542e-09
2.064000000000000000e+03, 1.449459133111252237e-09, 1.151915036035132989e-09, 1.171327422760766023e-10, 1.828227645012136660e-10, 9.551421901827720779e-10, 5.827727653358209121e-11, 5.242294681575286299e-12, 8.829984458565389602e-10, 1.142131737945541812e-09
2.065000000000000000e+03, 1.492558427115731528e-09, 1.145944194088632510e-09, 1.281895776643593439e-10, 1.832460295802340502e-10, 1.027252881886057360e-09, 6.667048304776009205e-11, 8.536120846715989841e-12, 8.948256508059192371e-10, 1.170975127167753892e-09
2.066000000000000000e+03, 1.507201186401254640e-09, 1.158354999433132276e-09, 1.870585824211053653e-10, 1.832186382650748262e-10, 9.884933081337833714e-10, 7.427421623650372920e-11, 6.982890471946172990e-12, 9.165335964906403922e-10, 1.263162374357821993e-09
2.067000000000000000e+03, 1.584028895482383297e-09, 1.162337192111752227e-09, 1.734403886548158850e-10, 1.838928531849139868e-10, 1.008401368320731389e-09, 8.135641226152667052e-11, 5.674469411288186277e-12, 9.342779626790688609e-10, 1.253861121363705339e-09
2.068000000000000000e+03, 1.565723921854507847e-09, 1.160739494775582580e-09, 2.010576779110377773e-10, 1.845626564543658276e-10, 1.029568275256222359e-09, 8.875571845883229944e-11, 4.860957831198722960e-12, 9.369104216561270835e-10, 1.225704889939952358e-09
2.069000000000000000e+03, 1.492789764740484345e-09, 1.166362785602076014e-09, 1.914375174283456524e-10, 1.851208069326163262e-10, 1.051263421037515149e-09, 9.584372088800416333e-11, 4.303466288346468619e-12, 9.465279896457420957e-10, 1.199376272703088908e-09
2.070000000000000000e+03, 1.531399151925547884e-09, 1.248780445867090341e-09, 2.164741284972735660e-10, 1.908652979196743218e-10, 9.580257262286623713e-10, 1.028797123492350338e-10, 4.324403108642229361e-12, 1.027603798556728670e-09, 1.241074755109634645e-09
2.071000000000000000e+03, 1.637495526950609346e-09, 1.254375638582375364e-09, 2.393269765028456291e-10, 2.008053160910045884e-10, 9.285200357827182750e-10, 1.128431137830478922e-10, 5.335004646288228591e-12, 1.069859849803902586e-09, 1.177422812821323604e-09
2.072000000000000000e+03, 1.590036507709903724e-09, 1.261136156708383548e-09, 2.368669741484947946e-10, 2.092305824116552699e-10, 9.504949645415808299e-10, 1.263081695050441420e-10, 6.684898504232055804e-12, 1.092843970424661319e-09, 1.225830500356991144e-09
2.073000000000000000e+03, 1.743583014404583381e-09, 1.276496663054130007e-09, 2.296407652761945631e-10, 2.159064944184932767e-10, 8.862388262187767756e-10, 1.428398255189318514e-10, 1.450144903885672647e-11, 1.134979858335144686e-09, 1.271635974639640756e-09
2.074000000000000000e+03, 1.657869165871262811e-09, 1.292737371597299715e-09, 2.406195526331451260e-10, 2.210833491505479459e-10, 1.020437154595181000e-09, 1.572959482535441727e-10, 2.713995617639418790e-11, 1.145363638492846882e-09, 1.268032637326756768e-09
2.075000000000000000e+03, 1.761609796508741141e-09, 1.268065518873440023e-09, 2.501227098648082747e-10, 2.284734957674723331e-10, 1.025464416205115934e-09, 1.719158426765810889e-10, 3.397464680115291590e-11, 1.136903394769523700e-09, 1.280310030874733392e-09
2.076000000000000000e+03, 1.753048418164359510e-09, 1.276458725719720506e-09, 2.455576363253855385e-10, 2.376445779688129766e-10, 9.997606123510963826e-10, 1.869771302378985604e-10, 2.096895455148759591e-11, 1.143968756254534653e-09, 1.288362796952089405e-09
2.077000000000000000e+03, 1.810065360740634096e-09, 1.283038832027855922e-09, 2.221147418104868793e-10, 2.452097148274773655e-10, 1.040605322067659149e-09, 1.923753089181976393e-10, 1.763277886970161139e-11, 1.170335680276387617e-09, 1.343545642564004294e-09
2.078000000000000000e+03, 1.872409704859567871e-09, 1.290670806904819540e-09, 2.257042663645160333e-10, 2.513504663488533040e-10, 9.618709895645292919e-10, 1.979420299877430566e-10, 2.513744622601873586e-11, 1.183767085927325590e-09, 1.418966143986824522e-09
2.079000000000000000e+03, 1.947939933752957001e-09, 1.296643305474607615e-09, 2.196249097042819138e-10, 2.562400664744327600e-10, 9.541942308904742131e-10, 2.027249341169880673e-10, 4.064504870405929639e-11, 1.183015908829749221e-09, 1.400341244374210579e-09
2.080000000000000000e+03, 1.813372694377707709e-09, 1.280498051645400452e-09, 2.303084659286819971e-10, 2.556016036266345531e-10, 9.499863847407091422e-10, 2.076276877130910033e-10, 4.955555482789349391e-11, 1.132037763615593120e-09, 1.345525653326780076e-09
2.081000000000000000e+03, 1.819178272087049751e-09, 1.290055802298446334e-09, 2.036086887719747082e-10, 2.506327280201940792e-10, 9.587596443513304194e-10, 2.095266735196443584e-10, 3.855788566978178495e-11, 1.092595090687708012e-09, 1.404724898121896754e-09
2.082000000000000000e+03, 1.843716271786134249e-09, 1.302253325004204301e-09, 1.735065774919337569e-10, 2.464484228948921114e-10, 9.463882846397996399e-10, 2.033390603557551749e-10, 3.789892299495587681e-11, 1.103933925665742194e-09, 1.424650388620004366e-09
2.083000000000000000e+03, 1.771198956568102875e-09, 1.312822238073473060e-09, 1.655582826533686643e-10, 2.428029026272668905e-10, 1.034953885696504756e-09, 1.967506004411902244e-10, 4.173683605034122194e-11, 1.108251452370915344e-09, 1.323250757199494868e-09
2.084000000000000000e+03, 1.899973769941569252e-09, 1.314368034757360956e-09, 1.553758554857620755e-10, 2.396834739001137230e-10, 9.264869994106083238e-10, 1.902825700932560174e-10, 4.682781590661586560e-11, 1.109869716468187774e-09, 1.351436797116317537e-09
2.085000000000000000e+03, 1.781957412707989518e-09, 1.347231488348937291e-09, 1.533391140361586523e-10, 2.373464128313956501e-10, 1.054571607422038211e-09, 1.846465943833562492e-10, 5.292277063875787700e-11, 1.146239592422227608e-09, 1.372159512607487152e-09
2.086000000000000000e+03, 1.954870077402834688e-09, 1.352053233537797315e-09, 1.536493829260095148e-10, 2.357128495867589029e-10, 9.218134942537670773e-10, 1.883165027088971316e-10, 4.448481275582774483e-11, 1.156707222462795291e-09, 1.401129604305819584e-09
2.087000000000000000e+03, 1.919569440326217914e-09, 1.353431668499338801e-09, 1.513130362395268065e-10, 2.343059301334191205e-10, 9.970581150895024384e-10, 1.889345564637829606e-10, 4.141477233800936370e-11, 1.173064381070001705e-09, 1.436285950862987360e-09
2.088000000000000000e+03, 1.994388918823520788e-09, 1.366426340720996716e-09, 1.493504269034983189e-10, 2.331554842863818219e-10, 9.933378429754126058e-10, 1.899345720629508612e-10, 4.349420420170680985e-11, 1.187739835856138825e-09, 1.429228573616647128e-09
2.089000000000000000e+03, 1.964087037394364149e-09, 1.370397687903487154e-09, 1.479008540513049628e-10, 2.323650783552318967e-10, 1.058493684880614168e-09, 1.910139456657942281e-10, 5.497818679593364533e-11, 1.202544594667075688e-09, 1.361224507179703931e-09
2.090000000000000000e+03, 1.979976012390206034e-09, 1.290379877208155136e-09, 1.454204761511464390e-10, 2.260677179550977045e-10, 1.027188029016292371e-09, 1.918129442933316363e-10, 6.255683406139751612e-11, 1.120161957835838710e-09, 1.418700869393825731e-09
2.091000000000000000e+03, 1.885864583293082607e-09, 1.273433669568097598e-09, 1.490059106559628227e-10, 2.158864626552931825e-10, 9.566590415195609226e-10, 1.981781615983617747e-10, 3.773155468102842302e-11, 1.052854634044853727e-09, 1.367936357955122932e-09
2.092000000000000000e+03, 1.870330717039422148e-09, 1.265826067257906020e-09, 1.374262918055888934e-10, 2.084142236222153338e-10, 9.921175928684784196e-10, 1.923688135203961095e-10, 2.440118759188640346e-11, 1.021671573218844534e-09, 1.306635964426381744e-09
2.093000000000000000e+03, 1.845839487440210506e-09, 1.259727898591625026e-09, 1.399393590882641863e-10, 2.028072364906769762e-10, 9.432262237631111380e-10, 1.848764658034029509e-10, 1.898600837883506546e-11, 1.037421519999904119e-09, 1.344754762808406642e-09
2.094000000000000000e+03, 1.796280819661671609e-09, 1.246205753512340476e-09, 1.341136792284328800e-10, 1.981051282032307867e-10, 9.589475268136233949e-10, 1.767134575816081904e-10, 1.640454787858699965e-11, 1.022305935141211255e-09, 1.356320697106660090e-09
2.095000000000000000e+03, 1.916261611939534734e-09, 1.183981698203875118e-09, 1.368442828070304082e-10, 1.920167277572112436e-10, 9.371221624189733504e-10, 1.669574233729666939e-10, 1.503278969326475945e-11, 9.562777485088237632e-10, 1.419537279254592108e-09
2.096000000000000000e+03, 1.729348355557076201e-09, 1.179264323732329222e-09, 1.403759497578672378e-10, 1.850602922567362270e-10, 8.263582013360405910e-10, 1.588727150547114705e-10, 1.311184442196864450e-11, 9.198822963806001345e-10, 1.376061166396672566e-09
2.097000000000000000e+03, 1.790777163637397350e-09, 1.157820598870823836e-09, 1.396095525541558702e-10, 1.793087333822033624e-10, 8.962477540156938551e-10, 1.425057024772673367e-10, 1.171755564138278167e-11, 9.016879266593945942e-10, 1.343500683893607688e-09
2.098000000000000000e+03, 1.748695059970031336e-09, 1.137483615104657124e-09, 1.384467787492790806e-10, 1.745085293585250714e-10, 8.717289122516773944e-10, 1.255845286336499442e-10, 1.066449495165476387e-11, 8.801791667461431768e-10, 1.340694500720999611e-09
2.099000000000000000e+03, 1.816887159025180556e-09, 1.135099356665080721e-09, 1.373456594122246093e-10, 1.704263537660681806e-10, 8.611045933949095304e-10, 1.082364545310831059e-10, 9.542640997011955027e-12, 8.640024735732471131e-10, 1.317183584998588561e-09
2.100000000000000000e+03, 1.662351319647462695e-09, 1.138787291626947713e-09, 1.364057964060144696e-10, 1.555429015185744679e-10, 8.419869055329656733e-10, 8.999189828443507620e-11, 8.907455198646932193e-12, 8.389464426517561127e-10, 1.320191829628399090e-09
