year, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM
2.039000000000000000e+03, 4.727014876936413554e-11, 1.347141239716456450e-09, 1.368494319644465684e-11, 2.245625485394880488e-12, 2.176182018778229450e-10, 2.488163939155387066e-10, 1.949714238361385139e-10, 5.130848565958419110e-11, 3.065382807336715128e-11, 1.240828705814758082e-09
2.040000000000000000e+03, 5.069664194565635694e-11, 1.349572152335339718e-09, 1.393057044356478721e-11, 2.069893541051742905e-12, 2.187254705264151692e-10, 2.828335412859196214e-10, 1.953552572079452250e-10, 5.108943408843500154e-11, 3.170904018470499232e-11, 1.294226982062033649e-09
2.041000000000000000e+03, 5.412494113195718151e-11, 1.361510485942407880e-09, 1.169973616666995781e-11, 3.055352496869060121e-12, 2.260956944572954624e-10, 2.762231123571947254e-10, 1.962740878408013289e-10, 4.821227177528911691e-11, 2.763388802993787443e-11, 1.351242787969816914e-09
2.042000000000000000e+03, 5.762778124662277924e-11, 1.376641479989648756e-09, 1.262491476002882588e-11, 3.564424201663119599e-12, 2.290461618151611618e-10, 2.647788461420826507e-10, 1.987484781014631620e-10, 4.973284641438045176e-11, 3.035734711038334219e-11, 1.312346446929482434e-09
2.043000000000000000e+03, 6.064955289419738198e-11, 1.376596843203556742e-09, 1.373408344384897102e-11, 3.879667550093246001e-12, 2.353735910484646631e-10, 2.871051153086840640e-10, 2.051277686467009159e-10, 5.605435680455449930e-11, 3.396879173194551217e-11, 1.256657912160662221e-09
2.044000000000000000e+03, 6.161680840222058791e-11, 1.301595386020093556e-09, 1.504882005713391389e-11, 3.812084038843232220e-12, 2.355054759054915087e-10, 2.861181416920321438e-10, 2.035595927102093282e-10, 5.664489764615941915e-11, 3.156479714859110839e-11, 1.287549703920757803e-09
2.045000000000000000e+03, 5.979898062949737945e-11, 1.342754501007022011e-09, 1.571825697664336350e-11, 3.900820835753247397e-12, 2.387694295829110173e-10, 2.610128163200791753e-10, 1.972516535430321895e-10, 6.208932796695442090e-11, 3.135996107259579936e-11, 1.348822267191797178e-09
2.046000000000000000e+03, 5.866109170010577671e-11, 1.328542278669954029e-09, 1.562923859390099555e-11, 4.543330705481457519e-12, 2.280877273832447176e-10, 2.706429814955257421e-10, 2.017018238140136657e-10, 5.317231238216370419e-11, 2.170031874308399284e-11, 1.393246411096983617e-09
2.047000000000000000e+03, 5.839745442570774335e-11, 1.305091147065565034e-09, 1.590354374896545237e-11, 4.663529728427234919e-12, 2.280353175412993152e-10, 2.953106995562736455e-10, 1.970273830331330670e-10, 5.363998438409864737e-11, 2.355972525172447317e-11, 1.357577168796428828e-09
2.048000000000000000e+03, 5.778942787248955374e-11, 1.344111773858927269e-09, 1.611628860323181221e-11, 4.643468421035068974e-12, 2.197747281338913279e-10, 3.133228647790270258e-10, 1.932163240040946251e-10, 5.304845079783993199e-11, 2.343696013428262164e-11, 1.324408281537396407e-09
2.049000000000000000e+03, 5.862783580588517672e-11, 1.348132413142511011e-09, 1.609485105865070657e-11, 5.113233600403913416e-12, 2.211902094994585026e-10, 2.830012741322561024e-10, 1.949288393155997520e-10, 5.338080201261613128e-11, 2.296911017542716786e-11, 1.343015018311588015e-09
2.050000000000000000e+03, 6.928611298746831633e-11, 1.364816786109810543e-09, 1.660208734488784376e-11, 5.228573911911972773e-12, 2.247015016064819919e-10, 2.691694611771018816e-10, 2.024337721260773685e-10, 5.440156613318196593e-11, 1.757335861941275339e-11, 1.304005046681680189e-09
2.051000000000000000e+03, 7.580251544377751022e-11, 1.366141384669246317e-09, 1.796798691080767843e-11, 4.991377511332421904e-12, 2.377419454914074544e-10, 3.057617392413663282e-10, 2.031713006780841074e-10, 5.144812014100538300e-11, 3.555405614965367614e-11, 1.319373226497952082e-09
2.052000000000000000e+03, 7.806311997681238692e-11, 1.365304439145209917e-09, 1.806826043061519466e-11, 4.508654708282333762e-12, 2.335613780186566191e-10, 3.127163928528880080e-10, 2.025735388343069464e-10, 5.536907963708002891e-11, 4.296936573596802340e-11, 1.338896672681815759e-09
