year, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM
2.055000000000000000e+03, 5.470632938717385219e-11, -1.493230023241959367e-09, 7.644788483074555763e-10, 2.409020183567498973e-10
2.056000000000000000e+03, 1.047063184332875577e-10, -1.417210262542799970e-09, 8.139241417126782380e-10, 2.609527818393858019e-10
2.057000000000000000e+03, 1.070190687552451486e-10, -1.498564428287688702e-09, 8.371130902797364874e-10, 2.634834895812140586e-10
2.058000000000000000e+03, 1.378374667571185020e-10, -1.499576889406072230e-09, 8.143285840598800996e-10, 2.623219638653571248e-10
2.059000000000000000e+03, 1.671105549819605309e-10, -1.464662339305865462e-09, 8.122591038408997139e-10, 2.586764750159099850e-10
2.060000000000000000e+03, 2.044814684465568872e-10, -1.572089206634845730e-09, 8.750706655635181608e-10, 2.654644002265636199e-10
2.061000000000000000e+03, 1.643974862937494699e-10, -1.531657079974545463e-09, 9.277287612445499124e-10, 2.703727092568349265e-10
2.062000000000000000e+03, 1.798674652944466475e-10, -1.465447080312816092e-09, 8.922432526979666285e-10, 2.745291214180434694e-10
2.063000000000000000e+03, 1.870129507354208653e-10, -1.488763181240684723e-09, 8.759096579919546079e-10, 2.812258490637792400e-10
2.064000000000000000e+03, 2.527552162698054739e-10, -1.572875605780862651e-09, 9.389964393006140631e-10, 2.854756290753387923e-10
2.065000000000000000e+03, 2.917609748515288702e-10, -1.615879374573405396e-09, 9.576820450351413787e-10, 2.905363075802090708e-10
2.066000000000000000e+03, 2.866629131196408092e-10, -1.629959921429646320e-09, 8.882547987484526634e-10, 2.557394515800822345e-10
2.067000000000000000e+03, 3.240346168619469040e-10, -1.706740181209959700e-09, 9.101568479923332026e-10, 2.731678383435258379e-10
2.068000000000000000e+03, 3.472467100285349301e-10, -1.688492729458322006e-09, 8.590952344613086885e-10, 2.768782964552821509e-10
2.069000000000000000e+03, 3.820869895965333018e-10, -1.615220795828220644e-09, 8.158261047106838443e-10, 2.741937825652145136e-10
2.070000000000000000e+03, 3.987703537404008877e-10, -1.653485774772252923e-09, 8.595630272771472763e-10, 2.764040132593247989e-10
2.071000000000000000e+03, 4.822003872080924793e-10, -1.760003144973795716e-09, 9.350749008824191845e-10, 3.764847976824009720e-10
2.072000000000000000e+03, 5.535879123336676320e-10, -1.711980785050705756e-09, 1.036703321048677713e-09, 3.900142184861282794e-10
2.073000000000000000e+03, 5.880223289593521339e-10, -1.865153845799707443e-09, 1.134835275142104175e-09, 3.816018868789559884e-10
2.074000000000000000e+03, 6.335117836337240765e-10, -1.779181960852159085e-09, 1.058997524898555190e-09, 3.851867311392739473e-10
2.075000000000000000e+03, 6.456737564156553902e-10, -1.882655723904935780e-09, 1.069173473969268242e-09, 3.851399577999925511e-10
2.076000000000000000e+03, 5.111308400623271192e-10, -1.872943754691030903e-09, 1.104995607494973363e-09, 4.237353753160343319e-10
2.077000000000000000e+03, 5.339547502584795342e-10, -1.929209464114429323e-09, 1.011802985512789653e-09, 4.296154586937402631e-10
2.078000000000000000e+03, 5.504542993710750612e-10, -1.991297875052071520e-09, 1.022204913506852886e-09, 4.373380168971639219e-10
2.079000000000000000e+03, 5.663280660592833679e-10, -2.066155265368368888e-09, 1.086067695769252868e-09, 4.442385193659010566e-10
2.080000000000000000e+03, 5.838172646133098895e-10, -1.931389215506141275e-09, 1.128152382927931645e-09, 4.446663626935253713e-10
2.081000000000000000e+03, 4.902716824657354931e-10, -1.936288239706126880e-09, 1.117275813050173130e-09, 3.805479108851146777e-10
2.082000000000000000e+03, 4.933204615596145001e-10, -1.960678414325817575e-09, 1.220277892766892636e-09, 3.782678700337259124e-10
2.083000000000000000e+03, 5.176124695346735539e-10, -1.887651579374086697e-09, 1.268020757999475688e-09, 3.762175660915851511e-10
2.084000000000000000e+03, 5.239224933634015846e-10, -2.016402879551526860e-09, 1.192444036449728481e-09, 3.702800345999613814e-10
2.085000000000000000e+03, 5.514850044065701908e-10, -1.897994899103088774e-09, 1.119704074595599698e-09, 3.684917841933111603e-10
2.086000000000000000e+03, 5.143864845927936415e-10, -2.070398930675538756e-09, 1.187407988730687501e-09, 3.727506392229603748e-10
2.087000000000000000e+03, 5.323169888445181337e-10, -2.034746538520382047e-09, 1.171776344393986818e-09, 3.710180390254568332e-10
2.088000000000000000e+03, 5.449745751388952482e-10, -2.109168640981550927e-09, 1.138521597767334068e-09, 3.693984225197313491e-10
2.089000000000000000e+03, 5.527540333785388114e-10, -2.078465748558160550e-09, 1.180312286360932733e-09, 3.679808930856890586e-10
2.090000000000000000e+03, 5.696868543165650505e-10, -2.091954024653726106e-09, 1.303828696418431646e-09, 3.669073610564041514e-10
2.091000000000000000e+03, 3.606229093959659665e-10, -1.994432425248568659e-09, 1.288597723754837760e-09, 2.746921197293069470e-10
2.092000000000000000e+03, 3.527447281289367817e-10, -1.978227311481633002e-09, 1.246873394986662109e-09, 2.671987258796125667e-10
2.093000000000000000e+03, 3.449262992557230746e-10, -1.953130013198777842e-09, 1.327609251633801959e-09, 2.631965303936669180e-10
2.094000000000000000e+03, 3.375948501301497502e-10, -1.903037159247995878e-09, 1.351983408578774678e-09, 2.606321756492028594e-10
2.095000000000000000e+03, 3.259459510189284692e-10, -2.022674049200536198e-09, 1.339572077604100223e-09, 2.575193984095660026e-10
2.096000000000000000e+03, 1.810362506457152510e-10, -1.834703026957838091e-09, 1.359474562153902738e-09, 2.041586545664414519e-10
2.097000000000000000e+03, 1.670160817656957751e-10, -1.895472562622179602e-09, 1.340651595213022261e-09, 1.980006540420577825e-10
2.098000000000000000e+03, 1.503910882650221978e-10, -1.852905113205225092e-09, 1.213337535541798907e-09, 1.939678507066869864e-10
2.099000000000000000e+03, 1.334954544295659335e-10, -1.922312514803084990e-09, 1.203082784002737451e-09, 1.897990498136551434e-10
2.100000000000000000e+03, 1.145791468723829616e-10, -1.768143099328246224e-09, 1.264748764288931330e-09, 1.873645760515366785e-10
