year, CMCC-CM2-SR5, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, CanESM5, INM-CM5-0
2.037000000000000000e+03, 1.655697502703454393e+00, 1.811150285165243901e+00, 1.739099048342557463e+00, 1.719551778338261672e+00, 1.455730283158069849e+00, 2.019072072602134060e+00, 1.561175012588227773e+00, 1.647992837754361339e+00, 1.861206315443498793e+00, 1.721637391515039361e+00, 1.658157674801220338e+00, 1.574968462299224381e+00, 1.530481400249736446e+00, 1.985890881856038792e+00, 1.753890672944648399e+00, 1.721356970448930435e+00
2.038000000000000000e+03, 1.700625807041912907e+00, 1.779437223349760178e+00, 1.742324333314818841e+00, 1.664102123214907358e+00, 1.449495042870287076e+00, 1.913097222869620584e+00, 1.512780499698734182e+00, 1.644594479260116815e+00, 1.862855670230009641e+00, 1.723057135604569634e+00, 1.800025901682745344e+00, 1.682027414962135259e+00, 1.543842339725920221e+00, 1.963442315249410042e+00, 1.754965755884146494e+00, 1.790375844741327827e+00
2.039000000000000000e+03, 1.570251633374116107e+00, 1.771758506966548685e+00, 1.763119353893034980e+00, 1.747762551996854707e+00, 1.509846754027360793e+00, 2.037072101214389530e+00, 1.518680803934340018e+00, 1.659152800245583759e+00, 1.906969199276844051e+00, 1.726936057479676823e+00, 1.687022605339324244e+00, 1.594446313301445040e+00, 1.637368583011430623e+00, 1.854291674181405059e+00, 1.777438632276756580e+00, 1.788400257392153581e+00
2.040000000000000000e+03, 1.531440452195749646e+00, 1.710993899183993028e+00, 1.765786871694515758e+00, 1.741913502280629356e+00, 1.522279645574863727e+00, 2.136091295212803942e+00, 1.536656055978602664e+00, 1.577276978958596532e+00, 1.889007398587585262e+00, 1.626823440685536415e+00, 1.741093957687853466e+00, 1.590446529979070656e+00, 1.660364827982715674e+00, 1.945209325939226908e+00, 1.776962538826603266e+00, 1.777155750193620376e+00
2.041000000000000000e+03, 1.685022142489766672e+00, 1.818607340772841363e+00, 1.826178192965376201e+00, 1.679030889833631912e+00, 1.446453248242125511e+00, 2.111494259165215936e+00, 1.645631698486021088e+00, 1.547890390407184347e+00, 1.925724282203043591e+00, 1.623600982901364898e+00, 1.837127825474938803e+00, 1.645899282929283558e+00, 1.557099755031453148e+00, 1.850080718837153970e+00, 1.857315640035422932e+00, 1.864137464878071748e+00
2.042000000000000000e+03, 1.676340433440920652e+00, 1.785692088208127082e+00, 1.706750616554148614e+00, 1.672861273691256923e+00, 1.506533609726491418e+00, 1.999745298381661485e+00, 1.492517399380546950e+00, 1.518019383652818410e+00, 1.937227385514739941e+00, 1.709134634998347613e+00, 1.639565619100614047e+00, 1.624669770652967360e+00, 1.641606262507507852e+00, 1.901282532649516410e+00, 1.772185561647100061e+00, 1.792377670158608272e+00
2.043000000000000000e+03, 1.683560538019785779e+00, 1.858053688276882776e+00, 1.856765263067638561e+00, 1.722477147449207990e+00, 1.546713122680421604e+00, 2.062850971533511046e+00, 1.558513270861081157e+00, 1.553702917397854488e+00, 1.791526385830392254e+00, 1.812506033004503747e+00, 1.769431621318352743e+00, 1.637164027188737103e+00, 1.500034630054776885e+00, 1.888535439756285017e+00, 1.700288160349079591e+00, 1.892595012516597786e+00
2.044000000000000000e+03, 1.718104210578538238e+00, 1.854106705813057143e+00, 1.807090604660529065e+00, 1.700220807833763281e+00, 1.519740705565796990e+00, 2.065229605894848497e+00, 1.540969348521561422e+00, 1.580507886574050058e+00, 1.903305304483807747e+00, 1.695234279789017195e+00, 1.731606330071912447e+00, 1.625475297760035520e+00, 1.655787248539623890e+00, 1.865084322482682966e+00, 1.769485001033808125e+00, 1.777943328740039020e+00
2.045000000000000000e+03, 1.665448533792990959e+00, 1.776014446917131062e+00, 1.695070594127809471e+00, 1.595565873992782713e+00, 1.516578049343083379e+00, 2.062740868004211858e+00, 1.597988536270425808e+00, 1.624415993093149879e+00, 1.915453720205631871e+00, 1.736616124072883460e+00, 1.766129753446105344e+00, 1.526072281886073245e+00, 1.672530571987463688e+00, 1.978817581890948141e+00, 1.766970528135662910e+00, 1.761004584944933393e+00
2.046000000000000000e+03, 1.644253754675544021e+00, 1.783110774944044019e+00, 1.897545974119983159e+00, 1.737786144874034155e+00, 1.555803990029313466e+00, 2.082649719587488235e+00, 1.592237822207842823e+00, 1.611216428320601413e+00, 1.872689081964933999e+00, 1.743594683881102947e+00, 1.664755670444318048e+00, 1.610980092464525448e+00, 1.553415705792737800e+00, 1.977076784432546530e+00, 1.887259997995686334e+00, 1.710080202367593616e+00
