year, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-LM, TaiESM1, CanESM5, UKESM1-0-LL, ACCESS-ESM1-5, INM-CM5-0, CNRM-ESM2-1, MIROC-ES2L, IPSL-CM6A-LR, EC-Earth3-Veg, GFDL-ESM4
2.046000000000000000e+03, 2.181713442709456718e-01, 3.974834794815657046e-01, 2.138747097050776869e-01, 2.796561512289985063e-01, 5.871032038138274123e-01, 2.680890889044826308e-01, 2.910314865262447204e-01, 3.972340727367488222e-01, 6.266969458400575288e-01, 1.672592926118797174e-01, 2.601550359327028938e-01, 1.034530058046961187e+00, 6.135812013338924897e-01, 6.356879872640341933e-01, 6.427277399778498213e-01, 5.130507592605580980e-01
2.047000000000000000e+03, 3.205483414494354477e-01, 4.067547378200769836e-01, 5.929811666383156821e-01, 2.938626983402081172e-01, 3.635747686885545948e-01, 2.727267569916052570e-01, 4.811618206305563056e-02, 2.700558894447814828e-01, 5.135252540254849896e-01, 2.842146389711495691e-01, 4.206820850377937515e-01, 8.732324994511848626e-01, 6.018307444569596099e-01, 5.696742218314038153e-01, 1.820998775042385331e-01, 5.620385615765742804e-01
2.048000000000000000e+03, -1.443374715241388384e-01, 3.518151690285702959e-01, 7.546466880866254945e-01, 3.089683830824997424e-01, 4.667531180253287060e-01, 3.484776023573378234e-01, -5.912560722990172803e-03, 8.792272157339955374e-01, 4.013770282934132072e-01, 4.380409903037988384e-01, 2.240389758398350084e-01, 6.188911520556649171e-01, 5.956691404728026162e-01, 6.088634391663059198e-01, 5.511081351027625752e-01, 3.140367489494359510e-01
2.049000000000000000e+03, -4.592593382491610421e-01, 1.562443886611412647e-01, 2.648943096371885741e-01, 5.274369404256518123e-01, 3.111326322599198280e-01, 4.791665394796466027e-01, 2.382641715047570663e-01, 6.232359812119295794e-01, 3.110033387274275807e-01, 4.524725671614709399e-01, 5.666483311660819311e-01, 1.008814520433081618e+00, 5.964218237827707547e-01, 6.855721295178783814e-01, 6.176604230535240880e-01, 4.754793882052531506e-01
2.050000000000000000e+03, -1.114429092391731324e-01, 2.973607198262839257e-01, 3.632853871363760367e-01, 3.308885645080085203e-01, 2.629230972204093519e-01, 5.584816555086837830e-01, 1.759230600556802374e-02, 6.172325613735754057e-01, 4.446096503119350563e-01, 2.500356640278611486e-01, 2.582170572303236766e-01, 9.730255624838590744e-01, 7.338641258797921063e-01, 4.370008865582980517e-01, 4.343606757611789826e-01, 6.705690198900109422e-01
2.051000000000000000e+03, -4.586680816677835004e-01, 4.265924625239657098e-01, 1.253934151886283987e-01, 3.897461811198564274e-01, 7.366920162201203715e-01, 4.691150598273427508e-01, 1.442354773603514960e-02, 5.689243483873454021e-01, 5.058706166194482101e-01, 2.339545196355928558e-01, 4.641002457609030296e-01, 7.262078283806233658e-01, 7.556231234577053257e-01, 4.807782282836706167e-01, 5.439335722073518342e-01, 2.145911354983429942e-01
2.052000000000000000e+03, -1.701175959488606393e-01, 4.145828751026497394e-01, 4.556962940410224649e-01, 1.605742966457728016e-01, 6.466178299625565673e-01, 4.938760372108141339e-01, 2.500554129883788557e-01, 6.501559254702528046e-01, 6.594059276532359126e-01, 2.906145650345219322e-01, 3.161355728647877172e-01, 1.029936491768666862e+00, 8.562797511304610643e-01, 5.855234117690336637e-01, -6.199508383021832408e-02, 3.646739039474158894e-01
2.053000000000000000e+03, 2.640392995122701203e-01, 6.420257107631643922e-01, 4.252266854855634715e-01, 5.406654502815685381e-01, 1.664491183783113615e-01, 7.608794344018526834e-02, 9.455071329668303381e-02, 6.486330692471993231e-01, 2.970427772098920283e-01, 3.878687566952746524e-01, 3.940391222833962703e-01, 6.618591122048830266e-01, 7.271629629173819165e-01, 4.592456664555594203e-01, 4.688871112590590196e-01, 5.099731007602866795e-01
2.054000000000000000e+03, 1.220261120633586542e-02, 6.186488744309054377e-01, 3.609976553843990410e-01, 2.567487923171758446e-01, 4.644548383122776292e-01, 2.140173199635118928e-01, 1.294396190896446308e-01, 5.859060359084027336e-01, 2.712409027552614149e-01, 4.393990599646739881e-01, 4.504878029923614080e-01, 7.393711440695286408e-01, 7.254175792348624974e-01, 4.179514042649387084e-01, 2.441849638929714239e-01, 4.934678948662656883e-01
2.055000000000000000e+03, -8.907722612137955465e-02, 1.341502613889284934e-01, 2.370703360519602898e-01, 3.653098889749598066e-01, 5.490307538305547741e-01, 5.622154949735578278e-01, 1.492664251012366938e-01, 6.414197267046947148e-01, 4.354699909798494528e-01, 2.514509528529975668e-01, 3.656081627571359793e-01, 3.934301376088480406e-01, 4.341261098524841766e-01, 7.048751717364446501e-01, -1.114419450467578482e-01, 6.079925865176405431e-01
2.056000000000000000e+03, -8.977368763549797848e-02, 3.768300959200201472e-01, 1.851266794003591509e-01, 5.199815014444321148e-01, 2.001666780901003584e-01, 5.162548722114728150e-01, 2.561473349391294591e-02, 5.012612516652312777e-01, 2.411490570068017814e-01, 1.285962316552316520e-01, 2.452107212696139904e-01, 3.873842610429595323e-01, 4.154097538661153943e-01, 4.614112009652440172e-01, -2.156937975102342364e-01, 5.006553484508061702e-01
2.057000000000000000e+03, -1.512326491437411269e-01, 2.791653686511041954e-01, 5.197208363209084858e-01, 2.047798579322982204e-01, 5.139802425545588749e-01, 1.700594472358102072e-01, 8.909913675970396185e-02, 8.959642180189106853e-01, 4.915781564520396163e-01, -9.241024064094213036e-03, 2.612232158780906088e-01, 7.961339080349594255e-01, 4.019333383687991867e-01, 5.257488513852510703e-01, -3.289893051283828557e-02, 6.211306565370755539e-01
