year, MIROC-ES2L, IPSL-CM6A-LR, ACCESS-ESM1-5, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-CM2-SR5
2.055000000000000000e+03, 8.920415527591090132e-01, 1.792287155465928095e-01, 1.173838771627575550e+00, 4.170908722560503698e-03, 9.180262626440282014e-01, 5.769229378469728498e-03, 8.681422770483157580e-03, 1.249397936580030510e+00, 6.683429274333532177e-01
2.056000000000000000e+03, 8.993240539236331266e-01, 1.830354998253687082e-01, 1.178370437669192361e+00, 4.132062843977083247e-03, 9.228878622700120715e-01, 5.672464180979859896e-03, 8.649268884478018490e-03, 1.252630952825067201e+00, 6.683827627898050183e-01
2.057000000000000000e+03, 9.066327787733655663e-01, 1.868376907165484879e-01, 1.180974889322475851e+00, 4.095212123723043947e-03, 9.236552058474769566e-01, 5.593282564156774016e-03, 8.566452225655944025e-03, 1.257389454709134657e+00, 6.681555454153511597e-01
2.058000000000000000e+03, 9.137929306755461223e-01, 1.902748952394439086e-01, 1.182757993961626397e+00, 4.056050941492687044e-03, 9.220665064815500855e-01, 5.530968219616945979e-03, 8.434237149843929610e-03, 1.255921075906390127e+00, 6.678263239425836773e-01
2.059000000000000000e+03, 9.181675383312631888e-01, 1.937142991582095908e-01, 1.183571151605785632e+00, 4.017247104686396536e-03, 9.235312589012449891e-01, 5.503329393481489959e-03, 8.296093784203898910e-03, 1.253222797167173885e+00, 6.676566154112429929e-01
2.060000000000000000e+03, 9.178650900402385293e-01, 1.971436445676744975e-01, 1.184249858132631283e+00, 3.981026825567545238e-03, 9.266118814887949195e-01, 5.499038516103516190e-03, 8.076871975243211932e-03, 1.259585323077331953e+00, 6.672048550695862668e-01
2.061000000000000000e+03, 9.198107167133244833e-01, 2.010801529956904865e-01, 1.201390017150457012e+00, 3.956120121210628809e-03, 9.295166469528268749e-01, 5.561555441763565977e-03, 7.967860596392439126e-03, 1.264858165699704218e+00, 6.665991319774774437e-01
2.062000000000000000e+03, 9.173717467349794541e-01, 2.049640982974511305e-01, 1.214512994807500634e+00, 3.926700727501182542e-03, 9.294538579182582971e-01, 5.671152682886286198e-03, 7.902722720464636780e-03, 1.261031632258541091e+00, 6.660932072033417528e-01
2.063000000000000000e+03, 9.144193331084630172e-01, 2.085799875063283071e-01, 1.227916605295884755e+00, 3.889712969310378955e-03, 9.299562709836436403e-01, 5.810403325993715971e-03, 8.169473089875768299e-03, 1.255578472807358903e+00, 6.662462259956347665e-01
2.064000000000000000e+03, 9.134672379164850975e-01, 2.116687373630807278e-01, 1.239244159106837273e+00, 3.866696691504726505e-03, 9.282830466387976820e-01, 5.986069640234906869e-03, 8.790712163027934040e-03, 1.264735798977177916e+00, 6.669590086487494629e-01
2.065000000000000000e+03, 9.110679676863403520e-01, 2.145290979417643629e-01, 1.251349257494803302e+00, 3.832030596186927675e-03, 9.301112128900250742e-01, 6.252257470676877461e-03, 9.436634812519058280e-03, 1.266362168658066611e+00, 6.673734504444492899e-01
2.066000000000000000e+03, 9.074327281404889201e-01, 2.155128325326938765e-01, 1.280555388421939833e+00, 3.781377662905423091e-03, 9.296249238464168174e-01, 6.287251471311502624e-03, 9.386510509817867429e-03, 1.258494840819945670e+00, 6.671754928520212680e-01
2.067000000000000000e+03, 8.997461599821289235e-01, 2.164766437423124856e-01, 1.304431168976279976e+00, 3.741398672875947615e-03, 9.299176852705812735e-01, 6.327116091591273445e-03, 9.358307705510850866e-03, 1.255872713475350455e+00, 6.668314352473108109e-01
2.068000000000000000e+03, 8.792278138423464950e-01, 2.146500032077998110e-01, 1.326267400393610130e+00, 3.707298420358026963e-03, 9.325545475446073151e-01, 6.374963597250487765e-03, 9.296018226470373347e-03, 1.256125414457901934e+00, 6.670239038686734956e-01
2.069000000000000000e+03, 8.651717311906726993e-01, 2.134597547435087561e-01, 1.346870318172804337e+00, 3.679178879445656886e-03, 9.184481848661300019e-01, 6.386624647893770351e-03, 9.216478203047814843e-03, 1.256183829132711649e+00, 6.666651228970423837e-01
2.070000000000000000e+03, 8.642153251077293596e-01, 2.135472592031587569e-01, 1.368982494736067812e+00, 3.643393871963008721e-03, 9.112069518685295133e-01, 6.404431919619073092e-03, 9.119819812695701897e-03, 1.257989190116835188e+00, 6.643856598237509736e-01
2.071000000000000000e+03, 8.670446240535713001e-01, 2.160908098044162229e-01, 1.381949979174053933e+00, 3.607703465668824546e-03, 9.036829394347136724e-01, 6.505205193104371050e-03, 9.623595118857700137e-03, 1.259051245118719464e+00, 6.610866094418805794e-01
2.072000000000000000e+03, 8.517671596993641181e-01, 2.180165768426804707e-01, 1.395714717587858367e+00, 3.569510534650211387e-03, 8.954029612541050120e-01, 6.664790108494010948e-03, 1.013517847240850457e-02, 1.262653618585153348e+00, 6.570835886924503155e-01
2.073000000000000000e+03, 8.325092432216628646e-01, 2.219327775557611293e-01, 1.406567083976906662e+00, 3.529131545959773939e-03, 8.863540912230785107e-01, 6.875909486155509440e-03, 1.059207953151844461e-02, 1.260448672653279534e+00, 6.522848259872132681e-01
2.074000000000000000e+03, 8.308014735616514601e-01, 2.232518953193036726e-01, 1.421125800341382472e+00, 3.497885513371509856e-03, 8.789168419234375529e-01, 7.215507048540088092e-03, 1.133708413490099390e-02, 1.254768182111165808e+00, 6.482316358194331052e-01
2.075000000000000000e+03, 8.459334213092595256e-01, 2.251521151026754375e-01, 1.433182247461043390e+00, 3.476610371584882859e-03, 8.773647831560312804e-01, 7.546162895876195632e-03, 1.261259240522078807e-02, 1.254363320235417190e+00, 6.451554400044039461e-01
2.076000000000000000e+03, 8.539304739071659212e-01, 2.323482432215100979e-01, 1.432082459078754200e+00, 3.460715939532703431e-03, 8.843404016622307129e-01, 7.634248156381787456e-03, 1.540895974769853835e-02, 1.265575868380736102e+00, 6.420426656477496996e-01
2.077000000000000000e+03, 8.585483175963873892e-01, 2.392954695183948377e-01, 1.421832152763392143e+00, 3.441001028829444863e-03, 8.783876555240058837e-01, 7.822870644490349107e-03, 1.797396658796305419e-02, 1.276692632158396457e+00, 6.386549365925101585e-01
2.078000000000000000e+03, 8.631542682368448238e-01, 2.454632658509092735e-01, 1.415038345126963248e+00, 3.415473587948240040e-03, 8.710099893407208249e-01, 8.032148391472237678e-03, 2.018329059657217664e-02, 1.278106008876271460e+00, 6.350427245792749087e-01
2.079000000000000000e+03, 8.658670360890604600e-01, 2.506045212409334089e-01, 1.408869343815150055e+00, 3.395257067875326936e-03, 8.677002336572796626e-01, 8.241367288469206298e-03, 2.209490534818158228e-02, 1.284517047417643276e+00, 6.309747594848901242e-01
2.080000000000000000e+03, 8.627243489984703917e-01, 2.552001402130815166e-01, 1.404420993328914458e+00, 3.373868429276227331e-03, 8.664432239755465170e-01, 8.538485759819842633e-03, 2.391550323556038485e-02, 1.295500057353865753e+00, 6.260286585700214346e-01
2.081000000000000000e+03, 8.627051697341248104e-01, 2.561143267624411135e-01, 1.404085616688437677e+00, 3.336195785500765693e-03, 8.637278819643106065e-01, 8.518942747929277373e-03, 2.463988995179543576e-02, 1.288061488200494598e+00, 6.204427665900017486e-01
2.082000000000000000e+03, 8.628860528838920851e-01, 2.568754189046857928e-01, 1.404581419074571569e+00, 3.307190225667047331e-03, 8.643360399016511986e-01, 8.519601583279265075e-03, 2.529216648470291803e-02, 1.289760502005417475e+00, 6.151022837045433400e-01
2.083000000000000000e+03, 8.624245345850942712e-01, 2.570002387313254921e-01, 1.405323822799032119e+00, 3.280859141582100763e-03, 8.542747771223259123e-01, 8.591390034045579688e-03, 2.576779985980486368e-02, 1.288586893129572308e+00, 6.097872412731262237e-01
2.084000000000000000e+03, 8.631142702580584247e-01, 2.568549480978076227e-01, 1.406138100976580985e+00, 3.247551946171200413e-03, 8.518242503703519208e-01, 8.681820444142090976e-03, 2.597995403810473419e-02, 1.284989705513629232e+00, 6.042451305835663256e-01
2.085000000000000000e+03, 8.493477543580233435e-01, 2.565523559265226461e-01, 1.406781538310124313e+00, 3.208871831357095004e-03, 8.434454026867977960e-01, 8.871756009729317785e-03, 2.597181606005590643e-02, 1.277537678007593547e+00, 5.981681956328885885e-01
2.086000000000000000e+03, 8.447933531905745808e-01, 2.491505932628332587e-01, 1.391062549813064431e+00, 3.154805999348739721e-03, 8.371950525446155700e-01, 8.723189973038593392e-03, 2.357250526511779631e-02, 1.269811545308306311e+00, 5.917918174669170028e-01
2.087000000000000000e+03, 8.404262065016642191e-01, 2.420782688985897713e-01, 1.378840763579981088e+00, 3.107608122688432749e-03, 8.298126306115550799e-01, 8.606740161932885380e-03, 2.138093826801021682e-02, 1.259482838034789109e+00, 5.856501587372416884e-01
2.088000000000000000e+03, 8.345633043949727270e-01, 2.358423239335373511e-01, 1.367012261549486629e+00, 3.066779156944552352e-03, 8.177125163688423459e-01, 8.523526801075492418e-03, 1.947790915373229237e-02, 1.256710807918934192e+00, 5.797347490388650160e-01
2.089000000000000000e+03, 8.303912087401509323e-01, 2.299875276603039476e-01, 1.357637462066007883e+00, 3.029351754739786733e-03, 8.081591838555132190e-01, 8.412446560504677900e-03, 1.781222019518328287e-02, 1.248963572551859302e+00, 5.740175409650775107e-01
2.090000000000000000e+03, 8.221502920075552945e-01, 2.249198929484929332e-01, 1.346969113839920684e+00, 2.997295591733198112e-03, 7.975967622722713868e-01, 8.307856364643545141e-03, 1.652092369629970178e-02, 1.239661971839195687e+00, 5.684076168449985200e-01
2.091000000000000000e+03, 8.104301659902370947e-01, 2.194690928742689395e-01, 1.341482363146949464e+00, 2.972491350955845830e-03, 7.891255977462363624e-01, 8.200106212920547921e-03, 1.511932842430402900e-02, 1.239116105398953671e+00, 5.627604759590244532e-01
2.092000000000000000e+03, 7.982366037118098223e-01, 2.154048616890819057e-01, 1.333203594830244088e+00, 2.948383097982293886e-03, 7.848767387983656141e-01, 8.111398615531284495e-03, 1.386716459819358274e-02, 1.235161396495749964e+00, 5.572117948104426954e-01
2.093000000000000000e+03, 7.898603384062787836e-01, 2.117568697441261916e-01, 1.327267557443892132e+00, 2.918239764370401598e-03, 7.764183365281354110e-01, 8.053072279587975696e-03, 1.282532837034185830e-02, 1.226983071532993685e+00, 5.517688808889558150e-01
2.094000000000000000e+03, 7.846547863181342342e-01, 2.081837484534874438e-01, 1.320685277194443508e+00, 2.890502357535826555e-03, 7.697827050005950911e-01, 8.023603239301893217e-03, 1.201045474892489286e-02, 1.227099225009692374e+00, 5.465299229044188190e-01
2.095000000000000000e+03, 7.756228062540579948e-01, 2.051893020744059437e-01, 1.315338337405996816e+00, 2.855358679464151724e-03, 7.623747034957670810e-01, 7.968873167685680894e-03, 1.172433912879909321e-02, 1.209288242586249673e+00, 5.410159935432173883e-01
2.096000000000000000e+03, 7.693245458337988341e-01, 2.006313544593077425e-01, 1.301464906832780155e+00, 2.817765710391783012e-03, 7.505655875271356470e-01, 7.639488946904143471e-03, 1.097806595744243302e-02, 1.202374294583691716e+00, 5.351920984006031112e-01
2.097000000000000000e+03, 7.613927634752560847e-01, 1.966008353042090484e-01, 1.289237793180802560e+00, 2.781541257804669761e-03, 7.424740877232004488e-01, 7.328438417823586112e-03, 1.026401503779353526e-02, 1.197408480494736471e+00, 5.296934848198469048e-01
2.098000000000000000e+03, 7.530250882045244065e-01, 1.925254022415194000e-01, 1.277937481381125728e+00, 2.746589038085284293e-03, 7.355616277653589385e-01, 7.032168063984339627e-03, 9.599456517361784624e-03, 1.191643889156438263e+00, 5.240628861568874530e-01
2.099000000000000000e+03, 7.429173819822904035e-01, 1.883756482980864788e-01, 1.267084118400309878e+00, 2.714599840159981781e-03, 7.263180635804428187e-01, 6.750353120814000032e-03, 8.976587715204379508e-03, 1.180445310530647607e+00, 5.187566184322267571e-01
2.100000000000000000e+03, 7.365971088903016106e-01, 1.856187360443324053e-01, 1.256828345940205871e+00, 2.679851588539187025e-03, 7.134074469465175872e-01, 6.492840781645243912e-03, 8.427858744331551133e-03, 1.174722986167893835e+00, 5.022980708989021048e-01
