year, CNRM-ESM2-1, NorESM2-LM, CMCC-CM2-SR5, CESM2-WACCM, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, CanESM5, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR
2.025000000000000000e+03, 3.977922545250806934e+02, 9.934420447851939571e+02, 8.580661919977000025e+02, 6.094846801455648801e+02, 9.076294269905079659e+01, 5.960855450191695581e+02, 1.285532478765258304e+02, 2.355449619583203287e+02, 1.971265743831905013e+02, 6.526660585947593063e+01, 3.218472517563087649e+02, 3.531242275453762431e+02, 2.491758464302268692e+02, 6.790393932211782158e+01
2.026000000000000000e+03, 3.980814901531553573e+02, 9.934890380426779757e+02, 8.579664013251776851e+02, 6.095157131187299910e+02, 9.070409090366953819e+01, 5.961313909899237160e+02, 1.286278804994496738e+02, 2.355054334479884517e+02, 1.971886581182199336e+02, 6.521694966620513867e+01, 3.218908759026310804e+02, 3.532801990032492085e+02, 2.493756964690182087e+02, 6.805179499405788590e+01
2.027000000000000000e+03, 3.983620468748484882e+02, 9.935087142220744454e+02, 8.578577006642585729e+02, 6.095410452575507634e+02, 9.066094598243084590e+01, 5.961695108305975737e+02, 1.286876053458418312e+02, 2.354930331288206276e+02, 1.972156667299530000e+02, 6.520018738572348127e+01, 3.219629645012436754e+02, 3.533936369333887342e+02, 2.496646164047194816e+02, 6.819874979486739619e+01
2.028000000000000000e+03, 3.986231290334316100e+02, 9.934952221614736345e+02, 8.577529352308529269e+02, 6.095441334534014004e+02, 9.066351953612937109e+01, 5.962161519792782656e+02, 1.287523142400737868e+02, 2.354695184412086064e+02, 1.972648855374610548e+02, 6.519412863021337046e+01, 3.220215855900464135e+02, 3.535480826335749498e+02, 2.499394537339993292e+02, 6.834989387583232201e+01
2.029000000000000000e+03, 3.988875933788397674e+02, 9.934862260748450353e+02, 8.575969787879585056e+02, 6.095610132387912472e+02, 9.065145328354482501e+01, 5.962915656441214196e+02, 1.288233626188001040e+02, 2.354401696299090645e+02, 1.973687982882133838e+02, 6.520642334831458697e+01, 3.220039673638422073e+02, 3.537584931840163449e+02, 2.501531419416425592e+02, 6.848207718889651119e+01
2.030000000000000000e+03, 3.991940687532356833e+02, 9.934734456849030266e+02, 8.574137020110860021e+02, 6.095983513167213914e+02, 9.064893729139757284e+01, 5.963225356172606553e+02, 1.289362467669448904e+02, 2.354230609287996288e+02, 1.974907298503584627e+02, 6.520047534807467571e+01, 3.220420307732783840e+02, 3.539386781601838265e+02, 2.506051275307337391e+02, 6.863286607271818696e+01
2.031000000000000000e+03, 3.994972931384168078e+02, 9.934218401337353725e+02, 8.572755034868872599e+02, 6.096030020218497611e+02, 9.058815892147370619e+01, 5.963178656735570939e+02, 1.290127126779501907e+02, 2.354075348495628361e+02, 1.975763170909978328e+02, 6.520832942953195754e+01, 3.220961532235945128e+02, 3.540516241920885818e+02, 2.509711056032655847e+02, 6.878414767852108014e+01
2.032000000000000000e+03, 3.997939504121708865e+02, 9.933885724919464337e+02, 8.571095112841859418e+02, 6.095888738465284860e+02, 9.048566489950763980e+01, 5.963350964204621505e+02, 1.291345428370379125e+02, 2.354051003350823521e+02, 1.976662344033193790e+02, 6.520291808146311041e+01, 3.221283198743744265e+02, 3.541823721612715303e+02, 2.513081253978506311e+02, 6.890715650107976842e+01
2.033000000000000000e+03, 4.001229338102835982e+02, 9.933764378806808963e+02, 8.569687198791037872e+02, 6.095978761401881911e+02, 9.041524488798972925e+01, 5.963709639925831425e+02, 1.292349767969964205e+02, 2.354158967308671606e+02, 1.977752919772031248e+02, 6.518428874548857266e+01, 3.222055824794907153e+02, 3.543466511382339377e+02, 2.515239097037850797e+02, 6.907643043804851857e+01
2.034000000000000000e+03, 4.003924032792210141e+02, 9.933264019360663042e+02, 8.568790794871468961e+02, 6.095887563726464577e+02, 9.030057342665874387e+01, 5.964187025747079360e+02, 1.293844644346046664e+02, 2.354406741566505445e+02, 1.978867214776057324e+02, 6.521101522684335805e+01, 3.222713404048624284e+02, 3.544870360671509957e+02, 2.518500807452187189e+02, 6.923613156967819293e+01
2.035000000000000000e+03, 4.006485498449650891e+02, 9.933225962743092623e+02, 8.568014416434261875e+02, 6.095563964645961050e+02, 9.028334306246324559e+01, 5.964876425761494829e+02, 1.295600792817288323e+02, 2.354794415228468267e+02, 1.979690801918305567e+02, 6.520673545583991881e+01, 3.222947126063561427e+02, 3.545816881486145462e+02, 2.520691748885910215e+02, 6.941212476605920756e+01
2.036000000000000000e+03, 4.009588738451092809e+02, 9.933301294250104547e+02, 8.566800219431380583e+02, 6.095055193953076014e+02, 9.035688236848604049e+01, 5.965723431482845172e+02, 1.296119067589934275e+02, 2.355543071710568199e+02, 1.980390204999595767e+02, 6.519663624643386868e+01, 3.223356277617342585e+02, 3.546930887190624162e+02, 2.524410443471458620e+02, 6.957057721175279141e+01
2.037000000000000000e+03, 4.012657385154672625e+02, 9.933099638195109264e+02, 8.565372322379312209e+02, 6.094861461172670261e+02, 9.033811506701445637e+01, 5.966349115742796130e+02, 1.296752803645438519e+02, 2.355706811090889516e+02, 1.981312416099115410e+02, 6.517625709859599681e+01, 3.223675872061092491e+02, 3.548153152582787584e+02, 2.528058241792464003e+02, 6.974480711969509628e+01
2.038000000000000000e+03, 4.015573869400070066e+02, 9.932861373111815055e+02, 8.564100057968202009e+02, 6.094966290213000093e+02, 9.034984082942860084e+01, 5.966883104375060611e+02, 1.296750564245429587e+02, 2.355593406161062546e+02, 1.982558284187279583e+02, 6.516207801759314577e+01, 3.223896672323246548e+02, 3.548842904995753429e+02, 2.530272980158638916e+02, 6.991476703078758703e+01
2.039000000000000000e+03, 4.018662433855590166e+02, 9.933035294596032827e+02, 8.562799168758926953e+02, 6.095074795958432787e+02, 9.032442236702237892e+01, 5.967316098835784715e+02, 1.297400223735827183e+02, 2.355801647566115662e+02, 1.983687827975624316e+02, 6.515688639583653696e+01, 3.223943656596608776e+02, 3.549939089652590383e+02, 2.533788493363218493e+02, 7.005591779596072399e+01
2.040000000000000000e+03, 4.022123964268483292e+02, 9.933181380655474868e+02, 8.561930026855681035e+02, 6.094778726348421287e+02, 9.023153138159145215e+01, 5.967557367472104488e+02, 1.298919895106186289e+02, 2.356183947809372228e+02, 1.984301956385028802e+02, 6.514855484633341121e+01, 3.224639094127847443e+02, 3.552110241158051167e+02, 2.537634452629760915e+02, 7.022668041123691296e+01
2.041000000000000000e+03, 4.025587773788734012e+02, 9.933694573371697061e+02, 8.561126150424555590e+02, 6.094577786433559368e+02, 9.007410669665415526e+01, 5.967875566092130839e+02, 1.300294050160977406e+02, 2.356241505089422503e+02, 1.984844619945091893e+02, 6.509241842125815936e+01, 3.225699942814069345e+02, 3.553774868201684853e+02, 2.539457059391220355e+02, 7.041410815155143155e+01
2.042000000000000000e+03, 4.029014221531347175e+02, 9.934283888982182589e+02, 8.560323786263687680e+02, 6.094004775677722137e+02, 9.005758926273762199e+01, 5.967908900397153502e+02, 1.301179669273975321e+02, 2.356579953070337012e+02, 1.985369910818493508e+02, 6.509703207552530557e+01, 3.226075929246310920e+02, 3.555914355827986242e+02, 2.544640159404340807e+02, 7.057489380246489930e+01
2.043000000000000000e+03, 4.032311476184293610e+02, 9.935222630440592866e+02, 8.558725908729953744e+02, 6.093761307083611882e+02, 9.010681350245998544e+01, 5.967628105843766662e+02, 1.302236250305747660e+02, 2.357165699821416638e+02, 1.985678545249293734e+02, 6.512391329430799658e+01, 3.226347958772063294e+02, 3.558355994106348703e+02, 2.547568511709768018e+02, 7.075835534136504634e+01
2.044000000000000000e+03, 4.035718969215718062e+02, 9.936138870191907699e+02, 8.556609939741498465e+02, 6.094153862972864317e+02, 9.010886175220750260e+01, 5.967752452097937521e+02, 1.303334813298975519e+02, 2.357754992034960253e+02, 1.986273836195021545e+02, 6.514268677201194180e+01, 3.226224397079141113e+02, 3.561222089000330016e+02, 2.550811822434446867e+02, 7.091040966319202710e+01
2.045000000000000000e+03, 4.039212823527613523e+02, 9.936493024659979483e+02, 8.555405537239503246e+02, 6.094396079831903990e+02, 9.013569820797530951e+01, 5.967958365756271633e+02, 1.304207144175452981e+02, 2.358771525246752674e+02, 1.987166671253316110e+02, 6.513942408704282627e+01, 3.226054463915451151e+02, 3.563485096833566104e+02, 2.554507157830402377e+02, 7.105288416754061132e+01
2.046000000000000000e+03, 4.042788301772942532e+02, 9.936511527361067238e+02, 8.554230921782589121e+02, 6.094725493618050223e+02, 9.019407721658687649e+01, 5.968520229297380411e+02, 1.304846690555204418e+02, 2.360329375061110682e+02, 1.987945465337671465e+02, 6.508676851626766791e+01, 3.226283568775244817e+02, 3.565359299586925204e+02, 2.556542067963048055e+02, 7.121258724882540037e+01
2.047000000000000000e+03, 4.046629249492506801e+02, 9.936506231678145014e+02, 8.552737830058879354e+02, 6.095275483193541959e+02, 9.016909550878378354e+01, 5.968942037998076557e+02, 1.305807546830836543e+02, 2.361696636155548106e+02, 1.988573125810064539e+02, 6.506206475296701797e+01, 3.226776899307776034e+02, 3.567871081797013630e+02, 2.559283015188895263e+02, 7.136762997395993580e+01
2.048000000000000000e+03, 4.049790506102339691e+02, 9.936546532176935216e+02, 8.551535409746167034e+02, 6.095741725026507538e+02, 9.023720762739648649e+01, 5.969107992125775581e+02, 1.306938170229416585e+02, 2.363294676821430187e+02, 1.989104142995931852e+02, 6.508974534964960412e+01, 3.226827525788471576e+02, 3.570095330331159857e+02, 2.560513264487824472e+02, 7.150604355484524888e+01
2.049000000000000000e+03, 4.052805152255951384e+02, 9.936682542843434476e+02, 8.550622944045237546e+02, 6.095403227989372681e+02, 9.023567860371359473e+01, 5.969570248535753763e+02, 1.308214248075629769e+02, 2.364715290074369705e+02, 1.989712994824087389e+02, 6.507146116215731979e+01, 3.227187725524058237e+02, 3.571978092554713271e+02, 2.561314490489712625e+02, 7.166719651915803979e+01
2.050000000000000000e+03, 4.056732943331359138e+02, 9.936899394348155283e+02, 8.549700267801787277e+02, 6.095349985668252657e+02, 9.021603705890657920e+01, 5.970420973660145592e+02, 1.309592121355768484e+02, 2.366132011958721932e+02, 1.990562963803081118e+02, 6.509849172545516183e+01, 3.227628370118869157e+02, 3.573638434231122574e+02, 2.563836634837625184e+02, 7.185364845730022409e+01
2.051000000000000000e+03, 4.060989664157879133e+02, 9.936861743903683646e+02, 8.548666673071265905e+02, 6.095261540104216920e+02, 9.024207437578506585e+01, 5.971317044858076315e+02, 1.310532486005961346e+02, 2.367739462820905771e+02, 1.991368198128892857e+02, 6.511773819470073477e+01, 3.228722202057527966e+02, 3.575702596950503676e+02, 2.564858165488034842e+02, 7.200015165043642185e+01
2.052000000000000000e+03, 4.064359119510654068e+02, 9.936843203636815360e+02, 8.547805536888113238e+02, 6.094954774177809895e+02, 9.030554453593926212e+01, 5.972164507067724344e+02, 1.311256859825811887e+02, 2.369107612112693459e+02, 1.991924957566906471e+02, 6.509855906041930496e+01, 3.229899479484710696e+02, 3.578077512855222153e+02, 2.566771427376315842e+02, 7.214639249383787956e+01
2.053000000000000000e+03, 4.067420828368359480e+02, 9.937273929467147582e+02, 8.546206997195373560e+02, 6.094969397140363299e+02, 9.023556352076668929e+01, 5.972765343006900594e+02, 1.312537120193080966e+02, 2.370683328320073997e+02, 1.992488006205108775e+02, 6.508705384133349980e+01, 3.230698177005700700e+02, 3.580926375976256963e+02, 2.570595591738006647e+02, 7.232922583894777802e+01
2.054000000000000000e+03, 4.070874333737954203e+02, 9.938058150178300139e+02, 8.544141256113013014e+02, 6.095433353294672543e+02, 9.027746263722490028e+01, 5.973380157857991435e+02, 1.314244265911457887e+02, 2.372338234448877756e+02, 1.993152427085668990e+02, 6.509147377767196474e+01, 3.231129624086436252e+02, 3.583461531101982018e+02, 2.572596422406373335e+02, 7.247567377766344521e+01
2.055000000000000000e+03, 4.074357207525532658e+02, 9.938278741323885015e+02, 8.542514772545420101e+02, 6.095719594194839601e+02, 9.027347200281184314e+01, 5.974124088423610601e+02, 1.315277798030852239e+02, 2.373567229747615386e+02, 1.993960952910067874e+02, 6.507205375768961630e+01, 3.231218979771321074e+02, 3.586100355347678601e+02, 2.574021205420112324e+02, 7.260749454417147319e+01
2.056000000000000000e+03, 4.077509390834125043e+02, 9.937963689178292270e+02, 8.541115417108833299e+02, 6.096207933909062149e+02, 9.015309410348743313e+01, 5.974786952799777282e+02, 1.316452273509064526e+02, 2.374835442422933056e+02, 1.994493251696842435e+02, 6.509550548364688893e+01, 3.230929860840615788e+02, 3.588859458895382204e+02, 2.575939728770139823e+02, 7.277319178343556416e+01
2.057000000000000000e+03, 4.079998086676000071e+02, 9.938262887945536477e+02, 8.540024246721694681e+02, 6.096885507057900213e+02, 9.008237911366832407e+01, 5.975294051710244503e+02, 1.318826985835587209e+02, 2.376830754848404865e+02, 1.994756159035231349e+02, 6.507597284041526109e+01, 3.229775403432513485e+02, 3.591715005237074934e+02, 2.577643757858861022e+02, 7.293086681582120434e+01
2.058000000000000000e+03, 4.083118012007540187e+02, 9.938989493765117231e+02, 8.538691750366118640e+02, 6.097498642367235107e+02, 9.008518464111308788e+01, 5.976049236373929716e+02, 1.320088952351332807e+02, 2.377910787754493924e+02, 1.994761551955016614e+02, 6.507215644687877898e+01, 3.228308017906684881e+02, 3.594324290241306130e+02, 2.580099090701141336e+02, 7.306235957368971867e+01
2.059000000000000000e+03, 4.087085757266089558e+02, 9.939338049668197073e+02, 8.536742485828663121e+02, 6.098022376756936183e+02, 9.004915117058537533e+01, 5.976713051452607033e+02, 1.321571453059781049e+02, 2.379675725999639155e+02, 1.994860474408185667e+02, 6.509285455125964859e+01, 3.228103172927860669e+02, 3.597398423439552175e+02, 2.580526934452270780e+02, 7.321797434989245801e+01
2.060000000000000000e+03, 4.091130778181858432e+02, 9.939300968662212199e+02, 8.535065161405248091e+02, 6.098194808614472322e+02, 9.000958100436741915e+01, 5.977319820705995426e+02, 1.321794503417375495e+02, 2.381614235408952425e+02, 1.995388358874167238e+02, 6.504964181663301304e+01, 3.229123957842763843e+02, 3.601137097704217354e+02, 2.582143979983068789e+02, 7.336148221155104920e+01
2.061000000000000000e+03, 4.094654634065470304e+02, 9.939460897863795026e+02, 8.533252354684118473e+02, 6.098415294624313674e+02, 8.999298484389065322e+01, 5.977719858562222726e+02, 1.321552588262125028e+02, 2.383563927305547168e+02, 1.996178742636762422e+02, 6.503181756775282452e+01, 3.230130082197816819e+02, 3.604607968451172155e+02, 2.583325990348818664e+02, 7.348921595961758158e+01
2.062000000000000000e+03, 4.097887644479662868e+02, 9.940097374983466807e+02, 8.531040225415188161e+02, 6.098865655793498490e+02, 9.001820503801168627e+01, 5.978260574044622899e+02, 1.321707894431193324e+02, 2.385493207914464904e+02, 1.997081760386362532e+02, 6.504288882200124533e+01, 3.230651885028357242e+02, 3.607875137032690418e+02, 2.586026783003720766e+02, 7.362716591200249638e+01
2.063000000000000000e+03, 4.101433441816333811e+02, 9.940676605518557380e+02, 8.529476569792273040e+02, 6.099302923395125617e+02, 9.001024983547894465e+01, 5.979151309588232834e+02, 1.323264385329850654e+02, 2.387435446929421516e+02, 1.997832801966346494e+02, 6.502181281357344744e+01, 3.231481800639336370e+02, 3.611153485613168641e+02, 2.588849602170655544e+02, 7.376194779215653341e+01
2.064000000000000000e+03, 4.104952864892040907e+02, 9.941180131277500323e+02, 8.528591057938029962e+02, 6.099673153765537563e+02, 8.996216052773576166e+01, 5.979848361716875615e+02, 1.324104628202407810e+02, 2.389112826110030880e+02, 1.998378098866782011e+02, 6.500793651138761220e+01, 3.232242638398292343e+02, 3.615093972910387379e+02, 2.590600602166412614e+02, 7.391166661896514256e+01
2.065000000000000000e+03, 4.108392693435681622e+02, 9.941552742902531463e+02, 8.527348753587325518e+02, 6.099834382931386472e+02, 9.000116042876268807e+01, 5.980345353887369129e+02, 1.326007530613936183e+02, 2.391058662405675079e+02, 1.999018303465849726e+02, 6.503264930375540587e+01, 3.231973733405798725e+02, 3.619111684206296786e+02, 2.592427305244167997e+02, 7.405028350610582777e+01
2.066000000000000000e+03, 4.111752265066003247e+02, 9.941541636886724973e+02, 8.525615458598086889e+02, 6.099935677007995309e+02, 9.003940328916608848e+01, 5.980617282456175872e+02, 1.327078838052208596e+02, 2.392989926454656313e+02, 1.999426182679700617e+02, 6.505336088547686302e+01, 3.230919489264778690e+02, 3.622435204183423707e+02, 2.596801729572433146e+02, 7.420605687423969243e+01
2.067000000000000000e+03, 4.114798099691625453e+02, 9.941684806805644712e+02, 8.523919372689682632e+02, 6.099690010953275987e+02, 9.002370963095911804e+01, 5.981151237043669653e+02, 1.327338593474366348e+02, 2.395231612323358945e+02, 2.000146888851891163e+02, 6.500811710075595329e+01, 3.230061072402672835e+02, 3.625358316965588301e+02, 2.597888516369025069e+02, 7.435026539681282998e+01
2.068000000000000000e+03, 4.117939661027863849e+02, 9.942175465763140210e+02, 8.522398641144342264e+02, 6.099488031718711909e+02, 8.998395009642486286e+01, 5.981915829400577422e+02, 1.327960080944041863e+02, 2.397194418083697371e+02, 2.001146646856751090e+02, 6.493466798047654720e+01, 3.229895239379794702e+02, 3.628750212900991983e+02, 2.597890578676287419e+02, 7.448272546657439364e+01
2.069000000000000000e+03, 4.120518875320120742e+02, 9.943013635956177723e+02, 8.520838827542729632e+02, 6.099322871669335200e+02, 9.005391957489591448e+01, 5.982337930237503087e+02, 1.328581374101262327e+02, 2.399598960848897491e+02, 2.001831794546781396e+02, 6.495733196930297026e+01, 3.230203834588245968e+02, 3.632435963911003114e+02, 2.597860524485793690e+02, 7.460193765631038332e+01
2.070000000000000000e+03, 4.123218142277681295e+02, 9.943973910468301938e+02, 8.519600973755003679e+02, 6.099591660697855104e+02, 9.008990167919286307e+01, 5.983065261316362466e+02, 1.329156944888284215e+02, 2.401998176988408602e+02, 2.002215210654052555e+02, 6.495467664711163991e+01, 3.230632088972522524e+02, 3.635454935948730508e+02, 2.599324327747332859e+02, 7.473446470575169087e+01
2.071000000000000000e+03, 4.126270614110119936e+02, 9.944623323525000842e+02, 8.519108787991443705e+02, 6.099978364749159709e+02, 9.009224105091571744e+01, 5.983852793124241316e+02, 1.328821963552247496e+02, 2.404354701045153320e+02, 2.002858413655748677e+02, 6.496378406898460867e+01, 3.230826545665389062e+02, 3.638216927566492700e+02, 2.602056040067358254e+02, 7.487472085387764764e+01
2.072000000000000000e+03, 4.129801032310469395e+02, 9.945125889397163519e+02, 8.518036812509616311e+02, 6.100575632228798213e+02, 9.013733766507266409e+01, 5.984188977204689763e+02, 1.330190873253808945e+02, 2.407031028561505366e+02, 2.003863965188344025e+02, 6.497921765074271150e+01, 3.231550685951066839e+02, 3.641146142980856553e+02, 2.602712156845765890e+02, 7.502857023412842352e+01
2.073000000000000000e+03, 4.133421098352919216e+02, 9.945587656558450362e+02, 8.516995780651730001e+02, 6.100956943531367642e+02, 9.010530865589829830e+01, 5.984418774998482604e+02, 1.332368688944274595e+02, 2.409935970467053608e+02, 2.004817846067535925e+02, 6.499936390148485543e+01, 3.232570845586840278e+02, 3.644035228086511324e+02, 2.604037763268578942e+02, 7.518531506459851244e+01
2.074000000000000000e+03, 4.136207008720817839e+02, 9.946153493254545310e+02, 8.515835519076816809e+02, 6.101174822383362653e+02, 9.010779046917750179e+01, 5.984818300908682431e+02, 1.333225328582645943e+02, 2.412779130549916999e+02, 2.005419009163016710e+02, 6.496830134857276562e+01, 3.232957512465273453e+02, 3.646689851800608722e+02, 2.604544555263899497e+02, 7.532935640453759163e+01
2.075000000000000000e+03, 4.138829360619656086e+02, 9.946545945033622047e+02, 8.514963037462447346e+02, 6.101203448976758636e+02, 9.006906383200467303e+01, 5.985511060212776329e+02, 1.334634338691259074e+02, 2.415190999562278478e+02, 2.005898016538668287e+02, 6.493973010314070393e+01, 3.232920145014638820e+02, 3.650045783090156419e+02, 2.605199964719993773e+02, 7.546714623536308864e+01
2.076000000000000000e+03, 4.141383566333993826e+02, 9.946627619662707502e+02, 8.513614991970356414e+02, 6.101156912525892722e+02, 9.005176900506273796e+01, 5.985853066710153598e+02, 1.334753410140648384e+02, 2.418162083160463283e+02, 2.006309303305018830e+02, 6.495228521209800476e+01, 3.233174189006475672e+02, 3.652976248871931375e+02, 2.605619658651679629e+02, 7.563599407714733047e+01
2.077000000000000000e+03, 4.143899771263193088e+02, 9.946660640956466750e+02, 8.511859312914348266e+02, 6.101420619031946444e+02, 9.000857888871705370e+01, 5.985965215274583215e+02, 1.335033703608563940e+02, 2.420864487423125126e+02, 2.006731843850458006e+02, 6.494951643840913391e+01, 3.233280209970905617e+02, 3.655986316659395357e+02, 2.606550293143917543e+02, 7.578242850342248005e+01
2.078000000000000000e+03, 4.146218494702669659e+02, 9.947198819228132152e+02, 8.510381242138888638e+02, 6.101751341468861938e+02, 9.000412680565402468e+01, 5.986314221312782138e+02, 1.335989292986905355e+02, 2.423504179419444995e+02, 2.007191775479550699e+02, 6.494670127221080236e+01, 3.233209421358587861e+02, 3.659310068358287253e+02, 2.607314012046689982e+02, 7.592106218271018747e+01
2.079000000000000000e+03, 4.148299771485229144e+02, 9.947830991582017077e+02, 8.509119579226613723e+02, 6.102174572390208596e+02, 9.002092351928372693e+01, 5.986648682249464173e+02, 1.336469220359055896e+02, 2.426140023931011456e+02, 2.007827833253185759e+02, 6.494500447477871319e+01, 3.233311823279024111e+02, 3.662147188228820482e+02, 2.609694848389891604e+02, 7.606313666210012059e+01
2.080000000000000000e+03, 4.150586496617964940e+02, 9.948462370028187252e+02, 8.507749228742958394e+02, 6.102864976285018201e+02, 9.005615393046194583e+01, 5.986886728209611874e+02, 1.337308142569950462e+02, 2.428523376607112709e+02, 2.008144918862658699e+02, 6.496468609579046927e+01, 3.233136464024486258e+02, 3.664614923993938191e+02, 2.610409995718428604e+02, 7.616623980879391809e+01
2.081000000000000000e+03, 4.153652193670026236e+02, 9.949163965278164596e+02, 8.506420255415600877e+02, 6.103298589549091275e+02, 9.003222075850287354e+01, 5.987281792626888546e+02, 1.338518944307082847e+02, 2.431234836442772576e+02, 2.008572939532585337e+02, 6.496343610522941958e+01, 3.232625101657085338e+02, 3.667217903628454110e+02, 2.610967412552643623e+02, 7.627747642686659901e+01
2.082000000000000000e+03, 4.156242474626700414e+02, 9.949601971385651495e+02, 8.504915416533555117e+02, 6.103523406648735090e+02, 9.008089438421465900e+01, 5.987975547718655207e+02, 1.339381889922487687e+02, 2.433436023134431139e+02, 2.009361106840478328e+02, 6.494506797673258802e+01, 3.232131334352042700e+02, 3.670052627245365784e+02, 2.611598163009282985e+02, 7.640061700021205127e+01
2.083000000000000000e+03, 4.158523380954522395e+02, 9.949861712327050327e+02, 8.503235354449079750e+02, 6.103775827337304918e+02, 9.017274896799838757e+01, 5.988765612366674986e+02, 1.340560905727134582e+02, 2.435833311197384035e+02, 2.009951444849311315e+02, 6.495260455027874968e+01, 3.231882777531266697e+02, 3.672721668208746451e+02, 2.612903246063171991e+02, 7.650797470381228038e+01
2.084000000000000000e+03, 4.160879075510059124e+02, 9.949881258941012447e+02, 8.501500369154306327e+02, 6.104352427027034764e+02, 9.026701936545397587e+01, 5.989376752785083227e+02, 1.341272685292966571e+02, 2.438597528216305079e+02, 2.010168516130343050e+02, 6.496932634239585980e+01, 3.231919362481578446e+02, 3.675705578328324918e+02, 2.613495079830458963e+02, 7.662615150338812953e+01
