year, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, INM-CM4-8, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, TaiESM1, CanESM5, IPSL-CM6A-LR, CMCC-ESM2
2.025000000000000000e+03, 1.143178051303138876e+00, 1.889686168398947430e+00, 1.335234626020806337e+00, 1.358986194236314837e+00, 7.134744013530371909e-01, 1.460765913321611098e+00, 1.174780788482919336e+00, 1.456156186215201709e+00, 9.969039998630613297e-01, 1.036248794357396363e+00, 2.506452308392413286e+00, 1.341317326945891120e+00, 1.173955841641864506e+00, 1.005359829679154382e+00, 9.709683871746804806e-01, 1.951445057486651313e+00
2.026000000000000000e+03, 1.071237547269110468e+00, 1.935712908863623349e+00, 1.334233545626751560e+00, 1.309316503730145298e+00, 7.555477297061128361e-01, 1.463341069790389026e+00, 1.199516586049257816e+00, 1.391089539580542489e+00, 8.926943974778546176e-01, 1.010222408644171344e+00, 2.496750215379720306e+00, 1.324762539464472200e+00, 1.232115351987101759e+00, 1.012886588992707448e+00, 9.469450661094189758e-01, 1.935889142611062486e+00
2.027000000000000000e+03, 1.068845427986096608e+00, 1.920276119803416615e+00, 1.341522541664313062e+00, 1.351529436281360352e+00, 7.402316868857883314e-01, 1.467692360446207323e+00, 1.205118914620654014e+00, 1.432210332787076545e+00, 9.594614784356088055e-01, 1.030951283854095513e+00, 2.503932157114582058e+00, 1.347628750351873572e+00, 1.221720685292145614e+00, 9.946035212768203904e-01, 9.395038190708364656e-01, 1.903358578775823817e+00
2.028000000000000000e+03, 1.069321231505775405e+00, 1.972165369084188047e+00, 1.312176273484300326e+00, 1.353986855962958424e+00, 7.869346959315036694e-01, 1.477491468395115470e+00, 1.209730813223184542e+00, 1.455762177503680865e+00, 9.779339088395208046e-01, 1.039865212128789018e+00, 2.518661727922721472e+00, 1.351601212550873177e+00, 1.243458615870648876e+00, 1.036284171053635905e+00, 9.671938593128670547e-01, 1.946925135520719552e+00
2.029000000000000000e+03, 1.114472136517596246e+00, 1.964572144971057366e+00, 1.312131016574864084e+00, 1.324271510846417588e+00, 7.797696718246455161e-01, 1.487055858860397928e+00, 1.206958812939777914e+00, 1.379238743908714593e+00, 1.001978046661161192e+00, 1.072585134692164432e+00, 2.576714969033901070e+00, 1.353190535426308072e+00, 1.267984656886906203e+00, 1.048620607363867974e+00, 9.850701551821735569e-01, 1.935961000923479336e+00
2.030000000000000000e+03, 1.112603406779893112e+00, 1.953931446383830428e+00, 1.340538962915913457e+00, 1.369418882278651051e+00, 7.974412093376663790e-01, 1.489297479221608711e+00, 1.211809526383431201e+00, 1.426236813371552614e+00, 9.905531537591085733e-01, 1.024171974136494967e+00, 2.571099173754316070e+00, 1.337360394586082357e+00, 1.251269834487134691e+00, 1.077909286311664827e+00, 9.745719052735708487e-01, 1.989109417437178617e+00
2.031000000000000000e+03, 1.150254853216043260e+00, 1.955975042246866247e+00, 1.369207786522650405e+00, 1.420094461555427401e+00, 7.599885116621110104e-01, 1.495082995091395750e+00, 1.184230340668080528e+00, 1.445328327470801977e+00, 9.328976316168129390e-01, 1.074716441061716266e+00, 2.588609917167153274e+00, 1.338984856337070095e+00, 1.232014092010532913e+00, 1.041797778024417642e+00, 9.733225292822427210e-01, 2.014416977168068446e+00
2.032000000000000000e+03, 1.124859033862221747e+00, 1.981581182669977181e+00, 1.344803633331133730e+00, 1.337056466421357559e+00, 7.809759393942834471e-01, 1.477198843160886454e+00, 1.234509457725885273e+00, 1.467481981835481619e+00, 1.020350296071480756e+00, 1.015648191424562086e+00, 2.632932060361241167e+00, 1.369454115547979134e+00, 1.243366337145451750e+00, 1.042075362106941627e+00, 9.726540001689897297e-01, 2.006826854520947112e+00
2.033000000000000000e+03, 1.122482880830467211e+00, 2.014211676311030264e+00, 1.384443970253704359e+00, 1.437510756051364247e+00, 7.987023257655945230e-01, 1.479561618757456731e+00, 1.196264154041352112e+00, 1.509697986254744606e+00, 1.015428012192316709e+00, 1.068917822342436930e+00, 2.593082497963066668e+00, 1.362142367475676297e+00, 1.246947492381184075e+00, 1.071106288164916265e+00, 9.875614158848454727e-01, 2.100335922012119383e+00
2.034000000000000000e+03, 1.089145538630231780e+00, 1.988981408339315582e+00, 1.419966958848732252e+00, 1.419739067963037060e+00, 7.714735596163104780e-01, 1.489766708462424871e+00, 1.197537835973218279e+00, 1.514221091870391112e+00, 9.385228283802946603e-01, 1.125839289775216523e+00, 2.608289221856171736e+00, 1.336743159061964281e+00, 1.235192483540571651e+00, 1.049879503537598291e+00, 1.026926137362173419e+00, 2.062053706982965195e+00
2.035000000000000000e+03, 1.093704297465313946e+00, 1.999023110765312250e+00, 1.379669848322579995e+00, 1.471795050702027208e+00, 7.576227227088407901e-01, 1.476265424084653111e+00, 1.139210711809593990e+00, 1.551400073629486176e+00, 9.766298446047037007e-01, 1.082505982051423121e+00, 2.632751577659687481e+00, 1.348721709643814881e+00, 1.242201078307131556e+00, 1.045474869792883732e+00, 1.037626521813002523e+00, 2.043465210767696050e+00
2.036000000000000000e+03, 1.129931428591523623e+00, 2.023383726484578649e+00, 1.347500905379827696e+00, 1.467383323741065615e+00, 8.233336480949415837e-01, 1.505225846112245192e+00, 1.161801592591493737e+00, 1.573817088246621143e+00, 9.911890114586483502e-01, 1.053174627005370789e+00, 2.616101057883192915e+00, 1.353060898363202202e+00, 1.272836395667012122e+00, 1.114568132188796357e+00, 1.008194274290448389e+00, 2.078235578568015107e+00
2.037000000000000000e+03, 1.074612165751009485e+00, 1.993916089372286704e+00, 1.364883012246486782e+00, 1.524609277876736169e+00, 7.980130963532970911e-01, 1.484714096985316978e+00, 1.203744644205590797e+00, 1.549918854947095470e+00, 9.973258987042119550e-01, 1.047897092555109211e+00, 2.651560048619594046e+00, 1.358199908742193429e+00, 1.257534336476072045e+00, 1.122504539527771072e+00, 1.010272191848116563e+00, 2.025061449644248945e+00
2.038000000000000000e+03, 1.107338720498099116e+00, 2.031910678349328148e+00, 1.365734630972353925e+00, 1.518294321980112382e+00, 7.763571853525081945e-01, 1.486541809347288856e+00, 1.163014956858955840e+00, 1.520289199444698980e+00, 9.883484323407129013e-01, 1.041481824021312397e+00, 2.634362154420946567e+00, 1.344827720056083420e+00, 1.253094378576545376e+00, 1.138491149386890333e+00, 1.023558105632913051e+00, 2.023314945510152008e+00
2.039000000000000000e+03, 1.111264095258652995e+00, 2.011964712119914900e+00, 1.396815434901393926e+00, 1.541777329900381854e+00, 7.677766197067131815e-01, 1.491353830858691998e+00, 1.217551602963998780e+00, 1.557660505628506664e+00, 1.030131826521091476e+00, 1.060364398261087970e+00, 2.638061139804471988e+00, 1.319553609880292244e+00, 1.267295575605709157e+00, 1.152231615702155265e+00, 1.021089046800916389e+00, 2.020919425421725091e+00
2.040000000000000000e+03, 1.057388989371447208e+00, 1.997274552266260494e+00, 1.398100443141587990e+00, 1.538939762752948637e+00, 8.042248541943257667e-01, 1.497913060270786856e+00, 1.229544905209150274e+00, 1.565727185091063012e+00, 9.751119760650029944e-01, 1.060599145405541677e+00, 2.660739861565690312e+00, 1.319555636704768053e+00, 1.305377210764248508e+00, 1.157912687229715853e+00, 1.016455879317174960e+00, 2.035352876332815253e+00
2.041000000000000000e+03, 1.070866470884511257e+00, 2.054186259396638015e+00, 1.408268834837914429e+00, 1.530196381314870457e+00, 7.677432507073794765e-01, 1.512724928274805425e+00, 1.207128454950750829e+00, 1.591940917507294717e+00, 9.342319696094022463e-01, 1.066378103692159351e+00, 2.674800640068357271e+00, 1.343284367995838835e+00, 1.347326641651743984e+00, 1.172460807771132041e+00, 1.038381638872305501e+00, 2.015804130755787682e+00
2.042000000000000000e+03, 1.091629070060282203e+00, 2.069150719669488936e+00, 1.493779223580475435e+00, 1.467129187143972002e+00, 8.243606953657074410e-01, 1.514044682056604918e+00, 1.226028390274881419e+00, 1.655218870129959718e+00, 9.767198023027471310e-01, 1.034189133878271827e+00, 2.635530219033215271e+00, 1.349565975540572005e+00, 1.315780177597799305e+00, 1.128523839695472208e+00, 1.042416626621304188e+00, 1.952014743940607922e+00
2.043000000000000000e+03, 1.061330052400594415e+00, 2.090786118383101133e+00, 1.517149973672946572e+00, 1.424922322672572017e+00, 8.145350468987141435e-01, 1.494166064139677008e+00, 1.206629614259963956e+00, 1.603673282820562429e+00, 1.034686806443771534e+00, 1.091224062002662754e+00, 2.696853395093019135e+00, 1.352218916129823700e+00, 1.290318429004459588e+00, 1.173672892026262682e+00, 1.045645518871153978e+00, 2.059263964103286160e+00
2.044000000000000000e+03, 1.098864020605408998e+00, 2.070331642008727435e+00, 1.510726227488461637e+00, 1.420097057167241328e+00, 8.150577415003716908e-01, 1.521741442058483385e+00, 1.199061604738060671e+00, 1.651300605658770682e+00, 9.957252422921656354e-01, 1.066598204114706627e+00, 2.686570144849923292e+00, 1.372012568907331476e+00, 1.262841384329714378e+00, 1.183172037184953895e+00, 1.027805610946439074e+00, 2.159942039623930832e+00
2.045000000000000000e+03, 1.107345738909544908e+00, 2.023109140303317233e+00, 1.493217386952390369e+00, 1.463756168463518303e+00, 8.205863456341885298e-01, 1.536333190071052401e+00, 1.173129749618072371e+00, 1.653151616316469452e+00, 1.002391235997189156e+00, 1.050344312760871590e+00, 2.674661435829592371e+00, 1.353922599984721531e+00, 1.285546140884884725e+00, 1.105191963906410502e+00, 1.020585991538601078e+00, 2.129338766105391745e+00
2.046000000000000000e+03, 1.106647921075669450e+00, 2.065296587662685646e+00, 1.451574269723841848e+00, 1.492461971332619264e+00, 7.968244858131920960e-01, 1.531248039922319393e+00, 1.245634586266068489e+00, 1.640442586828176674e+00, 1.037213063649605971e+00, 1.041101431759830165e+00, 2.683902278138805553e+00, 1.340438059419165162e+00, 1.348020665268994334e+00, 1.155148733508121639e+00, 1.044529249524660752e+00, 2.122080317702017549e+00
2.047000000000000000e+03, 1.141080236951772076e+00, 2.063019050259732534e+00, 1.491905124811041317e+00, 1.445323003013182284e+00, 8.416240090959357101e-01, 1.519683152574667684e+00, 1.215019302111085997e+00, 1.618479371966146996e+00, 1.022834172804192088e+00, 1.013994945660943614e+00, 2.696099719101883618e+00, 1.337043497995367813e+00, 1.379242003750356549e+00, 1.122565497446351479e+00, 1.075491987388912163e+00, 2.202881146096347553e+00
2.048000000000000000e+03, 1.107912478987117089e+00, 2.080106831345132523e+00, 1.521824586057796358e+00, 1.473681173564886038e+00, 8.305583061037713488e-01, 1.519480343821884682e+00, 1.237916718570959196e+00, 1.680873153976266465e+00, 1.020096320956243918e+00, 1.044777246851793295e+00, 2.662485175729808251e+00, 1.367135967714509626e+00, 1.313663087230627635e+00, 1.187153781965752941e+00, 1.087723813384809501e+00, 2.159212709552494669e+00
2.049000000000000000e+03, 1.132201161160253600e+00, 2.044456244653705568e+00, 1.475777536200565399e+00, 1.484736084286738089e+00, 8.418547625303427484e-01, 1.547988859193935918e+00, 1.221720189516592114e+00, 1.630039171786737962e+00, 1.028337106163404346e+00, 1.035255280123422272e+00, 2.689151356048796071e+00, 1.380398046152615965e+00, 1.327957853250463449e+00, 1.194595188686384590e+00, 1.091374001278204497e+00, 2.134221445596605538e+00
2.050000000000000000e+03, 1.123010869171045867e+00, 2.069689377140556452e+00, 1.474580604506650738e+00, 1.472716855247692136e+00, 7.960613736718193945e-01, 1.528962232966243340e+00, 1.200355372492813544e+00, 1.649249141029714982e+00, 1.002032317267984141e+00, 1.097837691975222185e+00, 2.704729239370927907e+00, 1.355989096747248768e+00, 1.307033590979159943e+00, 1.191705292198296018e+00, 1.078098394014670669e+00, 1.981697111472666917e+00
2.051000000000000000e+03, 1.079660702333678390e+00, 2.080774841092871696e+00, 1.430518055118724874e+00, 1.519003045997053380e+00, 8.200341002788373856e-01, 1.540550208890596684e+00, 1.204540937712877291e+00, 1.683386287969033113e+00, 9.977390604892314441e-01, 1.066744952306180050e+00, 2.663860803585859305e+00, 1.353999662666210524e+00, 1.309742635195120020e+00, 1.194099807764547050e+00, 1.072013544907022276e+00, 2.052648302326024687e+00
2.052000000000000000e+03, 1.100009605503190491e+00, 2.108205399437039329e+00, 1.434251053378677421e+00, 1.523165646690947561e+00, 8.317127544356889279e-01, 1.536178161332142356e+00, 1.297290940643091472e+00, 1.702255925382723190e+00, 1.044837006124752499e+00, 1.045474857886232956e+00, 2.689412190254134138e+00, 1.376691462889483963e+00, 1.318114801230394484e+00, 1.202058210366447000e+00, 1.051865611966552816e+00, 2.132193072605374162e+00
2.053000000000000000e+03, 1.082825523732464212e+00, 2.084146483350695078e+00, 1.445246728432367123e+00, 1.465344601009413994e+00, 8.627074507134800951e-01, 1.554886158896781501e+00, 1.180256384818412219e+00, 1.681938988299751525e+00, 1.009040320491109144e+00, 1.031306722288427569e+00, 2.692163704365024834e+00, 1.377596121578094079e+00, 1.303955126145216470e+00, 1.227451271124666787e+00, 1.067050188201477567e+00, 2.234458588775747323e+00
2.054000000000000000e+03, 1.083072947720763457e+00, 2.062911779053417494e+00, 1.464470141167403705e+00, 1.491793959496588995e+00, 8.469677627313854096e-01, 1.546214746829555287e+00, 1.203221633452803419e+00, 1.666659370125233908e+00, 9.690629762174323147e-01, 1.063195412440250731e+00, 2.697171090952135142e+00, 1.393251888877030220e+00, 1.331051517890996516e+00, 1.245726420825099767e+00, 1.061408201713250454e+00, 2.158029413318538925e+00
2.055000000000000000e+03, 1.074125115048001344e+00, 2.062931228557399965e+00, 1.459849704497516276e+00, 1.512497923773776565e+00, 8.415801738020279865e-01, 1.539945808622090961e+00, 1.165540127092139722e+00, 1.655036781918904909e+00, 1.010258080891767607e+00, 1.082687730913442170e+00, 2.730374666144965268e+00, 1.379564659641315805e+00, 1.337562531903793817e+00, 1.220627059712123597e+00, 1.085979074836932456e+00, 2.131455230689547786e+00
2.056000000000000000e+03, 1.090428120541710344e+00, 2.092919058113206887e+00, 1.463824479326055306e+00, 1.554214437888904232e+00, 8.114261602760489689e-01, 1.539149545486813153e+00, 1.194945514654064622e+00, 1.606891557370045964e+00, 1.004332578450436886e+00, 1.117733368537263461e+00, 2.753389367956675216e+00, 1.364058520339284764e+00, 1.309021509788312665e+00, 1.228411996768884906e+00, 1.064806446673116191e+00, 2.145479560968365451e+00
2.057000000000000000e+03, 1.142061180194738457e+00, 2.094914041593332943e+00, 1.465557452590047216e+00, 1.492415649069780414e+00, 8.117880308596211458e-01, 1.553729632219381207e+00, 1.253121914446047924e+00, 1.624558606232422875e+00, 1.006324053644314320e+00, 1.077331560443413272e+00, 2.739003289164535726e+00, 1.333227324837727101e+00, 1.336834165720375944e+00, 1.280034191064177485e+00, 1.097215552193476773e+00, 2.198451775281134779e+00
2.058000000000000000e+03, 1.219026915703448788e+00, 2.083121219909600974e+00, 1.494621959285856727e+00, 1.494796449162153040e+00, 8.253286110911193241e-01, 1.568302035480386936e+00, 1.247598629439748974e+00, 1.605505894847769843e+00, 1.093285150597322897e+00, 1.046468866800271735e+00, 2.756493366933956413e+00, 1.361023090844312389e+00, 1.330715860163005582e+00, 1.194306094784766570e+00, 1.096008415846247974e+00, 2.166907218575383709e+00
2.059000000000000000e+03, 1.174977287212024768e+00, 2.126357281675999467e+00, 1.499976627171634158e+00, 1.517831693376147983e+00, 8.031262110585997149e-01, 1.536000047037319405e+00, 1.208308008421230539e+00, 1.625089522337498149e+00, 1.043482642143168659e+00, 1.029880981173894483e+00, 2.726903828048490297e+00, 1.405090268230044570e+00, 1.315656367839822094e+00, 1.232324949986963514e+00, 1.031016700363949656e+00, 2.115557664152673212e+00
2.060000000000000000e+03, 1.143468791337776347e+00, 2.135510391659424911e+00, 1.502072840076328575e+00, 1.544797500332403706e+00, 8.674654397935910310e-01, 1.545314976200464985e+00, 1.218304325346263983e+00, 1.598878941785943697e+00, 1.036900287304930002e+00, 1.044510865281702561e+00, 2.772270055381016896e+00, 1.416411219624346129e+00, 1.346429236551707431e+00, 1.255859192747543540e+00, 1.057843053969066860e+00, 2.232442137404978322e+00
2.061000000000000000e+03, 1.178844814614326886e+00, 2.129933576979788690e+00, 1.503152718165977619e+00, 1.520952464078346056e+00, 8.309443445596184086e-01, 1.564104294144889717e+00, 1.268612997200667447e+00, 1.609936509252548387e+00, 1.015702607861415308e+00, 1.099609303542444128e+00, 2.748273881209778668e+00, 1.396882413904425357e+00, 1.346417795565305386e+00, 1.273590736492283826e+00, 1.063473243491441567e+00, 2.206784698015479496e+00
2.062000000000000000e+03, 1.148295393108352602e+00, 2.099365355487659901e+00, 1.477105114455199208e+00, 1.499310217937389611e+00, 8.321754657108302311e-01, 1.560059024334940148e+00, 1.241875937558270415e+00, 1.621990094659826909e+00, 1.047548915543155656e+00, 1.084795867694698046e+00, 2.759646177404314393e+00, 1.348713825868941729e+00, 1.317606529627271650e+00, 1.283348361005256066e+00, 1.047481118580875004e+00, 2.248042940504704656e+00
2.063000000000000000e+03, 1.111334126369184716e+00, 2.060540192817581051e+00, 1.479112940133430198e+00, 1.530777789395482369e+00, 8.478842902601265719e-01, 1.560619599830689985e+00, 1.240468591453194991e+00, 1.603856431021140505e+00, 1.070459166066350054e+00, 1.066151443851288461e+00, 2.772257232829745455e+00, 1.327417379939445530e+00, 1.359404509814258422e+00, 1.285151241370140696e+00, 1.089897262076991780e+00, 2.248231196324096182e+00
2.064000000000000000e+03, 1.140336978084118380e+00, 2.103819728747651219e+00, 1.456380698804046192e+00, 1.486954355404338068e+00, 8.594215826618482046e-01, 1.566098429176509210e+00, 1.204565019053335240e+00, 1.620303217412857988e+00, 1.070716595854436681e+00, 1.123380765097992562e+00, 2.779023325353993545e+00, 1.313574699382252797e+00, 1.364077208259896867e+00, 1.278454567043036061e+00, 1.108915566840813938e+00, 2.148159482705681356e+00
2.065000000000000000e+03, 1.160958333615516480e+00, 2.060667616405767788e+00, 1.503353296442830667e+00, 1.511332956288495177e+00, 8.090415659264844628e-01, 1.564836146480371504e+00, 1.231368446887635804e+00, 1.572464708174290182e+00, 1.095281358883461120e+00, 1.070251917811100073e+00, 2.765904260402963999e+00, 1.303512490602199536e+00, 1.343783733511213274e+00, 1.289049045788864145e+00, 1.070458705688389855e+00, 2.186924112186220182e+00
2.066000000000000000e+03, 1.162167293269736890e+00, 2.043856665219720092e+00, 1.521698240864919782e+00, 1.548781982269741730e+00, 8.209454728353557940e-01, 1.569667651496085670e+00, 1.230019853733949287e+00, 1.601100367167973326e+00, 1.083827948717766443e+00, 1.096428293677896848e+00, 2.755137511724719879e+00, 1.311634391542946698e+00, 1.313997948545417627e+00, 1.286852036577825098e+00, 1.078704442672772990e+00, 2.242045614944321752e+00
2.067000000000000000e+03, 1.191500982797886188e+00, 2.074134996928632457e+00, 1.477224812288620681e+00, 1.533266826371824543e+00, 8.011639172131491682e-01, 1.564628101504232927e+00, 1.229241769696708841e+00, 1.641186424236161345e+00, 1.066275825473393946e+00, 1.080838574335105662e+00, 2.771474743085320824e+00, 1.330538220050121012e+00, 1.346729552752010894e+00, 1.279254421136103881e+00, 1.091183053162960492e+00, 2.309253720223261475e+00
2.068000000000000000e+03, 1.225667477514832626e+00, 2.118788678033653561e+00, 1.481208400493762900e+00, 1.549720411744642590e+00, 8.645971342970095730e-01, 1.570636847663555935e+00, 1.226960929865239969e+00, 1.692815517731159236e+00, 1.001345902784848585e+00, 1.084219061620555591e+00, 2.775655767896477499e+00, 1.326663439722750359e+00, 1.404073097591224561e+00, 1.266823481236552196e+00, 1.071200693208240295e+00, 2.196999953661510130e+00
2.069000000000000000e+03, 1.203086743160431071e+00, 2.101715586723925000e+00, 1.470377355830795985e+00, 1.509977614767641141e+00, 8.613402983319613515e-01, 1.571790255599354369e+00, 1.215718779492617863e+00, 1.724906044332947141e+00, 1.041628263309077651e+00, 1.041269768114093219e+00, 2.761006283587374543e+00, 1.338094761871320371e+00, 1.328327613541056884e+00, 1.296991502897371085e+00, 1.081972437508632590e+00, 2.169147430223191009e+00
2.070000000000000000e+03, 1.203262919583894419e+00, 2.099135535250245432e+00, 1.416743240693694617e+00, 1.498674021492101494e+00, 8.092498215246116677e-01, 1.568535572413195744e+00, 1.191650992928865893e+00, 1.729802097738183164e+00, 1.060327036821655522e+00, 1.070630648359160997e+00, 2.779944449983329235e+00, 1.377121521973774021e+00, 1.319522946926314999e+00, 1.288068992304827187e+00, 1.086210386801554684e+00, 2.178079901178670674e+00
2.071000000000000000e+03, 1.218793248243482674e+00, 2.113139655646710136e+00, 1.456296950474953888e+00, 1.496860422715591055e+00, 8.308178269459948195e-01, 1.590144508188801042e+00, 1.167045355833453257e+00, 1.655992392882692288e+00, 1.038039141017142564e+00, 1.033311179096633614e+00, 2.758326770258623828e+00, 1.406120253522936459e+00, 1.334941061017523634e+00, 1.246747441043317695e+00, 1.059512159441431400e+00, 2.316287520793871124e+00
2.072000000000000000e+03, 1.112196566756189275e+00, 2.096572145866811621e+00, 1.462139371311723446e+00, 1.494415602951974842e+00, 8.223827125451448339e-01, 1.571281682813108871e+00, 1.207695887847334948e+00, 1.642918319437551400e+00, 1.033027132407287052e+00, 1.022166818253632758e+00, 2.768900264726186222e+00, 1.387120009437685431e+00, 1.349891397337555032e+00, 1.283946881550598551e+00, 1.103863350432400026e+00, 2.197268010888944634e+00
2.073000000000000000e+03, 1.154748252181155177e+00, 2.100070403855689438e+00, 1.530419520999195759e+00, 1.507456143762079259e+00, 8.280746579197353352e-01, 1.566069322156862453e+00, 1.253743144802199172e+00, 1.639532732143704319e+00, 1.037471463452871667e+00, 1.037438433629349621e+00, 2.792033586601219142e+00, 1.345795964730095884e+00, 1.336929246516029401e+00, 1.302406894465356624e+00, 1.125948726244762943e+00, 2.167049020014310656e+00
2.074000000000000000e+03, 1.157977848214722050e+00, 2.102055543699350437e+00, 1.413483567839167288e+00, 1.529311656432531974e+00, 8.132800623148225272e-01, 1.567630587979596868e+00, 1.296015187974085103e+00, 1.696135743942494889e+00, 1.052617653898581862e+00, 1.040343024703981101e+00, 2.815323220202124332e+00, 1.316765031974903799e+00, 1.350329895554859716e+00, 1.307641366900136992e+00, 1.111288462936499188e+00, 2.227202614145269877e+00
2.075000000000000000e+03, 1.137540197763718508e+00, 2.123207347352951135e+00, 1.464989532906098457e+00, 1.541825208529834512e+00, 8.848995241156258906e-01, 1.575168723822515382e+00, 1.237382651627484398e+00, 1.707759916108448239e+00, 1.009861795805683915e+00, 1.025289111746530368e+00, 2.799984187987770934e+00, 1.332155980345352875e+00, 1.351662542727691374e+00, 1.294382278617330240e+00, 1.108778374044149917e+00, 2.183012310720237714e+00
2.076000000000000000e+03, 1.156211394905235501e+00, 2.120493222149000268e+00, 1.498419701361076273e+00, 1.552599932628208279e+00, 8.356047183113638477e-01, 1.581635793251920052e+00, 1.243553219568264145e+00, 1.711842867980435834e+00, 1.067688032355634364e+00, 1.023886911295583513e+00, 2.787216193488702753e+00, 1.353694823707335404e+00, 1.336912284678182905e+00, 1.294146530157530561e+00, 1.120679043645823603e+00, 2.169528517273378920e+00
