year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.052000000000000000e+03, 6.009424992633400012e-10, 3.772113212236554354e-10, 5.510597290356156572e-10, 3.623381027246072333e-10, 1.819800057482683294e-10, 2.811340790988315123e-10, 3.853712844909910187e-10, 1.819800057482683294e-10, 2.330485757577289746e-10, 5.510597290356156572e-10, 1.420999321613032877e-10, 6.009424992633400012e-10
2.053000000000000000e+03, 6.352785094423151236e-10, 3.346839248285968409e-10, 6.408311194800774603e-10, 3.846962778507474177e-10, 2.059830740866733285e-10, 2.272267479797063743e-10, 3.427756117070817012e-10, 2.059830740866733285e-10, 1.724523227020767754e-10, 6.408311194800774603e-10, 7.069137523629351478e-11, 6.352785094423151236e-10
2.054000000000000000e+03, 8.516722845736086199e-10, 3.211268355434548405e-10, 2.452693454330472486e-10, 4.012748749362119710e-10, 2.118898690023371729e-10, 1.525349851581341510e-10, 3.304213911488181315e-10, 2.118898690023371729e-10, 2.127693031104273426e-10, 2.452693454330472486e-10, 6.076975716281134517e-11, 8.516722845736086199e-10
2.055000000000000000e+03, 9.359371992704286777e-10, 2.753128986820531275e-10, 3.427639741586836863e-10, 3.190187924405900772e-10, 1.920015384986065906e-10, 3.507644771519890141e-10, 2.841870159468356668e-10, 1.920015384986065906e-10, 2.924697963661454859e-10, 3.427639741586836863e-10, 1.326599348646089694e-10, 9.359371992704286777e-10
2.056000000000000000e+03, 8.658166966346840205e-10, 3.723937560314731524e-10, 2.296206797740393138e-10, 4.025914658613139249e-10, 1.810871558110410109e-10, 2.127945233646457221e-10, 3.814943769810737771e-10, 1.810871558110410109e-10, 3.528849846861309719e-10, 2.296206797740393138e-10, 1.742140605733346537e-10, 8.658166966346840205e-10
2.057000000000000000e+03, 7.383272830301870130e-10, 4.028978668810147371e-10, 2.474266594897754074e-10, 4.626915951923187722e-10, 2.154729088207579738e-10, 4.510177107940226059e-10, 4.120621211436956961e-10, 2.154729088207579738e-10, 3.339324174560542402e-10, 2.474266594897754074e-10, 1.560512838212037067e-10, 7.383272830301870130e-10
2.058000000000000000e+03, 6.163101993958093683e-10, 4.788306278724365646e-10, 3.261878259339461760e-10, 4.266297753890893559e-10, 2.004646526302400971e-10, 2.983395127078631729e-10, 4.872277702642260697e-10, 2.004646526302400971e-10, 2.551794167567224182e-10, 3.261878259339461760e-10, 8.950608862886197982e-11, 6.163101993958093683e-10
2.059000000000000000e+03, 8.838205295521693150e-10, 5.491667022298034384e-10, 4.073330283720978867e-10, 2.548716051515755064e-10, 2.074937192970932200e-10, 2.607628558998987709e-10, 5.571861089627905339e-10, 2.074937192970932200e-10, 1.350775666363943423e-10, 4.073330283720978867e-10, 1.343849841432757086e-10, 8.838205295521693150e-10
2.060000000000000000e+03, 5.358918196770120666e-10, 3.899738237687763252e-10, 1.932431353979734239e-10, 2.560513143068457305e-10, 2.051621149655459163e-10, 4.499575450457503137e-10, 3.986354538807914917e-10, 2.051621149655459163e-10, 1.988558635170161574e-10, 1.932431353979734239e-10, 1.400598750560235643e-10, 5.358918196770120666e-10
2.061000000000000000e+03, 7.637998006308759991e-10, 4.441094856498709441e-10, 3.775705862446666711e-10, 2.208323968305835448e-10, 2.043192933902971821e-10, 3.249192044343046474e-10, 4.529546838643868532e-10, 2.043192933902971821e-10, 2.286804924281041000e-10, 3.775705862446666711e-10, 2.174755510601051716e-10, 7.637998006308759991e-10
2.062000000000000000e+03, 5.104687466185336435e-10, 5.019730597465556425e-10, 4.440576182360981014e-10, 4.813846251397051932e-10, 2.113703095363016520e-10, 3.284478090119204053e-10, 5.111643143324885216e-10, 2.113703095363016520e-10, 2.245595473896960842e-10, 4.440576182360981014e-10, 2.833346638288114532e-10, 5.104687466185336435e-10
2.063000000000000000e+03, 6.483222398271645829e-10, 3.327561361999084500e-10, 3.302442752639764501e-10, 2.868573763537021869e-10, 1.814698563573739378e-10, 2.239248051598719003e-10, 3.415772622205439879e-10, 1.814698563573739378e-10, 1.731682684316072468e-10, 3.302442752639764501e-10, 2.557999422685087885e-10, 6.483222398271645829e-10
2.064000000000000000e+03, 7.789964228777515021e-10, 4.353693925381496212e-10, 1.806561282981331994e-10, 2.683980875407904308e-10, 2.237703292235447035e-10, 2.306461129623567664e-10, 4.441500582913735245e-10, 2.237703292235447035e-10, 2.860733572452325493e-10, 1.806561282981331994e-10, 1.080894721865692339e-10, 7.789964228777515021e-10
2.065000000000000000e+03, 8.323285101378227035e-10, 6.497337262171246556e-10, 4.241211013854695910e-10, 3.539598114380566664e-10, 2.227374897859195925e-10, 1.521437561338954164e-10, 6.580398746395670038e-10, 2.227374897859195925e-10, 3.504638223528188396e-10, 4.241211013854695910e-10, 1.152327009976416702e-10, 8.323285101378227035e-10
2.066000000000000000e+03, 6.417960871574081467e-10, 8.150929066537663172e-10, 4.556392355639031316e-10, 2.627347081087223295e-10, 1.945761591963283467e-10, 1.832437682345881981e-10, 8.232858647106225907e-10, 1.945761591963283467e-10, 3.627687395106615607e-10, 4.556392355639031316e-10, 1.287026233937451069e-10, 6.417960871574081467e-10
2.067000000000000000e+03, 6.975293212051457385e-10, 5.693009053557061588e-10, 5.206387092864468261e-10, 2.693467842451180276e-10, 1.819865436618212218e-10, 2.661314836225631668e-10, 5.775297051091154618e-10, 1.819865436618212218e-10, 2.557104707428326063e-10, 5.206387092864468261e-10, 2.108893637402379158e-10, 6.975293212051457385e-10
2.068000000000000000e+03, 8.605929269385947779e-10, 5.416948566965739420e-10, 5.968854426619723124e-10, 2.830112045330107694e-10, 2.122680542273807660e-10, 2.360670844123979147e-10, 5.510437744013972620e-10, 2.122680542273807660e-10, 2.436858242476001089e-10, 5.968854426619723124e-10, 2.426976663708336856e-10, 8.605929269385947779e-10
2.069000000000000000e+03, 9.987336489864289693e-10, 4.249126660801639445e-10, 7.222181743608679926e-10, 3.922889116668946666e-10, 1.939933505434993853e-10, 5.956120277965278703e-10, 4.333077368441577831e-10, 1.939933505434993853e-10, 2.218755596122167302e-10, 7.222181743608679926e-10, 2.543773125892775786e-10, 9.987336489864289693e-10
2.070000000000000000e+03, 1.325618806871248778e-09, 3.934061106485176444e-10, 2.687987301090416581e-10, 3.025127088768223676e-10, 1.973649347616234688e-10, 3.902374835722934523e-10, 4.017799103691243795e-10, 1.973649347616234688e-10, 1.818206310135814343e-10, 2.687987301090416581e-10, 1.693995916954535808e-10, 1.325618806871248778e-09
2.071000000000000000e+03, 7.575169860177900089e-10, 4.559035451053469521e-10, 3.824103442868275325e-10, 2.478075866212057487e-10, 2.258774004282978082e-10, 2.311135654203482170e-10, 4.640397337976617955e-10, 2.258774004282978082e-10, 1.574605523731411488e-10, 3.824103442868275325e-10, 1.613430424627217524e-10, 7.575169860177900089e-10
