year, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1
2.075000000000000000e+03, 2.047616037880642757e-10, 5.217920236418403015e-10, 4.885526236745209708e-10, 4.850222101984797830e-10, 8.360958629444375640e-11, 9.878335457636839155e-11, 6.787668036312632675e-10, 1.553900909492749032e-13, 6.116174574678048214e-12
2.076000000000000000e+03, 2.387016949736589663e-10, 4.743809192539658400e-10, 5.066629544278876812e-10, 4.896493050773687519e-10, 8.295119060022861610e-11, 9.147927353567552537e-11, 7.580896695216916962e-10, 1.712228128108863309e-13, 6.967207150282153939e-12
2.077000000000000000e+03, 2.170555515161655831e-10, 4.068111768507568843e-10, 5.212831580095269582e-10, 4.915018907962296349e-10, 8.235746450344071644e-11, 8.207385906106589024e-11, 7.877089218942995504e-10, 1.774522589237063661e-13, 8.602714502919042406e-12
2.078000000000000000e+03, 1.899953016419898772e-10, 4.183318832046285855e-10, 5.175991402573362465e-10, 4.951934743587011343e-10, 8.173745037708210352e-11, 7.865929579967340934e-11, 7.293309916852412923e-10, 1.744531649613379732e-13, 1.029998977281266697e-11
2.079000000000000000e+03, 1.823340676584053500e-10, 4.195791459321462435e-10, 5.248845630425603345e-10, 4.949848524814881496e-10, 8.087419839172836951e-11, 7.660540825282284899e-11, 6.844257484604857439e-10, 1.782577816150822989e-13, 1.200819069327125402e-11
2.080000000000000000e+03, 1.863410686864242724e-10, 4.351760172748614786e-10, 5.417969048372599655e-10, 4.862434752983870420e-10, 7.958505768541068600e-11, 7.592851510255524055e-11, 6.731467710126476178e-10, 1.825508406108806219e-13, 1.375449588863687782e-11
2.081000000000000000e+03, 1.997037292617237908e-10, 4.550398829089174142e-10, 5.258999018459760452e-10, 4.887754271506452230e-10, 7.807574207681619325e-11, 7.750433181955549665e-11, 6.724084816244642384e-10, 1.680812760789635622e-13, 1.533403640871176675e-11
2.082000000000000000e+03, 2.029335041026037650e-10, 4.617351827551990687e-10, 5.290133619931701565e-10, 4.881421341547550346e-10, 7.674000005984184965e-11, 7.847433895617707505e-11, 6.040328478207696292e-10, 1.704023998807612210e-13, 1.650206265073643427e-11
2.083000000000000000e+03, 1.874660673601809967e-10, 5.737918905955705408e-10, 5.273877047221130036e-10, 4.879792118363722901e-10, 7.537570067603596253e-11, 7.888917853539161968e-11, 7.363536270672377400e-10, 1.779442352846076590e-13, 1.775679579782430216e-11
2.084000000000000000e+03, 2.037888563743131473e-10, 6.413934961585917165e-10, 5.216743896964407751e-10, 4.899542258804458237e-10, 7.391884920812325910e-11, 7.897209956167989855e-11, 6.061447770463167359e-10, 1.714390254378145633e-13, 1.890927557043136056e-11
2.085000000000000000e+03, 1.930564838901219444e-10, 5.959200784611733559e-10, 5.056345497139753610e-10, 4.643012012791422344e-10, 7.229630143267579507e-11, 7.876989906216851958e-11, 7.675993753516146506e-10, 1.577757285352582769e-13, 1.975590170864871052e-11
2.086000000000000000e+03, 2.106612689389669197e-10, 4.371053663271489278e-10, 4.976768184445915807e-10, 4.651649893046027761e-10, 7.060326948474349132e-11, 6.860992468975205416e-11, 6.921699614116175542e-10, 1.244811699669506101e-13, 1.991033437214867505e-11
2.087000000000000000e+03, 2.188370436019684345e-10, 5.071234301571362748e-10, 4.883255833248196594e-10, 4.610226688450771209e-10, 6.904004227684940220e-11, 6.464226989898227474e-11, 8.224331922036041533e-10, 1.052221521444699503e-13, 1.840985479302703334e-11
2.088000000000000000e+03, 2.032864183755670270e-10, 4.709279974538239543e-10, 4.931482224714622585e-10, 4.548177321096211240e-10, 6.764818005261679381e-11, 6.197047895110534645e-11, 8.334416260006146095e-10, 9.653617324962727029e-14, 1.688936064079075289e-11
2.089000000000000000e+03, 1.955194200485679243e-10, 4.429703302250554167e-10, 4.877042427210762291e-10, 4.545084791592751491e-10, 6.639690280412577691e-11, 6.121693193394418285e-11, 6.508066317259511537e-10, 9.255458706431542098e-14, 1.537236986366991953e-11
2.090000000000000000e+03, 1.817059464315501141e-10, 5.253359274949693687e-10, 4.786848743721515602e-10, 4.413550797112943901e-10, 6.515561064033632886e-11, 5.930282096780981219e-11, 7.667375581293765076e-10, 9.665340181494108546e-14, 1.373504949248493432e-11
2.091000000000000000e+03, 1.797079328979289963e-10, 4.625815260409634662e-10, 4.884861923519018744e-10, 4.264002111919962664e-10, 6.394255566074892250e-11, 6.070963783194604538e-11, 7.418921511360782588e-10, 1.145358185480438779e-13, 1.244000207627167376e-11
2.092000000000000000e+03, 1.940555759490633604e-10, 3.988894064968932728e-10, 4.919381989296298426e-10, 4.153230105777539013e-10, 6.280863013412653330e-11, 5.924427032528712471e-11, 6.655083077360587028e-10, 1.330672197653414751e-13, 1.084301492151453179e-11
2.093000000000000000e+03, 1.883929423564798055e-10, 4.125470169980485936e-10, 4.868242171387806700e-10, 4.135043395238769767e-10, 6.173802604226556498e-11, 5.936745585691449400e-11, 7.043223797679806539e-10, 1.380315323814751557e-13, 9.187871712536054943e-12
2.094000000000000000e+03, 1.890412057033871063e-10, 4.926267330312428480e-10, 4.977776501080252251e-10, 4.130358121023189221e-10, 6.067378172133592610e-11, 5.861360461800672512e-11, 5.911980812667627055e-10, 1.467494375723485759e-13, 7.583614872730731592e-12
2.095000000000000000e+03, 1.860003263489618302e-10, 5.377084982573516527e-10, 4.733143746225995084e-10, 4.034675957995791900e-10, 5.951697898598668087e-11, 5.856067643145464662e-11, 6.701956894894869281e-10, 1.403594131142983904e-13, 5.965976835231248943e-12
2.096000000000000000e+03, 1.730642007902518474e-10, 5.401916670870375310e-10, 4.724069937747828465e-10, 3.997407062273213181e-10, 5.828090103687476938e-11, 5.302044988778645800e-11, 5.948590505047851681e-10, 1.298760659762158178e-13, 5.894774386832626443e-12
2.097000000000000000e+03, 1.743425988879038407e-10, 4.268808251567684925e-10, 4.759765680085516809e-10, 3.916280677935256042e-10, 5.713892998402781967e-11, 5.046907160716611289e-11, 6.475940868910475150e-10, 1.218933189925384493e-13, 5.549969897760868905e-12
2.098000000000000000e+03, 1.780504839246339103e-10, 5.106218773518895678e-10, 4.775478829390626066e-10, 3.849383571192966785e-10, 5.610001337584156349e-11, 4.902019263895743173e-11, 6.529237491711967812e-10, 1.144807106412939527e-13, 5.167396007223320860e-12
2.099000000000000000e+03, 1.697192954336000864e-10, 4.007405367178411938e-10, 4.684245553390933304e-10, 3.754476104036393589e-10, 5.516070344295036998e-11, 4.788770899954531355e-11, 7.226358907526861653e-10, 1.113853178874743337e-13, 4.770338842966270186e-12
2.100000000000000000e+03, 1.508818253433662268e-10, 3.224528486074826290e-10, 4.692308825564342876e-10, 3.757463711185730582e-10, 5.070069620718866286e-11, 4.705048691694893238e-11, 6.520306805411759892e-10, 1.024851593343231466e-13, 4.336994576067680848e-12
