year, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CanESM5, UKESM1-0-LL, TaiESM1, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5
2.039000000000000000e+03, 6.177084653838116779e+00, 7.443854245080676613e+00, 5.633324764649563221e+00, 5.168986322150516344e+00, 4.605541863342974551e+00, 5.520090814147786240e+00, 7.494330677019084064e+00, 6.522751766524705452e+00, 2.977662435485390002e+00, 5.199215319934704205e+00, 7.253286747619124952e+00, 4.515500982945355624e+00, 6.991641094737988560e+00, 5.326589434105831522e+00, 5.399312932383980801e+00, 5.128160282870695141e+00
2.040000000000000000e+03, 6.631630029899935330e+00, 8.027413190043304780e+00, 5.763146231737197311e+00, 4.968744260150797842e+00, 4.493313667190321326e+00, 5.372088823014943948e+00, 7.394898054120385922e+00, 6.558307162449398042e+00, 3.101195969570776700e+00, 5.078449716931025648e+00, 7.321477263946664316e+00, 4.586007492514660555e+00, 6.855066005126779771e+00, 4.783363593678764403e+00, 5.139691750220472422e+00, 5.257232500888255444e+00
2.041000000000000000e+03, 6.209322422360174620e+00, 7.544183423494164487e+00, 5.849087732490822589e+00, 4.896198468786686853e+00, 4.846917030352090094e+00, 5.424019624223614500e+00, 7.550889323853211543e+00, 6.987728860276779308e+00, 3.106502098775361542e+00, 5.115749665790266576e+00, 7.139170145669887724e+00, 4.552094513191637937e+00, 7.007610827047565216e+00, 4.708159144730414525e+00, 5.359796145901981390e+00, 5.391577352560913639e+00
2.042000000000000000e+03, 5.991091809204809771e+00, 8.239827972112058418e+00, 6.043577518230729417e+00, 4.667277881596440636e+00, 4.610392084531786061e+00, 5.029875938393899126e+00, 7.107999470615514070e+00, 6.817415179569442429e+00, 2.882384624435630815e+00, 5.609671122943008292e+00, 7.382142716790349724e+00, 4.584249862664903752e+00, 6.986910443647960989e+00, 5.171438392424509978e+00, 5.661592891002021233e+00, 5.291496853837744929e+00
2.043000000000000000e+03, 6.513165111967525789e+00, 8.058922811323235180e+00, 5.449940402893568958e+00, 4.298943958067576787e+00, 4.938689317733837569e+00, 5.503356229424426260e+00, 7.404158225583219455e+00, 6.903809295188223949e+00, 3.018088265343313203e+00, 5.322369660836937300e+00, 7.406579327130634383e+00, 4.517330387470256170e+00, 6.648076854823384174e+00, 5.123059507407409008e+00, 5.943782022693727463e+00, 5.275178337517486327e+00
2.044000000000000000e+03, 6.343911523605724412e+00, 8.018551326878162300e+00, 5.898926694620927336e+00, 4.801452591342506793e+00, 5.092383581668527448e+00, 5.204023882341822116e+00, 7.624711276425105488e+00, 6.701316909615237627e+00, 2.946467039905424468e+00, 5.499533367012054974e+00, 7.104922021104250973e+00, 4.498545761888046002e+00, 7.186900392921746317e+00, 4.810633436817988162e+00, 5.677892909567556323e+00, 5.370840462445599428e+00
2.045000000000000000e+03, 6.303348740483902368e+00, 8.321650442761635347e+00, 5.553758898412908707e+00, 5.208776642147846303e+00, 4.938079173189390936e+00, 5.225161704521783967e+00, 6.722140179719249709e+00, 6.699000938067219302e+00, 3.086775858970498998e+00, 5.173442915906612427e+00, 7.035410694199426551e+00, 4.411873291064001279e+00, 7.430274154299032041e+00, 5.124640788104915856e+00, 5.474426297518874662e+00, 5.110254654845956424e+00
2.046000000000000000e+03, 6.372497645160172475e+00, 7.928233146563159472e+00, 5.859867661956388751e+00, 4.865517807668089389e+00, 5.125700527754090352e+00, 5.255213955803551329e+00, 7.181782048657413320e+00, 6.992825137463299257e+00, 3.172449224968254544e+00, 5.034351437630038006e+00, 7.513050157180292565e+00, 4.727441506779279656e+00, 7.110588393323842737e+00, 5.219385552129730321e+00, 5.720388941091783863e+00, 5.179279669933110064e+00
2.047000000000000000e+03, 6.362869908605053304e+00, 8.144283100021787902e+00, 5.494331992630887562e+00, 4.677500709211512842e+00, 5.275753343125948014e+00, 5.252857666727891228e+00, 6.666859801712586631e+00, 6.944806873498539979e+00, 3.048683920700161032e+00, 5.396192761428147300e+00, 7.323641102739931519e+00, 4.715579951132082392e+00, 7.053630238058945068e+00, 5.062231199439827911e+00, 5.930814025780437149e+00, 5.284380748758496615e+00
2.048000000000000000e+03, 5.972351333109831906e+00, 7.941081879106324237e+00, 6.294522759458079264e+00, 4.827656892093380669e+00, 5.109821662250010554e+00, 5.256527647316523222e+00, 7.762180652305694650e+00, 6.945784204532174044e+00, 2.991848773068173539e+00, 5.504500014806544606e+00, 7.421123703141801364e+00, 4.859670799157967735e+00, 6.957247849116259708e+00, 5.005143626234509924e+00, 5.719144687112240000e+00, 5.530129012668418831e+00
2.049000000000000000e+03, 6.300898756739072404e+00, 8.152810455004141588e+00, 5.646054462919709138e+00, 4.916341568175837118e+00, 5.446306922627474734e+00, 5.496709253764603176e+00, 7.405545026554015919e+00, 6.501492265519464020e+00, 3.107104725592089167e+00, 4.991661941706747818e+00, 7.267478116995020443e+00, 4.999491317351620445e+00, 7.307058041350905420e+00, 5.100751126718087392e+00, 5.700041297933692519e+00, 5.497853285608508500e+00
2.050000000000000000e+03, 6.524541651198825676e+00, 8.159323033756150423e+00, 5.759143977244651325e+00, 5.039373942671502071e+00, 4.573748485170490596e+00, 5.361921513545749640e+00, 7.455591709913404586e+00, 7.013661223557989821e+00, 2.962335514345586951e+00, 5.067165367497822537e+00, 7.200321322444068528e+00, 4.750770240999548477e+00, 6.967045059285100095e+00, 5.106333414282246963e+00, 5.511032580962196725e+00, 5.247591713973181804e+00
2.051000000000000000e+03, 5.863306629237182044e+00, 8.102438166098703931e+00, 6.160651515278906309e+00, 5.186244621079640460e+00, 4.833490381839169459e+00, 5.475023809473129610e+00, 7.526685962899754223e+00, 6.857248618792032069e+00, 3.007422947206479513e+00, 4.898734304501376258e+00, 7.182761035589674492e+00, 4.608858070389135086e+00, 7.128348241858510015e+00, 5.083743532716696656e+00, 5.738759560018792172e+00, 5.297492710422608830e+00
