year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM
2.042000000000000000e+03, 9.517287415673997035e-11, 5.879286327052830813e-10, 4.442680157058959328e-10, 2.511258721242442709e-10, 1.077855701691134043e-10, 3.535172406384308640e-10, 1.503039228189516804e-10, 6.131318741845327916e-11, 1.122329983556665268e-10
2.043000000000000000e+03, 9.711112996568444543e-11, 5.540170560774799112e-10, 4.343524541007232881e-10, 2.367247620934086278e-10, 1.076545073784365343e-10, 3.293800961357808782e-10, 2.189350910699024345e-10, 6.165020439677732059e-11, 1.117173153245367111e-10
2.044000000000000000e+03, 8.775627168283516764e-11, 5.582587715785492889e-10, 4.406036725296823224e-10, 2.397034567900879096e-10, 1.077644761371535606e-10, 3.468129689424240067e-10, 2.951346672509806394e-10, 5.699330565162877228e-11, 1.114233812824913379e-10
2.045000000000000000e+03, 9.606984730955695712e-11, 4.874456130940514971e-10, 4.389367189318341762e-10, 2.750559005404185650e-10, 1.092475553615806933e-10, 3.642582773535386981e-10, 1.479615199850056944e-10, 5.714339514992051904e-11, 1.055589432942996682e-10
2.046000000000000000e+03, 1.037015247292965717e-10, 5.942232141988896312e-10, 4.367275303024210152e-10, 2.930381724128440423e-10, 1.090619160825544899e-10, 3.400143762559056835e-10, 2.032027249856712894e-10, 5.739982496459116319e-11, 1.052795561652770448e-10
2.047000000000000000e+03, 8.185595599277414500e-11, 6.255257623420642379e-10, 4.400262114224409788e-10, 2.884694288108154575e-10, 1.090419999777697117e-10, 3.335338347568926596e-10, 1.454675859149413588e-10, 5.765177385703648683e-11, 1.042303743964690192e-10
2.048000000000000000e+03, 9.329301552118029005e-11, 6.262133326896686464e-10, 4.415424719051659529e-10, 2.593974611000264070e-10, 1.088656431997154240e-10, 3.481435780422268820e-10, 1.797215386939856866e-10, 5.798953652427329085e-11, 1.040192835634812360e-10
2.049000000000000000e+03, 1.150743199409820163e-10, 6.519184303258050345e-10, 4.467943988937018392e-10, 2.062838851495494186e-10, 1.087480789323755376e-10, 3.419794732455642724e-10, 1.304694010321239206e-10, 5.829440442334459694e-11, 1.036223845393108441e-10
2.050000000000000000e+03, 9.977030494195153740e-11, 5.695834186025469554e-10, 4.478386153295536254e-10, 2.800625469771774313e-10, 1.030111109587596341e-10, 3.561766607615499466e-10, 1.641358395590714430e-10, 7.315784779900765556e-11, 1.036058646419307825e-10
2.051000000000000000e+03, 9.688298116980834174e-11, 5.875588847115755434e-10, 4.392215144071682227e-10, 2.458385748161759747e-10, 1.014592461580703590e-10, 3.519471944567177255e-10, 1.885626418630012155e-10, 7.295199709745715318e-11, 1.156678080666325012e-10
2.052000000000000000e+03, 8.287056391789163198e-11, 6.246001834075515801e-10, 4.459881675530549329e-10, 2.769700188990505346e-10, 1.013075754373804079e-10, 3.282940204507360717e-10, 2.219614489316934717e-10, 7.287186714565478443e-11, 1.155806613689862495e-10
2.053000000000000000e+03, 6.740089320748778735e-11, 6.228004947571823643e-10, 4.455423615466294926e-10, 2.310670968512391741e-10, 1.011471899644048165e-10, 3.564400621981063536e-10, 1.795696361717783521e-10, 7.278002539081102001e-11, 1.154229745012141414e-10
2.054000000000000000e+03, 7.723833551363482685e-11, 5.449269584425120697e-10, 4.458941701781105596e-10, 2.758870509204873675e-10, 1.010483379878206957e-10, 3.451899451085114524e-10, 1.930599604822896268e-10, 7.292823439362595527e-11, 1.149327074677642286e-10
2.055000000000000000e+03, 6.813675168008030725e-11, 6.911258476082929665e-10, 4.487911638993033057e-10, 2.808815286581102400e-10, 1.012725090141612905e-10, 3.543104903560261361e-10, 2.972332092805742371e-10, 7.283317097877871744e-11, 1.149538282680076049e-10
2.056000000000000000e+03, 8.401538561650502861e-11, 6.634766526349200815e-10, 4.512345345267377013e-10, 2.675168782023942339e-10, 1.010888848687235992e-10, 3.524663549241985336e-10, 2.621590366280440034e-10, 7.276961549962107262e-11, 1.148104923032314121e-10
2.057000000000000000e+03, 8.366289931826270205e-11, 6.659982884925027369e-10, 4.576250153191213418e-10, 2.574869715104236331e-10, 1.008438523622784816e-10, 3.534859306156787517e-10, 2.538048661260507929e-10, 7.162934623502395780e-11, 1.141804349965864575e-10
2.058000000000000000e+03, 7.443679236402638055e-11, 6.048052074970994969e-10, 4.524681535008557438e-10, 2.335567902474596502e-10, 1.001392498763874438e-10, 3.606999345422868720e-10, 2.327564736456087867e-10, 7.148538920455965636e-11, 1.134691160262388577e-10
2.059000000000000000e+03, 7.893751400430493270e-11, 4.639022569509658960e-10, 4.451981019646952862e-10, 2.521936829488594782e-10, 9.999245062638589312e-11, 3.636075156968677085e-10, 2.878838397921760786e-10, 7.169493277219307419e-11, 1.131120413283700428e-10
2.060000000000000000e+03, 8.913868615659235273e-11, 5.475339344632029236e-10, 4.541364261368469381e-10, 2.543869882678608631e-10, 1.000373113514518296e-10, 3.450029049595302541e-10, 1.576388421347094404e-10, 7.159762042530981373e-11, 1.130684061841856196e-10
2.061000000000000000e+03, 9.950926133533628735e-11, 5.673399914174877005e-10, 4.609215514196947635e-10, 2.801385925430340326e-10, 9.985479708680342195e-11, 3.557124674598226855e-10, 2.089129543735170162e-10, 7.024276927911016148e-11, 1.129369370911352919e-10
2.062000000000000000e+03, 9.857488333989569643e-11, 5.482422522991965456e-10, 4.511164650873121805e-10, 2.663828857728555711e-10, 1.003861214968587578e-10, 3.611143433978602654e-10, 1.736759427667205970e-10, 6.859568796076204763e-11, 1.120612232740212075e-10
2.063000000000000000e+03, 9.561070126498244055e-11, 6.575045991226784618e-10, 4.390734754230007637e-10, 2.361229889252228157e-10, 9.883102320027367289e-11, 3.602040849143149519e-10, 3.087361977908147609e-10, 6.808863433058991221e-11, 1.146420823840050972e-10
2.064000000000000000e+03, 8.280838800743362294e-11, 5.087513837142859730e-10, 4.559220403249579060e-10, 3.059223773308655088e-10, 9.807374887784054829e-11, 3.714036223700954067e-10, 2.615973070163467785e-10, 6.779866691809310628e-11, 1.155266173475760002e-10
2.065000000000000000e+03, 8.626788623017493250e-11, 6.266152394984368081e-10, 4.622577608015607234e-10, 2.607503193129834184e-10, 9.797147947529775330e-11, 3.491758588757233479e-10, 2.848197409012195170e-10, 6.759244594682314270e-11, 1.152549728054399702e-10
2.066000000000000000e+03, 8.808144331641238521e-11, 5.868494995011720826e-10, 4.511376283436299612e-10, 2.042335905092614149e-10, 9.775470879286850365e-11, 3.281080251528634511e-10, 2.482748621981957202e-10, 6.732819215619242283e-11, 1.140484505912434664e-10
2.067000000000000000e+03, 9.504719324584730542e-11, 5.987603885863371543e-10, 4.490081263725257516e-10, 2.239997042231851545e-10, 9.739989909961978540e-11, 3.582611358061172352e-10, 2.204442185969916369e-10, 6.498043466515331094e-11, 1.136163556844302676e-10
